country;variable;percentile;year;value;age;pop
QK-MER;bptinc992j;p2p100;1980;-17503052.0;992;j
QK-MER;bptinc992j;p2p100;1981;-20943242.0;992;j
QK-MER;bptinc992j;p2p100;1982;-22729480.0;992;j
QK-MER;bptinc992j;p2p100;1983;-76322.46875;992;j
QK-MER;bptinc992j;p2p100;1986;-18937156.0;992;j
QK-MER;bptinc992j;p2p100;1987;-28443404.0;992;j
QK-MER;bptinc992j;p2p100;1990;-41981.1953125;992;j
QK-MER;bptinc992j;p2p100;1997;-125198.078125;992;j
QK-MER;bptinc992j;p2p100;1999;-19106338.0;992;j
QK-MER;bptinc992j;p2p100;2002;-13392303.0;992;j
QK-MER;bptinc992j;p2p100;2005;-28118.671875;992;j
QK-MER;bptinc992j;p2p100;2007;-21907.30078125;992;j
QK-MER;bptinc992j;p2p100;2008;-17609.689453125;992;j
QK-MER;bptinc992j;p2p100;2010;-18725.25390625;992;j
QK-MER;bptinc992j;p2p100;2013;-6496845.5;992;j
QK-MER;bptinc992j;p2p100;2017;-44988012.0;992;j
QK-MER;ahweal992j;p99.995p99.996;1995;18796366.0;992;j
QK-MER;ahweal992j;p99.995p99.996;1996;20436122.0;992;j
QK-MER;ahweal992j;p99.995p99.996;1997;20289006.0;992;j
QK-MER;ahweal992j;p99.995p99.996;1998;20593146.0;992;j
QK-MER;ahweal992j;p99.995p99.996;1999;20092212.0;992;j
QK-MER;ahweal992j;p99.995p99.996;2000;19042086.0;992;j
QK-MER;ahweal992j;p99.995p99.996;2001;20258734.0;992;j
QK-MER;ahweal992j;p99.995p99.996;2002;16769674.0;992;j
QK-MER;ahweal992j;p99.995p99.996;2003;12709656.0;992;j
QK-MER;ahweal992j;p99.995p99.996;2004;5911171.5;992;j
QK-MER;ahweal992j;p99.995p99.996;2005;5574696.5;992;j
QK-MER;ahweal992j;p99.995p99.996;2006;5474576.0;992;j
QK-MER;ahweal992j;p99.995p99.996;2007;5679187.0;992;j
QK-MER;ahweal992j;p99.995p99.996;2008;4933483.0;992;j
QK-MER;ahweal992j;p99.995p99.996;2009;5238373.5;992;j
QK-MER;ahweal992j;p99.995p99.996;2010;5558693.0;992;j
QK-MER;ahweal992j;p99.995p99.996;2011;5769914.0;992;j
QK-MER;ahweal992j;p99.995p99.996;2012;6447220.0;992;j
QK-MER;ahweal992j;p99.995p99.996;2013;6538322.5;992;j
QK-MER;ahweal992j;p99.995p99.996;2014;6507038.0;992;j
QK-MER;ahweal992j;p99.995p99.996;2015;7130486.5;992;j
QK-MER;ahweal992j;p99.995p99.996;2016;7569693.0;992;j
QK-MER;ahweal992j;p99.995p99.996;2017;8084888.5;992;j
QK-MER;ahweal992j;p99.995p99.996;2018;8678585.0;992;j
QK-MER;ahweal992j;p99.995p99.996;2019;8741176.0;992;j
QK-MER;ahweal992j;p99.995p99.996;2020;8759543.0;992;j
QK-MER;ahweal992j;p99.995p99.996;2021;9264739.0;992;j
QK-MER;aptinc992j;p45p100;1980;19672.2;992;j
QK-MER;aptinc992j;p45p100;1981;21048.4;992;j
QK-MER;aptinc992j;p45p100;1982;21366.4;992;j
QK-MER;aptinc992j;p45p100;1983;20725.2;992;j
QK-MER;aptinc992j;p45p100;1984;20070.9;992;j
QK-MER;aptinc992j;p45p100;1985;20766.0;992;j
QK-MER;aptinc992j;p45p100;1986;20478.7;992;j
QK-MER;aptinc992j;p45p100;1987;20238.5;992;j
QK-MER;aptinc992j;p45p100;1988;20865.4;992;j
QK-MER;aptinc992j;p45p100;1989;21254.4;992;j
