country;variable;percentile;year;value;age;pop
QK;kntcar999i;p0p100;1980;0.25608366727829;999;i
QK;kntcar999i;p0p100;1981;0.229479670524597;999;i
QK;kntcar999i;p0p100;1982;0.200111210346222;999;i
QK;kntcar999i;p0p100;1983;0.187186792492866;999;i
QK;kntcar999i;p0p100;1984;0.176255330443382;999;i
QK;kntcar999i;p0p100;1985;0.171273440122604;999;i
QK;kntcar999i;p0p100;1986;0.186180651187897;999;i
QK;kntcar999i;p0p100;1987;0.196362316608429;999;i
QK;kntcar999i;p0p100;1988;0.19562491774559;999;i
QK;kntcar999i;p0p100;1989;0.184392049908638;999;i
QK;kntcar999i;p0p100;1990;0.174924805760384;999;i
QK;kntcar999i;p0p100;1991;0.167251423001289;999;i
QK;kntcar999i;p0p100;1992;0.172005832195282;999;i
QK;kntcar999i;p0p100;1993;0.171197861433029;999;i
QK;kntcar999i;p0p100;1994;0.182728320360184;999;i
QK;kntcar999i;p0p100;1995;0.174689203500748;999;i
QK;kntcar999i;p0p100;1996;0.179152429103851;999;i
QK;kntcar999i;p0p100;1997;0.173786416649818;999;i
QK;kntcar999i;p0p100;1998;0.175709947943687;999;i
QK;kntcar999i;p0p100;1999;0.178013890981674;999;i
QK;kntcar999i;p0p100;2000;0.171015247702599;999;i
QK;kntcar999i;p0p100;2001;0.163713991641998;999;i
QK;kntcar999i;p0p100;2002;0.152736961841583;999;i
QK;kntcar999i;p0p100;2003;0.146497786045074;999;i
QK;kntcar999i;p0p100;2004;0.146358117461205;999;i
QK;kntcar999i;p0p100;2005;0.155059531331062;999;i
QK;kntcar999i;p0p100;2006;0.15837773680687;999;i
QK;kntcar999i;p0p100;2007;0.155788496136665;999;i
QK;kntcar999i;p0p100;2008;0.150083333253861;999;i
QK;kntcar999i;p0p100;2009;0.14673088490963;999;i
QK;kntcar999i;p0p100;2010;0.156302347779274;999;i
QK;kntcar999i;p0p100;2011;0.170298025012016;999;i
QK;kntcar999i;p0p100;2012;0.166764289140701;999;i
QK;kntcar999i;p0p100;2013;0.18818436563015;999;i
QK;kntcar999i;p0p100;2014;0.207011967897415;999;i
QK;kntcar999i;p0p100;2015;0.21016637980938;999;i
QK;kntcar999i;p0p100;2016;0.213774740695953;999;i
QK;kntcar999i;p0p100;2017;0.218000009655953;999;i
QK;kntcar999i;p0p100;2018;0.222992464900017;999;i
QK;kntcar999i;p0p100;2019;0.215668022632599;999;i
QK;kntcar999i;p0p100;2020;0.204762101173401;999;i
QK;khfghn999i;p0p100;1990;0.783433079719543;999;i
QK;khfghn999i;p0p100;1991;0.756111681461334;999;i
QK;khfghn999i;p0p100;1992;0.744061172008514;999;i
QK;khfghn999i;p0p100;1993;0.726831793785095;999;i
QK;khfghn999i;p0p100;1994;0.718883633613586;999;i
QK;khfghn999i;p0p100;1995;0.732691526412964;999;i
QK;khfghn999i;p0p100;1996;0.713747143745422;999;i
QK;khfghn999i;p0p100;1997;0.721612930297852;999;i
QK;khfghn999i;p0p100;1998;0.772860944271088;999;i
QK;khfghn999i;p0p100;1999;0.765604972839355;999;i
QK;khfghn999i;p0p100;2000;0.703800320625305;999;i
QK;khfghn999i;p0p100;2001;0.718433558940887;999;i
QK;khfghn999i;p0p100;2002;0.688685834407806;999;i
QK;khfghn999i;p0p100;2003;0.695365250110626;999;i
QK;khfghn999i;p0p100;2004;0.651196837425232;999;i
QK;khfghn999i;p0p100;2005;0.686132431030273;999;i
QK;khfghn999i;p0p100;2006;0.630342185497284;999;i
QK;khfghn999i;p0p100;2007;0.664706170558929;999;i
QK;khfghn999i;p0p100;2008;0.683890104293823;999;i
QK;khfghn999i;p0p100;2009;0.668002128601074;999;i
QK;khfghn999i;p0p100;2010;0.665934503078461;999;i
QK;khfghn999i;p0p100;2011;0.644605994224548;999;i
