country;variable;percentile;year;value;age;pop
QL-MER;ahweal992j;p92p93;1995;50581.3;992;j
QL-MER;ahweal992j;p92p93;1996;52909.4;992;j
QL-MER;ahweal992j;p92p93;1997;54437.4;992;j
QL-MER;ahweal992j;p92p93;1998;54898.1;992;j
QL-MER;ahweal992j;p92p93;1999;56748.7;992;j
QL-MER;ahweal992j;p92p93;2000;60439.5;992;j
QL-MER;ahweal992j;p92p93;2001;60868.1;992;j
QL-MER;ahweal992j;p92p93;2002;68509.9;992;j
QL-MER;ahweal992j;p92p93;2003;69221.1;992;j
QL-MER;ahweal992j;p92p93;2004;74013.7;992;j
QL-MER;ahweal992j;p92p93;2005;80884.8;992;j
QL-MER;ahweal992j;p92p93;2006;90544.8;992;j
QL-MER;ahweal992j;p92p93;2007;98689.3;992;j
QL-MER;ahweal992j;p92p93;2008;96236.1;992;j
QL-MER;ahweal992j;p92p93;2009;102764.0;992;j
QL-MER;ahweal992j;p92p93;2010;108283.5;992;j
QL-MER;ahweal992j;p92p93;2011;129581.6;992;j
QL-MER;ahweal992j;p92p93;2012;137490.5;992;j
QL-MER;ahweal992j;p92p93;2013;145818.1;992;j
QL-MER;ahweal992j;p92p93;2014;155291.6;992;j
QL-MER;ahweal992j;p92p93;2015;162348.9;992;j
QL-MER;ahweal992j;p92p93;2016;177677.2;992;j
QL-MER;ahweal992j;p92p93;2017;181328.0;992;j
QL-MER;ahweal992j;p92p93;2018;193954.9;992;j
QL-MER;ahweal992j;p92p93;2019;196662.5;992;j
QL-MER;ahweal992j;p92p93;2020;198579.1;992;j
QL-MER;ahweal992j;p92p93;2021;212345.7;992;j
QL-MER;ahweal992j;p99.91p100;1995;5016985.0;992;j
QL-MER;ahweal992j;p99.91p100;1996;5091994.0;992;j
QL-MER;ahweal992j;p99.91p100;1997;5018212.5;992;j
QL-MER;ahweal992j;p99.91p100;1998;5000349.5;992;j
QL-MER;ahweal992j;p99.91p100;1999;5112056.5;992;j
QL-MER;ahweal992j;p99.91p100;2000;5188857.5;992;j
QL-MER;ahweal992j;p99.91p100;2001;5128240.5;992;j
QL-MER;ahweal992j;p99.91p100;2002;5089129.0;992;j
QL-MER;ahweal992j;p99.91p100;2003;5244827.0;992;j
QL-MER;ahweal992j;p99.91p100;2004;5846122.0;992;j
QL-MER;ahweal992j;p99.91p100;2005;6552790.0;992;j
QL-MER;ahweal992j;p99.91p100;2006;7392049.5;992;j
QL-MER;ahweal992j;p99.91p100;2007;8351120.0;992;j
QL-MER;ahweal992j;p99.91p100;2008;8348270.0;992;j
QL-MER;ahweal992j;p99.91p100;2009;6614049.5;992;j
QL-MER;ahweal992j;p99.91p100;2010;7163479.5;992;j
QL-MER;ahweal992j;p99.91p100;2011;7700720.5;992;j
QL-MER;ahweal992j;p99.91p100;2012;7608970.5;992;j
QL-MER;ahweal992j;p99.91p100;2013;8029369.5;992;j
QL-MER;ahweal992j;p99.91p100;2014;8761722.0;992;j
