country;variable;percentile;year;value;age;pop
QL;enfgho999i;p0p100;1990;1216.85027153783;999;i
QL;enfgho999i;p0p100;1991;1253.15916121631;999;i
QL;enfgho999i;p0p100;1992;1268.37457845343;999;i
QL;enfgho999i;p0p100;1993;1289.79109456255;999;i
QL;enfgho999i;p0p100;1994;1308.01571245444;999;i
QL;enfgho999i;p0p100;1995;1428.04232620579;999;i
QL;enfgho999i;p0p100;1996;1455.64022826911;999;i
QL;enfgho999i;p0p100;1997;1492.61501581324;999;i
QL;enfgho999i;p0p100;1998;1384.22407153056;999;i
QL;enfgho999i;p0p100;1999;1448.26883938671;999;i
QL;enfgho999i;p0p100;2000;1425.77359627142;999;i
QL;enfgho999i;p0p100;2001;1458.84776926862;999;i
QL;enfgho999i;p0p100;2002;1486.79551659938;999;i
QL;enfgho999i;p0p100;2003;1517.25818410993;999;i
QL;enfgho999i;p0p100;2004;1586.60692599582;999;i
QL;enfgho999i;p0p100;2005;1642.39310507845;999;i
QL;enfgho999i;p0p100;2006;1690.22367376169;999;i
QL;enfgho999i;p0p100;2007;1712.0531693868;999;i
QL;enfgho999i;p0p100;2008;1805.79214562187;999;i
QL;enfgho999i;p0p100;2009;1932.26462481162;999;i
QL;enfgho999i;p0p100;2010;2012.11581073739;999;i
QL;enfgho999i;p0p100;2011;2130.81241942562;999;i
QL;enfgho999i;p0p100;2012;2257.74280631279;999;i
QL;enfgho999i;p0p100;2013;2275.79612580927;999;i
QL;enfgho999i;p0p100;2014;2289.18644186436;999;i
QL;enfgho999i;p0p100;2015;2390.29765655809;999;i
QL;enfgho999i;p0p100;2016;2395.20227235822;999;i
QL;enfgho999i;p0p100;2017;2438.47133542505;999;i
QL;enfgho999i;p0p100;2018;2503.30407519238;999;i
QL;enfgho999i;p0p100;2019;2538.60068552189;999;i
QL;enfgho999i;p0p100;2020;2527.87184795293;999;i
QL;entgho999i;p0p100;1980;1080.046;999;i
QL;entgho999i;p0p100;1981;1086.648;999;i
QL;entgho999i;p0p100;1982;1099.91;999;i
QL;entgho999i;p0p100;1983;1133.315;999;i
QL;entgho999i;p0p100;1984;1170.198;999;i
QL;entgho999i;p0p100;1985;1189.989;999;i
QL;entgho999i;p0p100;1986;1213.496;999;i
QL;entgho999i;p0p100;1987;1242.105;999;i
QL;entgho999i;p0p100;1988;1276.302;999;i
QL;entgho999i;p0p100;1989;1315.71;999;i
QL;entgho999i;p0p100;1990;1344.24;999;i
QL;entgho999i;p0p100;1991;1364.14;999;i
QL;entgho999i;p0p100;1992;1365.05;999;i
QL;entgho999i;p0p100;1993;1373.66;999;i
QL;entgho999i;p0p100;1994;1426.45;999;i
QL;entgho999i;p0p100;1995;1540.43;999;i
QL;entgho999i;p0p100;1996;1600.94;999;i
QL;entgho999i;p0p100;1997;1546.83;999;i
QL;entgho999i;p0p100;1998;1569.03;999;i
QL;entgho999i;p0p100;1999;1635.07;999;i
