country;variable;percentile;year;value;age;pop
QM-MER;ahweal992j;p88p89;1995;32104.1;992;j
QM-MER;ahweal992j;p88p89;1996;33732.4;992;j
QM-MER;ahweal992j;p88p89;1997;32497.3;992;j
QM-MER;ahweal992j;p88p89;1998;33794.0;992;j
QM-MER;ahweal992j;p88p89;1999;34603.5;992;j
QM-MER;ahweal992j;p88p89;2000;35730.8;992;j
QM-MER;ahweal992j;p88p89;2001;35840.5;992;j
QM-MER;ahweal992j;p88p89;2002;36993.1;992;j
QM-MER;ahweal992j;p88p89;2003;38341.5;992;j
QM-MER;ahweal992j;p88p89;2004;39643.1;992;j
QM-MER;ahweal992j;p88p89;2005;42031.6;992;j
QM-MER;ahweal992j;p88p89;2006;44356.1;992;j
QM-MER;ahweal992j;p88p89;2007;46698.9;992;j
QM-MER;ahweal992j;p88p89;2008;48008.3;992;j
QM-MER;ahweal992j;p88p89;2009;47402.2;992;j
QM-MER;ahweal992j;p88p89;2010;48759.6;992;j
QM-MER;ahweal992j;p88p89;2011;49417.1;992;j
QM-MER;ahweal992j;p88p89;2012;50384.3;992;j
QM-MER;ahweal992j;p88p89;2013;52627.3;992;j
QM-MER;ahweal992j;p88p89;2014;54706.5;992;j
QM-MER;ahweal992j;p88p89;2015;55343.4;992;j
QM-MER;ahweal992j;p88p89;2016;56582.2;992;j
QM-MER;ahweal992j;p88p89;2017;58941.8;992;j
QM-MER;ahweal992j;p88p89;2018;60758.4;992;j
QM-MER;ahweal992j;p88p89;2019;64718.5;992;j
QM-MER;ahweal992j;p88p89;2020;64224.8;992;j
QM-MER;ahweal992j;p88p89;2021;68155.3;992;j
QM-MER;ahweal992j;p97p98;1995;101520.9;992;j
QM-MER;ahweal992j;p97p98;1996;105771.0;992;j
QM-MER;ahweal992j;p97p98;1997;99394.6;992;j
QM-MER;ahweal992j;p97p98;1998;102158.3;992;j
QM-MER;ahweal992j;p97p98;1999;103194.3;992;j
QM-MER;ahweal992j;p97p98;2000;105264.5;992;j
QM-MER;ahweal992j;p97p98;2001;108049.0;992;j
QM-MER;ahweal992j;p97p98;2002;111017.3;992;j
QM-MER;ahweal992j;p97p98;2003;114511.6;992;j
QM-MER;ahweal992j;p97p98;2004;118903.6;992;j
