country;variable;percentile;year;value;age;pop
QM;ennghg999i;p0p100;1980;-55.4597378038059;999;i
QM;ennghg999i;p0p100;1981;-45.677241201207;999;i
QM;ennghg999i;p0p100;1982;-47.4310968808018;999;i
QM;ennghg999i;p0p100;1983;-49.7273469831284;999;i
QM;ennghg999i;p0p100;1984;-56.9174506525366;999;i
QM;ennghg999i;p0p100;1985;-57.9957452742515;999;i
QM;ennghg999i;p0p100;1986;-73.257071989201;999;i
QM;ennghg999i;p0p100;1987;-110.188002841312;999;i
QM;ennghg999i;p0p100;1988;-136.291776620942;999;i
QM;ennghg999i;p0p100;1989;-163.823003567076;999;i
QM;ennghg999i;p0p100;1990;-220.588906715348;999;i
QM;ennghg999i;p0p100;1991;-211.560054318001;999;i
QM;ennghg999i;p0p100;1992;-114.690383567968;999;i
QM;ennghg999i;p0p100;1993;-112.899189264926;999;i
QM;ennghg999i;p0p100;1994;-129.543769642003;999;i
QM;ennghg999i;p0p100;1995;-123.911084026397;999;i
QM;ennghg999i;p0p100;1996;-142.813505630492;999;i
QM;ennghg999i;p0p100;1997;-147.463737635576;999;i
QM;ennghg999i;p0p100;1998;-109.218355603369;999;i
QM;ennghg999i;p0p100;1999;-76.9316344263562;999;i
QM;ennghg999i;p0p100;2000;-70.0513795641738;999;i
QM;ennghg999i;p0p100;2001;-73.4512821360091;999;i
QM;ennghg999i;p0p100;2002;-54.3579719906505;999;i
QM;ennghg999i;p0p100;2003;-66.1573741270043;999;i
QM;ennghg999i;p0p100;2004;-65.9785493530392;999;i
QM;ennghg999i;p0p100;2005;-52.5783682807393;999;i
QM;ennghg999i;p0p100;2006;-15.8977323328794;999;i
QM;ennghg999i;p0p100;2007;-10.3726322964931;999;i
QM;ennghg999i;p0p100;2008;23.0397535675342;999;i
QM;ennghg999i;p0p100;2009;3.47910491666343;999;i
QM;ennghg999i;p0p100;2010;-0.555187088092316;999;i
QM;ennghg999i;p0p100;2011;12.6122783518855;999;i
QM;ennghg999i;p0p100;2012;6.46062469498313;999;i
QM;ennghg999i;p0p100;2013;-1.65960244380166;999;i
QM;ennghg999i;p0p100;2014;-1.46331939675569;999;i
QM;ennghg999i;p0p100;2015;-9.3511136186706;999;i
QM;ennghg999i;p0p100;2016;-23.7185349543245;999;i
QM;ennghg999i;p0p100;2017;-26.366580802945;999;i
QM;ennghg999i;p0p100;2018;-10.7816450278239;999;i
QM;ennghg999i;p0p100;2019;-5.8645900982657;999;i
QM;ennghg999i;p0p100;2020;-5.27813108843915;999;i
QM;entcar999i;p0p100;1980;1322.31;999;i
QM;entcar999i;p0p100;1981;1274.41;999;i
