country;variable;percentile;year;value;age;pop
QN-MER;ahweal992j;p3p100;1995;2210.0;992;j
QN-MER;ahweal992j;p3p100;1996;2226.3;992;j
QN-MER;ahweal992j;p3p100;1997;2600.4;992;j
QN-MER;ahweal992j;p3p100;1998;2692.4;992;j
QN-MER;ahweal992j;p3p100;1999;2701.6;992;j
QN-MER;ahweal992j;p3p100;2000;2081.4;992;j
QN-MER;ahweal992j;p3p100;2001;2046.8;992;j
QN-MER;ahweal992j;p3p100;2002;2046.3;992;j
QN-MER;ahweal992j;p3p100;2003;2076.0;992;j
QN-MER;ahweal992j;p3p100;2004;2157.2;992;j
QN-MER;ahweal992j;p3p100;2005;2234.2;992;j
QN-MER;ahweal992j;p3p100;2006;2282.6;992;j
QN-MER;ahweal992j;p3p100;2007;2418.9;992;j
QN-MER;ahweal992j;p3p100;2008;2493.8;992;j
QN-MER;ahweal992j;p3p100;2009;2765.7;992;j
QN-MER;ahweal992j;p3p100;2010;2620.0;992;j
QN-MER;ahweal992j;p3p100;2011;2461.5;992;j
QN-MER;ahweal992j;p3p100;2012;2550.9;992;j
QN-MER;ahweal992j;p3p100;2013;2554.1;992;j
QN-MER;ahweal992j;p3p100;2014;2717.4;992;j
QN-MER;ahweal992j;p3p100;2015;2768.8;992;j
QN-MER;ahweal992j;p3p100;2016;2723.0;992;j
QN-MER;ahweal992j;p3p100;2017;2696.4;992;j
QN-MER;ahweal992j;p3p100;2018;2672.5;992;j
QN-MER;ahweal992j;p3p100;2019;2775.6;992;j
QN-MER;ahweal992j;p3p100;2020;2783.1;992;j
QN-MER;ahweal992j;p3p100;2021;2898.0;992;j
QN-MER;ahweal992j;p78p79;1995;1888.3;992;j
QN-MER;ahweal992j;p78p79;1996;1872.8;992;j
QN-MER;ahweal992j;p78p79;1997;2147.7;992;j
QN-MER;ahweal992j;p78p79;1998;2225.9;992;j
QN-MER;ahweal992j;p78p79;1999;2285.5;992;j
QN-MER;ahweal992j;p78p79;2000;1581.2;992;j
QN-MER;ahweal992j;p78p79;2001;1560.9;992;j
QN-MER;ahweal992j;p78p79;2002;1499.6;992;j
QN-MER;ahweal992j;p78p79;2003;1531.6;992;j
QN-MER;ahweal992j;p78p79;2004;1581.5;992;j
QN-MER;ahweal992j;p78p79;2005;1610.0;992;j
QN-MER;ahweal992j;p78p79;2006;1658.4;992;j
QN-MER;ahweal992j;p78p79;2007;1745.0;992;j
QN-MER;ahweal992j;p78p79;2008;1797.7;992;j
QN-MER;ahweal992j;p78p79;2009;1975.6;992;j
QN-MER;ahweal992j;p78p79;2010;1840.5;992;j
QN-MER;ahweal992j;p78p79;2011;1682.8;992;j
QN-MER;ahweal992j;p78p79;2012;1698.8;992;j
QN-MER;ahweal992j;p78p79;2013;1674.3;992;j
QN-MER;ahweal992j;p78p79;2014;1746.3;992;j
QN-MER;ahweal992j;p78p79;2015;1826.5;992;j
QN-MER;ahweal992j;p78p79;2016;1794.6;992;j
QN-MER;ahweal992j;p78p79;2017;1785.8;992;j
QN-MER;ahweal992j;p78p79;2018;1792.6;992;j
QN-MER;ahweal992j;p78p79;2019;1862.7;992;j
QN-MER;ahweal992j;p78p79;2020;1910.1;992;j
QN-MER;ahweal992j;p78p79;2021;2012.9;992;j
QN-MER;aptinc992j;p6p100;1980;2765.1;992;j
QN-MER;aptinc992j;p6p100;1981;2796.0;992;j
QN-MER;aptinc992j;p6p100;1982;2792.0;992;j
QN-MER;aptinc992j;p6p100;1983;2838.4;992;j
QN-MER;aptinc992j;p6p100;1984;2932.3;992;j
QN-MER;aptinc992j;p6p100;1985;2897.5;992;j
QN-MER;aptinc992j;p6p100;1986;2885.0;992;j
QN-MER;aptinc992j;p6p100;1987;2796.1;992;j
QN-MER;aptinc992j;p6p100;1988;2759.5;992;j
QN-MER;aptinc992j;p6p100;1989;2688.5;992;j
QN-MER;aptinc992j;p6p100;1990;2482.5;992;j
QN-MER;aptinc992j;p6p100;1991;2351.5;992;j
QN-MER;aptinc992j;p6p100;1992;2139.6;992;j
QN-MER;aptinc992j;p6p100;1993;1803.8;992;j
QN-MER;aptinc992j;p6p100;1994;1757.6;992;j
QN-MER;aptinc992j;p6p100;1995;1752.5;992;j
QN-MER;aptinc992j;p6p100;1996;1732.2;992;j
QN-MER;aptinc992j;p6p100;1997;1802.6;992;j
QN-MER;aptinc992j;p6p100;1998;1830.6;992;j
QN-MER;aptinc992j;p6p100;1999;1717.5;992;j
QN-MER;aptinc992j;p6p100;2000;1683.3;992;j
QN-MER;aptinc992j;p6p100;2001;1731.3;992;j
QN-MER;aptinc992j;p6p100;2002;1815.1;992;j
QN-MER;aptinc992j;p6p100;2003;1864.8;992;j
QN-MER;aptinc992j;p6p100;2004;1986.9;992;j
QN-MER;aptinc992j;p6p100;2005;2107.4;992;j
QN-MER;aptinc992j;p6p100;2006;2148.3;992;j
QN-MER;aptinc992j;p6p100;2007;2271.5;992;j
QN-MER;aptinc992j;p6p100;2008;2319.6;992;j
QN-MER;aptinc992j;p6p100;2009;2318.5;992;j
QN-MER;aptinc992j;p6p100;2010;2344.7;992;j
QN-MER;aptinc992j;p6p100;2011;2382.5;992;j
QN-MER;aptinc992j;p6p100;2012;2489.7;992;j
QN-MER;aptinc992j;p6p100;2013;2500.3;992;j
QN-MER;aptinc992j;p6p100;2014;2633.8;992;j
QN-MER;aptinc992j;p6p100;2015;2588.3;992;j
QN-MER;aptinc992j;p6p100;2016;2477.5;992;j
QN-MER;aptinc992j;p6p100;2017;2403.5;992;j
QN-MER;aptinc992j;p6p100;2018;2341.0;992;j
QN-MER;aptinc992j;p6p100;2019;2295.2;992;j
QN-MER;aptinc992j;p6p100;2020;2170.0;992;j
QN-MER;aptinc992j;p6p100;2021;2155.0;992;j
QN-MER;bhweal992j;p31p100;1995;15.9927129745483;992;j
QN-MER;bhweal992j;p31p100;1996;15.5235643386841;992;j
QN-MER;bhweal992j;p31p100;1997;16.5264358520508;992;j
QN-MER;bhweal992j;p31p100;1998;16.6195068359375;992;j
QN-MER;bhweal992j;p31p100;1999;17.7956295013428;992;j
QN-MER;bhweal992j;p31p100;2000;17.7556247711182;992;j
QN-MER;bhweal992j;p31p100;2001;17.9655303955078;992;j
QN-MER;bhweal992j;p31p100;2002;18.1580848693848;992;j
QN-MER;bhweal992j;p31p100;2003;18.9668674468994;992;j
QN-MER;bhweal992j;p31p100;2004;19.6499252319336;992;j
QN-MER;bhweal992j;p31p100;2005;24.5842781066894;992;j
QN-MER;bhweal992j;p31p100;2006;24.7468090057373;992;j
QN-MER;bhweal992j;p31p100;2007;26.5621032714844;992;j
QN-MER;bhweal992j;p31p100;2008;28.9240951538086;992;j
QN-MER;bhweal992j;p31p100;2009;29.3642921447754;992;j
QN-MER;bhweal992j;p31p100;2010;26.4526138305664;992;j
QN-MER;bhweal992j;p31p100;2011;24.5908622741699;992;j
QN-MER;bhweal992j;p31p100;2012;24.3715114593506;992;j
QN-MER;bhweal992j;p31p100;2013;24.8703575134277;992;j
QN-MER;bhweal992j;p31p100;2014;24.4531784057617;992;j
QN-MER;bhweal992j;p31p100;2015;23.9253711700439;992;j
QN-MER;bhweal992j;p31p100;2016;23.1713256835938;992;j
QN-MER;bhweal992j;p31p100;2017;22.9473991394043;992;j
QN-MER;bhweal992j;p31p100;2018;22.4079742431641;992;j
QN-MER;bhweal992j;p31p100;2019;21.7469310760498;992;j
QN-MER;bhweal992j;p31p100;2020;21.2068290710449;992;j
QN-MER;bhweal992j;p31p100;2021;21.0888214111328;992;j
QN-MER;shweal992j;p99.98p99.99;1995;0.0205;992;j
QN-MER;shweal992j;p99.98p99.99;1996;0.0212;992;j
QN-MER;shweal992j;p99.98p99.99;1997;0.0225;992;j
QN-MER;shweal992j;p99.98p99.99;1998;0.0213;992;j
QN-MER;shweal992j;p99.98p99.99;1999;0.0208;992;j
QN-MER;shweal992j;p99.98p99.99;2000;0.0247;992;j
QN-MER;shweal992j;p99.98p99.99;2001;0.0247;992;j
QN-MER;shweal992j;p99.98p99.99;2002;0.0249;992;j
QN-MER;shweal992j;p99.98p99.99;2003;0.0243;992;j
QN-MER;shweal992j;p99.98p99.99;2004;0.0238;992;j
QN-MER;shweal992j;p99.98p99.99;2005;0.025;992;j
QN-MER;shweal992j;p99.98p99.99;2006;0.025;992;j
QN-MER;shweal992j;p99.98p99.99;2007;0.024;992;j
QN-MER;shweal992j;p99.98p99.99;2008;0.0238;992;j
QN-MER;shweal992j;p99.98p99.99;2009;0.0236;992;j
QN-MER;shweal992j;p99.98p99.99;2010;0.0245;992;j
QN-MER;shweal992j;p99.98p99.99;2011;0.0246;992;j
QN-MER;shweal992j;p99.98p99.99;2012;0.026;992;j
QN-MER;shweal992j;p99.98p99.99;2013;0.0255;992;j
QN-MER;shweal992j;p99.98p99.99;2014;0.0255;992;j
QN-MER;shweal992j;p99.98p99.99;2015;0.0256;992;j
QN-MER;shweal992j;p99.98p99.99;2016;0.026;992;j
QN-MER;shweal992j;p99.98p99.99;2017;0.026;992;j
QN-MER;shweal992j;p99.98p99.99;2018;0.026;992;j
QN-MER;shweal992j;p99.98p99.99;2019;0.0261;992;j
QN-MER;shweal992j;p99.98p99.99;2020;0.0259;992;j
QN-MER;shweal992j;p99.98p99.99;2021;0.0259;992;j
QN-MER;shweal992j;p99.998p99.999;1995;0.0109;992;j
QN-MER;shweal992j;p99.998p99.999;1996;0.0116;992;j
QN-MER;shweal992j;p99.998p99.999;1997;0.0119;992;j
QN-MER;shweal992j;p99.998p99.999;1998;0.0121;992;j
QN-MER;shweal992j;p99.998p99.999;1999;0.0121;992;j
QN-MER;shweal992j;p99.998p99.999;2000;0.0167;992;j
QN-MER;shweal992j;p99.998p99.999;2001;0.0144;992;j
QN-MER;shweal992j;p99.998p99.999;2002;0.0132;992;j
QN-MER;shweal992j;p99.998p99.999;2003;0.0124;992;j
QN-MER;shweal992j;p99.998p99.999;2004;0.0119;992;j
QN-MER;shweal992j;p99.998p99.999;2005;0.0125;992;j
QN-MER;shweal992j;p99.998p99.999;2006;0.0118;992;j
QN-MER;shweal992j;p99.998p99.999;2007;0.0118;992;j
QN-MER;shweal992j;p99.998p99.999;2008;0.011;992;j
QN-MER;shweal992j;p99.998p99.999;2009;0.0109;992;j
QN-MER;shweal992j;p99.998p99.999;2010;0.0109;992;j
QN-MER;shweal992j;p99.998p99.999;2011;0.0111;992;j
QN-MER;shweal992j;p99.998p99.999;2012;0.0118;992;j
QN-MER;shweal992j;p99.998p99.999;2013;0.0116;992;j
QN-MER;shweal992j;p99.998p99.999;2014;0.0115;992;j
QN-MER;shweal992j;p99.998p99.999;2015;0.0116;992;j
QN-MER;shweal992j;p99.998p99.999;2016;0.0114;992;j
QN-MER;shweal992j;p99.998p99.999;2017;0.0115;992;j
QN-MER;shweal992j;p99.998p99.999;2018;0.0121;992;j
QN-MER;shweal992j;p99.998p99.999;2019;0.0121;992;j
QN-MER;shweal992j;p99.998p99.999;2020;0.0112;992;j
QN-MER;shweal992j;p99.998p99.999;2021;0.0114;992;j
QN-MER;sptinc992j;p11p100;1980;0.9981;992;j
QN-MER;sptinc992j;p11p100;1981;0.9981;992;j
QN-MER;sptinc992j;p11p100;1982;0.9981;992;j
QN-MER;sptinc992j;p11p100;1983;0.9982;992;j
QN-MER;sptinc992j;p11p100;1984;0.9982;992;j
QN-MER;sptinc992j;p11p100;1985;0.9981;992;j
QN-MER;sptinc992j;p11p100;1986;0.9981;992;j
QN-MER;sptinc992j;p11p100;1987;0.9981;992;j
QN-MER;sptinc992j;p11p100;1988;0.998;992;j
QN-MER;sptinc992j;p11p100;1989;0.998;992;j
QN-MER;sptinc992j;p11p100;1990;0.998;992;j
QN-MER;sptinc992j;p11p100;1991;0.9981;992;j
QN-MER;sptinc992j;p11p100;1992;0.9981;992;j
QN-MER;sptinc992j;p11p100;1993;0.9981;992;j
QN-MER;sptinc992j;p11p100;1994;0.998;992;j
QN-MER;sptinc992j;p11p100;1995;0.998;992;j
QN-MER;sptinc992j;p11p100;1996;0.998;992;j
QN-MER;sptinc992j;p11p100;1997;0.9982;992;j
QN-MER;sptinc992j;p11p100;1998;0.9982;992;j
QN-MER;sptinc992j;p11p100;1999;0.9982;992;j
QN-MER;sptinc992j;p11p100;2000;0.9982;992;j
QN-MER;sptinc992j;p11p100;2001;0.9983;992;j
QN-MER;sptinc992j;p11p100;2002;0.9983;992;j
QN-MER;sptinc992j;p11p100;2003;0.9983;992;j
QN-MER;sptinc992j;p11p100;2004;0.9983;992;j
QN-MER;sptinc992j;p11p100;2005;0.9983;992;j
QN-MER;sptinc992j;p11p100;2006;0.9983;992;j
QN-MER;sptinc992j;p11p100;2007;0.9984;992;j
QN-MER;sptinc992j;p11p100;2008;0.9984;992;j
QN-MER;sptinc992j;p11p100;2009;0.9984;992;j
QN-MER;sptinc992j;p11p100;2010;0.9984;992;j
QN-MER;sptinc992j;p11p100;2011;0.9984;992;j
QN-MER;sptinc992j;p11p100;2012;0.9984;992;j
