country;variable;percentile;year;value;age;pop
QN;enfghg999i;p0p100;1980;153.640955239284;999;i
QN;enfghg999i;p0p100;1981;139.509252094919;999;i
QN;enfghg999i;p0p100;1982;153.808079059147;999;i
QN;enfghg999i;p0p100;1983;161.162494323682;999;i
QN;enfghg999i;p0p100;1984;146.647706082247;999;i
QN;enfghg999i;p0p100;1985;148.570262341683;999;i
QN;enfghg999i;p0p100;1986;152.34340728095;999;i
QN;enfghg999i;p0p100;1987;167.702721119892;999;i
QN;enfghg999i;p0p100;1988;142.422636691402;999;i
QN;enfghg999i;p0p100;1989;160.202712055264;999;i
QN;enfghg999i;p0p100;1990;169.234129624444;999;i
QN;enfghg999i;p0p100;1991;171.394145369626;999;i
QN;enfghg999i;p0p100;1992;174.533814561506;999;i
QN;enfghg999i;p0p100;1993;172.34599598698;999;i
QN;enfghg999i;p0p100;1994;177.488826973895;999;i
QN;enfghg999i;p0p100;1995;171.961529061571;999;i
QN;enfghg999i;p0p100;1996;164.755326221012;999;i
QN;enfghg999i;p0p100;1997;164.20579404531;999;i
QN;enfghg999i;p0p100;1998;169.367636983622;999;i
QN;enfghg999i;p0p100;1999;154.387533761718;999;i
QN;enfghg999i;p0p100;2000;161.196098037906;999;i
QN;enfghg999i;p0p100;2001;168.767358525825;999;i
QN;enfghg999i;p0p100;2002;170.75521125642;999;i
QN;enfghg999i;p0p100;2003;187.224368966134;999;i
QN;enfghg999i;p0p100;2004;193.250458519508;999;i
QN;enfghg999i;p0p100;2005;197.204419569729;999;i
QN;enfghg999i;p0p100;2006;175.633948757612;999;i
QN;enfghg999i;p0p100;2007;184.028401743977;999;i
QN;enfghg999i;p0p100;2008;190.938900119386;999;i
QN;enfghg999i;p0p100;2009;201.325822367685;999;i
QN;enfghg999i;p0p100;2010;196.700869536961;999;i
QN;enfghg999i;p0p100;2011;194.704980540363;999;i
QN;enfghg999i;p0p100;2012;197.696853700545;999;i
QN;enfghg999i;p0p100;2013;203.469694204595;999;i
QN;enfghg999i;p0p100;2014;203.657144524688;999;i
QN;enfghg999i;p0p100;2015;240.600623490337;999;i
QN;enfghg999i;p0p100;2016;243.401971491742;999;i
QN;enfghg999i;p0p100;2017;244.381538269009;999;i
QN;enfghg999i;p0p100;2018;242.853385247398;999;i
QN;enfghg999i;p0p100;2019;236.810886175711;999;i
QN;enfghg999i;p0p100;2020;230.890614021318;999;i
QN;kntgna999i;p0p100;1990;0.34084165096283;999;i
QN;kntgna999i;p0p100;1991;0.324736714363098;999;i
QN;kntgna999i;p0p100;1992;0.34029683470726;999;i
QN;kntgna999i;p0p100;1993;0.344540327787399;999;i
QN;kntgna999i;p0p100;1994;0.580103397369385;999;i
QN;kntgna999i;p0p100;1995;0.541318595409393;999;i
QN;kntgna999i;p0p100;1996;0.490627646446228;999;i
QN;kntgna999i;p0p100;1997;0.452690601348877;999;i
QN;kntgna999i;p0p100;1998;0.433031141757965;999;i
QN;kntgna999i;p0p100;1999;0.403352081775665;999;i
QN;kntgna999i;p0p100;2000;0.386457204818726;999;i
QN;kntgna999i;p0p100;2001;0.358853250741959;999;i
QN;kntgna999i;p0p100;2002;0.338024646043778;999;i
QN;kntgna999i;p0p100;2003;0.340897023677826;999;i
QN;kntgna999i;p0p100;2004;0.324125587940216;999;i
QN;kntgna999i;p0p100;2005;0.33091413974762;999;i
QN;kntgna999i;p0p100;2006;0.313243597745895;999;i
QN;kntgna999i;p0p100;2007;0.317761361598969;999;i
QN;kntgna999i;p0p100;2008;0.304313063621521;999;i
QN;kntgna999i;p0p100;2009;0.302730619907379;999;i
QN;kntgna999i;p0p100;2010;0.284247010946274;999;i
