country;variable;percentile;year;value;age;pop
QO-MER;bptinc992j;p2p100;1980;-8177.13232421875;992;j
QO-MER;bptinc992j;p2p100;1982;-6398.3115234375;992;j
QO-MER;bptinc992j;p2p100;1984;-430930.375;992;j
QO-MER;bptinc992j;p2p100;1985;-411921.875;992;j
QO-MER;bptinc992j;p2p100;1989;-8693.5966796875;992;j
QO-MER;bptinc992j;p2p100;1991;-359177.9375;992;j
QO-MER;bptinc992j;p2p100;1992;-18973.896484375;992;j
QO-MER;bptinc992j;p2p100;1994;-5260.60888671875;992;j
QO-MER;bptinc992j;p2p100;1995;-328096.28125;992;j
QO-MER;bptinc992j;p2p100;1998;-258512.5625;992;j
QO-MER;bptinc992j;p2p100;1999;-35731.69140625;992;j
QO-MER;bptinc992j;p2p100;2000;-35972.3125;992;j
QO-MER;bptinc992j;p2p100;2002;-24835.185546875;992;j
QO-MER;bptinc992j;p2p100;2003;-293829.6875;992;j
QO-MER;bptinc992j;p2p100;2006;-13895.01953125;992;j
QO-MER;bptinc992j;p2p100;2010;-306380.90625;992;j
QO-MER;bptinc992j;p2p100;2011;-13626.6064453125;992;j
QO-MER;bptinc992j;p2p100;2014;-13766.7431640625;992;j
QO-MER;bptinc992j;p2p100;2015;-200616.015625;992;j
QO-MER;bptinc992j;p2p100;2019;-1856.59741210938;992;j
QO-MER;bptinc992j;p2p100;2020;-766119.3125;992;j
QO-MER;bptinc992j;p2p100;2021;-947152.5625;992;j
QO-MER;ahweal992j;p26p100;1995;2562.4;992;j
QO-MER;ahweal992j;p26p100;1996;2778.6;992;j
QO-MER;ahweal992j;p26p100;1997;2869.2;992;j
QO-MER;ahweal992j;p26p100;1998;3053.9;992;j
QO-MER;ahweal992j;p26p100;1999;3134.4;992;j
QO-MER;ahweal992j;p26p100;2000;3261.7;992;j
QO-MER;ahweal992j;p26p100;2001;3548.6;992;j
QO-MER;ahweal992j;p26p100;2002;3780.1;992;j
QO-MER;ahweal992j;p26p100;2003;4021.0;992;j
QO-MER;ahweal992j;p26p100;2004;4256.1;992;j
QO-MER;ahweal992j;p26p100;2005;4612.0;992;j
QO-MER;ahweal992j;p26p100;2006;5054.0;992;j
QO-MER;ahweal992j;p26p100;2007;5352.7;992;j
QO-MER;ahweal992j;p26p100;2008;5557.3;992;j
QO-MER;ahweal992j;p26p100;2009;5776.3;992;j
QO-MER;ahweal992j;p26p100;2010;5986.6;992;j
QO-MER;ahweal992j;p26p100;2011;6052.4;992;j
QO-MER;ahweal992j;p26p100;2012;6137.6;992;j
QO-MER;ahweal992j;p26p100;2013;6308.2;992;j
QO-MER;ahweal992j;p26p100;2014;6547.1;992;j
QO-MER;ahweal992j;p26p100;2015;6865.9;992;j
QO-MER;ahweal992j;p26p100;2016;6974.2;992;j
QO-MER;ahweal992j;p26p100;2017;7198.1;992;j
QO-MER;ahweal992j;p26p100;2018;7501.8;992;j
QO-MER;ahweal992j;p26p100;2019;7923.9;992;j
QO-MER;ahweal992j;p26p100;2020;7796.6;992;j
QO-MER;ahweal992j;p26p100;2021;8591.5;992;j
QO-MER;ahweal992j;p78p100;1995;6901.1;992;j
QO-MER;ahweal992j;p78p100;1996;7514.3;992;j
QO-MER;ahweal992j;p78p100;1997;7741.4;992;j
QO-MER;ahweal992j;p78p100;1998;8253.5;992;j
QO-MER;ahweal992j;p78p100;1999;8481.9;992;j
QO-MER;ahweal992j;p78p100;2000;8861.2;992;j
QO-MER;ahweal992j;p78p100;2001;9610.4;992;j
QO-MER;ahweal992j;p78p100;2002;10193.5;992;j
QO-MER;ahweal992j;p78p100;2003;10823.4;992;j
QO-MER;ahweal992j;p78p100;2004;11443.4;992;j
QO-MER;ahweal992j;p78p100;2005;12440.1;992;j
QO-MER;ahweal992j;p78p100;2006;13662.6;992;j
QO-MER;ahweal992j;p78p100;2007;14522.0;992;j
QO-MER;ahweal992j;p78p100;2008;15061.9;992;j
QO-MER;ahweal992j;p78p100;2009;15548.8;992;j
QO-MER;ahweal992j;p78p100;2010;16115.9;992;j
QO-MER;ahweal992j;p78p100;2011;16324.4;992;j
QO-MER;ahweal992j;p78p100;2012;16604.4;992;j
QO-MER;ahweal992j;p78p100;2013;17117.4;992;j
QO-MER;ahweal992j;p78p100;2014;17784.3;992;j
QO-MER;ahweal992j;p78p100;2015;18698.9;992;j
