country;variable;percentile;year;value;age;pop
QO;khfghd999i;p0p100;1990;0.114157766103745;999;i
QO;khfghd999i;p0p100;1991;0.117565676569939;999;i
QO;khfghd999i;p0p100;1992;0.118163987994194;999;i
QO;khfghd999i;p0p100;1993;0.130888491868973;999;i
QO;khfghd999i;p0p100;1994;0.121771767735481;999;i
QO;khfghd999i;p0p100;1995;0.129100397229195;999;i
QO;khfghd999i;p0p100;1996;0.127129852771759;999;i
QO;khfghd999i;p0p100;1997;0.137513294816017;999;i
QO;khfghd999i;p0p100;1998;0.148735553026199;999;i
QO;khfghd999i;p0p100;1999;0.14982607960701;999;i
QO;khfghd999i;p0p100;2000;0.162711009383202;999;i
QO;khfghd999i;p0p100;2001;0.150774151086807;999;i
QO;khfghd999i;p0p100;2002;0.149869441986084;999;i
QO;khfghd999i;p0p100;2003;0.163333937525749;999;i
QO;khfghd999i;p0p100;2004;0.168068587779999;999;i
QO;khfghd999i;p0p100;2005;0.17293806374073;999;i
QO;khfghd999i;p0p100;2006;0.178014814853668;999;i
QO;khfghd999i;p0p100;2007;0.183298408985138;999;i
QO;khfghd999i;p0p100;2008;0.189396247267723;999;i
QO;khfghd999i;p0p100;2009;0.195710971951485;999;i
QO;khfghd999i;p0p100;2010;0.202230378985405;999;i
QO;khfghd999i;p0p100;2011;0.208952739834785;999;i
QO;khfghd999i;p0p100;2012;0.202143236994743;999;i
QO;khfghd999i;p0p100;2013;0.196320742368698;999;i
QO;khfghd999i;p0p100;2014;0.19151459634304;999;i
QO;khfghd999i;p0p100;2015;0.188404485583305;999;i
QO;khfghd999i;p0p100;2016;0.192245468497276;999;i
QO;khfghd999i;p0p100;2017;0.199978232383728;999;i
QO;khfghd999i;p0p100;2018;0.198563069105148;999;i
QO;khfghd999i;p0p100;2019;0.19776776432991;999;i
QO;khfghd999i;p0p100;2020;0.189390435814858;999;i
QO;ehfghn999i;p0p100;1990;127.35485873485;999;i
QO;ehfghn999i;p0p100;1991;129.251919706614;999;i
QO;ehfghn999i;p0p100;1992;145.961511552059;999;i
QO;ehfghn999i;p0p100;1993;149.738359872408;999;i
QO;ehfghn999i;p0p100;1994;146.690582480714;999;i
QO;ehfghn999i;p0p100;1995;157.369123503452;999;i
QO;ehfghn999i;p0p100;1996;159.010401435012;999;i
QO;ehfghn999i;p0p100;1997;177.162123442141;999;i
QO;ehfghn999i;p0p100;1998;184.932318138365;999;i
QO;ehfghn999i;p0p100;1999;195.141073703836;999;i
QO;ehfghn999i;p0p100;2000;203.728870699081;999;i
QO;ehfghn999i;p0p100;2001;190.668023883097;999;i
QO;ehfghn999i;p0p100;2002;198.191286179988;999;i
QO;ehfghn999i;p0p100;2003;207.619715375952;999;i
QO;ehfghn999i;p0p100;2004;205.885729240597;999;i
QO;ehfghn999i;p0p100;2005;231.414147661304;999;i
QO;ehfghn999i;p0p100;2006;237.421548131883;999;i
QO;ehfghn999i;p0p100;2007;249.253835640846;999;i
QO;ehfghn999i;p0p100;2008;268.090614104837;999;i
QO;ehfghn999i;p0p100;2009;275.610821159969;999;i
QO;ehfghn999i;p0p100;2010;281.927737813904;999;i
QO;ehfghn999i;p0p100;2011;286.846383412466;999;i
QO;ehfghn999i;p0p100;2012;296.921279207286;999;i
QO;ehfghn999i;p0p100;2013;298.942813280414;999;i
QO;ehfghn999i;p0p100;2014;313.122674135226;999;i
QO;ehfghn999i;p0p100;2015;312.480387564589;999;i
QO;ehfghn999i;p0p100;2016;327.578749393642;999;i
QO;ehfghn999i;p0p100;2017;334.777444643392;999;i
QO;ehfghn999i;p0p100;2018;331.769403928966;999;i
QO;ehfghn999i;p0p100;2019;334.012596717437;999;i
QO;ehfghn999i;p0p100;2020;325.662281799501;999;i
QO;entcar999i;p0p100;1980;174.262;999;i
QO;entcar999i;p0p100;1981;162.789;999;i
QO;entcar999i;p0p100;1982;166.08;999;i
QO;entcar999i;p0p100;1983;182.377;999;i
QO;entcar999i;p0p100;1984;206.703;999;i
QO;entcar999i;p0p100;1985;212.574;999;i
QO;entcar999i;p0p100;1986;232.129;999;i
QO;entcar999i;p0p100;1987;239.02;999;i
QO;entcar999i;p0p100;1988;245.332;999;i
QO;entcar999i;p0p100;1989;240.425;999;i
QO;entcar999i;p0p100;1990;232.87168424;999;i
QO;entcar999i;p0p100;1991;247.129578032;999;i
QO;entcar999i;p0p100;1992;245.391262016;999;i
QO;entcar999i;p0p100;1993;263.60098576;999;i
QO;entcar999i;p0p100;1994;267.167440192;999;i
QO;entcar999i;p0p100;1995;289.08424136;999;i
QO;entcar999i;p0p100;1996;289.254760304;999;i
QO;entcar999i;p0p100;1997;296.645106848;999;i
QO;entcar999i;p0p100;1998;332.306447392;999;i
QO;entcar999i;p0p100;1999;321.36888088;999;i
QO;entcar999i;p0p100;2000;339.13081728;999;i
QO;entcar999i;p0p100;2001;325.776016288;999;i
QO;entcar999i;p0p100;2002;335.984441776;999;i
QO;entcar999i;p0p100;2003;360.023059824;999;i
QO;entcar999i;p0p100;2004;370.299099952;999;i
QO;entcar999i;p0p100;2005;409.299472512;999;i
QO;entcar999i;p0p100;2006;417.380822432;999;i
QO;entcar999i;p0p100;2007;438.128436944;999;i
QO;entcar999i;p0p100;2008;458.144816272;999;i
QO;entcar999i;p0p100;2009;479.179517344;999;i
QO;entcar999i;p0p100;2010;483.189838272;999;i
QO;entcar999i;p0p100;2011;472.953397024;999;i
QO;entcar999i;p0p100;2012;498.069072224;999;i
QO;entcar999i;p0p100;2013;502.487760368;999;i
QO;entcar999i;p0p100;2014;532.4469204;999;i
QO;entcar999i;p0p100;2015;535.38658936;999;i
QO;entcar999i;p0p100;2016;545.595298128;999;i
QO;entcar999i;p0p100;2017;574.870986;999;i
QO;entcar999i;p0p100;2018;581.33545272;999;i
QO;entcar999i;p0p100;2019;587.225711483896;999;i
QO;entcar999i;p0p100;2020;572.545068696798;999;i
QO;khfgho999i;p0p100;1990;0.670858561992645;999;i
QO;khfgho999i;p0p100;1991;0.657490372657776;999;i
QO;khfgho999i;p0p100;1992;0.748421609401703;999;i
QO;khfgho999i;p0p100;1993;0.772701799869537;999;i
QO;khfgho999i;p0p100;1994;0.740466296672821;999;i
QO;khfgho999i;p0p100;1995;0.73324978351593;999;i
QO;khfgho999i;p0p100;1996;0.72113448381424;999;i
QO;khfgho999i;p0p100;1997;0.660826206207275;999;i
QO;khfgho999i;p0p100;1998;0.650517284870148;999;i
QO;khfgho999i;p0p100;1999;0.633480906486511;999;i
QO;khfgho999i;p0p100;2000;0.608179152011871;999;i
QO;khfgho999i;p0p100;2001;0.581040740013123;999;i
QO;khfgho999i;p0p100;2002;0.580447196960449;999;i
QO;khfgho999i;p0p100;2003;0.594496607780457;999;i
QO;khfgho999i;p0p100;2004;0.579748749732971;999;i
QO;khfgho999i;p0p100;2005;0.600476324558258;999;i
QO;khfgho999i;p0p100;2006;0.590334713459015;999;i
QO;khfgho999i;p0p100;2007;0.586556613445282;999;i
QO;khfgho999i;p0p100;2008;0.6726353764534;999;i
QO;khfgho999i;p0p100;2009;0.667024850845337;999;i
QO;khfgho999i;p0p100;2010;0.668123245239258;999;i
QO;khfgho999i;p0p100;2011;0.634537994861603;999;i
QO;khfgho999i;p0p100;2012;0.634185612201691;999;i
QO;khfgho999i;p0p100;2013;0.65306156873703;999;i
QO;khfgho999i;p0p100;2014;0.637983620166779;999;i
QO;khfgho999i;p0p100;2015;0.63448691368103;999;i
QO;khfgho999i;p0p100;2016;0.644738078117371;999;i
QO;khfgho999i;p0p100;2017;0.645955979824066;999;i
QO;khfgho999i;p0p100;2018;0.632061243057251;999;i
QO;khfgho999i;p0p100;2019;0.631216943264008;999;i
QO;khfgho999i;p0p100;2020;0.60447895526886;999;i
QO;khfghn999i;p0p100;1990;0.87687349319458;999;i
QO;khfghn999i;p0p100;1991;0.869835495948792;999;i
QO;khfghn999i;p0p100;1992;0.960875391960144;999;i
QO;khfghn999i;p0p100;1993;0.964962601661682;999;i
QO;khfghn999i;p0p100;1994;0.925995469093323;999;i
QO;khfghn999i;p0p100;1995;0.973645746707916;999;i
QO;khfghn999i;p0p100;1996;0.964731752872467;999;i
QO;khfghn999i;p0p100;1997;1.05452787876129;999;i
QO;khfghn999i;p0p100;1998;1.08039736747742;999;i
QO;khfghn999i;p0p100;1999;1.11930727958679;999;i
QO;khfghn999i;p0p100;2000;1.14762449264526;999;i
QO;khfghn999i;p0p100;2001;1.05502796173096;999;i
QO;khfghn999i;p0p100;2002;1.07739889621735;999;i
QO;khfghn999i;p0p100;2003;1.10892379283905;999;i
QO;khfghn999i;p0p100;2004;1.08044612407684;999;i
QO;khfghn999i;p0p100;2005;1.19311964511871;999;i
QO;khfghn999i;p0p100;2006;1.20256662368774;999;i
QO;khfghn999i;p0p100;2007;1.24019074440002;999;i
QO;khfghn999i;p0p100;2008;1.31003987789154;999;i
QO;khfghn999i;p0p100;2009;1.32214367389679;999;i
QO;khfghn999i;p0p100;2010;1.32703959941864;999;i
QO;khfghn999i;p0p100;2011;1.32413113117218;999;i
QO;khfghn999i;p0p100;2012;1.34363257884979;999;i
QO;khfghn999i;p0p100;2013;1.32588720321655;999;i
QO;khfghn999i;p0p100;2014;1.36132323741913;999;i
QO;khfghn999i;p0p100;2015;1.33210003376007;999;i
QO;khfghn999i;p0p100;2016;1.36982250213623;999;i
QO;khfghn999i;p0p100;2017;1.37370526790619;999;i
QO;khfghn999i;p0p100;2018;1.3363264799118;999;i
QO;khfghn999i;p0p100;2019;1.32102823257446;999;i
QO;khfghn999i;p0p100;2020;1.26507031917572;999;i
QO;knnghg999i;p0p100;1980;-0.90414822101593;999;i
QO;knnghg999i;p0p100;1981;-0.599139511585236;999;i
QO;knnghg999i;p0p100;1982;-0.566467702388763;999;i
QO;knnghg999i;p0p100;1983;-0.509601533412933;999;i
QO;knnghg999i;p0p100;1984;-0.495970338582993;999;i
QO;knnghg999i;p0p100;1985;-0.565389215946198;999;i
QO;knnghg999i;p0p100;1986;-0.588809311389923;999;i
QO;knnghg999i;p0p100;1987;-0.582365274429321;999;i
QO;knnghg999i;p0p100;1988;-0.450471341609955;999;i
QO;knnghg999i;p0p100;1989;-0.6870436668396;999;i
QO;knnghg999i;p0p100;1990;-0.832157969474792;999;i
QO;knnghg999i;p0p100;1991;-1.00775563716888;999;i
QO;knnghg999i;p0p100;1992;-1.00842142105102;999;i
QO;knnghg999i;p0p100;1993;-1.01434624195099;999;i
QO;knnghg999i;p0p100;1994;-1.10051691532135;999;i
