country;variable;percentile;year;value;age;pop
QP-MER;ahweal992j;p60p100;1995;395835.4;992;j
QP-MER;ahweal992j;p60p100;1996;418270.8;992;j
QP-MER;ahweal992j;p60p100;1997;447097.1;992;j
QP-MER;ahweal992j;p60p100;1998;489620.3;992;j
QP-MER;ahweal992j;p60p100;1999;531830.4;992;j
QP-MER;ahweal992j;p60p100;2000;543937.3;992;j
QP-MER;ahweal992j;p60p100;2001;533030.8;992;j
QP-MER;ahweal992j;p60p100;2002;517514.6;992;j
QP-MER;ahweal992j;p60p100;2003;529333.2;992;j
QP-MER;ahweal992j;p60p100;2004;582601.1;992;j
QP-MER;ahweal992j;p60p100;2005;626623.1;992;j
QP-MER;ahweal992j;p60p100;2006;651723.3;992;j
QP-MER;ahweal992j;p60p100;2007;658758.8;992;j
QP-MER;ahweal992j;p60p100;2008;594791.4;992;j
QP-MER;ahweal992j;p60p100;2009;539063.5;992;j
QP-MER;ahweal992j;p60p100;2010;557848.2;992;j
QP-MER;ahweal992j;p60p100;2011;563481.4;992;j
QP-MER;ahweal992j;p60p100;2012;570074.0;992;j
QP-MER;ahweal992j;p60p100;2013;619357.6;992;j
QP-MER;ahweal992j;p60p100;2014;664178.8;992;j
QP-MER;ahweal992j;p60p100;2015;693999.5;992;j
QP-MER;ahweal992j;p60p100;2016;707481.4;992;j
QP-MER;ahweal992j;p60p100;2017;741762.0;992;j
QP-MER;ahweal992j;p60p100;2018;753777.4;992;j
QP-MER;ahweal992j;p60p100;2019;782636.7;992;j
QP-MER;ahweal992j;p60p100;2020;870189.0;992;j
QP-MER;ahweal992j;p60p100;2021;980063.5;992;j
QP-MER;aptinc992j;p25p26;1980;14328.7;992;j
QP-MER;aptinc992j;p25p26;1981;14234.3;992;j
QP-MER;aptinc992j;p25p26;1982;13401.2;992;j
QP-MER;aptinc992j;p25p26;1983;12987.2;992;j
QP-MER;aptinc992j;p25p26;1984;13436.8;992;j
QP-MER;aptinc992j;p25p26;1985;13669.5;992;j
QP-MER;aptinc992j;p25p26;1986;13643.9;992;j
QP-MER;aptinc992j;p25p26;1987;14256.8;992;j
QP-MER;aptinc992j;p25p26;1988;14529.0;992;j
QP-MER;aptinc992j;p25p26;1989;14870.6;992;j
QP-MER;aptinc992j;p25p26;1990;14915.5;992;j
QP-MER;aptinc992j;p25p26;1991;14425.9;992;j
QP-MER;aptinc992j;p25p26;1992;13837.5;992;j
QP-MER;aptinc992j;p25p26;1993;13793.9;992;j
