country;variable;percentile;year;value;age;pop
QP;kntcna999i;p0p100;1990;16.738712310791;999;i
QP;kntcna999i;p0p100;1991;16.3446388244629;999;i
QP;kntcna999i;p0p100;1992;16.4764442443848;999;i
QP;kntcna999i;p0p100;1993;16.5581188201904;999;i
QP;kntcna999i;p0p100;1994;16.6697063446045;999;i
QP;kntcna999i;p0p100;1995;16.6853790283203;999;i
QP;kntcna999i;p0p100;1996;17.0605754852295;999;i
QP;kntcna999i;p0p100;1997;17.1108417510986;999;i
QP;kntcna999i;p0p100;1998;17.0711059570312;999;i
QP;kntcna999i;p0p100;1999;17.1383113861084;999;i
QP;kntcna999i;p0p100;2000;17.4607105255127;999;i
QP;kntcna999i;p0p100;2001;17.0104160308838;999;i
QP;kntcna999i;p0p100;2002;16.9725761413574;999;i
QP;kntcna999i;p0p100;2003;16.9863910675049;999;i
QP;kntcna999i;p0p100;2004;17.125129699707;999;i
QP;kntcna999i;p0p100;2005;17.0231132507324;999;i
QP;kntcna999i;p0p100;2006;16.6110877990723;999;i
QP;kntcna999i;p0p100;2007;16.7616271972656;999;i
QP;kntcna999i;p0p100;2008;15.995135307312;999;i
QP;kntcna999i;p0p100;2009;14.4979076385498;999;i
QP;kntcna999i;p0p100;2010;15.0470552444458;999;i
QP;kntcna999i;p0p100;2011;14.6161880493164;999;i
QP;kntcna999i;p0p100;2012;13.8838787078857;999;i
QP;kntcna999i;p0p100;2013;14.1518440246582;999;i
QP;kntcna999i;p0p100;2014;14.1108636856079;999;i
QP;kntcna999i;p0p100;2015;13.6658430099487;999;i
QP;kntcna999i;p0p100;2016;13.2670574188232;999;i
QP;kntcna999i;p0p100;2017;13.1128883361816;999;i
QP;kntcna999i;p0p100;2018;13.4520511627197;999;i
QP;kntcna999i;p0p100;2019;13.0478534698486;999;i
QP;kntcna999i;p0p100;2020;11.6806631088257;999;i
QP;knncar999i;p0p100;1990;-0.202045768499374;999;i
QP;knncar999i;p0p100;1991;-0.272900551557541;999;i
QP;knncar999i;p0p100;1992;-0.0125309135764837;999;i
QP;knncar999i;p0p100;1993;-0.192328423261643;999;i
QP;knncar999i;p0p100;1994;-0.192674338817596;999;i
QP;knncar999i;p0p100;1995;-0.209823980927467;999;i
QP;knncar999i;p0p100;1996;-0.290749400854111;999;i
QP;knncar999i;p0p100;1997;-0.132264018058777;999;i
QP;knncar999i;p0p100;1998;0.243921294808388;999;i
QP;knncar999i;p0p100;1999;0.482875734567642;999;i
QP;knncar999i;p0p100;2000;0.769566655158997;999;i
QP;knncar999i;p0p100;2001;0.758742332458496;999;i
QP;knncar999i;p0p100;2002;1.04835617542267;999;i
QP;knncar999i;p0p100;2003;1.01141321659088;999;i
QP;knncar999i;p0p100;2004;1.29106962680817;999;i
QP;knncar999i;p0p100;2005;1.38319277763367;999;i
QP;knncar999i;p0p100;2006;1.59595203399658;999;i
QP;knncar999i;p0p100;2007;1.44705247879028;999;i
QP;knncar999i;p0p100;2008;1.17367017269134;999;i
QP;knncar999i;p0p100;2009;0.950345695018768;999;i
QP;knncar999i;p0p100;2010;1.01876103878021;999;i
QP;knncar999i;p0p100;2011;1.10093677043915;999;i
QP;knncar999i;p0p100;2012;1.1287407875061;999;i
QP;knncar999i;p0p100;2013;0.956520676612854;999;i
QP;knncar999i;p0p100;2014;0.893593847751617;999;i
QP;knncar999i;p0p100;2015;0.901365697383881;999;i
QP;knncar999i;p0p100;2016;0.884350836277008;999;i
QP;knncar999i;p0p100;2017;0.940492987632751;999;i
QP;knncar999i;p0p100;2018;0.945937931537628;999;i
QP;knncar999i;p0p100;2019;0.916722476482391;999;i
QP;knncar999i;p0p100;2020;0.820665776729584;999;i
QP;knngho999i;p0p100;1990;-0.298806637525559;999;i
QP;knngho999i;p0p100;1991;-0.268068552017212;999;i
QP;knngho999i;p0p100;1992;-0.245922461152077;999;i
QP;knngho999i;p0p100;1993;-0.272537976503372;999;i
QP;knngho999i;p0p100;1994;-0.147911831736565;999;i
QP;knngho999i;p0p100;1995;-0.169022291898727;999;i
QP;knngho999i;p0p100;1996;-0.0953325852751732;999;i
QP;knngho999i;p0p100;1997;0.101607628166676;999;i
QP;knngho999i;p0p100;1998;0.361347615718842;999;i
QP;knngho999i;p0p100;1999;0.433339536190033;999;i
QP;knngho999i;p0p100;2000;0.652207851409912;999;i
QP;knngho999i;p0p100;2001;0.516670167446136;999;i
QP;knngho999i;p0p100;2002;0.506451547145844;999;i
QP;knngho999i;p0p100;2003;0.517417311668396;999;i
QP;knngho999i;p0p100;2004;0.672372162342072;999;i
QP;knngho999i;p0p100;2005;0.737737059593201;999;i
QP;knngho999i;p0p100;2006;0.745000779628754;999;i
QP;knngho999i;p0p100;2007;0.644187211990356;999;i
QP;knngho999i;p0p100;2008;0.54594486951828;999;i
QP;knngho999i;p0p100;2009;0.340755641460419;999;i
QP;knngho999i;p0p100;2010;0.361239343881607;999;i
QP;knngho999i;p0p100;2011;0.375604182481766;999;i
QP;knngho999i;p0p100;2012;0.376382559537888;999;i
QP;knngho999i;p0p100;2013;0.268986821174622;999;i
QP;knngho999i;p0p100;2014;0.208106383681297;999;i
QP;knngho999i;p0p100;2015;0.265243142843247;999;i
QP;knngho999i;p0p100;2016;0.264429658651352;999;i
QP;knngho999i;p0p100;2017;0.261027455329895;999;i
