country;variable;percentile;year;value;age;pop
QQ-MER;wwealp999i;p0p100;1995;1.92141389846802;999;i
QQ-MER;wwealp999i;p0p100;1996;1.96114993095398;999;i
QQ-MER;wwealp999i;p0p100;1997;2.01214838027954;999;i
QQ-MER;wwealp999i;p0p100;1998;1.99197280406952;999;i
QQ-MER;wwealp999i;p0p100;1999;1.96870934963226;999;i
QQ-MER;wwealp999i;p0p100;2000;1.98608982563019;999;i
QQ-MER;wwealp999i;p0p100;2001;2.02583384513855;999;i
QQ-MER;wwealp999i;p0p100;2002;2.07478761672974;999;i
QQ-MER;wwealp999i;p0p100;2003;2.13934278488159;999;i
QQ-MER;wwealp999i;p0p100;2004;2.15795636177063;999;i
QQ-MER;wwealp999i;p0p100;2005;2.18402290344238;999;i
QQ-MER;wwealp999i;p0p100;2006;2.15231943130493;999;i
QQ-MER;wwealp999i;p0p100;2007;2.1586639881134;999;i
QQ-MER;wwealp999i;p0p100;2008;2.17471575737;999;i
QQ-MER;wwealp999i;p0p100;2009;2.20006608963013;999;i
QQ-MER;wwealp999i;p0p100;2010;2.19252038002014;999;i
QQ-MER;wwealp999i;p0p100;2011;2.16567158699036;999;i
QQ-MER;wwealp999i;p0p100;2012;2.11981987953186;999;i
QQ-MER;wwealp999i;p0p100;2013;2.09923195838928;999;i
QQ-MER;wwealp999i;p0p100;2014;2.15940046310425;999;i
QQ-MER;wwealp999i;p0p100;2015;2.24276781082153;999;i
QQ-MER;wwealp999i;p0p100;2016;2.29348731040955;999;i
QQ-MER;wwealp999i;p0p100;2017;2.33653664588928;999;i
QQ-MER;wwealp999i;p0p100;2018;2.37747502326965;999;i
QQ-MER;wwealp999i;p0p100;2019;2.45804619789123;999;i
QQ-MER;wwealp999i;p0p100;2020;2.53010249137878;999;i
QQ-MER;wwealp999i;p0p100;2021;2.59102463722229;999;i
QQ-MER;mgweal999i;p0p100;1995;-1100254853.0;999;i
QQ-MER;mgweal999i;p0p100;1996;-704258145.0;999;i
QQ-MER;mgweal999i;p0p100;1997;-916461962.0;999;i
QQ-MER;mgweal999i;p0p100;1998;-1050355198.0;999;i
QQ-MER;mgweal999i;p0p100;1999;-770421707.0;999;i
QQ-MER;mgweal999i;p0p100;2000;-564567752.0;999;i
QQ-MER;mgweal999i;p0p100;2001;-782010484.0;999;i
QQ-MER;mgweal999i;p0p100;2002;-762600069.0;999;i
QQ-MER;mgweal999i;p0p100;2003;-580756689.0;999;i
QQ-MER;mgweal999i;p0p100;2004;-79857075.0;999;i
QQ-MER;mgweal999i;p0p100;2005;1130043546.0;999;i
QQ-MER;mgweal999i;p0p100;2006;3112144016.0;999;i
QQ-MER;mgweal999i;p0p100;2007;3853031070.0;999;i
QQ-MER;mgweal999i;p0p100;2008;4283135144.0;999;i
QQ-MER;mgweal999i;p0p100;2009;4242330675.0;999;i
QQ-MER;mgweal999i;p0p100;2010;4923184343.0;999;i
QQ-MER;mgweal999i;p0p100;2011;4815580965.0;999;i
QQ-MER;mgweal999i;p0p100;2012;3928105521.0;999;i
QQ-MER;mgweal999i;p0p100;2013;2881266510.0;999;i
QQ-MER;mgweal999i;p0p100;2014;3063734252.0;999;i
QQ-MER;mgweal999i;p0p100;2015;2795199181.0;999;i
QQ-MER;mgweal999i;p0p100;2016;2025192876.0;999;i
QQ-MER;mgweal999i;p0p100;2017;1541156176.0;999;i
QQ-MER;mgweal999i;p0p100;2018;912881131.0;999;i
QQ-MER;mgweal999i;p0p100;2019;6187258.0;999;i
QQ-MER;mgweal999i;p0p100;2020;-552539217.0;999;i
QQ-MER;mgweal999i;p0p100;2021;-1191312398.0;999;i
QQ-MER;mndpro999i;p0p100;1960;2949253440.0;999;i
QQ-MER;mndpro999i;p0p100;1961;3114150848.0;999;i
QQ-MER;mndpro999i;p0p100;1962;3294592576.0;999;i
QQ-MER;mndpro999i;p0p100;1963;3447462144.0;999;i
QQ-MER;mndpro999i;p0p100;1964;3720277504.0;999;i
QQ-MER;mndpro999i;p0p100;1965;3996711232.0;999;i
QQ-MER;mndpro999i;p0p100;1966;4181547712.0;999;i
QQ-MER;mndpro999i;p0p100;1967;4436548160.0;999;i
QQ-MER;mndpro999i;p0p100;1968;4667785792.0;999;i
QQ-MER;mndpro999i;p0p100;1969;5003142400.0;999;i
QQ-MER;mndpro999i;p0p100;1970;6935789230.0;999;i
QQ-MER;mndpro999i;p0p100;1971;7309299381.0;999;i
QQ-MER;mndpro999i;p0p100;1972;7549036745.0;999;i
QQ-MER;mndpro999i;p0p100;1973;8229432932.0;999;i
QQ-MER;mndpro999i;p0p100;1974;8564004859.0;999;i
QQ-MER;mndpro999i;p0p100;1975;8453191402.0;999;i
QQ-MER;mndpro999i;p0p100;1976;8349297473.0;999;i
QQ-MER;mndpro999i;p0p100;1977;8523714512.0;999;i
QQ-MER;mndpro999i;p0p100;1978;9036753842.0;999;i
QQ-MER;mndpro999i;p0p100;1979;9509426096.0;999;i
QQ-MER;mndpro999i;p0p100;1980;9221050622.0;999;i
QQ-MER;mndpro999i;p0p100;1981;9258420103.0;999;i
QQ-MER;mndpro999i;p0p100;1982;9127318804.0;999;i
QQ-MER;mndpro999i;p0p100;1983;9308602757.0;999;i
QQ-MER;mndpro999i;p0p100;1984;9441050116.0;999;i
QQ-MER;mndpro999i;p0p100;1985;9611404463.0;999;i
QQ-MER;mndpro999i;p0p100;1986;10063998103.0;999;i
QQ-MER;mndpro999i;p0p100;1987;10141039563.0;999;i
QQ-MER;mndpro999i;p0p100;1988;10389679824.0;999;i
QQ-MER;mndpro999i;p0p100;1989;10362786986.0;999;i
QQ-MER;mndpro999i;p0p100;1990;10273746952.0;999;i
QQ-MER;mndpro999i;p0p100;1991;10784027454.0;999;i
QQ-MER;mndpro999i;p0p100;1992;11984947654.0;999;i
QQ-MER;mndpro999i;p0p100;1993;13564368352.0;999;i
QQ-MER;mndpro999i;p0p100;1994;14392570446.0;999;i
QQ-MER;mndpro999i;p0p100;1995;14271483882.0;999;i
QQ-MER;mndpro999i;p0p100;1996;15209190906.0;999;i
QQ-MER;mndpro999i;p0p100;1997;14828812596.0;999;i
QQ-MER;mndpro999i;p0p100;1998;14594392292.0;999;i
QQ-MER;mndpro999i;p0p100;1999;15106631064.0;999;i
QQ-MER;mndpro999i;p0p100;2000;14769609844.0;999;i
QQ-MER;mndpro999i;p0p100;2001;14773105692.0;999;i
QQ-MER;mndpro999i;p0p100;2002;14891194592.0;999;i
QQ-MER;mndpro999i;p0p100;2003;15193057280.0;999;i
QQ-MER;mndpro999i;p0p100;2004;15721983116.0;999;i
QQ-MER;mndpro999i;p0p100;2005;16491805870.0;999;i
QQ-MER;mndpro999i;p0p100;2006;17212686470.0;999;i
QQ-MER;mndpro999i;p0p100;2007;18123577650.0;999;i
QQ-MER;mndpro999i;p0p100;2008;18144505846.0;999;i
QQ-MER;mndpro999i;p0p100;2009;18884929262.0;999;i
QQ-MER;mndpro999i;p0p100;2010;20403340560.0;999;i
