country;variable;percentile;year;value;age;pop
QR-MER;mgdpro999i;p0p100;1950;243427550208.0;999;i
QR-MER;mgdpro999i;p0p100;1951;255730039168.0;999;i
QR-MER;mgdpro999i;p0p100;1952;265257232256.0;999;i
QR-MER;mgdpro999i;p0p100;1953;277977017472.0;999;i
QR-MER;mgdpro999i;p0p100;1954;293902171136.0;999;i
QR-MER;mgdpro999i;p0p100;1955;313216296960.0;999;i
QR-MER;mgdpro999i;p0p100;1956;324005656704.0;999;i
QR-MER;mgdpro999i;p0p100;1957;350191943680.0;999;i
QR-MER;mgdpro999i;p0p100;1958;368637918208.0;999;i
QR-MER;mgdpro999i;p0p100;1959;377694980608.0;999;i
QR-MER;mgdpro999i;p0p100;1960;402931318848.0;999;i
QR-MER;mgdpro999i;p0p100;1961;431912282816.0;999;i
QR-MER;mgdpro999i;p0p100;1962;454013655808.0;999;i
QR-MER;mgdpro999i;p0p100;1963;458262968256.0;999;i
QR-MER;mgdpro999i;p0p100;1964;488431550144.0;999;i
QR-MER;mgdpro999i;p0p100;1965;510379341952.0;999;i
QR-MER;mgdpro999i;p0p100;1966;531651469248.0;999;i
QR-MER;mgdpro999i;p0p100;1967;550347062912.0;999;i
QR-MER;mgdpro999i;p0p100;1968;587084088000.0;999;i
QR-MER;mgdpro999i;p0p100;1969;625104416000.0;999;i
QR-MER;mgdpro999i;p0p100;1970;668551035136.0;999;i
QR-MER;mgdpro999i;p0p100;1971;712454374272.0;999;i
QR-MER;mgdpro999i;p0p100;1972;760226766080.0;999;i
QR-MER;mgdpro999i;p0p100;1973;829290377472.0;999;i
QR-MER;mgdpro999i;p0p100;1974;880725171456.0;999;i
QR-MER;mgdpro999i;p0p100;1975;907837533184.0;999;i
QR-MER;mgdpro999i;p0p100;1976;967452878848.0;999;i
QR-MER;mgdpro999i;p0p100;1977;1018459940608.0;999;i
QR-MER;mgdpro999i;p0p100;1978;1049317256448.0;999;i
QR-MER;mgdpro999i;p0p100;1979;1111389510912.0;999;i
QR-MER;mgdpro999i;p0p100;1980;1167555638272.0;999;i
QR-MER;mgdpro999i;p0p100;1981;1144138713216.0;999;i
QR-MER;mgdpro999i;p0p100;1982;1135601132032.0;999;i
QR-MER;mgdpro999i;p0p100;1983;1108555128960.0;999;i
QR-MER;mgdpro999i;p0p100;1984;1149943717760.0;999;i
QR-MER;mgdpro999i;p0p100;1985;1194592622976.0;999;i
QR-MER;mgdpro999i;p0p100;1986;1276679865088.0;999;i
QR-MER;mgdpro999i;p0p100;1987;1326651418368.0;999;i
QR-MER;mgdpro999i;p0p100;1988;1339554618496.0;999;i
QR-MER;mgdpro999i;p0p100;1989;1336247097984.0;999;i
QR-MER;mgdpro999i;p0p100;1990;1317989428352.0;999;i
QR-MER;mgdpro999i;p0p100;1991;1369073254784.0;999;i
QR-MER;mgdpro999i;p0p100;1992;1405519416192.0;999;i
QR-MER;mgdpro999i;p0p100;1993;1470163424640.0;999;i
QR-MER;mgdpro999i;p0p100;1994;1539405032704.0;999;i
QR-MER;mgdpro999i;p0p100;1995;1593167471360.0;999;i
QR-MER;mgdpro999i;p0p100;1996;1631981977984.0;999;i
QR-MER;mgdpro999i;p0p100;1997;1711173595904.0;999;i
QR-MER;mgdpro999i;p0p100;1998;1729096051584.0;999;i
QR-MER;mgdpro999i;p0p100;1999;1705702642688.0;999;i
QR-MER;mgdpro999i;p0p100;2000;1782555463808.0;999;i
QR-MER;mgdpro999i;p0p100;2001;1799233165568.0;999;i
QR-MER;mgdpro999i;p0p100;2002;1793182683904.0;999;i
QR-MER;mgdpro999i;p0p100;2003;1819444917760.0;999;i
QR-MER;mgdpro999i;p0p100;2004;1978483559552.0;999;i
QR-MER;mgdpro999i;p0p100;2005;2082575552128.0;999;i
QR-MER;mgdpro999i;p0p100;2006;2201736791424.0;999;i
QR-MER;mgdpro999i;p0p100;2007;2343197781248.0;999;i
QR-MER;mgdpro999i;p0p100;2008;2470442645248.0;999;i
QR-MER;mgdpro999i;p0p100;2009;2445964081152.0;999;i
QR-MER;mgdpro999i;p0p100;2010;2610736808960.0;999;i
QR-MER;mgdpro999i;p0p100;2011;2750528562432.0;999;i
QR-MER;mgdpro999i;p0p100;2012;2831344969984.0;999;i
QR-MER;mgdpro999i;p0p100;2013;2932753265408.0;999;i
QR-MER;mgdpro999i;p0p100;2014;2940441745664.0;999;i
QR-MER;mgdpro999i;p0p100;2015;2899060015872.0;999;i
QR-MER;mgdpro999i;p0p100;2016;2808600666368.0;999;i
QR-MER;mgdpro999i;p0p100;2017;2811176292096.0;999;i
QR-MER;mgdpro999i;p0p100;2018;2805861267968.0;999;i
QR-MER;mgdpro999i;p0p100;2019;2782012850944.0;999;i
QR-MER;mgdpro999i;p0p100;2020;2585444292096.0;999;i
QR-MER;mgdpro999i;p0p100;2021;2609971643136.0;999;i
QR-MER;mpweal999i;p0p100;1995;2964048327936.0;999;i
QR-MER;mpweal999i;p0p100;1996;3080634166528.0;999;i
QR-MER;mpweal999i;p0p100;1997;3281333459456.0;999;i
QR-MER;mpweal999i;p0p100;1998;3370523630336.0;999;i
QR-MER;mpweal999i;p0p100;1999;3358896575232.0;999;i
QR-MER;mpweal999i;p0p100;2000;3508946819840.0;999;i
QR-MER;mpweal999i;p0p100;2001;3653614230528.0;999;i
QR-MER;mpweal999i;p0p100;2002;3559231234304.0;999;i
QR-MER;mpweal999i;p0p100;2003;3595144447232.0;999;i
QR-MER;mpweal999i;p0p100;2004;4016441513216.0;999;i
QR-MER;mpweal999i;p0p100;2005;4329222870016.0;999;i
QR-MER;mpweal999i;p0p100;2006;4591720167424.0;999;i
QR-MER;mpweal999i;p0p100;2007;5067708777984.0;999;i
QR-MER;mpweal999i;p0p100;2008;5511058078720.0;999;i
QR-MER;mpweal999i;p0p100;2009;5846180264960.0;999;i
QR-MER;mpweal999i;p0p100;2010;6400096543232.0;999;i
QR-MER;mpweal999i;p0p100;2011;6939426048000.0;999;i
QR-MER;mpweal999i;p0p100;2012;7342642977792.0;999;i
QR-MER;mpweal999i;p0p100;2013;7691729417216.0;999;i
QR-MER;mpweal999i;p0p100;2014;7828841705472.0;999;i
QR-MER;mpweal999i;p0p100;2015;7716786735104.0;999;i
QR-MER;mpweal999i;p0p100;2016;7349308242432.0;999;i
QR-MER;mpweal999i;p0p100;2017;7193957286912.0;999;i
QR-MER;mpweal999i;p0p100;2018;6941267294720.0;999;i
QR-MER;mpweal999i;p0p100;2019;6872047445504.0;999;i
QR-MER;mpweal999i;p0p100;2020;6534628221440.0;999;i
QR-MER;mpweal999i;p0p100;2021;6667535465984.0;999;i
QR-MER;wwealh999i;p0p100;1995;1.54659748077393;999;i
