country;variable;percentile;year;value;age;pop
QR;entgho999i;p0p100;1980;697.57;999;i
QR;entgho999i;p0p100;1981;693.37;999;i
QR;entgho999i;p0p100;1982;696.71;999;i
QR;entgho999i;p0p100;1983;693.25;999;i
QR;entgho999i;p0p100;1984;702.32;999;i
QR;entgho999i;p0p100;1985;708.16;999;i
QR;entgho999i;p0p100;1986;724.62;999;i
QR;entgho999i;p0p100;1987;742.89;999;i
QR;entgho999i;p0p100;1988;756.31;999;i
QR;entgho999i;p0p100;1989;768.15;999;i
QR;entgho999i;p0p100;1990;770.81;999;i
QR;entgho999i;p0p100;1991;783.48;999;i
QR;entgho999i;p0p100;1992;798.97;999;i
QR;entgho999i;p0p100;1993;814.6;999;i
QR;entgho999i;p0p100;1994;827.28;999;i
QR;entgho999i;p0p100;1995;850.37;999;i
QR;entgho999i;p0p100;1996;850.92;999;i
QR;entgho999i;p0p100;1997;873.48;999;i
QR;entgho999i;p0p100;1998;886.66;999;i
QR;entgho999i;p0p100;1999;888.86;999;i
QR;entgho999i;p0p100;2000;902.83;999;i
QR;entgho999i;p0p100;2001;918.94;999;i
QR;entgho999i;p0p100;2002;931.57;999;i
QR;entgho999i;p0p100;2003;972.22;999;i
QR;entgho999i;p0p100;2004;1005.4;999;i
QR;entgho999i;p0p100;2005;1028.97;999;i
QR;entgho999i;p0p100;2006;1037.39;999;i
QR;entgho999i;p0p100;2007;1031.75;999;i
QR;entgho999i;p0p100;2008;1039.06;999;i
QR;entgho999i;p0p100;2009;1045.68;999;i
QR;entgho999i;p0p100;2010;1060.03;999;i
QR;entgho999i;p0p100;2011;1084.35;999;i
QR;entgho999i;p0p100;2012;1102.35;999;i
QR;entgho999i;p0p100;2013;1120.69;999;i
QR;entgho999i;p0p100;2014;1140.61;999;i
QR;entgho999i;p0p100;2015;1142.5;999;i
QR;entgho999i;p0p100;2016;1154.56;999;i
QR;entgho999i;p0p100;2017;1175.93;999;i
QR;entgho999i;p0p100;2018;1172.9;999;i
QR;entgho999i;p0p100;2019;1168.04185966291;999;i
QR;entgho999i;p0p100;2020;1109.63976667976;999;i
QR;ennghg999i;p0p100;1980;-39.4918106780368;999;i
QR;ennghg999i;p0p100;1981;-33.7706093404569;999;i
QR;ennghg999i;p0p100;1982;-46.3351694315705;999;i
QR;ennghg999i;p0p100;1983;-74.2059942243002;999;i
QR;ennghg999i;p0p100;1984;-86.2747058927579;999;i
QR;ennghg999i;p0p100;1985;-86.9663550313491;999;i
QR;ennghg999i;p0p100;1986;-74.9143339456518;999;i
QR;ennghg999i;p0p100;1987;-82.6171483526163;999;i
QR;ennghg999i;p0p100;1988;-91.9215304765619;999;i
QR;ennghg999i;p0p100;1989;-100.479735198464;999;i
QR;ennghg999i;p0p100;1990;-84.3986238031843;999;i
QR;ennghg999i;p0p100;1991;-75.2436048299615;999;i
QR;ennghg999i;p0p100;1992;-63.5343932539216;999;i
QR;ennghg999i;p0p100;1993;-61.6319521242525;999;i
QR;ennghg999i;p0p100;1994;-55.4796721013496;999;i
QR;ennghg999i;p0p100;1995;-42.6930294548817;999;i
QR;ennghg999i;p0p100;1996;-43.7200776202007;999;i
QR;ennghg999i;p0p100;1997;-38.4423917768132;999;i
QR;ennghg999i;p0p100;1998;-38.6100093246908;999;i
QR;ennghg999i;p0p100;1999;-134.676189580494;999;i
QR;ennghg999i;p0p100;2000;-130.589696633623;999;i
QR;ennghg999i;p0p100;2001;-145.628341533873;999;i
QR;ennghg999i;p0p100;2002;-235.130904630327;999;i
QR;ennghg999i;p0p100;2003;-224.115798853359;999;i
QR;ennghg999i;p0p100;2004;-228.839339013002;999;i
QR;ennghg999i;p0p100;2005;-208.667559296529;999;i
QR;ennghg999i;p0p100;2006;-183.088868654048;999;i
QR;ennghg999i;p0p100;2007;-126.255287178665;999;i
QR;ennghg999i;p0p100;2008;-75.2179435920738;999;i
QR;ennghg999i;p0p100;2009;-64.9598792592819;999;i
QR;ennghg999i;p0p100;2010;-45.2076823335688;999;i
QR;ennghg999i;p0p100;2011;-13.3676143824157;999;i
QR;ennghg999i;p0p100;2012;-15.9795050362253;999;i
QR;ennghg999i;p0p100;2013;-15.3284550793703;999;i
QR;ennghg999i;p0p100;2014;-11.1238769633613;999;i
QR;ennghg999i;p0p100;2015;-10.6456318640092;999;i
QR;ennghg999i;p0p100;2016;-48.7173141765505;999;i
QR;ennghg999i;p0p100;2017;-56.2746664746809;999;i
QR;ennghg999i;p0p100;2018;-76.1223939100622;999;i
QR;ennghg999i;p0p100;2019;-69.4669199256872;999;i
QR;ennghg999i;p0p100;2020;-65.9935739294029;999;i
QR;ehfcar999i;p0p100;1990;267.402206868503;999;i
QR;ehfcar999i;p0p100;1991;279.664853645106;999;i
QR;ehfcar999i;p0p100;1992;287.199929739382;999;i
QR;ehfcar999i;p0p100;1993;297.798164589039;999;i
QR;ehfcar999i;p0p100;1994;306.617179823727;999;i
QR;ehfcar999i;p0p100;1995;331.407180782139;999;i
QR;ehfcar999i;p0p100;1996;348.440134300165;999;i
QR;ehfcar999i;p0p100;1997;378.965584123577;999;i
QR;ehfcar999i;p0p100;1998;411.441026594026;999;i
QR;ehfcar999i;p0p100;1999;369.92377065082;999;i
QR;ehfcar999i;p0p100;2000;352.474787505282;999;i
QR;ehfcar999i;p0p100;2001;353.341449181811;999;i
QR;ehfcar999i;p0p100;2002;309.867087177406;999;i
QR;ehfcar999i;p0p100;2003;334.624837735912;999;i
QR;ehfcar999i;p0p100;2004;334.089978126678;999;i
QR;ehfcar999i;p0p100;2005;363.100125645011;999;i
QR;ehfcar999i;p0p100;2006;367.809079430319;999;i
QR;ehfcar999i;p0p100;2007;390.292074873615;999;i
QR;ehfcar999i;p0p100;2008;438.180804338124;999;i
QR;ehfcar999i;p0p100;2009;422.050962645909;999;i
QR;ehfcar999i;p0p100;2010;477.138446192702;999;i
QR;ehfcar999i;p0p100;2011;486.465519740196;999;i
QR;ehfcar999i;p0p100;2012;538.526468126092;999;i
QR;ehfcar999i;p0p100;2013;554.301565003806;999;i
QR;ehfcar999i;p0p100;2014;578.899781378827;999;i
QR;ehfcar999i;p0p100;2015;560.656667538962;999;i
QR;ehfcar999i;p0p100;2016;550.034596356502;999;i
QR;ehfcar999i;p0p100;2017;545.532190388806;999;i
QR;ehfcar999i;p0p100;2018;531.702124566137;999;i
QR;ehfcar999i;p0p100;2019;525.482914664974;999;i
QR;ehfcar999i;p0p100;2020;499.208768931725;999;i
QR;entgna999i;p0p100;1990;1250.59934092705;999;i
QR;entgna999i;p0p100;1991;1268.76201354215;999;i
QR;entgna999i;p0p100;1992;1291.17599668403;999;i
QR;entgna999i;p0p100;1993;1335.94052820935;999;i
QR;entgna999i;p0p100;1994;1363.7554777139;999;i
QR;entgna999i;p0p100;1995;1414.14231884125;999;i
QR;entgna999i;p0p100;1996;1440.12819784242;999;i
QR;entgna999i;p0p100;1997;1496.53096299003;999;i
QR;entgna999i;p0p100;1998;1555.2023043192;999;i
QR;entgna999i;p0p100;1999;1571.5392412988;999;i
