country;variable;percentile;year;value;age;pop
QS-MER;bptinc992j;p2p100;1983;-1526307.0;992;j
QS-MER;bptinc992j;p2p100;1984;-7666.92578125;992;j
QS-MER;bptinc992j;p2p100;1986;-2328074.5;992;j
QS-MER;bptinc992j;p2p100;1993;-12304.2509765625;992;j
QS-MER;bptinc992j;p2p100;1994;-3334354.5;992;j
QS-MER;bptinc992j;p2p100;1997;-4590.8740234375;992;j
QS-MER;bptinc992j;p2p100;1998;-4876705.5;992;j
QS-MER;bptinc992j;p2p100;2000;-3209.35424804688;992;j
QS-MER;bptinc992j;p2p100;2002;-3677051.5;992;j
QS-MER;bptinc992j;p2p100;2006;-2240616.75;992;j
QS-MER;bptinc992j;p2p100;2007;-27684128.0;992;j
QS-MER;bptinc992j;p2p100;2008;-8369.578125;992;j
QS-MER;bptinc992j;p2p100;2010;-13108.40625;992;j
QS-MER;bptinc992j;p2p100;2011;-18484.12109375;992;j
QS-MER;bptinc992j;p2p100;2013;-21642.7421875;992;j
QS-MER;bptinc992j;p2p100;2016;-11391.1083984375;992;j
QS-MER;bptinc992j;p2p100;2017;-4183247.25;992;j
QS-MER;bptinc992j;p2p100;2018;-11109.1767578125;992;j
QS-MER;bptinc992j;p2p100;2020;-6269327.5;992;j
QS-MER;aptinc992j;p22p100;1980;2030.2;992;j
QS-MER;aptinc992j;p22p100;1981;2048.3;992;j
QS-MER;aptinc992j;p22p100;1982;2050.4;992;j
QS-MER;aptinc992j;p22p100;1983;2111.5;992;j
QS-MER;aptinc992j;p22p100;1984;2103.4;992;j
QS-MER;aptinc992j;p22p100;1985;2039.3;992;j
QS-MER;aptinc992j;p22p100;1986;2011.0;992;j
QS-MER;aptinc992j;p22p100;1987;2117.5;992;j
QS-MER;aptinc992j;p22p100;1988;2254.1;992;j
QS-MER;aptinc992j;p22p100;1989;2404.4;992;j
QS-MER;aptinc992j;p22p100;1990;2539.6;992;j
QS-MER;aptinc992j;p22p100;1991;2607.2;992;j
QS-MER;aptinc992j;p22p100;1992;2706.5;992;j
QS-MER;aptinc992j;p22p100;1993;2825.2;992;j
QS-MER;aptinc992j;p22p100;1994;2965.0;992;j
QS-MER;aptinc992j;p22p100;1995;3122.3;992;j
QS-MER;aptinc992j;p22p100;1996;3243.3;992;j
QS-MER;aptinc992j;p22p100;1997;3338.6;992;j
QS-MER;aptinc992j;p22p100;1998;3070.7;992;j
QS-MER;aptinc992j;p22p100;1999;2970.4;992;j
QS-MER;aptinc992j;p22p100;2000;3242.4;992;j
QS-MER;aptinc992j;p22p100;2001;3260.6;992;j
QS-MER;aptinc992j;p22p100;2002;3316.8;992;j
QS-MER;aptinc992j;p22p100;2003;3437.0;992;j
QS-MER;aptinc992j;p22p100;2004;3608.2;992;j
QS-MER;aptinc992j;p22p100;2005;3793.0;992;j
QS-MER;aptinc992j;p22p100;2006;3986.0;992;j
QS-MER;aptinc992j;p22p100;2007;4244.9;992;j
QS-MER;aptinc992j;p22p100;2008;4482.9;992;j
QS-MER;aptinc992j;p22p100;2009;4447.9;992;j
QS-MER;aptinc992j;p22p100;2010;4874.4;992;j
QS-MER;aptinc992j;p22p100;2011;5116.7;992;j
QS-MER;aptinc992j;p22p100;2012;5224.6;992;j
QS-MER;aptinc992j;p22p100;2013;5315.0;992;j
QS-MER;aptinc992j;p22p100;2014;5450.8;992;j
QS-MER;aptinc992j;p22p100;2015;5520.3;992;j
QS-MER;aptinc992j;p22p100;2016;5726.9;992;j
QS-MER;aptinc992j;p22p100;2017;5903.5;992;j
QS-MER;aptinc992j;p22p100;2018;6079.9;992;j
QS-MER;aptinc992j;p22p100;2019;6208.2;992;j
QS-MER;aptinc992j;p22p100;2020;5879.9;992;j
QS-MER;aptinc992j;p22p100;2021;6076.6;992;j
QS-MER;aptinc992j;p63p64;1980;890.7;992;j
QS-MER;aptinc992j;p63p64;1981;899.4;992;j
QS-MER;aptinc992j;p63p64;1982;893.4;992;j
QS-MER;aptinc992j;p63p64;1983;938.1;992;j
QS-MER;aptinc992j;p63p64;1984;946.0;992;j
QS-MER;aptinc992j;p63p64;1985;931.7;992;j
QS-MER;aptinc992j;p63p64;1986;926.0;992;j
QS-MER;aptinc992j;p63p64;1987;972.2;992;j
QS-MER;aptinc992j;p63p64;1988;1010.6;992;j
QS-MER;aptinc992j;p63p64;1989;1064.7;992;j
QS-MER;aptinc992j;p63p64;1990;1102.3;992;j
QS-MER;aptinc992j;p63p64;1991;1112.4;992;j
QS-MER;aptinc992j;p63p64;1992;1143.0;992;j
QS-MER;aptinc992j;p63p64;1993;1244.8;992;j
QS-MER;aptinc992j;p63p64;1994;1291.5;992;j
QS-MER;aptinc992j;p63p64;1995;1342.4;992;j
QS-MER;aptinc992j;p63p64;1996;1398.6;992;j
QS-MER;aptinc992j;p63p64;1997;1491.1;992;j
QS-MER;aptinc992j;p63p64;1998;1454.3;992;j
QS-MER;aptinc992j;p63p64;1999;1382.0;992;j
QS-MER;aptinc992j;p63p64;2000;1555.1;992;j
QS-MER;aptinc992j;p63p64;2001;1578.2;992;j
QS-MER;aptinc992j;p63p64;2002;1602.7;992;j
QS-MER;aptinc992j;p63p64;2003;1660.4;992;j
QS-MER;aptinc992j;p63p64;2004;1715.1;992;j
