country;variable;percentile;year;value;age;pop
QS;ehfghg999i;p0p100;1980;376.112611133436;999;i
QS;ehfghg999i;p0p100;1981;377.585786348872;999;i
QS;ehfghg999i;p0p100;1982;387.995311270221;999;i
QS;ehfghg999i;p0p100;1983;408.887792320578;999;i
QS;ehfghg999i;p0p100;1984;410.187422536262;999;i
QS;ehfghg999i;p0p100;1985;425.653963260123;999;i
QS;ehfghg999i;p0p100;1986;433.787978603521;999;i
QS;ehfghg999i;p0p100;1987;443.545325062583;999;i
QS;ehfghg999i;p0p100;1988;471.349445239055;999;i
QS;ehfghg999i;p0p100;1989;477.494082596757;999;i
QS;ehfghg999i;p0p100;1990;508.816678224885;999;i
QS;ehfghg999i;p0p100;1991;526.843885477211;999;i
QS;ehfghg999i;p0p100;1992;574.925368901722;999;i
QS;ehfghg999i;p0p100;1993;589.038540752033;999;i
QS;ehfghg999i;p0p100;1994;596.359571034723;999;i
QS;ehfghg999i;p0p100;1995;632.696669314753;999;i
QS;ehfghg999i;p0p100;1996;671.956181294775;999;i
QS;ehfghg999i;p0p100;1997;860.616589610251;999;i
QS;ehfghg999i;p0p100;1998;598.969617848962;999;i
QS;ehfghg999i;p0p100;1999;693.6112155266;999;i
QS;ehfghg999i;p0p100;2000;732.91080127194;999;i
QS;ehfghg999i;p0p100;2001;744.429763122467;999;i
QS;ehfghg999i;p0p100;2002;776.102318680253;999;i
QS;ehfghg999i;p0p100;2003;832.260926106565;999;i
QS;ehfghg999i;p0p100;2004;873.873048899425;999;i
QS;ehfghg999i;p0p100;2005;945.33702016302;999;i
QS;ehfghg999i;p0p100;2006;937.438735516429;999;i
QS;ehfghg999i;p0p100;2007;949.783000646277;999;i
QS;ehfghg999i;p0p100;2008;1009.98101614238;999;i
QS;ehfghg999i;p0p100;2009;1046.08701741698;999;i
QS;ehfghg999i;p0p100;2010;1079.89827198003;999;i
QS;ehfghg999i;p0p100;2011;1132.32123421506;999;i
QS;ehfghg999i;p0p100;2012;1177.38590508551;999;i
QS;ehfghg999i;p0p100;2013;1155.61848825142;999;i
QS;ehfghg999i;p0p100;2014;1188.06789797157;999;i
QS;ehfghg999i;p0p100;2015;1247.84109653472;999;i
QS;ehfghg999i;p0p100;2016;1293.12878371016;999;i
QS;ehfghg999i;p0p100;2017;1285.37846644855;999;i
QS;ehfghg999i;p0p100;2018;1377.18059577419;999;i
QS;ehfghg999i;p0p100;2019;1467.27320912442;999;i
QS;ehfghg999i;p0p100;2020;1364.56408448571;999;i
QS;enfghg999i;p0p100;1980;614.583529339851;999;i
QS;enfghg999i;p0p100;1981;629.583982708368;999;i
QS;enfghg999i;p0p100;1982;644.536918940818;999;i
QS;enfghg999i;p0p100;1983;677.046062491132;999;i
QS;enfghg999i;p0p100;1984;678.125683872852;999;i
QS;enfghg999i;p0p100;1985;695.398538633296;999;i
QS;enfghg999i;p0p100;1986;704.98977293629;999;i
QS;enfghg999i;p0p100;1987;726.255589236764;999;i
QS;enfghg999i;p0p100;1988;782.160062653874;999;i
QS;enfghg999i;p0p100;1989;813.703130588165;999;i
QS;enfghg999i;p0p100;1990;878.19222556223;999;i
QS;enfghg999i;p0p100;1991;927.019551846711;999;i
QS;enfghg999i;p0p100;1992;1029.67559810515;999;i
QS;enfghg999i;p0p100;1993;1063.15780776416;999;i
QS;enfghg999i;p0p100;1994;1082.99363865153;999;i
QS;enfghg999i;p0p100;1995;1135.84010445039;999;i
QS;enfghg999i;p0p100;1996;1212.52457992644;999;i
QS;enfghg999i;p0p100;1997;1230.70954852656;999;i
QS;enfghg999i;p0p100;1998;1002.54964003105;999;i
QS;enfghg999i;p0p100;1999;1150.11349052289;999;i
QS;enfghg999i;p0p100;2000;1231.33485227849;999;i
QS;enfghg999i;p0p100;2001;1256.69921006165;999;i
QS;enfghg999i;p0p100;2002;1317.53961607703;999;i
QS;enfghg999i;p0p100;2003;1416.80369072462;999;i
QS;enfghg999i;p0p100;2004;1490.99014488061;999;i
QS;enfghg999i;p0p100;2005;1558.63552030613;999;i
QS;enfghg999i;p0p100;2006;1618.84687563039;999;i
QS;enfghg999i;p0p100;2007;1641.34398500819;999;i
