country;variable;percentile;year;value;age;pop
QT-MER;ahweal992j;p16p100;1995;17153.0;992;j
QT-MER;ahweal992j;p16p100;1996;16904.0;992;j
QT-MER;ahweal992j;p16p100;1997;16357.3;992;j
QT-MER;ahweal992j;p16p100;1998;15586.4;992;j
QT-MER;ahweal992j;p16p100;1999;15654.8;992;j
QT-MER;ahweal992j;p16p100;2000;15902.5;992;j
QT-MER;ahweal992j;p16p100;2001;16407.2;992;j
QT-MER;ahweal992j;p16p100;2002;15855.3;992;j
QT-MER;ahweal992j;p16p100;2003;16318.1;992;j
QT-MER;ahweal992j;p16p100;2004;17832.0;992;j
QT-MER;ahweal992j;p16p100;2005;19986.3;992;j
QT-MER;ahweal992j;p16p100;2006;22617.8;992;j
QT-MER;ahweal992j;p16p100;2007;24491.9;992;j
QT-MER;ahweal992j;p16p100;2008;23741.3;992;j
QT-MER;ahweal992j;p16p100;2009;22760.5;992;j
QT-MER;ahweal992j;p16p100;2010;23555.0;992;j
QT-MER;ahweal992j;p16p100;2011;23218.4;992;j
QT-MER;ahweal992j;p16p100;2012;23064.9;992;j
QT-MER;ahweal992j;p16p100;2013;23809.6;992;j
QT-MER;ahweal992j;p16p100;2014;24457.3;992;j
QT-MER;ahweal992j;p16p100;2015;24445.9;992;j
QT-MER;ahweal992j;p16p100;2016;23617.8;992;j
QT-MER;ahweal992j;p16p100;2017;23681.0;992;j
QT-MER;ahweal992j;p16p100;2018;23443.2;992;j
QT-MER;ahweal992j;p16p100;2019;22647.0;992;j
QT-MER;ahweal992j;p16p100;2020;21641.7;992;j
QT-MER;ahweal992j;p16p100;2021;22772.4;992;j
QT-MER;ahweal992j;p67p100;1995;42396.7;992;j
QT-MER;ahweal992j;p67p100;1996;41820.1;992;j
QT-MER;ahweal992j;p67p100;1997;40443.6;992;j
QT-MER;ahweal992j;p67p100;1998;38539.1;992;j
QT-MER;ahweal992j;p67p100;1999;38729.1;992;j
QT-MER;ahweal992j;p67p100;2000;39346.9;992;j
QT-MER;ahweal992j;p67p100;2001;40535.5;992;j
QT-MER;ahweal992j;p67p100;2002;39173.4;992;j
QT-MER;ahweal992j;p67p100;2003;40294.1;992;j
QT-MER;ahweal992j;p67p100;2004;43942.3;992;j
QT-MER;ahweal992j;p67p100;2005;49407.3;992;j
QT-MER;ahweal992j;p67p100;2006;56145.7;992;j
QT-MER;ahweal992j;p67p100;2007;60900.4;992;j
QT-MER;ahweal992j;p67p100;2008;58982.7;992;j
QT-MER;ahweal992j;p67p100;2009;56531.9;992;j
QT-MER;ahweal992j;p67p100;2010;58420.7;992;j
QT-MER;ahweal992j;p67p100;2011;57589.4;992;j
QT-MER;ahweal992j;p67p100;2012;57202.8;992;j
QT-MER;ahweal992j;p67p100;2013;58985.2;992;j
QT-MER;ahweal992j;p67p100;2014;60478.7;992;j
QT-MER;ahweal992j;p67p100;2015;60473.0;992;j
QT-MER;ahweal992j;p67p100;2016;58412.2;992;j
QT-MER;ahweal992j;p67p100;2017;58370.8;992;j
QT-MER;ahweal992j;p67p100;2018;57765.5;992;j
QT-MER;ahweal992j;p67p100;2019;55768.0;992;j
QT-MER;ahweal992j;p67p100;2020;53296.3;992;j
QT-MER;ahweal992j;p67p100;2021;56075.9;992;j
QT-MER;ahweal992j;p99.8p99.9;1995;870121.8;992;j
QT-MER;ahweal992j;p99.8p99.9;1996;870172.1;992;j
QT-MER;ahweal992j;p99.8p99.9;1997;865306.8;992;j
