country;variable;percentile;year;value;age;pop
QT;kntgho999i;p0p100;1980;2.91365528106689;999;i
QT;kntgho999i;p0p100;1981;2.76250958442688;999;i
QT;kntgho999i;p0p100;1982;2.73122501373291;999;i
QT;kntgho999i;p0p100;1983;2.65152549743652;999;i
QT;kntgho999i;p0p100;1984;2.47002577781677;999;i
QT;kntgho999i;p0p100;1985;2.36245512962341;999;i
QT;kntgho999i;p0p100;1986;2.3046498298645;999;i
QT;kntgho999i;p0p100;1987;2.38442039489746;999;i
QT;kntgho999i;p0p100;1988;2.23482871055603;999;i
QT;kntgho999i;p0p100;1989;2.30415225028992;999;i
QT;kntgho999i;p0p100;1990;2.51499462127686;999;i
QT;kntgho999i;p0p100;1991;2.48175024986267;999;i
QT;kntgho999i;p0p100;1992;2.42355871200561;999;i
QT;kntgho999i;p0p100;1993;2.35362648963928;999;i
QT;kntgho999i;p0p100;1994;2.3110511302948;999;i
QT;kntgho999i;p0p100;1995;2.27564430236816;999;i
QT;kntgho999i;p0p100;1996;2.35373663902283;999;i
QT;kntgho999i;p0p100;1997;2.35191321372986;999;i
QT;kntgho999i;p0p100;1998;2.29979062080383;999;i
QT;kntgho999i;p0p100;1999;2.24001169204712;999;i
QT;kntgho999i;p0p100;2000;2.14780855178833;999;i
QT;kntgho999i;p0p100;2001;2.17103314399719;999;i
QT;kntgho999i;p0p100;2002;2.1357479095459;999;i
QT;kntgho999i;p0p100;2003;1.95021641254425;999;i
QT;kntgho999i;p0p100;2004;1.96514487266541;999;i
QT;kntgho999i;p0p100;2005;2.00120973587036;999;i
QT;kntgho999i;p0p100;2006;2.04544734954834;999;i
QT;kntgho999i;p0p100;2007;1.95786917209625;999;i
QT;kntgho999i;p0p100;2008;2.06338977813721;999;i
QT;kntgho999i;p0p100;2009;1.94106435775757;999;i
QT;kntgho999i;p0p100;2010;2.08147811889648;999;i
QT;kntgho999i;p0p100;2011;2.23580288887024;999;i
QT;kntgho999i;p0p100;2012;2.07319474220276;999;i
QT;kntgho999i;p0p100;2013;1.91233956813812;999;i
QT;kntgho999i;p0p100;2014;1.85798966884613;999;i
QT;kntgho999i;p0p100;2015;1.7899581193924;999;i
QT;kntgho999i;p0p100;2016;1.75836634635925;999;i
