country;variable;percentile;year;value;age;pop
QU-MER;bptinc992j;p2p100;1982;-3482501888.0;992;j
QU-MER;bptinc992j;p2p100;1988;-4544.99072265625;992;j
QU-MER;bptinc992j;p2p100;1990;-13518.7666015625;992;j
QU-MER;bptinc992j;p2p100;1995;-5195.45849609375;992;j
QU-MER;bptinc992j;p2p100;1996;-4835.5556640625;992;j
QU-MER;bptinc992j;p2p100;1998;-3413.47729492188;992;j
QU-MER;bptinc992j;p2p100;2006;-34119312.0;992;j
QU-MER;bptinc992j;p2p100;2013;-4045.81860351562;992;j
QU-MER;bptinc992j;p2p100;2014;-3755.16650390625;992;j
QU-MER;bptinc992j;p2p100;2016;-3762.15087890625;992;j
QU-MER;bptinc992j;p2p100;2019;-13954406.0;992;j
QU-MER;ahweal992j;p89p100;1995;16058.9;992;j
QU-MER;ahweal992j;p89p100;1996;16763.5;992;j
QU-MER;ahweal992j;p89p100;1997;17642.6;992;j
QU-MER;ahweal992j;p89p100;1998;18006.9;992;j
QU-MER;ahweal992j;p89p100;1999;18624.2;992;j
QU-MER;ahweal992j;p89p100;2000;19605.6;992;j
QU-MER;ahweal992j;p89p100;2001;19921.1;992;j
QU-MER;ahweal992j;p89p100;2002;21766.5;992;j
QU-MER;ahweal992j;p89p100;2003;23139.9;992;j
QU-MER;ahweal992j;p89p100;2004;24925.7;992;j
QU-MER;ahweal992j;p89p100;2005;26672.0;992;j
QU-MER;ahweal992j;p89p100;2006;28978.0;992;j
QU-MER;ahweal992j;p89p100;2007;32447.6;992;j
QU-MER;ahweal992j;p89p100;2008;34739.0;992;j
QU-MER;ahweal992j;p89p100;2009;35658.8;992;j
QU-MER;ahweal992j;p89p100;2010;40220.5;992;j
QU-MER;ahweal992j;p89p100;2011;45062.0;992;j
QU-MER;ahweal992j;p89p100;2012;46392.3;992;j
QU-MER;ahweal992j;p89p100;2013;47334.3;992;j
QU-MER;ahweal992j;p89p100;2014;51851.0;992;j
QU-MER;ahweal992j;p89p100;2015;55159.7;992;j
QU-MER;ahweal992j;p89p100;2016;58979.4;992;j
QU-MER;ahweal992j;p89p100;2017;61355.1;992;j
QU-MER;ahweal992j;p89p100;2018;62908.8;992;j
QU-MER;ahweal992j;p89p100;2019;63741.6;992;j
QU-MER;ahweal992j;p89p100;2020;61067.5;992;j
QU-MER;ahweal992j;p89p100;2021;68261.5;992;j
QU-MER;aptinc992j;p24p25;1980;295.1;992;j
QU-MER;aptinc992j;p24p25;1981;310.1;992;j
QU-MER;aptinc992j;p24p25;1982;318.4;992;j
QU-MER;aptinc992j;p24p25;1983;294.3;992;j
QU-MER;aptinc992j;p24p25;1984;316.6;992;j
QU-MER;aptinc992j;p24p25;1985;311.5;992;j
QU-MER;aptinc992j;p24p25;1986;318.4;992;j
QU-MER;aptinc992j;p24p25;1987;327.0;992;j
QU-MER;aptinc992j;p24p25;1988;324.7;992;j
QU-MER;aptinc992j;p24p25;1989;344.1;992;j
QU-MER;aptinc992j;p24p25;1990;361.7;992;j
QU-MER;aptinc992j;p24p25;1991;373.5;992;j
QU-MER;aptinc992j;p24p25;1992;364.3;992;j
QU-MER;aptinc992j;p24p25;1993;361.4;992;j
QU-MER;aptinc992j;p24p25;1994;358.7;992;j
QU-MER;aptinc992j;p24p25;1995;374.5;992;j
QU-MER;aptinc992j;p24p25;1996;395.1;992;j
QU-MER;aptinc992j;p24p25;1997;411.8;992;j
QU-MER;aptinc992j;p24p25;1998;410.2;992;j
QU-MER;aptinc992j;p24p25;1999;423.4;992;j
QU-MER;aptinc992j;p24p25;2000;443.2;992;j
QU-MER;aptinc992j;p24p25;2001;437.8;992;j
QU-MER;aptinc992j;p24p25;2002;438.3;992;j
QU-MER;aptinc992j;p24p25;2003;437.5;992;j
QU-MER;aptinc992j;p24p25;2004;447.3;992;j
QU-MER;aptinc992j;p24p25;2005;457.7;992;j
QU-MER;aptinc992j;p24p25;2006;478.4;992;j
QU-MER;aptinc992j;p24p25;2007;494.9;992;j
QU-MER;aptinc992j;p24p25;2008;522.2;992;j
QU-MER;aptinc992j;p24p25;2009;509.4;992;j
QU-MER;aptinc992j;p24p25;2010;523.7;992;j
QU-MER;aptinc992j;p24p25;2011;539.0;992;j
QU-MER;aptinc992j;p24p25;2012;550.0;992;j
QU-MER;aptinc992j;p24p25;2013;557.2;992;j
QU-MER;aptinc992j;p24p25;2014;573.3;992;j
QU-MER;aptinc992j;p24p25;2015;605.3;992;j
QU-MER;aptinc992j;p24p25;2016;651.0;992;j
QU-MER;aptinc992j;p24p25;2017;686.6;992;j
QU-MER;aptinc992j;p24p25;2018;716.1;992;j
QU-MER;aptinc992j;p24p25;2019;730.8;992;j
QU-MER;aptinc992j;p24p25;2020;687.2;992;j
QU-MER;aptinc992j;p24p25;2021;754.6;992;j
QU-MER;aptinc992j;p99.991p100;1980;827643.3;992;j
QU-MER;aptinc992j;p99.991p100;1981;724885.4;992;j
QU-MER;aptinc992j;p99.991p100;1982;850113.6;992;j
QU-MER;aptinc992j;p99.991p100;1983;929634.8;992;j
QU-MER;aptinc992j;p99.991p100;1984;842228.7;992;j
QU-MER;aptinc992j;p99.991p100;1985;815410.4;992;j
QU-MER;aptinc992j;p99.991p100;1986;731694.6;992;j
QU-MER;aptinc992j;p99.991p100;1987;661655.1;992;j
QU-MER;aptinc992j;p99.991p100;1988;583728.1;992;j
QU-MER;aptinc992j;p99.991p100;1989;561435.4;992;j
QU-MER;aptinc992j;p99.991p100;1990;579200.4;992;j
QU-MER;aptinc992j;p99.991p100;1991;631486.4;992;j
QU-MER;aptinc992j;p99.991p100;1992;636501.4;992;j
QU-MER;aptinc992j;p99.991p100;1993;647525.0;992;j
QU-MER;aptinc992j;p99.991p100;1994;620588.6;992;j
QU-MER;aptinc992j;p99.991p100;1995;762388.5;992;j
QU-MER;aptinc992j;p99.991p100;1996;763034.5;992;j
QU-MER;aptinc992j;p99.991p100;1997;752725.7;992;j
QU-MER;aptinc992j;p99.991p100;1998;743539.1;992;j
QU-MER;aptinc992j;p99.991p100;1999;750635.4;992;j
QU-MER;aptinc992j;p99.991p100;2000;777772.1;992;j
QU-MER;aptinc992j;p99.991p100;2001;767181.9;992;j
QU-MER;aptinc992j;p99.991p100;2002;674136.4;992;j
QU-MER;aptinc992j;p99.991p100;2003;695119.6;992;j
QU-MER;aptinc992j;p99.991p100;2004;704150.5;992;j
QU-MER;aptinc992j;p99.991p100;2005;707511.8;992;j
QU-MER;aptinc992j;p99.991p100;2006;718132.1;992;j
QU-MER;aptinc992j;p99.991p100;2007;736347.4;992;j
QU-MER;aptinc992j;p99.991p100;2008;728202.7;992;j
QU-MER;aptinc992j;p99.991p100;2009;705347.3;992;j
QU-MER;aptinc992j;p99.991p100;2010;726211.4;992;j
QU-MER;aptinc992j;p99.991p100;2011;764058.4;992;j
QU-MER;aptinc992j;p99.991p100;2012;717799.4;992;j
QU-MER;aptinc992j;p99.991p100;2013;753144.4;992;j
QU-MER;aptinc992j;p99.991p100;2014;773733.0;992;j
QU-MER;aptinc992j;p99.991p100;2015;792837.9;992;j
