country;variable;percentile;year;value;age;pop
QU;khfcar999i;p0p100;1990;0.357509255409241;999;i
QU;khfcar999i;p0p100;1991;0.361034423112869;999;i
QU;khfcar999i;p0p100;1992;0.381117522716522;999;i
QU;khfcar999i;p0p100;1993;0.373887449502945;999;i
QU;khfcar999i;p0p100;1994;0.383778393268585;999;i
QU;khfcar999i;p0p100;1995;0.392552107572555;999;i
QU;khfcar999i;p0p100;1996;0.423403263092041;999;i
QU;khfcar999i;p0p100;1997;0.430315494537354;999;i
QU;khfcar999i;p0p100;1998;0.439793884754181;999;i
QU;khfcar999i;p0p100;1999;0.46536710858345;999;i
QU;khfcar999i;p0p100;2000;0.460194230079651;999;i
QU;khfcar999i;p0p100;2001;0.470126062631607;999;i
QU;khfcar999i;p0p100;2002;0.467363148927689;999;i
QU;khfcar999i;p0p100;2003;0.493250578641891;999;i
QU;khfcar999i;p0p100;2004;0.504955232143402;999;i
QU;khfcar999i;p0p100;2005;0.513372421264648;999;i
QU;khfcar999i;p0p100;2006;0.536407709121704;999;i
QU;khfcar999i;p0p100;2007;0.551340818405151;999;i
QU;khfcar999i;p0p100;2008;0.56876015663147;999;i
QU;khfcar999i;p0p100;2009;0.588729083538055;999;i
QU;khfcar999i;p0p100;2010;0.595352590084076;999;i
QU;khfcar999i;p0p100;2011;0.607620418071747;999;i
QU;khfcar999i;p0p100;2012;0.653991281986237;999;i
QU;khfcar999i;p0p100;2013;0.653073668479919;999;i
QU;khfcar999i;p0p100;2014;0.700844764709473;999;i
QU;khfcar999i;p0p100;2015;0.727995216846466;999;i
QU;khfcar999i;p0p100;2016;0.75765985250473;999;i
QU;khfcar999i;p0p100;2017;0.785666108131409;999;i
QU;khfcar999i;p0p100;2018;0.815262913703918;999;i
QU;khfcar999i;p0p100;2019;0.822893738746643;999;i
QU;khfcar999i;p0p100;2020;0.756551861763;999;i
QU;knngho999i;p0p100;1990;-0.124984055757523;999;i
QU;knngho999i;p0p100;1991;-0.142853811383247;999;i
QU;knngho999i;p0p100;1992;-0.142523154616356;999;i
QU;knngho999i;p0p100;1993;-0.142393976449966;999;i
QU;knngho999i;p0p100;1994;-0.147090688347816;999;i
QU;knngho999i;p0p100;1995;-0.150598168373108;999;i
QU;knngho999i;p0p100;1996;-0.146204426884651;999;i
QU;knngho999i;p0p100;1997;-0.14825052022934;999;i
QU;knngho999i;p0p100;1998;-0.145654931664467;999;i
QU;knngho999i;p0p100;1999;-0.144139498472214;999;i
QU;knngho999i;p0p100;2000;-0.143989682197571;999;i
QU;knngho999i;p0p100;2001;-0.136532783508301;999;i
QU;knngho999i;p0p100;2002;-0.14309224486351;999;i
QU;knngho999i;p0p100;2003;-0.143420457839966;999;i
QU;knngho999i;p0p100;2004;-0.148823857307434;999;i
QU;knngho999i;p0p100;2005;-0.148171365261078;999;i
QU;knngho999i;p0p100;2006;-0.148741036653519;999;i
QU;knngho999i;p0p100;2007;-0.149232253432274;999;i
QU;knngho999i;p0p100;2008;-0.152345985174179;999;i
QU;knngho999i;p0p100;2009;-0.130888551473618;999;i
QU;knngho999i;p0p100;2010;-0.135661467909813;999;i
QU;knngho999i;p0p100;2011;-0.136090829968453;999;i
QU;knngho999i;p0p100;2012;-0.133767783641815;999;i
QU;knngho999i;p0p100;2013;-0.131471440196037;999;i
QU;knngho999i;p0p100;2014;-0.12991338968277;999;i
QU;knngho999i;p0p100;2015;-0.131838962435722;999;i
QU;knngho999i;p0p100;2016;-0.102389797568321;999;i
QU;knngho999i;p0p100;2017;-0.0757892653346062;999;i
QU;knngho999i;p0p100;2018;-0.0595719590783119;999;i
QU;knngho999i;p0p100;2019;-0.0601956769824028;999;i
QU;knngho999i;p0p100;2020;-0.0553426891565323;999;i
QU;khfghg999i;p0p100;1980;0.793119966983795;999;i
QU;khfghg999i;p0p100;1981;0.790369749069214;999;i
QU;khfghg999i;p0p100;1982;0.823044121265411;999;i
QU;khfghg999i;p0p100;1983;0.847906529903412;999;i
QU;khfghg999i;p0p100;1984;0.803036630153656;999;i
QU;khfghg999i;p0p100;1985;0.788856208324432;999;i
QU;khfghg999i;p0p100;1986;0.778299033641815;999;i
QU;khfghg999i;p0p100;1987;0.780087769031525;999;i
QU;khfghg999i;p0p100;1988;0.812033236026764;999;i
QU;khfghg999i;p0p100;1989;0.831239104270935;999;i
QU;khfghg999i;p0p100;1990;0.839009165763855;999;i
QU;khfghg999i;p0p100;1991;0.837850987911224;999;i
QU;khfghg999i;p0p100;1992;0.852045714855194;999;i
QU;khfghg999i;p0p100;1993;0.837943136692047;999;i
QU;khfghg999i;p0p100;1994;0.855794310569763;999;i
QU;khfghg999i;p0p100;1995;0.862489938735962;999;i
QU;khfghg999i;p0p100;1996;0.905013203620911;999;i
QU;khfghg999i;p0p100;1997;0.906250834465027;999;i
QU;khfghg999i;p0p100;1998;0.921363592147827;999;i
QU;khfghg999i;p0p100;1999;0.963576555252075;999;i
QU;khfghg999i;p0p100;2000;0.954726576805115;999;i
QU;khfghg999i;p0p100;2001;0.965027630329132;999;i
QU;khfghg999i;p0p100;2002;0.955043733119965;999;i
QU;khfghg999i;p0p100;2003;0.988542258739471;999;i
