country;variable;percentile;year;value;age;pop
QV-MER;ahweal992j;p91p100;1995;26733.4;992;j
QV-MER;ahweal992j;p91p100;1996;27989.1;992;j
QV-MER;ahweal992j;p91p100;1997;29214.4;992;j
QV-MER;ahweal992j;p91p100;1998;29804.1;992;j
QV-MER;ahweal992j;p91p100;1999;28046.3;992;j
QV-MER;ahweal992j;p91p100;2000;28503.3;992;j
QV-MER;ahweal992j;p91p100;2001;30689.6;992;j
QV-MER;ahweal992j;p91p100;2002;35684.7;992;j
QV-MER;ahweal992j;p91p100;2003;37606.9;992;j
QV-MER;ahweal992j;p91p100;2004;39836.3;992;j
QV-MER;ahweal992j;p91p100;2005;42865.6;992;j
QV-MER;ahweal992j;p91p100;2006;45662.9;992;j
QV-MER;ahweal992j;p91p100;2007;47137.5;992;j
QV-MER;ahweal992j;p91p100;2008;50897.9;992;j
QV-MER;ahweal992j;p91p100;2009;55180.7;992;j
QV-MER;ahweal992j;p91p100;2010;56028.2;992;j
QV-MER;ahweal992j;p91p100;2011;57141.5;992;j
QV-MER;ahweal992j;p91p100;2012;58421.2;992;j
QV-MER;ahweal992j;p91p100;2013;61077.4;992;j
QV-MER;ahweal992j;p91p100;2014;65001.0;992;j
QV-MER;ahweal992j;p91p100;2015;65123.8;992;j
QV-MER;ahweal992j;p91p100;2016;63634.4;992;j
QV-MER;ahweal992j;p91p100;2017;62672.1;992;j
QV-MER;ahweal992j;p91p100;2018;63373.9;992;j
QV-MER;ahweal992j;p91p100;2019;64582.0;992;j
QV-MER;ahweal992j;p91p100;2020;62689.3;992;j
QV-MER;ahweal992j;p91p100;2021;63849.5;992;j
QV-MER;ahweal992j;p95p100;1995;39751.9;992;j
QV-MER;ahweal992j;p95p100;1996;41452.8;992;j
QV-MER;ahweal992j;p95p100;1997;43385.8;992;j
QV-MER;ahweal992j;p95p100;1998;44119.6;992;j
QV-MER;ahweal992j;p95p100;1999;41575.9;992;j
QV-MER;ahweal992j;p95p100;2000;42204.8;992;j
QV-MER;ahweal992j;p95p100;2001;45464.6;992;j
QV-MER;ahweal992j;p95p100;2002;52994.1;992;j
QV-MER;ahweal992j;p95p100;2003;55801.7;992;j
QV-MER;ahweal992j;p95p100;2004;59301.7;992;j
QV-MER;ahweal992j;p95p100;2005;63773.3;992;j
QV-MER;ahweal992j;p95p100;2006;68307.6;992;j
QV-MER;ahweal992j;p95p100;2007;70560.9;992;j
QV-MER;ahweal992j;p95p100;2008;76668.0;992;j
QV-MER;ahweal992j;p95p100;2009;83671.9;992;j
QV-MER;ahweal992j;p95p100;2010;84276.3;992;j
QV-MER;ahweal992j;p95p100;2011;85739.6;992;j
QV-MER;ahweal992j;p95p100;2012;87348.0;992;j
QV-MER;ahweal992j;p95p100;2013;91166.2;992;j
QV-MER;ahweal992j;p95p100;2014;97191.2;992;j
QV-MER;ahweal992j;p95p100;2015;96703.1;992;j
QV-MER;ahweal992j;p95p100;2016;94410.7;992;j
QV-MER;ahweal992j;p95p100;2017;92674.4;992;j
QV-MER;ahweal992j;p95p100;2018;93517.6;992;j
QV-MER;ahweal992j;p95p100;2019;95378.2;992;j
QV-MER;ahweal992j;p95p100;2020;92386.9;992;j
QV-MER;ahweal992j;p95p100;2021;94267.1;992;j
QV-MER;aptinc992j;p84p85;1980;4245.2;992;j
