country;variable;percentile;year;value;age;pop
QV;ehfghn999i;p0p100;1990;189.52290362732;999;i
QV;ehfghn999i;p0p100;1991;196.788267445345;999;i
QV;ehfghn999i;p0p100;1992;201.879739952727;999;i
QV;ehfghn999i;p0p100;1993;207.726966515192;999;i
QV;ehfghn999i;p0p100;1994;186.536235691028;999;i
QV;ehfghn999i;p0p100;1995;196.983346269104;999;i
QV;ehfghn999i;p0p100;1996;214.015847229322;999;i
QV;ehfghn999i;p0p100;1997;209.587550214168;999;i
QV;ehfghn999i;p0p100;1998;195.882794682978;999;i
QV;ehfghn999i;p0p100;1999;182.234650568368;999;i
QV;ehfghn999i;p0p100;2000;167.66593341637;999;i
QV;ehfghn999i;p0p100;2001;193.005597871035;999;i
QV;ehfghn999i;p0p100;2002;195.351472755511;999;i
QV;ehfghn999i;p0p100;2003;214.686717813058;999;i
QV;ehfghn999i;p0p100;2004;218.442052356074;999;i
QV;ehfghn999i;p0p100;2005;234.22958011925;999;i
QV;ehfghn999i;p0p100;2006;222.174115360462;999;i
QV;ehfghn999i;p0p100;2007;235.948316618438;999;i
QV;ehfghn999i;p0p100;2008;237.422669215709;999;i
QV;ehfghn999i;p0p100;2009;229.483186814774;999;i
QV;ehfghn999i;p0p100;2010;250.391140429346;999;i
QV;ehfghn999i;p0p100;2011;260.216439815751;999;i
QV;ehfghn999i;p0p100;2012;261.876295197809;999;i
QV;ehfghn999i;p0p100;2013;286.624515830181;999;i
QV;ehfghn999i;p0p100;2014;287.820151354327;999;i
QV;ehfghn999i;p0p100;2015;291.272584205156;999;i
QV;ehfghn999i;p0p100;2016;301.103179310316;999;i
QV;ehfghn999i;p0p100;2017;307.28400670359;999;i
QV;ehfghn999i;p0p100;2018;309.479194184513;999;i
QV;ehfghn999i;p0p100;2019;318.869288959629;999;i
QV;ehfghn999i;p0p100;2020;310.897556735638;999;i
QV;knncar999i;p0p100;1990;0.0271185617893934;999;i
QV;knncar999i;p0p100;1991;0.0222741048783064;999;i
QV;knncar999i;p0p100;1992;0.0236132349818945;999;i
QV;knncar999i;p0p100;1993;0.0260722264647484;999;i
QV;knncar999i;p0p100;1994;0.0381011553108692;999;i
QV;knncar999i;p0p100;1995;0.0287424046546221;999;i
QV;knncar999i;p0p100;1996;0.0229739304631948;999;i
QV;knncar999i;p0p100;1997;0.0432998798787594;999;i
QV;knncar999i;p0p100;1998;0.0614849217236042;999;i
QV;knncar999i;p0p100;1999;0.0110330618917942;999;i
QV;knncar999i;p0p100;2000;-0.112488515675068;999;i
QV;knncar999i;p0p100;2001;-0.0661285296082497;999;i
QV;knncar999i;p0p100;2002;-0.0635985806584358;999;i
QV;knncar999i;p0p100;2003;-0.0443048998713493;999;i
QV;knncar999i;p0p100;2004;-0.0130603881552815;999;i
QV;knncar999i;p0p100;2005;0.0004389693494886;999;i
QV;knncar999i;p0p100;2006;-0.0392056182026863;999;i
QV;knncar999i;p0p100;2007;0.0302793607115746;999;i
QV;knncar999i;p0p100;2008;0.0421363636851311;999;i
QV;knncar999i;p0p100;2009;0.0739421024918556;999;i
QV;knncar999i;p0p100;2010;-0.0104524008929729;999;i
QV;knncar999i;p0p100;2011;-0.0356209017336369;999;i
QV;knncar999i;p0p100;2012;-0.0300519336014986;999;i
QV;knncar999i;p0p100;2013;0.0657546296715736;999;i
QV;knncar999i;p0p100;2014;0.0511291921138763;999;i
QV;knncar999i;p0p100;2015;0.0861354246735573;999;i
QV;knncar999i;p0p100;2016;0.0808745920658112;999;i
QV;knncar999i;p0p100;2017;0.0551024675369263;999;i
