country;variable;percentile;year;value;age;pop
QW;enfghg999i;p0p100;1980;4378.86851581393;999;i
QW;enfghg999i;p0p100;1981;4203.36554513683;999;i
QW;enfghg999i;p0p100;1982;4260.9743979558;999;i
QW;enfghg999i;p0p100;1983;4264.70722983929;999;i
QW;enfghg999i;p0p100;1984;4214.55552136322;999;i
QW;enfghg999i;p0p100;1985;4381.17208149749;999;i
QW;enfghg999i;p0p100;1986;4396.39267026238;999;i
QW;enfghg999i;p0p100;1987;4499.00857788299;999;i
QW;enfghg999i;p0p100;1988;4625.25182180273;999;i
QW;enfghg999i;p0p100;1989;4657.60837090209;999;i
QW;enfghg999i;p0p100;1990;4441.67975269953;999;i
QW;enfghg999i;p0p100;1991;4430.43119280804;999;i
QW;enfghg999i;p0p100;1992;3151.52934687411;999;i
QW;enfghg999i;p0p100;1993;3395.6689157189;999;i
QW;enfghg999i;p0p100;1994;3272.46257400727;999;i
QW;enfghg999i;p0p100;1995;3123.84351966214;999;i
QW;enfghg999i;p0p100;1996;3237.58344412745;999;i
QW;enfghg999i;p0p100;1997;3109.95860331694;999;i
QW;enfghg999i;p0p100;1998;2982.11920940262;999;i
QW;enfghg999i;p0p100;1999;2831.18031630501;999;i
QW;enfghg999i;p0p100;2000;2884.31660591434;999;i
QW;enfghg999i;p0p100;2001;3049.538176227;999;i
QW;enfghg999i;p0p100;2002;3089.76408836787;999;i
QW;enfghg999i;p0p100;2003;3349.20169431585;999;i
QW;enfghg999i;p0p100;2004;3492.13190094969;999;i
QW;enfghg999i;p0p100;2005;3625.85016536039;999;i
QW;enfghg999i;p0p100;2006;3791.35850628085;999;i
QW;enfghg999i;p0p100;2007;3951.92839889958;999;i
QW;enfghg999i;p0p100;2008;4149.93839642053;999;i
QW;enfghg999i;p0p100;2009;3973.65324028695;999;i
QW;enfghg999i;p0p100;2010;4169.8657100228;999;i
QW;enfghg999i;p0p100;2011;4339.90352059537;999;i
QW;enfghg999i;p0p100;2012;4553.37302519368;999;i
QW;enfghg999i;p0p100;2013;4566.02239489933;999;i
QW;enfghg999i;p0p100;2014;4600.28797323786;999;i
QW;enfghg999i;p0p100;2015;4638.06725044518;999;i
QW;enfghg999i;p0p100;2016;4641.32483436933;999;i
QW;enfghg999i;p0p100;2017;4679.66295029572;999;i
QW;enfghg999i;p0p100;2018;4660.44484021245;999;i
QW;enfghg999i;p0p100;2019;4653.11440112135;999;i
QW;enfghg999i;p0p100;2020;4435.21680272895;999;i
QW;ennghg999i;p0p100;1980;-919.891484186069;999;i
QW;ennghg999i;p0p100;1981;-833.584454863169;999;i
QW;ennghg999i;p0p100;1982;-727.115602044196;999;i
QW;ennghg999i;p0p100;1983;-741.112770160713;999;i
QW;ennghg999i;p0p100;1984;-775.544478636779;999;i
QW;ennghg999i;p0p100;1985;-856.227918502514;999;i
QW;ennghg999i;p0p100;1986;-912.807329737619;999;i
QW;ennghg999i;p0p100;1987;-967.791422117007;999;i
QW;ennghg999i;p0p100;1988;-1054.74817819727;999;i
QW;ennghg999i;p0p100;1989;-981.891629097915;999;i
QW;ennghg999i;p0p100;1990;-937.996345092473;999;i
QW;ennghg999i;p0p100;1991;-740.289070791956;999;i
QW;ennghg999i;p0p100;1992;-1523.50216440589;999;i
QW;ennghg999i;p0p100;1993;-1101.8345163131;999;i
QW;ennghg999i;p0p100;1994;-863.688422856731;999;i
QW;ennghg999i;p0p100;1995;-827.063392401861;999;i
QW;ennghg999i;p0p100;1996;-658.303668528551;999;i
QW;ennghg999i;p0p100;1997;-667.138721851058;999;i
QW;ennghg999i;p0p100;1998;-732.161495445381;999;i
QW;ennghg999i;p0p100;1999;-890.638995790992;999;i
QW;ennghg999i;p0p100;2000;-965.927264405661;999;i
QW;ennghg999i;p0p100;2001;-846.607414668996;999;i
QW;ennghg999i;p0p100;2002;-789.881851568131;999;i
QW;ennghg999i;p0p100;2003;-669.425100884146;999;i
QW;ennghg999i;p0p100;2004;-667.427688554309;999;i
QW;ennghg999i;p0p100;2005;-620.819810719611;999;i
QW;ennghg999i;p0p100;2006;-634.695199735152;999;i
QW;ennghg999i;p0p100;2007;-465.041818780418;999;i
QW;ennghg999i;p0p100;2008;-433.829861515471;999;i
QW;ennghg999i;p0p100;2009;-472.498099489049;999;i
QW;ennghg999i;p0p100;2010;-478.940082425202;999;i
QW;ennghg999i;p0p100;2011;-463.652238684634;999;i
QW;ennghg999i;p0p100;2012;-466.411568566317;999;i
QW;ennghg999i;p0p100;2013;-375.724041868673;999;i
QW;ennghg999i;p0p100;2014;-382.492839034139;999;i
QW;ennghg999i;p0p100;2015;-415.166583458819;999;i
QW;ennghg999i;p0p100;2016;-398.629849582669;999;i
QW;ennghg999i;p0p100;2017;-436.245577336279;999;i
QW;ennghg999i;p0p100;2018;-545.745641851549;999;i
QW;ennghg999i;p0p100;2019;-546.599098144786;999;i
QW;ennghg999i;p0p100;2020;-511.785288987992;999;i
QW;knnghg999i;p0p100;1980;-1.60033524036407;999;i
QW;knnghg999i;p0p100;1981;-1.43333566188812;999;i
QW;knnghg999i;p0p100;1982;-1.23559582233429;999;i
QW;knnghg999i;p0p100;1983;-1.24453294277191;999;i
QW;knnghg999i;p0p100;1984;-1.28701663017273;999;i
QW;knnghg999i;p0p100;1985;-1.40430736541748;999;i
QW;knnghg999i;p0p100;1986;-1.47918367385864;999;i
QW;knnghg999i;p0p100;1987;-1.54978013038635;999;i
QW;knnghg999i;p0p100;1988;-1.66972863674164;999;i
QW;knnghg999i;p0p100;1989;-1.53759038448334;999;i
QW;knnghg999i;p0p100;1990;-1.45520615577698;999;i
QW;knnghg999i;p0p100;1991;-2.05024147033691;999;i
QW;knnghg999i;p0p100;1992;-4.1746506690979;999;i
QW;knnghg999i;p0p100;1993;-2.9895498752594;999;i
QW;knnghg999i;p0p100;1994;-2.32285094261169;999;i
QW;knnghg999i;p0p100;1995;-2.20401310920715;999;i
QW;knnghg999i;p0p100;1996;-1.74032366275787;999;i
QW;knnghg999i;p0p100;1997;-1.75069379806519;999;i
QW;knnghg999i;p0p100;1998;-1.90732300281525;999;i
QW;knnghg999i;p0p100;1999;-2.30332446098328;999;i
QW;knnghg999i;p0p100;2000;-2.48172974586487;999;i
QW;knnghg999i;p0p100;2001;-2.16003203392029;999;i
QW;knnghg999i;p0p100;2002;-2.00350832939148;999;i
QW;knnghg999i;p0p100;2003;-1.68325316905975;999;i
QW;knnghg999i;p0p100;2004;-1.66516315937042;999;i
QW;knnghg999i;p0p100;2005;-1.53368175029755;999;i
QW;knnghg999i;p0p100;2006;-1.55213057994843;999;i
QW;knnghg999i;p0p100;2007;-1.12442290782928;999;i
QW;knnghg999i;p0p100;2008;-1.0360678434372;999;i
QW;knnghg999i;p0p100;2009;-1.11430644989014;999;i
QW;knnghg999i;p0p100;2010;-1.11541330814362;999;i
QW;knnghg999i;p0p100;2011;-1.06706643104553;999;i
QW;knnghg999i;p0p100;2012;-1.06070983409882;999;i
QW;knnghg999i;p0p100;2013;-0.84453159570694;999;i
QW;knnghg999i;p0p100;2014;-0.850086152553558;999;i
QW;knnghg999i;p0p100;2015;-0.908211410045624;999;i
QW;knnghg999i;p0p100;2016;-0.863212287425995;999;i
QW;knnghg999i;p0p100;2017;-0.935623288154602;999;i
QW;knnghg999i;p0p100;2018;-1.15981113910675;999;i
QW;knnghg999i;p0p100;2019;-1.15141987800598;999;i
QW;knnghg999i;p0p100;2020;-1.06884610652924;999;i
QW;entgna999i;p0p100;1990;4593.17604020923;999;i
QW;entgna999i;p0p100;1991;4407.80947318721;999;i
QW;entgna999i;p0p100;1992;3953.09346116184;999;i
QW;entgna999i;p0p100;1993;3783.30957887753;999;i
QW;entgna999i;p0p100;1994;3454.08343010457;999;i
QW;entgna999i;p0p100;1995;3287.0659873838;999;i
QW;entgna999i;p0p100;1996;3239.72480834948;999;i
QW;entgna999i;p0p100;1997;3123.32735308792;999;i
QW;entgna999i;p0p100;1998;3041.84871968533;999;i
QW;entgna999i;p0p100;1999;3046.30035877777;999;i
QW;entgna999i;p0p100;2000;3133.74800898605;999;i
QW;entgna999i;p0p100;2001;3172.17696914025;999;i
QW;entgna999i;p0p100;2002;3185.26333364105;999;i
QW;entgna999i;p0p100;2003;3270.46273593289;999;i
QW;entgna999i;p0p100;2004;3368.5265216505;999;i
QW;entgna999i;p0p100;2005;3451.14152787155;999;i
QW;entgna999i;p0p100;2006;3631.13498361892;999;i
QW;entgna999i;p0p100;2007;3633.238474356;999;i
QW;entgna999i;p0p100;2008;3732.8270925687;999;i
QW;entgna999i;p0p100;2009;3556.98412183473;999;i
QW;entgna999i;p0p100;2010;3747.00525213028;999;i
QW;entgna999i;p0p100;2011;3857.958731684;999;i
QW;entgna999i;p0p100;2012;4017.10434439993;999;i
QW;entgna999i;p0p100;2013;3923.95003147401;999;i
QW;entgna999i;p0p100;2014;3976.400866463;999;i
QW;entgna999i;p0p100;2015;4005.57091140742;999;i
QW;entgna999i;p0p100;2016;3988.47244279431;999;i
QW;entgna999i;p0p100;2017;4095.23061725478;999;i
QW;entgna999i;p0p100;2018;4170.55584842802;999;i
QW;entgna999i;p0p100;2019;4150.97798653565;999;i
QW;entgna999i;p0p100;2020;3935.84113850546;999;i
QW;ehfghn999i;p0p100;1990;1751.5859191941;999;i
QW;ehfghn999i;p0p100;1991;1733.31500266729;999;i
QW;ehfghn999i;p0p100;1992;1085.62988754476;999;i
QW;ehfghn999i;p0p100;1993;1207.63940025516;999;i
QW;ehfghn999i;p0p100;1994;1185.75143537342;999;i
QW;ehfghn999i;p0p100;1995;1159.13874231968;999;i
QW;ehfghn999i;p0p100;1996;1262.17725807821;999;i
QW;ehfghn999i;p0p100;1997;1273.09448697275;999;i
QW;ehfghn999i;p0p100;1998;1230.88948380723;999;i
QW;ehfghn999i;p0p100;1999;1158.81872706232;999;i
QW;ehfghn999i;p0p100;2000;1146.62945954742;999;i
QW;ehfghn999i;p0p100;2001;1204.48362773753;999;i
QW;ehfghn999i;p0p100;2002;1236.85169834883;999;i
QW;ehfghn999i;p0p100;2003;1318.0621630397;999;i
QW;ehfghn999i;p0p100;2004;1355.5432366308;999;i
QW;ehfghn999i;p0p100;2005;1419.46335437076;999;i
