country;variable;percentile;year;value;age;pop
QX-MER;bptinc992j;p2p100;1981;-294304.78125;992;j
QX-MER;bptinc992j;p2p100;1982;-1150221.75;992;j
QX-MER;bptinc992j;p2p100;1983;-734804.125;992;j
QX-MER;bptinc992j;p2p100;1984;-3297616.75;992;j
QX-MER;bptinc992j;p2p100;1985;-3833382.5;992;j
QX-MER;bptinc992j;p2p100;1986;-4070.73388671875;992;j
QX-MER;bptinc992j;p2p100;1988;-6676.50244140625;992;j
QX-MER;bptinc992j;p2p100;1989;-4992330.0;992;j
QX-MER;bptinc992j;p2p100;1992;-25318.52734375;992;j
QX-MER;bptinc992j;p2p100;1993;-10221329408.0;992;j
QX-MER;bptinc992j;p2p100;1994;-27419510784.0;992;j
QX-MER;bptinc992j;p2p100;1997;-12866.1083984375;992;j
QX-MER;bptinc992j;p2p100;1999;-12545.9638671875;992;j
QX-MER;bptinc992j;p2p100;2000;-17630.87890625;992;j
QX-MER;bptinc992j;p2p100;2001;-15956631552.0;992;j
QX-MER;bptinc992j;p2p100;2005;-12047.8583984375;992;j
QX-MER;bptinc992j;p2p100;2006;-3313430.0;992;j
QX-MER;bptinc992j;p2p100;2009;-41777360896.0;992;j
QX-MER;bptinc992j;p2p100;2011;-12665.3369140625;992;j
QX-MER;bptinc992j;p2p100;2013;-16491.451171875;992;j
QX-MER;bptinc992j;p2p100;2014;-22144.0703125;992;j
QX-MER;bptinc992j;p2p100;2015;7130026.0;992;j
QX-MER;bptinc992j;p2p100;2017;-1450053504.0;992;j
QX-MER;bptinc992j;p2p100;2018;-14012836864.0;992;j
QX-MER;bptinc992j;p2p100;2021;-50830.3046875;992;j
QX-MER;ahweal992j;p12p100;1995;125054.8;992;j
QX-MER;ahweal992j;p12p100;1996;129846.7;992;j
QX-MER;ahweal992j;p12p100;1997;136759.5;992;j
QX-MER;ahweal992j;p12p100;1998;145769.6;992;j
QX-MER;ahweal992j;p12p100;1999;156188.6;992;j
QX-MER;ahweal992j;p12p100;2000;163156.0;992;j
QX-MER;ahweal992j;p12p100;2001;167146.4;992;j
QX-MER;ahweal992j;p12p100;2002;169250.6;992;j
QX-MER;ahweal992j;p12p100;2003;175229.4;992;j
QX-MER;ahweal992j;p12p100;2004;184781.8;992;j
QX-MER;ahweal992j;p12p100;2005;197632.3;992;j
QX-MER;ahweal992j;p12p100;2006;209145.2;992;j
QX-MER;ahweal992j;p12p100;2007;216836.3;992;j
QX-MER;ahweal992j;p12p100;2008;212570.4;992;j
QX-MER;ahweal992j;p12p100;2009;206438.7;992;j
QX-MER;ahweal992j;p12p100;2010;208863.2;992;j
QX-MER;ahweal992j;p12p100;2011;210826.7;992;j
QX-MER;ahweal992j;p12p100;2012;210904.2;992;j
QX-MER;ahweal992j;p12p100;2013;212421.8;992;j
QX-MER;ahweal992j;p12p100;2014;217802.0;992;j
QX-MER;ahweal992j;p12p100;2015;224624.9;992;j
QX-MER;ahweal992j;p12p100;2016;231289.8;992;j
QX-MER;ahweal992j;p12p100;2017;239023.0;992;j
QX-MER;ahweal992j;p12p100;2018;244436.2;992;j
QX-MER;ahweal992j;p12p100;2019;249770.6;992;j
QX-MER;ahweal992j;p12p100;2020;247092.2;992;j
QX-MER;ahweal992j;p12p100;2021;261895.9;992;j
QX-MER;ahweal992j;p99.994p99.995;1995;16980640.0;992;j
QX-MER;ahweal992j;p99.994p99.995;1996;18353800.0;992;j
QX-MER;ahweal992j;p99.994p99.995;1997;21748734.0;992;j
QX-MER;ahweal992j;p99.994p99.995;1998;24821636.0;992;j
