country;variable;percentile;year;value;age;pop
QX;enfgho999i;p0p100;1990;1082.38126816491;999;i
QX;enfgho999i;p0p100;1991;1088.05455308212;999;i
QX;enfgho999i;p0p100;1992;1094.14963875396;999;i
QX;enfgho999i;p0p100;1993;1053.48910069916;999;i
QX;enfgho999i;p0p100;1994;1087.90503981139;999;i
QX;enfgho999i;p0p100;1995;1113.72540959206;999;i
QX;enfgho999i;p0p100;1996;1129.70001042581;999;i
QX;enfgho999i;p0p100;1997;1084.68738166077;999;i
QX;enfgho999i;p0p100;1998;1129.08161617324;999;i
QX;enfgho999i;p0p100;1999;1100.27283958098;999;i
QX;enfgho999i;p0p100;2000;1099.76473399728;999;i
QX;enfgho999i;p0p100;2001;1069.43108114286;999;i
QX;enfgho999i;p0p100;2002;1046.2183305628;999;i
QX;enfgho999i;p0p100;2003;1079.19220308001;999;i
QX;enfgho999i;p0p100;2004;1093.96755406738;999;i
QX;enfgho999i;p0p100;2005;1080.61747722074;999;i
QX;enfgho999i;p0p100;2006;1073.54957628931;999;i
QX;enfgho999i;p0p100;2007;1071.90642302518;999;i
QX;enfgho999i;p0p100;2008;1051.45564911925;999;i
QX;enfgho999i;p0p100;2009;981.107493016888;999;i
QX;enfgho999i;p0p100;2010;956.83895770852;999;i
QX;enfgho999i;p0p100;2011;930.756556134362;999;i
QX;enfgho999i;p0p100;2012;914.686413074628;999;i
QX;enfgho999i;p0p100;2013;904.612136035138;999;i
QX;enfgho999i;p0p100;2014;907.037224880569;999;i
QX;enfgho999i;p0p100;2015;899.024020618803;999;i
QX;enfgho999i;p0p100;2016;881.469407172775;999;i
QX;enfgho999i;p0p100;2017;890.158249101631;999;i
QX;enfgho999i;p0p100;2018;890.266276485871;999;i
QX;enfgho999i;p0p100;2019;856.268924416104;999;i
QX;enfgho999i;p0p100;2020;767.928236421855;999;i
QX;enncar999i;p0p100;1990;693.833206933118;999;i
QX;enncar999i;p0p100;1991;643.553998619769;999;i
QX;enncar999i;p0p100;1992;1008.30727141548;999;i
QX;enncar999i;p0p100;1993;799.853366799953;999;i
QX;enncar999i;p0p100;1994;734.649358282112;999;i
QX;enncar999i;p0p100;1995;760.135732662124;999;i
QX;enncar999i;p0p100;1996;682.798904676085;999;i
QX;enncar999i;p0p100;1997;673.182448735283;999;i
QX;enncar999i;p0p100;1998;749.973339061885;999;i
QX;enncar999i;p0p100;1999;731.084627808985;999;i
QX;enncar999i;p0p100;2000;793.01530182854;999;i
QX;enncar999i;p0p100;2001;715.765102076488;999;i
QX;enncar999i;p0p100;2002;755.447362746111;999;i
QX;enncar999i;p0p100;2003;771.492151662315;999;i
QX;enncar999i;p0p100;2004;906.500128105998;999;i
QX;enncar999i;p0p100;2005;916.849098917681;999;i
QX;enncar999i;p0p100;2006;1052.83767441736;999;i
QX;enncar999i;p0p100;2007;1043.09943329305;999;i
QX;enncar999i;p0p100;2008;995.104374376729;999;i
QX;enncar999i;p0p100;2009;878.126785396412;999;i
QX;enncar999i;p0p100;2010;912.276174992095;999;i
QX;enncar999i;p0p100;2011;1011.12265249178;999;i
QX;enncar999i;p0p100;2012;796.99834866346;999;i
QX;enncar999i;p0p100;2013;743.191938163143;999;i
QX;enncar999i;p0p100;2014;772.203105358826;999;i
