country;variable;percentile;year;value;age;pop
QY-MER;ahweal992j;p70p100;1995;248745.7;992;j
QY-MER;ahweal992j;p70p100;1996;258907.5;992;j
QY-MER;ahweal992j;p70p100;1997;273436.5;992;j
QY-MER;ahweal992j;p70p100;1998;291657.4;992;j
QY-MER;ahweal992j;p70p100;1999;311595.6;992;j
QY-MER;ahweal992j;p70p100;2000;327175.9;992;j
QY-MER;ahweal992j;p70p100;2001;335061.0;992;j
QY-MER;ahweal992j;p70p100;2002;340529.0;992;j
QY-MER;ahweal992j;p70p100;2003;353602.2;992;j
QY-MER;ahweal992j;p70p100;2004;373229.7;992;j
QY-MER;ahweal992j;p70p100;2005;397685.6;992;j
QY-MER;ahweal992j;p70p100;2006;424157.6;992;j
QY-MER;ahweal992j;p70p100;2007;440226.8;992;j
QY-MER;ahweal992j;p70p100;2008;431349.5;992;j
QY-MER;ahweal992j;p70p100;2009;421929.8;992;j
QY-MER;ahweal992j;p70p100;2010;428934.7;992;j
QY-MER;ahweal992j;p70p100;2011;430939.9;992;j
QY-MER;ahweal992j;p70p100;2012;432894.5;992;j
QY-MER;ahweal992j;p70p100;2013;436167.3;992;j
QY-MER;ahweal992j;p70p100;2014;448450.5;992;j
QY-MER;ahweal992j;p70p100;2015;461716.0;992;j
QY-MER;ahweal992j;p70p100;2016;475205.0;992;j
QY-MER;ahweal992j;p70p100;2017;491516.2;992;j
QY-MER;ahweal992j;p70p100;2018;503714.9;992;j
QY-MER;ahweal992j;p70p100;2019;515363.6;992;j
QY-MER;ahweal992j;p70p100;2020;509915.4;992;j
QY-MER;ahweal992j;p70p100;2021;544756.1;992;j
QY-MER;aptinc992j;p28p29;1980;8590.0;992;j
QY-MER;aptinc992j;p28p29;1981;8361.9;992;j
QY-MER;aptinc992j;p28p29;1982;8279.2;992;j
QY-MER;aptinc992j;p28p29;1983;8533.6;992;j
QY-MER;aptinc992j;p28p29;1984;8657.2;992;j
QY-MER;aptinc992j;p28p29;1985;8736.6;992;j
QY-MER;aptinc992j;p28p29;1986;8918.0;992;j
QY-MER;aptinc992j;p28p29;1987;9107.1;992;j
QY-MER;aptinc992j;p28p29;1988;9370.9;992;j
QY-MER;aptinc992j;p28p29;1989;9226.2;992;j
QY-MER;aptinc992j;p28p29;1990;8812.2;992;j
QY-MER;aptinc992j;p28p29;1991;8454.0;992;j
QY-MER;aptinc992j;p28p29;1992;8173.5;992;j
QY-MER;aptinc992j;p28p29;1993;7919.6;992;j
QY-MER;aptinc992j;p28p29;1994;8080.5;992;j
QY-MER;aptinc992j;p28p29;1995;8215.5;992;j
QY-MER;aptinc992j;p28p29;1996;8468.1;992;j
QY-MER;aptinc992j;p28p29;1997;8674.1;992;j
QY-MER;aptinc992j;p28p29;1998;8832.0;992;j
QY-MER;aptinc992j;p28p29;1999;9010.0;992;j
QY-MER;aptinc992j;p28p29;2000;9271.5;992;j
QY-MER;aptinc992j;p28p29;2001;9533.9;992;j
QY-MER;aptinc992j;p28p29;2002;9693.2;992;j
QY-MER;aptinc992j;p28p29;2003;9940.4;992;j
QY-MER;aptinc992j;p28p29;2004;10150.2;992;j
QY-MER;aptinc992j;p28p29;2005;10440.2;992;j
QY-MER;aptinc992j;p28p29;2006;10785.2;992;j
QY-MER;aptinc992j;p28p29;2007;11103.9;992;j
QY-MER;aptinc992j;p28p29;2008;11298.9;992;j
QY-MER;aptinc992j;p28p29;2009;10846.7;992;j
QY-MER;aptinc992j;p28p29;2010;11057.7;992;j
QY-MER;aptinc992j;p28p29;2011;11211.4;992;j
QY-MER;aptinc992j;p28p29;2012;11025.0;992;j
QY-MER;aptinc992j;p28p29;2013;10847.8;992;j
QY-MER;aptinc992j;p28p29;2014;11073.3;992;j
QY-MER;aptinc992j;p28p29;2015;11489.4;992;j
QY-MER;aptinc992j;p28p29;2016;11890.4;992;j
QY-MER;aptinc992j;p28p29;2017;12477.1;992;j
QY-MER;aptinc992j;p28p29;2018;12976.5;992;j
QY-MER;aptinc992j;p28p29;2019;13309.5;992;j
QY-MER;aptinc992j;p28p29;2020;12412.8;992;j
QY-MER;aptinc992j;p28p29;2021;13140.5;992;j
QY-MER;aptinc992j;p82p100;1980;56925.4;992;j
QY-MER;aptinc992j;p82p100;1981;56029.7;992;j
QY-MER;aptinc992j;p82p100;1982;55786.0;992;j
QY-MER;aptinc992j;p82p100;1983;56763.6;992;j
QY-MER;aptinc992j;p82p100;1984;57892.2;992;j
QY-MER;aptinc992j;p82p100;1985;59125.3;992;j
QY-MER;aptinc992j;p82p100;1986;61242.0;992;j
QY-MER;aptinc992j;p82p100;1987;62400.7;992;j
