country;variable;percentile;year;value;age;pop
QY;khfghn999i;p0p100;1990;5.7906436920166;999;i
QY;khfghn999i;p0p100;1991;5.65793037414551;999;i
QY;khfghn999i;p0p100;1992;6.10911655426025;999;i
QY;khfghn999i;p0p100;1993;5.73958873748779;999;i
QY;khfghn999i;p0p100;1994;5.64655303955078;999;i
QY;khfghn999i;p0p100;1995;5.73185920715332;999;i
QY;khfghn999i;p0p100;1996;5.68087244033813;999;i
QY;khfghn999i;p0p100;1997;5.5959300994873;999;i
QY;khfghn999i;p0p100;1998;5.69380474090576;999;i
QY;khfghn999i;p0p100;1999;5.65505743026733;999;i
QY;khfghn999i;p0p100;2000;5.71931219100952;999;i
QY;khfghn999i;p0p100;2001;5.62778615951538;999;i
QY;khfghn999i;p0p100;2002;5.63587236404419;999;i
QY;khfghn999i;p0p100;2003;5.70227479934692;999;i
QY;khfghn999i;p0p100;2004;5.88307666778565;999;i
QY;khfghn999i;p0p100;2005;5.91302919387817;999;i
QY;khfghn999i;p0p100;2006;6.11039686203003;999;i
QY;khfghn999i;p0p100;2007;6.00959587097168;999;i
QY;khfghn999i;p0p100;2008;5.87801742553711;999;i
QY;khfghn999i;p0p100;2009;5.26555442810059;999;i
QY;khfghn999i;p0p100;2010;5.38796663284302;999;i
QY;khfghn999i;p0p100;2011;5.37962055206299;999;i
QY;khfghn999i;p0p100;2012;4.97210836410522;999;i
QY;khfghn999i;p0p100;2013;4.83779621124268;999;i
QY;khfghn999i;p0p100;2014;4.70563459396362;999;i
QY;khfghn999i;p0p100;2015;4.64874601364136;999;i
QY;khfghn999i;p0p100;2016;4.57131719589233;999;i
QY;khfghn999i;p0p100;2017;4.63777256011963;999;i
QY;khfghn999i;p0p100;2018;4.66790056228638;999;i
QY;khfghn999i;p0p100;2019;4.4716911315918;999;i
QY;khfghn999i;p0p100;2020;4.02589082717896;999;i
QY;enngho999i;p0p100;1990;69.5463157418167;999;i
QY;enngho999i;p0p100;1991;90.6922427047004;999;i
QY;enngho999i;p0p100;1992;113.531490598914;999;i
QY;enngho999i;p0p100;1993;90.0078010042398;999;i
QY;enngho999i;p0p100;1994;124.083147949415;999;i
QY;enngho999i;p0p100;1995;139.942846990499;999;i
QY;enngho999i;p0p100;1996;142.771196892644;999;i
QY;enngho999i;p0p100;1997;105.023682533689;999;i
QY;enngho999i;p0p100;1998;172.553599488039;999;i
QY;enngho999i;p0p100;1999;179.587941759964;999;i
QY;enngho999i;p0p100;2000;193.243085875301;999;i
QY;enngho999i;p0p100;2001;178.261487836809;999;i
QY;enngho999i;p0p100;2002;173.355791496421;999;i
QY;enngho999i;p0p100;2003;209.597787706208;999;i
QY;enngho999i;p0p100;2004;230.93037985123;999;i
QY;enngho999i;p0p100;2005;227.463188021422;999;i
QY;enngho999i;p0p100;2006;237.913004658182;999;i
QY;enngho999i;p0p100;2007;238.66370683957;999;i
QY;enngho999i;p0p100;2008;238.97255651685;999;i
