country;variable;percentile;year;value;age;pop
SB;acomrx992i;p0p100;1975;0.0;992;i
SB;acomrx992i;p0p100;1976;0.0;992;i
SB;acomrx992i;p0p100;1977;0.0;992;i
SB;acomrx992i;p0p100;1978;0.0;992;i
SB;acomrx992i;p0p100;1979;0.0;992;i
SB;acomrx992i;p0p100;1980;0.0;992;i
SB;acomrx992i;p0p100;1981;0.0;992;i
SB;acomrx992i;p0p100;1982;0.0;992;i
SB;acomrx992i;p0p100;1983;0.0;992;i
SB;acomrx992i;p0p100;1984;0.0;992;i
SB;acomrx992i;p0p100;1985;0.0;992;i
SB;acomrx992i;p0p100;1986;0.0;992;i
SB;acomrx992i;p0p100;1987;0.0;992;i
SB;acomrx992i;p0p100;1988;0.0;992;i
SB;acomrx992i;p0p100;1989;0.0;992;i
SB;acomrx992i;p0p100;1990;0.0;992;i
SB;acomrx992i;p0p100;1991;0.0;992;i
SB;acomrx992i;p0p100;1992;0.0;992;i
SB;acomrx992i;p0p100;1993;0.0;992;i
SB;acomrx992i;p0p100;1994;0.0;992;i
SB;acomrx992i;p0p100;1995;0.0;992;i
SB;acomrx992i;p0p100;1996;0.0;992;i
SB;acomrx992i;p0p100;1997;0.0;992;i
SB;acomrx992i;p0p100;1998;0.0;992;i
SB;acomrx992i;p0p100;1999;275.3;992;i
SB;acomrx992i;p0p100;2000;469.7;992;i
SB;acomrx992i;p0p100;2001;442.8;992;i
SB;acomrx992i;p0p100;2002;251.2;992;i
SB;acomrx992i;p0p100;2003;283.2;992;i
SB;acomrx992i;p0p100;2004;594.7;992;i
SB;acomrx992i;p0p100;2005;352.1;992;i
SB;acomrx992i;p0p100;2006;128.1;992;i
SB;acomrx992i;p0p100;2007;113.4;992;i
SB;acomrx992i;p0p100;2008;87.2;992;i
SB;acomrx992i;p0p100;2009;130.2;992;i
SB;acomrx992i;p0p100;2010;151.5;992;i
SB;acomrx992i;p0p100;2011;168.5;992;i
SB;acomrx992i;p0p100;2012;206.2;992;i
SB;acomrx992i;p0p100;2013;210.8;992;i
SB;acomrx992i;p0p100;2014;222.5;992;i
SB;acomrx992i;p0p100;2015;212.3;992;i
SB;acomrx992i;p0p100;2016;275.4;992;i
SB;acomrx992i;p0p100;2017;215.1;992;i
SB;acomrx992i;p0p100;2018;266.8;992;i
SB;afsubx992i;p0p100;1975;0.0;992;i
SB;afsubx992i;p0p100;1976;0.0;992;i
SB;afsubx992i;p0p100;1977;0.0;992;i
SB;afsubx992i;p0p100;1978;0.0;992;i
SB;afsubx992i;p0p100;1979;0.0;992;i
SB;afsubx992i;p0p100;1980;0.0;992;i
SB;afsubx992i;p0p100;1981;0.0;992;i
SB;afsubx992i;p0p100;1982;0.0;992;i
SB;afsubx992i;p0p100;1983;0.0;992;i
SB;afsubx992i;p0p100;1984;0.0;992;i
SB;afsubx992i;p0p100;1985;0.0;992;i
SB;afsubx992i;p0p100;1986;0.0;992;i
SB;afsubx992i;p0p100;1987;0.0;992;i
SB;afsubx992i;p0p100;1988;0.0;992;i
SB;afsubx992i;p0p100;1989;0.0;992;i
SB;afsubx992i;p0p100;1990;0.0;992;i
SB;afsubx992i;p0p100;1991;0.0;992;i
SB;afsubx992i;p0p100;1992;0.0;992;i
SB;afsubx992i;p0p100;1993;0.0;992;i
SB;afsubx992i;p0p100;1994;0.0;992;i
SB;afsubx992i;p0p100;1995;0.0;992;i
SB;afsubx992i;p0p100;1996;0.0;992;i
SB;afsubx992i;p0p100;1997;0.0;992;i
SB;afsubx992i;p0p100;1998;0.0;992;i
SB;afsubx992i;p0p100;1999;0.0;992;i
SB;afsubx992i;p0p100;2000;0.0;992;i
