country;variable;percentile;year;value;age;pop
SM;ehfghg999i;p0p100;1980;0.228388343534634;999;i
SM;ehfghg999i;p0p100;1981;0.231890621776154;999;i
SM;ehfghg999i;p0p100;1982;0.237456276624646;999;i
SM;ehfghg999i;p0p100;1983;0.246594148467281;999;i
SM;ehfghg999i;p0p100;1984;0.249419541815372;999;i
SM;ehfghg999i;p0p100;1985;0.262034430051934;999;i
SM;ehfghg999i;p0p100;1986;0.267212539920065;999;i
SM;ehfghg999i;p0p100;1987;0.280492540683232;999;i
SM;ehfghg999i;p0p100;1988;0.285508447376469;999;i
SM;ehfghg999i;p0p100;1989;0.299058890054167;999;i
SM;ehfghg999i;p0p100;1990;0.318545517691402;999;i
SM;ehfghg999i;p0p100;1991;0.330276146158862;999;i
SM;ehfghg999i;p0p100;1992;0.349953874422848;999;i
SM;ehfghg999i;p0p100;1993;0.352141880611911;999;i
SM;ehfghg999i;p0p100;1994;0.355618284939349;999;i
SM;ehfghg999i;p0p100;1995;0.397684431376077;999;i
SM;ehfghg999i;p0p100;1996;0.395338496395587;999;i
SM;ehfghg999i;p0p100;1997;0.380869906282779;999;i
SM;ehfghg999i;p0p100;1998;0.395607104091318;999;i
SM;ehfghg999i;p0p100;1999;0.398206549197412;999;i
SM;ehfghg999i;p0p100;2000;0.405634684811127;999;i
SM;ehfghg999i;p0p100;2001;0.434318336072492;999;i
SM;ehfghg999i;p0p100;2002;0.433068047084941;999;i
SM;ehfghg999i;p0p100;2003;0.427949942791186;999;i
SM;ehfghg999i;p0p100;2004;0.437493153301743;999;i
SM;ehfghg999i;p0p100;2005;0.451434326386102;999;i
SM;ehfghg999i;p0p100;2006;0.454129010144491;999;i
SM;ehfghg999i;p0p100;2007;0.477068095748213;999;i
SM;ehfghg999i;p0p100;2008;0.479537638905352;999;i
SM;ehfghg999i;p0p100;2009;0.481022109404922;999;i
SM;ehfghg999i;p0p100;2010;0.454221457006908;999;i
SM;ehfghg999i;p0p100;2011;0.417130177145261;999;i
SM;ehfghg999i;p0p100;2012;0.421572858948933;999;i
SM;ehfghg999i;p0p100;2013;0.423139804730328;999;i
SM;ehfghg999i;p0p100;2014;0.430129373617349;999;i
SM;ehfghg999i;p0p100;2015;0.453405791066108;999;i
SM;ehfghg999i;p0p100;2016;0.460205253564816;999;i
SM;ehfghg999i;p0p100;2017;0.467004716063523;999;i
SM;ehfghg999i;p0p100;2018;0.473804178562231;999;i
SM;ehfghg999i;p0p100;2019;0.480603641060939;999;i
SM;ehfghg999i;p0p100;2020;0.432543276954845;999;i
SM;kntgho999i;p0p100;1980;1.49121582508087;999;i
SM;kntgho999i;p0p100;1981;1.47025036811829;999;i
SM;kntgho999i;p0p100;1982;1.45210325717926;999;i
SM;kntgho999i;p0p100;1983;1.39019691944122;999;i
