country;variable;percentile;year;value;age;pop
SX;mtaxnx999i;p0p100;2011;37079388.0;999;i
SX;mtaxnx999i;p0p100;2012;46697776.0;999;i
SX;mtaxnx999i;p0p100;2013;55695924.0;999;i
SX;mtaxnx999i;p0p100;2014;63483316.0;999;i
SX;mtaxnx999i;p0p100;2015;85628928.0;999;i
SX;mtaxnx999i;p0p100;2016;79331512.0;999;i
SX;mtaxnx999i;p0p100;2017;5205708.0;999;i
SX;mtaxnx999i;p0p100;2018;1575252.0;999;i
SX;afdinx999i;p0p100;2011;-117.0;999;i
SX;afdinx999i;p0p100;2012;-14.8;999;i
SX;afdinx999i;p0p100;2013;-25.1;999;i
SX;afdinx999i;p0p100;2014;-6.9;999;i
SX;afdinx999i;p0p100;2015;-14.1;999;i
SX;afdinx999i;p0p100;2016;30.8;999;i
SX;afdinx999i;p0p100;2017;53.1;999;i
SX;afdinx999i;p0p100;2018;-49.2;999;i
SX;aptfrx999i;p0p100;2011;5183.0;999;i
SX;aptfrx999i;p0p100;2012;3242.6;999;i
SX;aptfrx999i;p0p100;2013;5423.0;999;i
SX;aptfrx999i;p0p100;2014;4983.2;999;i
SX;aptfrx999i;p0p100;2015;3661.1;999;i
SX;aptfrx999i;p0p100;2016;3397.8;999;i
SX;aptfrx999i;p0p100;2017;3128.5;999;i
SX;aptfrx999i;p0p100;2018;3007.6;999;i
SX;apinpx999i;p0p100;2011;783.3;999;i
SX;apinpx999i;p0p100;2012;517.2;999;i
SX;apinpx999i;p0p100;2013;631.6;999;i
SX;apinpx999i;p0p100;2014;1018.7;999;i
SX;apinpx999i;p0p100;2015;1364.5;999;i
SX;apinpx999i;p0p100;2016;1328.9;999;i
SX;apinpx999i;p0p100;2017;578.0;999;i
SX;apinpx999i;p0p100;2018;499.9;999;i
SX;mfinrx999i;p0p100;2011;246708480.0;999;i
SX;mfinrx999i;p0p100;2012;195786400.0;999;i
SX;mfinrx999i;p0p100;2013;311704896.0;999;i
SX;mfinrx999i;p0p100;2014;287364128.0;999;i
SX;mfinrx999i;p0p100;2015;250813696.0;999;i
SX;mfinrx999i;p0p100;2016;249374608.0;999;i
SX;mfinrx999i;p0p100;2017;163247616.0;999;i
SX;mfinrx999i;p0p100;2018;153086608.0;999;i
SX;aptfrr999i;p0p100;2005;1396.9;999;i
SX;aptfrr999i;p0p100;2006;1417.4;999;i
SX;aptfrr999i;p0p100;2007;1406.8;999;i
SX;aptfrr999i;p0p100;2008;1369.4;999;i
SX;aptfrr999i;p0p100;2009;1715.4;999;i
SX;aptfrr999i;p0p100;2010;1822.6;999;i
SX;aptfrr999i;p0p100;2011;4993.0;999;i
SX;aptfrr999i;p0p100;2012;2933.7;999;i
SX;aptfrr999i;p0p100;2013;4972.2;999;i
SX;aptfrr999i;p0p100;2014;4568.2;999;i
SX;aptfrr999i;p0p100;2015;3068.6;999;i
SX;aptfrr999i;p0p100;2016;2432.5;999;i
SX;aptfrr999i;p0p100;2017;2554.2;999;i
SX;aptfrr999i;p0p100;2018;2416.3;999;i
SX;aptfrr999i;p0p100;2019;0.0;999;i
SX;aptfrr999i;p0p100;2020;0.0;999;i
SX;aptfrr999i;p0p100;2021;0.0;999;i
SX;mptfrn999i;p0p100;2005;42736196.0;999;i
SX;mptfrn999i;p0p100;2006;43624112.0;999;i
SX;mptfrn999i;p0p100;2007;43378280.0;999;i
SX;mptfrn999i;p0p100;2008;39812032.0;999;i
SX;mptfrn999i;p0p100;2009;56943732.0;999;i
SX;mptfrn999i;p0p100;2010;60923840.0;999;i
SX;mptfrn999i;p0p100;2011;173724816.0;999;i
SX;mptfrn999i;p0p100;2012;107803400.0;999;i
SX;mptfrn999i;p0p100;2013;187262672.0;999;i
SX;mptfrn999i;p0p100;2014;178163312.0;999;i
SX;mptfrn999i;p0p100;2015;122482648.0;999;i
SX;mptfrn999i;p0p100;2016;102127848.0;999;i
SX;mptfrn999i;p0p100;2017;108549784.0;999;i
SX;mptfrn999i;p0p100;2018;103856088.0;999;i
SX;mptfrn999i;p0p100;2019;2718043.0;999;i
SX;apweal999i;p0p100;2005;46591.8;999;i
SX;apweal999i;p0p100;2006;52056.9;999;i
SX;apweal999i;p0p100;2007;57451.7;999;i
SX;apweal999i;p0p100;2008;60894.8;999;i
SX;apweal999i;p0p100;2009;62649.9;999;i
SX;apweal999i;p0p100;2010;66061.4;999;i
SX;apweal999i;p0p100;2011;74875.4;999;i
SX;apweal999i;p0p100;2012;73846.3;999;i
SX;apweal999i;p0p100;2013;78537.0;999;i
SX;apweal999i;p0p100;2014;77884.0;999;i
SX;apweal999i;p0p100;2015;77159.6;999;i
SX;apweal999i;p0p100;2016;79016.9;999;i
SX;apweal999i;p0p100;2017;74435.0;999;i
SX;apweal999i;p0p100;2018;71345.3;999;i
