country;variable;percentile;year;value;age;pop
TC;aptfon999i;p0p100;2014;51.6;999;i
TC;aptfon999i;p0p100;2015;60.6;999;i
TC;aptfon999i;p0p100;2016;97.4;999;i
TC;aptfon999i;p0p100;2017;353.5;999;i
TC;aptfon999i;p0p100;2018;584.4;999;i
TC;mnweal999i;p0p100;1995;177192276.0;999;i
TC;mnweal999i;p0p100;1996;218090983.0;999;i
TC;mnweal999i;p0p100;1997;261452178.0;999;i
TC;mnweal999i;p0p100;1998;317825879.0;999;i
TC;mnweal999i;p0p100;1999;377517532.0;999;i
TC;mnweal999i;p0p100;2000;432348902.0;999;i
TC;mnweal999i;p0p100;2001;502345449.0;999;i
TC;mnweal999i;p0p100;2002;544829159.0;999;i
TC;mnweal999i;p0p100;2003;647475897.0;999;i
TC;mnweal999i;p0p100;2004;781577506.0;999;i
TC;mnweal999i;p0p100;2005;967707266.0;999;i
TC;mnweal999i;p0p100;2006;1235145187.0;999;i
TC;mnweal999i;p0p100;2007;1385896849.0;999;i
TC;mnweal999i;p0p100;2008;1587702422.0;999;i
TC;mnweal999i;p0p100;2009;1291448870.0;999;i
TC;mnweal999i;p0p100;2010;1350001384.0;999;i
TC;mnweal999i;p0p100;2011;1458244493.0;999;i
TC;mnweal999i;p0p100;2012;1465650648.0;999;i
TC;mnweal999i;p0p100;2013;1503210497.0;999;i
TC;mnweal999i;p0p100;2014;1629943502.0;999;i
TC;mnweal999i;p0p100;2015;1909207321.0;999;i
TC;mnweal999i;p0p100;2016;2097371495.0;999;i
TC;mnweal999i;p0p100;2017;2029630707.0;999;i
TC;mnweal999i;p0p100;2018;2185529778.0;999;i
TC;mnweal999i;p0p100;2019;2407185475.0;999;i
TC;mnweal999i;p0p100;2020;1770128205.0;999;i
TC;mnweal999i;p0p100;2021;1300635045.0;999;i
TC;mptfop999i;p0p100;2014;7924380.0;999;i
TC;mptfop999i;p0p100;2015;7827999.0;999;i
TC;mptfop999i;p0p100;2016;4485157.0;999;i
TC;mptfop999i;p0p100;2017;922817.0;999;i
TC;mptfop999i;p0p100;2018;621764.0;999;i
TC;mpweal999i;p0p100;1995;151372611.0;999;i
TC;mpweal999i;p0p100;1996;182415166.0;999;i
TC;mpweal999i;p0p100;1997;215359206.0;999;i
TC;mpweal999i;p0p100;1998;257711966.0;999;i
TC;mpweal999i;p0p100;1999;302014477.0;999;i
TC;mpweal999i;p0p100;2000;342004223.0;999;i
TC;mpweal999i;p0p100;2001;392085291.0;999;i
TC;mpweal999i;p0p100;2002;419396809.0;999;i
TC;mpweal999i;p0p100;2003;492565189.0;999;i
TC;mpweal999i;p0p100;2004;587740638.0;999;i
TC;mpweal999i;p0p100;2005;720218009.0;999;i
TC;mpweal999i;p0p100;2006;911984061.0;999;i
TC;mpweal999i;p0p100;2007;1018843496.0;999;i
TC;mpweal999i;p0p100;2008;1165461693.0;999;i
TC;mpweal999i;p0p100;2009;951456948.0;999;i
TC;mpweal999i;p0p100;2010;1000782516.0;999;i
TC;mpweal999i;p0p100;2011;1091268533.0;999;i
TC;mpweal999i;p0p100;2012;1109480919.0;999;i
TC;mpweal999i;p0p100;2013;1154311251.0;999;i
TC;mpweal999i;p0p100;2014;1271493622.0;999;i
TC;mpweal999i;p0p100;2015;1513954107.0;999;i
TC;mpweal999i;p0p100;2016;1691351571.0;999;i
TC;mpweal999i;p0p100;2017;1664357925.0;999;i
TC;mpweal999i;p0p100;2018;1821206508.0;999;i
TC;mpweal999i;p0p100;2019;2037275776.0;999;i
TC;mpweal999i;p0p100;2020;1519867116.0;999;i
TC;mpweal999i;p0p100;2021;1132156126.0;999;i
TC;afdipx999i;p0p100;2014;0.0;999;i
TC;afdipx999i;p0p100;2015;0.0;999;i
TC;afdipx999i;p0p100;2016;0.0;999;i
TC;afdipx999i;p0p100;2017;905.3;999;i
TC;afdipx999i;p0p100;2018;1631.5;999;i
TC;mptfor999i;p0p100;2014;9749095.0;999;i
TC;mptfor999i;p0p100;2015;10007638.0;999;i
TC;mptfor999i;p0p100;2016;8047470.0;999;i
TC;mptfor999i;p0p100;2017;14042521.0;999;i
TC;mptfor999i;p0p100;2018;22631804.0;999;i
