country;variable;percentile;year;value;age;pop
TL;aftaxx999i;p0p100;2006;0.0;999;i
TL;aftaxx999i;p0p100;2007;0.0;999;i
TL;aftaxx999i;p0p100;2008;0.0;999;i
TL;aftaxx999i;p0p100;2009;0.0;999;i
TL;aftaxx999i;p0p100;2010;0.0;999;i
TL;aftaxx999i;p0p100;2011;0.0;999;i
TL;aftaxx999i;p0p100;2012;0.0;999;i
TL;aftaxx999i;p0p100;2013;0.0;999;i
TL;aftaxx999i;p0p100;2014;0.0;999;i
TL;aftaxx999i;p0p100;2015;0.0;999;i
TL;aftaxx999i;p0p100;2016;0.0;999;i
TL;aftaxx999i;p0p100;2017;0.0;999;i
TL;aftaxx999i;p0p100;2018;0.0;999;i
TL;aptinc992j;p4p5;1980;0.0;992;j
TL;aptinc992j;p4p5;1981;0.0;992;j
TL;aptinc992j;p4p5;1982;0.0;992;j
TL;aptinc992j;p4p5;1983;0.0;992;j
TL;aptinc992j;p4p5;1984;0.0;992;j
TL;aptinc992j;p4p5;1985;0.0;992;j
TL;aptinc992j;p4p5;1986;0.0;992;j
TL;aptinc992j;p4p5;1987;0.0;992;j
TL;aptinc992j;p4p5;1988;0.0;992;j
TL;aptinc992j;p4p5;1989;0.0;992;j
TL;aptinc992j;p4p5;1990;0.0;992;j
TL;aptinc992j;p4p5;1991;0.0;992;j
TL;aptinc992j;p4p5;1992;0.0;992;j
TL;aptinc992j;p4p5;1993;0.0;992;j
TL;aptinc992j;p4p5;1994;0.0;992;j
TL;aptinc992j;p4p5;1995;0.0;992;j
TL;aptinc992j;p4p5;1996;0.0;992;j
TL;aptinc992j;p4p5;1997;0.0;992;j
TL;aptinc992j;p4p5;1998;0.0;992;j
TL;aptinc992j;p4p5;1999;0.0;992;j
TL;aptinc992j;p4p5;2000;0.0;992;j
TL;aptinc992j;p4p5;2001;0.0;992;j
TL;aptinc992j;p4p5;2002;0.0;992;j
TL;aptinc992j;p4p5;2003;0.0;992;j
TL;aptinc992j;p4p5;2004;0.0;992;j
TL;aptinc992j;p4p5;2005;0.0;992;j
TL;aptinc992j;p4p5;2006;0.0;992;j
TL;aptinc992j;p4p5;2007;0.0;992;j
TL;aptinc992j;p4p5;2008;0.0;992;j
TL;aptinc992j;p4p5;2009;0.0;992;j
TL;aptinc992j;p4p5;2010;0.0;992;j
TL;aptinc992j;p4p5;2011;0.0;992;j
TL;aptinc992j;p4p5;2012;0.0;992;j
TL;aptinc992j;p4p5;2013;0.0;992;j
TL;aptinc992j;p4p5;2014;0.0;992;j
TL;aptinc992j;p4p5;2015;0.0;992;j
TL;aptinc992j;p4p5;2016;0.0;992;j
TL;aptinc992j;p4p5;2017;0.0;992;j
TL;aptinc992j;p4p5;2018;0.0;992;j
TL;aptinc992j;p4p5;2019;0.0;992;j
TL;aptinc992j;p4p5;2020;0.0;992;j
TL;aptinc992j;p4p5;2021;0.0;992;j
TL;aptinc992j;p0p33;1980;90.7;992;j
TL;aptinc992j;p0p33;1981;94.0;992;j
TL;aptinc992j;p0p33;1982;92.3;992;j
TL;aptinc992j;p0p33;1983;99.7;992;j
TL;aptinc992j;p0p33;1984;103.7;992;j
TL;aptinc992j;p0p33;1985;104.3;992;j
TL;aptinc992j;p0p33;1986;104.0;992;j
TL;aptinc992j;p0p33;1987;113.0;992;j
TL;aptinc992j;p0p33;1988;115.3;992;j
TL;aptinc992j;p0p33;1989;123.8;992;j
TL;aptinc992j;p0p33;1990;130.7;992;j
TL;aptinc992j;p0p33;1991;140.0;992;j
TL;aptinc992j;p0p33;1992;149.9;992;j
TL;aptinc992j;p0p33;1993;160.8;992;j
TL;aptinc992j;p0p33;1994;168.4;992;j
TL;aptinc992j;p0p33;1995;177.1;992;j
TL;aptinc992j;p0p33;1996;193.7;992;j
TL;aptinc992j;p0p33;1997;200.1;992;j
TL;aptinc992j;p0p33;1998;194.6;992;j
TL;aptinc992j;p0p33;1999;120.7;992;j
TL;aptinc992j;p0p33;2000;140.3;992;j
TL;aptinc992j;p0p33;2001;162.8;992;j
TL;aptinc992j;p0p33;2002;159.0;992;j
TL;aptinc992j;p0p33;2003;161.9;992;j
TL;aptinc992j;p0p33;2004;165.0;992;j
TL;aptinc992j;p0p33;2005;173.8;992;j
TL;aptinc992j;p0p33;2006;214.4;992;j
TL;aptinc992j;p0p33;2007;285.0;992;j
TL;aptinc992j;p0p33;2008;329.4;992;j
TL;aptinc992j;p0p33;2009;362.4;992;j
TL;aptinc992j;p0p33;2010;387.1;992;j
TL;aptinc992j;p0p33;2011;404.6;992;j
TL;aptinc992j;p0p33;2012;402.1;992;j
TL;aptinc992j;p0p33;2013;404.7;992;j
TL;aptinc992j;p0p33;2014;391.6;992;j
TL;aptinc992j;p0p33;2015;360.3;992;j
TL;aptinc992j;p0p33;2016;306.1;992;j
TL;aptinc992j;p0p33;2017;308.1;992;j
TL;aptinc992j;p0p33;2018;305.4;992;j
TL;aptinc992j;p0p33;2019;356.9;992;j
TL;aptinc992j;p0p33;2020;382.9;992;j
TL;aptinc992j;p0p33;2021;382.0;992;j
TL;aptinc992j;p0p54;1980;363.9;992;j
TL;aptinc992j;p0p54;1981;377.2;992;j
TL;aptinc992j;p0p54;1982;370.2;992;j
TL;aptinc992j;p0p54;1983;399.9;992;j
TL;aptinc992j;p0p54;1984;416.3;992;j
