country;variable;percentile;year;value;age;pop
TO;asopgo999i;p0p100;1980;25.9;999;i
TO;asopgo999i;p0p100;1981;20.2;999;i
TO;asopgo999i;p0p100;1982;26.8;999;i
TO;asopgo999i;p0p100;1983;24.1;999;i
TO;asopgo999i;p0p100;1984;31.9;999;i
TO;asopgo999i;p0p100;1985;31.6;999;i
TO;asopgo999i;p0p100;1986;32.2;999;i
TO;asopgo999i;p0p100;1987;34.6;999;i
TO;mdefgo999i;p0p100;1980;3216676.0;999;i
TO;mdefgo999i;p0p100;1981;3764926.0;999;i
TO;mdefgo999i;p0p100;1982;5012218.0;999;i
TO;mdefgo999i;p0p100;1983;4513939.0;999;i
TO;mdefgo999i;p0p100;1984;5228355.0;999;i
TO;mdefgo999i;p0p100;1985;6670581.0;999;i
TO;mdefgo999i;p0p100;1986;6055030.0;999;i
TO;mdefgo999i;p0p100;1987;5975082.0;999;i
TO;npopul401f;p0p100;1950;884.0;401;f
TO;npopul401f;p0p100;1951;926.0;401;f
TO;npopul401f;p0p100;1952;964.0;401;f
TO;npopul401f;p0p100;1953;999.0;401;f
TO;npopul401f;p0p100;1954;1031.0;401;f
TO;npopul401f;p0p100;1955;1064.0;401;f
TO;npopul401f;p0p100;1956;1096.0;401;f
TO;npopul401f;p0p100;1957;1123.0;401;f
TO;npopul401f;p0p100;1958;1158.0;401;f
TO;npopul401f;p0p100;1959;1199.0;401;f
TO;npopul401f;p0p100;1960;1253.0;401;f
TO;npopul401f;p0p100;1961;1314.0;401;f
TO;npopul401f;p0p100;1962;1400.0;401;f
TO;npopul401f;p0p100;1963;1501.0;401;f
TO;npopul401f;p0p100;1964;1605.0;401;f
TO;npopul401f;p0p100;1965;1702.0;401;f
TO;npopul401f;p0p100;1966;1751.0;401;f
TO;npopul401f;p0p100;1967;1785.0;401;f
TO;npopul401f;p0p100;1968;1806.0;401;f
TO;npopul401f;p0p100;1969;1817.0;401;f
TO;npopul401f;p0p100;1970;1821.0;401;f
TO;npopul401f;p0p100;1971;1849.0;401;f
TO;npopul401f;p0p100;1972;1869.0;401;f
TO;npopul401f;p0p100;1973;1886.0;401;f
TO;npopul401f;p0p100;1974;1907.0;401;f
TO;npopul401f;p0p100;1975;1940.0;401;f
TO;npopul401f;p0p100;1976;1989.0;401;f
TO;npopul401f;p0p100;1977;2036.0;401;f
TO;npopul401f;p0p100;1978;2080.0;401;f
TO;npopul401f;p0p100;1979;2114.0;401;f
TO;npopul401f;p0p100;1980;2142.0;401;f
TO;npopul401f;p0p100;1981;2110.0;401;f
TO;npopul401f;p0p100;1982;2063.0;401;f
TO;npopul401f;p0p100;1983;2002.0;401;f
TO;npopul401f;p0p100;1984;1938.0;401;f
TO;npopul401f;p0p100;1985;1894.0;401;f
TO;npopul401f;p0p100;1986;1895.0;401;f
TO;npopul401f;p0p100;1987;1914.0;401;f
TO;npopul401f;p0p100;1988;1934.0;401;f
TO;npopul401f;p0p100;1989;1940.0;401;f
TO;npopul401f;p0p100;1990;1942.0;401;f
TO;npopul401f;p0p100;1991;1998.0;401;f
TO;npopul401f;p0p100;1992;2061.0;401;f
TO;npopul401f;p0p100;1993;2131.0;401;f
TO;npopul401f;p0p100;1994;2198.0;401;f
TO;npopul401f;p0p100;1995;2256.0;401;f
TO;npopul401f;p0p100;1996;2263.0;401;f
TO;npopul401f;p0p100;1997;2264.0;401;f
TO;npopul401f;p0p100;1998;2260.0;401;f
TO;npopul401f;p0p100;1999;2245.0;401;f
TO;npopul401f;p0p100;2000;2217.0;401;f
TO;npopul401f;p0p100;2001;2230.0;401;f
TO;npopul401f;p0p100;2002;2231.0;401;f
TO;npopul401f;p0p100;2003;2229.0;401;f
TO;npopul401f;p0p100;2004;2266.0;401;f
TO;npopul401f;p0p100;2005;2360.0;401;f
TO;npopul401f;p0p100;2006;2432.0;401;f
TO;npopul401f;p0p100;2007;2526.0;401;f
TO;npopul401f;p0p100;2008;2608.0;401;f
TO;npopul401f;p0p100;2009;2647.0;401;f
TO;npopul401f;p0p100;2010;2661.0;401;f
TO;npopul401f;p0p100;2011;2758.0;401;f
TO;npopul401f;p0p100;2012;2817.0;401;f
TO;npopul401f;p0p100;2013;2826.0;401;f
TO;npopul401f;p0p100;2014;2789.0;401;f
TO;npopul401f;p0p100;2015;2729.0;401;f
TO;npopul401f;p0p100;2016;2713.0;401;f
TO;npopul401f;p0p100;2017;2711.0;401;f
TO;npopul401f;p0p100;2018;2721.0;401;f
TO;npopul401f;p0p100;2019;2750.0;401;f
TO;npopul401f;p0p100;2020;2796.0;401;f
TO;npopul401f;p0p100;2021;2867.0;401;f
TO;npopul651f;p0p100;1950;226.0;651;f
TO;npopul651f;p0p100;1951;246.0;651;f
TO;npopul651f;p0p100;1952;268.0;651;f
TO;npopul651f;p0p100;1953;297.0;651;f
TO;npopul651f;p0p100;1954;329.0;651;f
TO;npopul651f;p0p100;1955;360.0;651;f
TO;npopul651f;p0p100;1956;381.0;651;f
TO;npopul651f;p0p100;1957;400.0;651;f
TO;npopul651f;p0p100;1958;419.0;651;f
TO;npopul651f;p0p100;1959;438.0;651;f
TO;npopul651f;p0p100;1960;462.0;651;f
TO;npopul651f;p0p100;1961;463.0;651;f
TO;npopul651f;p0p100;1962;471.0;651;f
TO;npopul651f;p0p100;1963;484.0;651;f
TO;npopul651f;p0p100;1964;498.0;651;f
TO;npopul651f;p0p100;1965;513.0;651;f
TO;npopul651f;p0p100;1966;517.0;651;f
TO;npopul651f;p0p100;1967;519.0;651;f
TO;npopul651f;p0p100;1968;516.0;651;f
TO;npopul651f;p0p100;1969;513.0;651;f
TO;npopul651f;p0p100;1970;504.0;651;f
TO;npopul651f;p0p100;1971;504.0;651;f
TO;npopul651f;p0p100;1972;502.0;651;f
TO;npopul651f;p0p100;1973;499.0;651;f
TO;npopul651f;p0p100;1974;497.0;651;f
TO;npopul651f;p0p100;1975;501.0;651;f
TO;npopul651f;p0p100;1976;507.0;651;f
TO;npopul651f;p0p100;1977;518.0;651;f
TO;npopul651f;p0p100;1978;534.0;651;f
TO;npopul651f;p0p100;1979;558.0;651;f
TO;npopul651f;p0p100;1980;587.0;651;f
TO;npopul651f;p0p100;1981;621.0;651;f
TO;npopul651f;p0p100;1982;656.0;651;f
TO;npopul651f;p0p100;1983;689.0;651;f
TO;npopul651f;p0p100;1984;718.0;651;f
TO;npopul651f;p0p100;1985;741.0;651;f
TO;npopul651f;p0p100;1986;768.0;651;f
TO;npopul651f;p0p100;1987;798.0;651;f
TO;npopul651f;p0p100;1988;831.0;651;f
TO;npopul651f;p0p100;1989;869.0;651;f
TO;npopul651f;p0p100;1990;911.0;651;f
TO;npopul651f;p0p100;1991;953.0;651;f
TO;npopul651f;p0p100;1992;999.0;651;f
TO;npopul651f;p0p100;1993;1044.0;651;f
TO;npopul651f;p0p100;1994;1085.0;651;f
TO;npopul651f;p0p100;1995;1121.0;651;f
TO;npopul651f;p0p100;1996;1133.0;651;f
TO;npopul651f;p0p100;1997;1138.0;651;f
TO;npopul651f;p0p100;1998;1142.0;651;f
TO;npopul651f;p0p100;1999;1142.0;651;f
TO;npopul651f;p0p100;2000;1140.0;651;f
TO;npopul651f;p0p100;2001;1140.0;651;f
TO;npopul651f;p0p100;2002;1137.0;651;f
TO;npopul651f;p0p100;2003;1127.0;651;f
TO;npopul651f;p0p100;2004;1111.0;651;f
TO;npopul651f;p0p100;2005;1093.0;651;f
TO;npopul651f;p0p100;2006;1070.0;651;f
TO;npopul651f;p0p100;2007;1046.0;651;f
TO;npopul651f;p0p100;2008;1023.0;651;f
TO;npopul651f;p0p100;2009;1001.0;651;f
TO;npopul651f;p0p100;2010;983.0;651;f
TO;npopul651f;p0p100;2011;996.0;651;f
TO;npopul651f;p0p100;2012;1011.0;651;f
TO;npopul651f;p0p100;2013;1024.0;651;f
TO;npopul651f;p0p100;2014;1040.0;651;f
TO;npopul651f;p0p100;2015;1069.0;651;f
TO;npopul651f;p0p100;2016;1083.0;651;f
TO;npopul651f;p0p100;2017;1115.0;651;f
TO;npopul651f;p0p100;2018;1158.0;651;f
TO;npopul651f;p0p100;2019;1205.0;651;f
TO;npopul651f;p0p100;2020;1247.0;651;f
TO;npopul651f;p0p100;2021;1279.0;651;f
TO;aptfop992i;p0p100;1971;9.1;992;i
TO;aptfop992i;p0p100;1972;12.4;992;i
TO;aptfop992i;p0p100;1973;18.2;992;i
TO;aptfop992i;p0p100;1974;30.9;992;i
TO;aptfop992i;p0p100;1975;14.2;992;i
TO;aptfop992i;p0p100;1976;48.6;992;i
TO;aptfop992i;p0p100;1977;69.5;992;i
TO;aptfop992i;p0p100;1978;1.5;992;i
TO;aptfop992i;p0p100;1979;43.0;992;i
TO;aptfop992i;p0p100;1980;35.6;992;i
TO;aptfop992i;p0p100;1981;81.7;992;i
TO;aptfop992i;p0p100;1982;132.3;992;i
TO;aptfop992i;p0p100;1983;15.4;992;i
TO;aptfop992i;p0p100;1984;23.8;992;i
TO;aptfop992i;p0p100;1985;21.1;992;i
TO;aptfop992i;p0p100;1986;62.6;992;i
TO;aptfop992i;p0p100;1987;16.7;992;i
TO;aptfop992i;p0p100;1988;120.4;992;i
TO;aptfop992i;p0p100;1989;50.1;992;i
TO;aptfop992i;p0p100;1990;44.5;992;i
TO;aptfop992i;p0p100;1991;53.0;992;i
TO;aptfop992i;p0p100;1992;67.1;992;i
TO;aptfop992i;p0p100;1993;169.6;992;i
TO;aptfop992i;p0p100;1994;102.6;992;i
TO;aptfop992i;p0p100;2002;94.4;992;i
TO;aptfop992i;p0p100;2003;204.5;992;i
TO;aptfop992i;p0p100;2004;201.1;992;i
TO;aptfop992i;p0p100;2005;416.8;992;i
TO;aptfop992i;p0p100;2006;169.6;992;i
TO;aptfop992i;p0p100;2007;169.1;992;i
TO;aptfop992i;p0p100;2008;219.7;992;i
TO;aptfop992i;p0p100;2009;187.6;992;i
TO;aptfop992i;p0p100;2010;291.8;992;i
TO;aptfop992i;p0p100;2011;177.0;992;i
TO;aptfop992i;p0p100;2012;196.9;992;i
TO;aptfop992i;p0p100;2013;282.5;992;i
TO;aptfop992i;p0p100;2014;232.2;992;i
TO;aptfop992i;p0p100;2015;246.5;992;i
TO;aptfop992i;p0p100;2016;292.1;992;i
TO;aptfop992i;p0p100;2017;197.6;992;i
TO;aptfop992i;p0p100;2018;249.8;992;i
TO;npopul551f;p0p100;1950;433.0;551;f
TO;npopul551f;p0p100;1951;470.0;551;f
TO;npopul551f;p0p100;1952;506.0;551;f
TO;npopul551f;p0p100;1953;542.0;551;f
TO;npopul551f;p0p100;1954;575.0;551;f
TO;npopul551f;p0p100;1955;605.0;551;f
TO;npopul551f;p0p100;1956;625.0;551;f
TO;npopul551f;p0p100;1957;643.0;551;f
TO;npopul551f;p0p100;1958;665.0;551;f
TO;npopul551f;p0p100;1959;689.0;551;f
TO;npopul551f;p0p100;1960;718.0;551;f
TO;npopul551f;p0p100;1961;726.0;551;f
TO;npopul551f;p0p100;1962;736.0;551;f
TO;npopul551f;p0p100;1963;745.0;551;f
TO;npopul551f;p0p100;1964;750.0;551;f
TO;npopul551f;p0p100;1965;755.0;551;f
TO;npopul551f;p0p100;1966;756.0;551;f
TO;npopul551f;p0p100;1967;760.0;551;f
TO;npopul551f;p0p100;1968;767.0;551;f
TO;npopul551f;p0p100;1969;777.0;551;f
TO;npopul551f;p0p100;1970;792.0;551;f
TO;npopul551f;p0p100;1971;826.0;551;f
TO;npopul551f;p0p100;1972;865.0;551;f
TO;npopul551f;p0p100;1973;909.0;551;f
TO;npopul551f;p0p100;1974;956.0;551;f
TO;npopul551f;p0p100;1975;1008.0;551;f
TO;npopul551f;p0p100;1976;1066.0;551;f
TO;npopul551f;p0p100;1977;1124.0;551;f
TO;npopul551f;p0p100;1978;1186.0;551;f
TO;npopul551f;p0p100;1979;1248.0;551;f
TO;npopul551f;p0p100;1980;1309.0;551;f
TO;npopul551f;p0p100;1981;1327.0;551;f
TO;npopul551f;p0p100;1982;1343.0;551;f
