country;variable;percentile;year;value;age;pop
TV;afsubx999i;p0p100;2001;2280.7;999;i
TV;afsubx999i;p0p100;2002;1542.6;999;i
TV;afsubx999i;p0p100;2003;254.2;999;i
TV;afsubx999i;p0p100;2004;702.9;999;i
TV;afsubx999i;p0p100;2005;498.2;999;i
TV;afsubx999i;p0p100;2006;775.8;999;i
TV;afsubx999i;p0p100;2007;646.8;999;i
TV;afsubx999i;p0p100;2008;1188.7;999;i
TV;afsubx999i;p0p100;2009;1263.9;999;i
TV;afsubx999i;p0p100;2010;1017.7;999;i
TV;afsubx999i;p0p100;2011;752.9;999;i
TV;afsubx999i;p0p100;2012;1042.5;999;i
TV;afsubx999i;p0p100;2013;2261.9;999;i
TV;mptfrp999i;p0p100;1970;0.0;999;i
TV;mptfrp999i;p0p100;1971;90.0;999;i
TV;mptfrp999i;p0p100;1972;162.0;999;i
TV;mptfrp999i;p0p100;1973;198.0;999;i
TV;mptfrp999i;p0p100;1974;192.0;999;i
TV;mptfrp999i;p0p100;1975;172.0;999;i
TV;mptfrp999i;p0p100;1976;275.0;999;i
TV;mptfrp999i;p0p100;1977;299.0;999;i
TV;mptfrp999i;p0p100;1978;333.0;999;i
TV;mptfrp999i;p0p100;1979;467.0;999;i
TV;mptfrp999i;p0p100;1980;621.0;999;i
TV;mptfrp999i;p0p100;1981;682.0;999;i
TV;mptfrp999i;p0p100;1982;567.0;999;i
TV;mptfrp999i;p0p100;1983;752.0;999;i
TV;mptfrp999i;p0p100;1984;1030.0;999;i
TV;mptfrp999i;p0p100;1985;987.0;999;i
TV;mptfrp999i;p0p100;1986;1031.0;999;i
TV;mptfrp999i;p0p100;1987;1024.0;999;i
TV;mptfrp999i;p0p100;1988;2801.0;999;i
TV;mptfrp999i;p0p100;1989;2735.0;999;i
TV;mptfrp999i;p0p100;1990;2730.0;999;i
TV;mptfrp999i;p0p100;1991;577.0;999;i
TV;mptfrp999i;p0p100;1992;2800.0;999;i
TV;mptfrp999i;p0p100;1993;4946.0;999;i
TV;mptfrp999i;p0p100;1994;5018.0;999;i
TV;mptfrp999i;p0p100;1995;8000.0;999;i
TV;mptfrp999i;p0p100;1996;5287.0;999;i
TV;mptfrp999i;p0p100;1997;6853.0;999;i
TV;mptfrp999i;p0p100;1998;6960.0;999;i
TV;mptfrp999i;p0p100;1999;4303.0;999;i
TV;mptfrp999i;p0p100;2000;9748.0;999;i
TV;mptfrp999i;p0p100;2001;12051.0;999;i
TV;mptfrp999i;p0p100;2002;14932.0;999;i
TV;mptfrp999i;p0p100;2003;12439.0;999;i
TV;mptfrp999i;p0p100;2004;9343.0;999;i
TV;mptfrp999i;p0p100;2005;4603.0;999;i
TV;mptfrp999i;p0p100;2006;-249.0;999;i
TV;mptfrp999i;p0p100;2007;2079.0;999;i
TV;mptfrp999i;p0p100;2008;8271.0;999;i
TV;mptfrp999i;p0p100;2009;11649.0;999;i
TV;mptfrp999i;p0p100;2010;19295.0;999;i
TV;mptfrp999i;p0p100;2011;37655.0;999;i
TV;mptfrp999i;p0p100;2012;35401.0;999;i
TV;mptfrp999i;p0p100;2013;53370.0;999;i
TV;mptfrp999i;p0p100;2014;43629.0;999;i
TV;mptfrp999i;p0p100;2015;52057.0;999;i
TV;mptfrp999i;p0p100;2016;55437.0;999;i
TV;mptfrp999i;p0p100;2017;58295.0;999;i
TV;mptfrp999i;p0p100;2018;61096.0;999;i
TV;mptfrp999i;p0p100;2019;94613.0;999;i
TV;mnweal999i;p0p100;1995;55177278.0;999;i
TV;mnweal999i;p0p100;1996;53217397.0;999;i
TV;mnweal999i;p0p100;1997;60382968.0;999;i
TV;mnweal999i;p0p100;1998;71008463.0;999;i
TV;mnweal999i;p0p100;1999;71071369.0;999;i
TV;mnweal999i;p0p100;2000;72212389.0;999;i
TV;mnweal999i;p0p100;2001;145613826.0;999;i
TV;mnweal999i;p0p100;2002;148836936.0;999;i
TV;mnweal999i;p0p100;2003;113401727.0;999;i
TV;mnweal999i;p0p100;2004;119884354.0;999;i
TV;mnweal999i;p0p100;2005;116104904.0;999;i
TV;mnweal999i;p0p100;2006;142615721.0;999;i
TV;mnweal999i;p0p100;2007;152394898.0;999;i
TV;mnweal999i;p0p100;2008;182317790.0;999;i
TV;mnweal999i;p0p100;2009;171802489.0;999;i
TV;mnweal999i;p0p100;2010;151044971.0;999;i
TV;mnweal999i;p0p100;2011;161859573.0;999;i
TV;mnweal999i;p0p100;2012;149352489.0;999;i
TV;mnweal999i;p0p100;2013;193864191.0;999;i
