country;variable;percentile;year;value;age;pop
US-AK;sptinc992t;p99.9p100;1917;0.0095;992;t
US-AK;sptinc992t;p99.9p100;1918;0.0061;992;t
US-AK;sptinc992t;p99.9p100;1919;0.0043;992;t
US-AK;sptinc992t;p99.9p100;1920;0.0035;992;t
US-AK;sptinc992t;p99.9p100;1939;0.0105;992;t
US-AK;sptinc992t;p99.9p100;1940;0.0108;992;t
US-AK;sptinc992t;p99.9p100;1941;0.0135;992;t
US-AK;sptinc992t;p99.9p100;1942;0.014;992;t
US-AK;sptinc992t;p99.9p100;1955;0.0072;992;t
US-AK;sptinc992t;p99.9p100;1956;0.0068;992;t
US-AK;sptinc992t;p99.9p100;1957;0.0074;992;t
US-AK;sptinc992t;p99.9p100;1958;0.0081;992;t
US-AK;sptinc992t;p99.9p100;1959;0.0107;992;t
US-AK;sptinc992t;p99.9p100;1960;0.0074;992;t
US-AK;sptinc992t;p99.9p100;1961;0.0121;992;t
US-AK;sptinc992t;p99.9p100;1962;0.0094;992;t
US-AK;sptinc992t;p99.9p100;1963;0.0096;992;t
US-AK;sptinc992t;p99.9p100;1964;0.0101;992;t
US-AK;sptinc992t;p99.9p100;1965;0.0109;992;t
US-AK;sptinc992t;p99.9p100;1966;0.0103;992;t
US-AK;sptinc992t;p99.9p100;1967;0.0095;992;t
US-AK;sptinc992t;p99.9p100;1968;0.0118;992;t
US-AK;sptinc992t;p99.9p100;1969;0.0119;992;t
US-AK;sptinc992t;p99.9p100;1970;0.0111;992;t
US-AK;sptinc992t;p99.9p100;1971;0.0114;992;t
US-AK;sptinc992t;p99.9p100;1972;0.0114;992;t
US-AK;sptinc992t;p99.9p100;1973;0.0125;992;t
US-AK;sptinc992t;p99.9p100;1974;0.0275;992;t
US-AK;sptinc992t;p99.9p100;1975;0.0114;992;t
US-AK;sptinc992t;p99.9p100;1976;0.0108;992;t
US-AK;sptinc992t;p99.9p100;1977;0.0115;992;t
US-AK;sptinc992t;p99.9p100;1978;0.0111;992;t
US-AK;sptinc992t;p99.9p100;1979;0.0135;992;t
US-AK;sptinc992t;p99.9p100;1980;0.0129;992;t
US-AK;sptinc992t;p99.9p100;1981;0.0155;992;t
US-AK;sptinc992t;p99.9p100;1982;0.0261;992;t
US-AK;sptinc992t;p99.9p100;1983;0.017;992;t
US-AK;sptinc992t;p99.9p100;1984;0.0247;992;t
US-AK;sptinc992t;p99.9p100;1985;0.0253;992;t
US-AK;sptinc992t;p99.9p100;1986;0.0308;992;t
US-AK;sptinc992t;p99.9p100;1987;0.0234;992;t
US-AK;sptinc992t;p99.9p100;1988;0.0285;992;t
US-AK;sptinc992t;p99.9p100;1989;0.0309;992;t
US-AK;sptinc992t;p99.9p100;1990;0.0494;992;t
US-AK;sptinc992t;p99.9p100;1991;0.0266;992;t
US-AK;sptinc992t;p99.9p100;1992;0.0289;992;t
US-AK;sptinc992t;p99.9p100;1993;0.0265;992;t
US-AK;sptinc992t;p99.9p100;1994;0.0283;992;t
US-AK;sptinc992t;p99.9p100;1995;0.0286;992;t
US-AK;sptinc992t;p99.9p100;1996;0.0325;992;t
US-AK;sptinc992t;p99.9p100;1997;0.0345;992;t
US-AK;sptinc992t;p99.9p100;1998;0.0411;992;t
US-AK;sptinc992t;p99.9p100;1999;0.0347;992;t
US-AK;sptinc992t;p99.9p100;2000;0.0443;992;t
US-AK;sptinc992t;p99.9p100;2001;0.0338;992;t
US-AK;sptinc992t;p99.9p100;2002;0.0345;992;t
