country;variable;percentile;year;value;age;pop
US-AL;sfiinc992t;p99.9p99.99;1917;0.028;992;t
US-AL;sfiinc992t;p99.9p99.99;1918;0.0297;992;t
US-AL;sfiinc992t;p99.9p99.99;1919;0.0317;992;t
US-AL;sfiinc992t;p99.9p99.99;1920;0.0321;992;t
US-AL;sfiinc992t;p99.9p99.99;1921;0.0308;992;t
US-AL;sfiinc992t;p99.9p99.99;1922;0.035;992;t
US-AL;sfiinc992t;p99.9p99.99;1923;0.0361;992;t
US-AL;sfiinc992t;p99.9p99.99;1924;0.039;992;t
US-AL;sfiinc992t;p99.9p99.99;1925;0.041;992;t
US-AL;sfiinc992t;p99.9p99.99;1926;0.0409;992;t
US-AL;sfiinc992t;p99.9p99.99;1927;0.0405;992;t
US-AL;sfiinc992t;p99.9p99.99;1928;0.0398;992;t
US-AL;sfiinc992t;p99.9p99.99;1929;0.0338;992;t
US-AL;sfiinc992t;p99.9p99.99;1930;0.0339;992;t
US-AL;sfiinc992t;p99.9p99.99;1931;0.0328;992;t
US-AL;sfiinc992t;p99.9p99.99;1932;0.0309;992;t
US-AL;sfiinc992t;p99.9p99.99;1933;0.0295;992;t
US-AL;sfiinc992t;p99.9p99.99;1934;0.0303;992;t
US-AL;sfiinc992t;p99.9p99.99;1935;0.0325;992;t
US-AL;sfiinc992t;p99.9p99.99;1936;0.0405;992;t
US-AL;sfiinc992t;p99.9p99.99;1937;0.0391;992;t
US-AL;sfiinc992t;p99.9p99.99;1938;0.0354;992;t
US-AL;sfiinc992t;p99.9p99.99;1939;0.0387;992;t
US-AL;sfiinc992t;p99.9p99.99;1940;0.0421;992;t
US-AL;sfiinc992t;p99.9p99.99;1941;0.0423;992;t
US-AL;sfiinc992t;p99.9p99.99;1942;0.0359;992;t
US-AL;sfiinc992t;p99.9p99.99;1943;0.0323;992;t
US-AL;sfiinc992t;p99.9p99.99;1944;0.0265;992;t
US-AL;sfiinc992t;p99.9p99.99;1945;0.0283;992;t
US-AL;sfiinc992t;p99.9p99.99;1946;0.0324;992;t
US-AL;sfiinc992t;p99.9p99.99;1947;0.0291;992;t
US-AL;sfiinc992t;p99.9p99.99;1948;0.0272;992;t
US-AL;sfiinc992t;p99.9p99.99;1949;0.0256;992;t
US-AL;sfiinc992t;p99.9p99.99;1950;0.032;992;t
US-AL;sfiinc992t;p99.9p99.99;1951;0.0304;992;t
US-AL;sfiinc992t;p99.9p99.99;1952;0.0222;992;t
US-AL;sfiinc992t;p99.9p99.99;1953;0.0209;992;t
US-AL;sfiinc992t;p99.9p99.99;1954;0.0233;992;t
US-AL;sfiinc992t;p99.9p99.99;1955;0.0239;992;t
US-AL;sfiinc992t;p99.9p99.99;1956;0.0229;992;t
US-AL;sfiinc992t;p99.9p99.99;1957;0.0202;992;t
US-AL;sfiinc992t;p99.9p99.99;1958;0.0212;992;t
US-AL;sfiinc992t;p99.9p99.99;1959;0.0231;992;t
US-AL;sfiinc992t;p99.9p99.99;1960;0.0199;992;t
US-AL;sfiinc992t;p99.9p99.99;1961;0.0185;992;t
US-AL;sfiinc992t;p99.9p99.99;1962;0.0196;992;t
US-AL;sfiinc992t;p99.9p99.99;1963;0.0199;992;t
US-AL;sfiinc992t;p99.9p99.99;1964;0.0201;992;t
US-AL;sfiinc992t;p99.9p99.99;1965;0.0156;992;t
US-AL;sfiinc992t;p99.9p99.99;1966;0.02;992;t
US-AL;sfiinc992t;p99.9p99.99;1967;0.0206;992;t
US-AL;sfiinc992t;p99.9p99.99;1968;0.0216;992;t
US-AL;sfiinc992t;p99.9p99.99;1969;0.0197;992;t
US-AL;sfiinc992t;p99.9p99.99;1970;0.0173;992;t
US-AL;sfiinc992t;p99.9p99.99;1971;0.0192;992;t
US-AL;sfiinc992t;p99.9p99.99;1972;0.0199;992;t
US-AL;sfiinc992t;p99.9p99.99;1973;0.0188;992;t
US-AL;sfiinc992t;p99.9p99.99;1974;0.0181;992;t
US-AL;sfiinc992t;p99.9p99.99;1975;0.0197;992;t
US-AL;sfiinc992t;p99.9p99.99;1976;0.0181;992;t
US-AL;sfiinc992t;p99.9p99.99;1977;0.0184;992;t
US-AL;sfiinc992t;p99.9p99.99;1978;0.0174;992;t
US-AL;sfiinc992t;p99.9p99.99;1979;0.0197;992;t
US-AL;sfiinc992t;p99.9p99.99;1980;0.0206;992;t
US-AL;sfiinc992t;p99.9p99.99;1981;0.0204;992;t
US-AL;sfiinc992t;p99.9p99.99;1982;0.0242;992;t
US-AL;sfiinc992t;p99.9p99.99;1983;0.0228;992;t
US-AL;sfiinc992t;p99.9p99.99;1984;0.0265;992;t
US-AL;sfiinc992t;p99.9p99.99;1985;0.0289;992;t
US-AL;sfiinc992t;p99.9p99.99;1986;0.0371;992;t
US-AL;sfiinc992t;p99.9p99.99;1987;0.0256;992;t
US-AL;sfiinc992t;p99.9p99.99;1988;0.0325;992;t
US-AL;sfiinc992t;p99.9p99.99;1989;0.0297;992;t
US-AL;sfiinc992t;p99.9p99.99;1990;0.0297;992;t
US-AL;sfiinc992t;p99.9p99.99;1991;0.0284;992;t
US-AL;sfiinc992t;p99.9p99.99;1992;0.032;992;t
US-AL;sfiinc992t;p99.9p99.99;1993;0.0303;992;t
US-AL;sfiinc992t;p99.9p99.99;1994;0.0325;992;t
US-AL;sfiinc992t;p99.9p99.99;1995;0.0351;992;t
US-AL;sfiinc992t;p99.9p99.99;1996;0.0362;992;t
US-AL;sfiinc992t;p99.9p99.99;1997;0.0378;992;t
US-AL;sfiinc992t;p99.9p99.99;1998;0.0392;992;t
US-AL;sfiinc992t;p99.9p99.99;1999;0.0404;992;t
US-AL;sfiinc992t;p99.9p99.99;2000;0.0392;992;t
US-AL;sfiinc992t;p99.9p99.99;2001;0.0347;992;t
US-AL;sfiinc992t;p99.9p99.99;2002;0.035;992;t
US-AL;sfiinc992t;p99.9p99.99;2003;0.0362;992;t
US-AL;sfiinc992t;p99.9p99.99;2004;0.0417;992;t
US-AL;sfiinc992t;p99.9p99.99;2005;0.0495;992;t
US-AL;sfiinc992t;p99.9p99.99;2006;0.055;992;t
US-AL;sfiinc992t;p99.9p99.99;2007;0.0527;992;t
US-AL;sfiinc992t;p99.9p99.99;2008;0.0456;992;t
US-AL;sfiinc992t;p99.9p99.99;2009;0.0366;992;t
US-AL;sfiinc992t;p99.9p99.99;2010;0.0388;992;t
US-AL;sfiinc992t;p99.9p99.99;2011;0.0389;992;t
US-AL;sfiinc992t;p99.9p99.99;2012;0.0439;992;t
US-AL;sfiinc992t;p99.9p99.99;2013;0.0346;992;t
US-AL;sfiinc992t;p99.9p99.99;2014;0.0384;992;t
US-AL;sfiinc992t;p99.9p99.99;2015;0.0401;992;t
US-AL;sfiinc992t;p99.9p99.99;2016;0.0414;992;t
US-AL;sfiinc992t;p99.9p99.99;2017;0.0421;992;t
US-AL;sfiinc992t;p99.9p99.99;2018;0.0423;992;t
US-AL;afiinc992t;p99p99.5;1917;50878.7;992;t
US-AL;afiinc992t;p99p99.5;1918;63869.3;992;t
US-AL;afiinc992t;p99p99.5;1919;60012.0;992;t
US-AL;afiinc992t;p99p99.5;1920;49505.6;992;t
