country;variable;percentile;year;value;age;pop
US-AR;npopul992t;p0p100;1917;651555.0;992;t
US-AR;npopul992t;p0p100;1918;650858.0;992;t
US-AR;npopul992t;p0p100;1919;658734.0;992;t
US-AR;npopul992t;p0p100;1920;670599.0;992;t
US-AR;npopul992t;p0p100;1921;679643.0;992;t
US-AR;npopul992t;p0p100;1922;684968.0;992;t
US-AR;npopul992t;p0p100;1923;692532.0;992;t
US-AR;npopul992t;p0p100;1924;701533.0;992;t
US-AR;npopul992t;p0p100;1925;707624.0;992;t
US-AR;npopul992t;p0p100;1926;712615.0;992;t
US-AR;npopul992t;p0p100;1927;717861.0;992;t
US-AR;npopul992t;p0p100;1928;721950.0;992;t
US-AR;npopul992t;p0p100;1929;724589.0;992;t
US-AR;npopul992t;p0p100;1930;727386.0;992;t
US-AR;npopul992t;p0p100;1931;735647.0;992;t
US-AR;npopul992t;p0p100;1932;743016.0;992;t
US-AR;npopul992t;p0p100;1933;750080.0;992;t
US-AR;npopul992t;p0p100;1934;757552.0;992;t
US-AR;npopul992t;p0p100;1935;765585.0;992;t
US-AR;npopul992t;p0p100;1936;773252.0;992;t
US-AR;npopul992t;p0p100;1937;780805.0;992;t
US-AR;npopul992t;p0p100;1938;789824.0;992;t
US-AR;npopul992t;p0p100;1939;799266.0;992;t
US-AR;npopul992t;p0p100;1940;809953.0;992;t
US-AR;npopul992t;p0p100;1941;802091.0;992;t
US-AR;npopul992t;p0p100;1942;795129.0;992;t
US-AR;npopul992t;p0p100;1943;790428.0;992;t
US-AR;npopul992t;p0p100;1944;784198.0;992;t
US-AR;npopul992t;p0p100;1945;777044.0;992;t
US-AR;npopul992t;p0p100;1946;769323.0;992;t
US-AR;npopul992t;p0p100;1947;768247.0;992;t
US-AR;npopul992t;p0p100;1948;765521.0;992;t
US-AR;npopul992t;p0p100;1949;762678.0;992;t
US-AR;npopul992t;p0p100;1950;762089.0;992;t
US-AR;npopul992t;p0p100;1951;753876.0;992;t
US-AR;npopul992t;p0p100;1952;745712.0;992;t
US-AR;npopul992t;p0p100;1953;737072.0;992;t
US-AR;npopul992t;p0p100;1954;729122.0;992;t
US-AR;npopul992t;p0p100;1955;721159.0;992;t
US-AR;npopul992t;p0p100;1956;713190.0;992;t
US-AR;npopul992t;p0p100;1957;705381.0;992;t
US-AR;npopul992t;p0p100;1958;696544.0;992;t
US-AR;npopul992t;p0p100;1959;687663.0;992;t
US-AR;npopul992t;p0p100;1960;678149.0;992;t
US-AR;npopul992t;p0p100;1961;690100.0;992;t
US-AR;npopul992t;p0p100;1962;701391.0;992;t
US-AR;npopul992t;p0p100;1963;712138.0;992;t
US-AR;npopul992t;p0p100;1964;722661.0;992;t
US-AR;npopul992t;p0p100;1965;732293.0;992;t
US-AR;npopul992t;p0p100;1966;741319.0;992;t
US-AR;npopul992t;p0p100;1967;749931.0;992;t
US-AR;npopul992t;p0p100;1968;757928.0;992;t
US-AR;npopul992t;p0p100;1969;765817.0;992;t
US-AR;npopul992t;p0p100;1970;775214.0;992;t
US-AR;npopul992t;p0p100;1971;793526.0;992;t
US-AR;npopul992t;p0p100;1972;810755.0;992;t
US-AR;npopul992t;p0p100;1973;827451.0;992;t
US-AR;npopul992t;p0p100;1974;844208.0;992;t
US-AR;npopul992t;p0p100;1975;861991.0;992;t
US-AR;npopul992t;p0p100;1976;879899.0;992;t
US-AR;npopul992t;p0p100;1977;898752.0;992;t
US-AR;npopul992t;p0p100;1978;918573.0;992;t
US-AR;npopul992t;p0p100;1979;956475.0;992;t
US-AR;npopul992t;p0p100;1980;959256.0;992;t
US-AR;npopul992t;p0p100;1981;976090.0;992;t
US-AR;npopul992t;p0p100;1982;975392.0;992;t
US-AR;npopul992t;p0p100;1983;975392.0;992;t
US-AR;npopul992t;p0p100;1984;1025208.0;992;t
US-AR;npopul992t;p0p100;1985;1039340.0;992;t
US-AR;npopul992t;p0p100;1986;1039627.0;992;t
US-AR;npopul992t;p0p100;1987;1052477.0;992;t
US-AR;npopul992t;p0p100;1988;1063616.0;992;t
US-AR;npopul992t;p0p100;1989;1113122.0;992;t
US-AR;npopul992t;p0p100;1990;1086292.0;992;t
US-AR;npopul992t;p0p100;1991;1094781.0;992;t
US-AR;npopul992t;p0p100;1992;1090004.0;992;t
US-AR;npopul992t;p0p100;1993;1111041.0;992;t
US-AR;npopul992t;p0p100;1994;1134887.0;992;t
US-AR;npopul992t;p0p100;1995;1155569.0;992;t
US-AR;npopul992t;p0p100;1996;1206334.0;992;t
US-AR;npopul992t;p0p100;1997;1202644.0;992;t
US-AR;npopul992t;p0p100;1998;1225844.0;992;t
US-AR;npopul992t;p0p100;1999;1227481.0;992;t
US-AR;npopul992t;p0p100;2000;1239288.0;992;t
US-AR;npopul992t;p0p100;2001;1242388.0;992;t
US-AR;npopul992t;p0p100;2002;1266014.0;992;t
US-AR;npopul992t;p0p100;2003;1306905.0;992;t
US-AR;npopul992t;p0p100;2004;1338075.0;992;t
US-AR;npopul992t;p0p100;2005;1342520.0;992;t
US-AR;npopul992t;p0p100;2006;1374202.0;992;t
US-AR;npopul992t;p0p100;2007;1382043.0;992;t
US-AR;npopul992t;p0p100;2008;1404568.0;992;t
US-AR;npopul992t;p0p100;2009;1413496.0;992;t
US-AR;npopul992t;p0p100;2010;1446123.0;992;t
US-AR;npopul992t;p0p100;2011;1475491.0;992;t
US-AR;npopul992t;p0p100;2012;1489744.0;992;t
US-AR;npopul992t;p0p100;2013;1515140.0;992;t
US-AR;npopul992t;p0p100;2014;1501745.0;992;t
US-AR;npopul992t;p0p100;2015;1506823.0;992;t
