country;variable;percentile;year;value;age;pop
US-AZ;sfiinc992t;p99.99p100;1917;0.0133;992;t
US-AZ;sfiinc992t;p99.99p100;1918;0.0118;992;t
US-AZ;sfiinc992t;p99.99p100;1919;0.0083;992;t
US-AZ;sfiinc992t;p99.99p100;1920;0.0046;992;t
US-AZ;sfiinc992t;p99.99p100;1921;0.0046;992;t
US-AZ;sfiinc992t;p99.99p100;1922;0.0065;992;t
US-AZ;sfiinc992t;p99.99p100;1923;0.007;992;t
US-AZ;sfiinc992t;p99.99p100;1924;0.0078;992;t
US-AZ;sfiinc992t;p99.99p100;1925;0.0116;992;t
US-AZ;sfiinc992t;p99.99p100;1926;0.0097;992;t
US-AZ;sfiinc992t;p99.99p100;1927;0.0147;992;t
US-AZ;sfiinc992t;p99.99p100;1928;0.0306;992;t
US-AZ;sfiinc992t;p99.99p100;1929;0.0224;992;t
US-AZ;sfiinc992t;p99.99p100;1930;0.017;992;t
US-AZ;sfiinc992t;p99.99p100;1931;0.0099;992;t
US-AZ;sfiinc992t;p99.99p100;1932;0.0078;992;t
US-AZ;sfiinc992t;p99.99p100;1933;0.0086;992;t
US-AZ;sfiinc992t;p99.99p100;1934;0.0076;992;t
US-AZ;sfiinc992t;p99.99p100;1935;0.0089;992;t
US-AZ;sfiinc992t;p99.99p100;1936;0.0122;992;t
US-AZ;sfiinc992t;p99.99p100;1937;0.0101;992;t
US-AZ;sfiinc992t;p99.99p100;1938;0.0086;992;t
US-AZ;sfiinc992t;p99.99p100;1939;0.0078;992;t
US-AZ;sfiinc992t;p99.99p100;1940;0.0081;992;t
US-AZ;sfiinc992t;p99.99p100;1941;0.0112;992;t
US-AZ;sfiinc992t;p99.99p100;1942;0.019;992;t
US-AZ;sfiinc992t;p99.99p100;1943;0.0079;992;t
US-AZ;sfiinc992t;p99.99p100;1944;0.009;992;t
US-AZ;sfiinc992t;p99.99p100;1945;0.0112;992;t
US-AZ;sfiinc992t;p99.99p100;1946;0.0111;992;t
US-AZ;sfiinc992t;p99.99p100;1947;0.0069;992;t
US-AZ;sfiinc992t;p99.99p100;1948;0.0085;992;t
US-AZ;sfiinc992t;p99.99p100;1949;0.0078;992;t
US-AZ;sfiinc992t;p99.99p100;1950;0.0137;992;t
US-AZ;sfiinc992t;p99.99p100;1951;0.0082;992;t
US-AZ;sfiinc992t;p99.99p100;1952;0.0084;992;t
US-AZ;sfiinc992t;p99.99p100;1953;0.0074;992;t
US-AZ;sfiinc992t;p99.99p100;1954;0.0077;992;t
US-AZ;sfiinc992t;p99.99p100;1955;0.0085;992;t
US-AZ;sfiinc992t;p99.99p100;1956;0.0079;992;t
US-AZ;sfiinc992t;p99.99p100;1957;0.008;992;t
US-AZ;sfiinc992t;p99.99p100;1958;0.0099;992;t
US-AZ;sfiinc992t;p99.99p100;1959;0.0116;992;t
US-AZ;sfiinc992t;p99.99p100;1960;0.015;992;t
US-AZ;sfiinc992t;p99.99p100;1961;0.0105;992;t
US-AZ;sfiinc992t;p99.99p100;1962;0.0092;992;t
US-AZ;sfiinc992t;p99.99p100;1963;0.0088;992;t
US-AZ;sfiinc992t;p99.99p100;1964;0.0125;992;t
