country;variable;percentile;year;value;age;pop
US-CA;afiinc992t;p99.5p99.9;1917;285009.3;992;t
US-CA;afiinc992t;p99.5p99.9;1918;252780.1;992;t
US-CA;afiinc992t;p99.5p99.9;1919;276241.0;992;t
US-CA;afiinc992t;p99.5p99.9;1920;243619.7;992;t
US-CA;afiinc992t;p99.5p99.9;1921;242324.7;992;t
US-CA;afiinc992t;p99.5p99.9;1922;303591.8;992;t
US-CA;afiinc992t;p99.5p99.9;1923;323419.2;992;t
US-CA;afiinc992t;p99.5p99.9;1924;336894.8;992;t
US-CA;afiinc992t;p99.5p99.9;1925;368536.0;992;t
US-CA;afiinc992t;p99.5p99.9;1926;379729.7;992;t
US-CA;afiinc992t;p99.5p99.9;1927;378924.6;992;t
US-CA;afiinc992t;p99.5p99.9;1928;417288.8;992;t
US-CA;afiinc992t;p99.5p99.9;1929;368426.7;992;t
US-CA;afiinc992t;p99.5p99.9;1930;266360.3;992;t
US-CA;afiinc992t;p99.5p99.9;1931;216077.7;992;t
US-CA;afiinc992t;p99.5p99.9;1932;180039.1;992;t
US-CA;afiinc992t;p99.5p99.9;1933;176531.2;992;t
US-CA;afiinc992t;p99.5p99.9;1934;210769.9;992;t
US-CA;afiinc992t;p99.5p99.9;1935;238456.5;992;t
US-CA;afiinc992t;p99.5p99.9;1936;317561.2;992;t
US-CA;afiinc992t;p99.5p99.9;1937;288533.7;992;t
US-CA;afiinc992t;p99.5p99.9;1938;239524.1;992;t
US-CA;afiinc992t;p99.5p99.9;1939;251155.8;992;t
US-CA;afiinc992t;p99.5p99.9;1940;263840.0;992;t
US-CA;afiinc992t;p99.5p99.9;1941;296706.0;992;t
US-CA;afiinc992t;p99.5p99.9;1942;317411.1;992;t
US-CA;afiinc992t;p99.5p99.9;1943;390918.3;992;t
US-CA;afiinc992t;p99.5p99.9;1944;343919.5;992;t
US-CA;afiinc992t;p99.5p99.9;1945;370765.6;992;t
US-CA;afiinc992t;p99.5p99.9;1946;374158.0;992;t
US-CA;afiinc992t;p99.5p99.9;1947;309037.1;992;t
US-CA;afiinc992t;p99.5p99.9;1948;352199.2;992;t
US-CA;afiinc992t;p99.5p99.9;1949;314436.1;992;t
US-CA;afiinc992t;p99.5p99.9;1950;369929.3;992;t
US-CA;afiinc992t;p99.5p99.9;1951;388466.5;992;t
US-CA;afiinc992t;p99.5p99.9;1952;333993.0;992;t
US-CA;afiinc992t;p99.5p99.9;1953;314242.0;992;t
US-CA;afiinc992t;p99.5p99.9;1954;334789.4;992;t
US-CA;afiinc992t;p99.5p99.9;1955;367171.0;992;t
US-CA;afiinc992t;p99.5p99.9;1956;342632.6;992;t
US-CA;afiinc992t;p99.5p99.9;1957;335482.1;992;t
US-CA;afiinc992t;p99.5p99.9;1958;348739.3;992;t
US-CA;afiinc992t;p99.5p99.9;1959;381967.4;992;t
US-CA;afiinc992t;p99.5p99.9;1960;352938.5;992;t
US-CA;afiinc992t;p99.5p99.9;1961;369411.1;992;t
US-CA;afiinc992t;p99.5p99.9;1962;359375.8;992;t
US-CA;afiinc992t;p99.5p99.9;1963;366893.3;992;t
US-CA;afiinc992t;p99.5p99.9;1964;409744.2;992;t
US-CA;afiinc992t;p99.5p99.9;1965;423318.6;992;t
US-CA;afiinc992t;p99.5p99.9;1966;408080.1;992;t
US-CA;afiinc992t;p99.5p99.9;1967;436817.7;992;t
US-CA;afiinc992t;p99.5p99.9;1968;462084.6;992;t
US-CA;afiinc992t;p99.5p99.9;1969;415475.2;992;t
US-CA;afiinc992t;p99.5p99.9;1970;381261.1;992;t
US-CA;afiinc992t;p99.5p99.9;1971;384171.6;992;t
US-CA;afiinc992t;p99.5p99.9;1972;410929.6;992;t
US-CA;afiinc992t;p99.5p99.9;1973;407461.0;992;t
US-CA;afiinc992t;p99.5p99.9;1974;429690.6;992;t
US-CA;afiinc992t;p99.5p99.9;1975;382720.9;992;t
US-CA;afiinc992t;p99.5p99.9;1976;399504.8;992;t
US-CA;afiinc992t;p99.5p99.9;1977;422764.3;992;t
US-CA;afiinc992t;p99.5p99.9;1978;437085.6;992;t
US-CA;afiinc992t;p99.5p99.9;1979;475862.2;992;t
US-CA;afiinc992t;p99.5p99.9;1980;475137.1;992;t
US-CA;afiinc992t;p99.5p99.9;1981;468059.7;992;t
US-CA;afiinc992t;p99.5p99.9;1982;470677.2;992;t
US-CA;afiinc992t;p99.5p99.9;1983;478235.5;992;t
US-CA;afiinc992t;p99.5p99.9;1984;533447.0;992;t
US-CA;afiinc992t;p99.5p99.9;1985;596971.3;992;t
US-CA;afiinc992t;p99.5p99.9;1986;774084.0;992;t
US-CA;afiinc992t;p99.5p99.9;1987;668453.1;992;t
US-CA;afiinc992t;p99.5p99.9;1988;826021.7;992;t
US-CA;afiinc992t;p99.5p99.9;1989;814710.7;992;t
US-CA;afiinc992t;p99.5p99.9;1990;800000.4;992;t
US-CA;afiinc992t;p99.5p99.9;1991;706130.4;992;t
