country;variable;percentile;year;value;age;pop
US-CO;ntaxre992t;p0p100;1917;40627.0;992;t
US-CO;ntaxre992t;p0p100;1918;54160.0;992;t
US-CO;ntaxre992t;p0p100;1919;57526.0;992;t
US-CO;ntaxre992t;p0p100;1920;74198.0;992;t
US-CO;ntaxre992t;p0p100;1921;69676.0;992;t
US-CO;ntaxre992t;p0p100;1922;67463.0;992;t
US-CO;ntaxre992t;p0p100;1923;72366.0;992;t
US-CO;ntaxre992t;p0p100;1924;73350.0;992;t
US-CO;ntaxre992t;p0p100;1925;35808.0;992;t
US-CO;ntaxre992t;p0p100;1926;35110.0;992;t
US-CO;ntaxre992t;p0p100;1927;31727.0;992;t
US-CO;ntaxre992t;p0p100;1928;31091.0;992;t
US-CO;ntaxre992t;p0p100;1929;32168.0;992;t
US-CO;ntaxre992t;p0p100;1930;30623.0;992;t
US-CO;ntaxre992t;p0p100;1931;27156.0;992;t
US-CO;ntaxre992t;p0p100;1932;32648.0;992;t
US-CO;ntaxre992t;p0p100;1933;30238.0;992;t
US-CO;ntaxre992t;p0p100;1934;32138.0;992;t
US-CO;ntaxre992t;p0p100;1935;34280.0;992;t
US-CO;ntaxre992t;p0p100;1936;40919.0;992;t
US-CO;ntaxre992t;p0p100;1937;46123.0;992;t
US-CO;ntaxre992t;p0p100;1938;42700.0;992;t
US-CO;ntaxre992t;p0p100;1939;55574.0;992;t
US-CO;ntaxre992t;p0p100;1940;110060.0;992;t
US-CO;ntaxre992t;p0p100;1941;179568.0;992;t
US-CO;ntaxre992t;p0p100;1942;282158.0;992;t
US-CO;ntaxre992t;p0p100;1943;335369.0;992;t
US-CO;ntaxre992t;p0p100;1944;350109.0;992;t
US-CO;ntaxre992t;p0p100;1945;403785.0;992;t
US-CO;ntaxre992t;p0p100;1946;439460.0;992;t
US-CO;ntaxre992t;p0p100;1947;491025.0;992;t
US-CO;ntaxre992t;p0p100;1948;440969.0;992;t
US-CO;ntaxre992t;p0p100;1949;459267.0;992;t
US-CO;ntaxre992t;p0p100;1950;471209.0;992;t
US-CO;ntaxre992t;p0p100;1951;501563.0;992;t
US-CO;ntaxre992t;p0p100;1952;509876.0;992;t
US-CO;ntaxre992t;p0p100;1953;527275.0;992;t
US-CO;ntaxre992t;p0p100;1954;522393.0;992;t
US-CO;ntaxre992t;p0p100;1955;552922.0;992;t
US-CO;ntaxre992t;p0p100;1956;571640.0;992;t
US-CO;ntaxre992t;p0p100;1957;575065.0;992;t
US-CO;ntaxre992t;p0p100;1958;577895.0;992;t
US-CO;ntaxre992t;p0p100;1959;597727.0;992;t
US-CO;ntaxre992t;p0p100;1960;616050.0;992;t
US-CO;ntaxre992t;p0p100;1961;632945.0;992;t
US-CO;ntaxre992t;p0p100;1962;651871.0;992;t
US-CO;ntaxre992t;p0p100;1963;665273.0;992;t
US-CO;ntaxre992t;p0p100;1964;676922.0;992;t
US-CO;ntaxre992t;p0p100;1965;682637.0;992;t
US-CO;ntaxre992t;p0p100;1966;703835.0;992;t
US-CO;ntaxre992t;p0p100;1967;728209.0;992;t
US-CO;ntaxre992t;p0p100;1968;767454.0;992;t
US-CO;ntaxre992t;p0p100;1969;812777.0;992;t
US-CO;ntaxre992t;p0p100;1970;826275.0;992;t
US-CO;ntaxre992t;p0p100;1971;864608.0;992;t
US-CO;ntaxre992t;p0p100;1972;966646.0;992;t
US-CO;ntaxre992t;p0p100;1973;1007203.0;992;t
US-CO;ntaxre992t;p0p100;1974;1037734.0;992;t
US-CO;ntaxre992t;p0p100;1975;1041115.0;992;t
US-CO;ntaxre992t;p0p100;1976;1085371.0;992;t
US-CO;ntaxre992t;p0p100;1977;1146904.0;992;t
US-CO;ntaxre992t;p0p100;1978;1207960.0;992;t
US-CO;ntaxre992t;p0p100;1979;1261473.0;992;t
US-CO;ntaxre992t;p0p100;1980;1296849.0;992;t
US-CO;ntaxre992t;p0p100;1981;1342760.0;992;t
US-CO;ntaxre992t;p0p100;1982;1309367.0;992;t
US-CO;ntaxre992t;p0p100;1983;1373637.0;992;t
US-CO;ntaxre992t;p0p100;1984;1410396.0;992;t
US-CO;ntaxre992t;p0p100;1985;1429529.0;992;t
US-CO;ntaxre992t;p0p100;1986;1431107.0;992;t
US-CO;ntaxre992t;p0p100;1987;1465631.0;992;t
US-CO;ntaxre992t;p0p100;1988;1493390.0;992;t
US-CO;ntaxre992t;p0p100;1989;1533471.0;992;t
US-CO;ntaxre992t;p0p100;1990;1564022.0;992;t
US-CO;ntaxre992t;p0p100;1991;1626650.0;992;t
US-CO;ntaxre992t;p0p100;1992;1662525.0;992;t
US-CO;ntaxre992t;p0p100;1993;1688397.0;992;t
US-CO;ntaxre992t;p0p100;1994;1737516.0;992;t
US-CO;ntaxre992t;p0p100;1995;1783379.0;992;t
US-CO;ntaxre992t;p0p100;1996;1839481.0;992;t
US-CO;ntaxre992t;p0p100;1997;1898354.0;992;t
US-CO;ntaxre992t;p0p100;1998;1973524.0;992;t
US-CO;ntaxre992t;p0p100;1999;2029929.0;992;t
US-CO;ntaxre992t;p0p100;2000;2096280.0;992;t
US-CO;ntaxre992t;p0p100;2001;2109160.0;992;t
US-CO;ntaxre992t;p0p100;2002;2082241.0;992;t
US-CO;ntaxre992t;p0p100;2003;2079044.0;992;t
US-CO;ntaxre992t;p0p100;2004;2110355.0;992;t
US-CO;ntaxre992t;p0p100;2005;2160153.0;992;t
US-CO;ntaxre992t;p0p100;2006;2228867.0;992;t
US-CO;ntaxre992t;p0p100;2007;2455161.0;992;t
US-CO;ntaxre992t;p0p100;2008;2340854.0;992;t
US-CO;ntaxre992t;p0p100;2009;2331974.0;992;t
US-CO;ntaxre992t;p0p100;2010;2369949.0;992;t
US-CO;ntaxre992t;p0p100;2011;2420566.0;992;t
US-CO;ntaxre992t;p0p100;2012;2450150.0;992;t
US-CO;ntaxre992t;p0p100;2013;2502950.0;992;t
US-CO;ntaxre992t;p0p100;2014;2553250.0;992;t
US-CO;ntaxre992t;p0p100;2015;2617250.0;992;t
US-CO;ntaxre992t;p0p100;2016;2648930.0;992;t
US-CO;ntaxre992t;p0p100;2017;2714380.0;992;t
US-CO;ntaxre992t;p0p100;2018;2765420.0;992;t
US-CO;sptinc992t;p0p99;1917;0.8546;992;t
US-CO;sptinc992t;p0p99;1918;0.889;992;t
US-CO;sptinc992t;p0p99;1919;0.8743;992;t
US-CO;sptinc992t;p0p99;1920;0.886;992;t
US-CO;sptinc992t;p0p99;1921;0.8865;992;t
US-CO;sptinc992t;p0p99;1922;0.8663;992;t
US-CO;sptinc992t;p0p99;1923;0.8855;992;t
US-CO;sptinc992t;p0p99;1924;0.8716;992;t
US-CO;sptinc992t;p0p99;1925;0.8587;992;t
US-CO;sptinc992t;p0p99;1926;0.8505;992;t
US-CO;sptinc992t;p0p99;1927;0.8389;992;t
US-CO;sptinc992t;p0p99;1928;0.8205;992;t
US-CO;sptinc992t;p0p99;1929;0.8263;992;t
US-CO;sptinc992t;p0p99;1930;0.8489;992;t
US-CO;sptinc992t;p0p99;1931;0.8499;992;t
US-CO;sptinc992t;p0p99;1932;0.8541;992;t
US-CO;sptinc992t;p0p99;1933;0.86;992;t
US-CO;sptinc992t;p0p99;1934;0.83;992;t
US-CO;sptinc992t;p0p99;1935;0.8356;992;t
US-CO;sptinc992t;p0p99;1936;0.8162;992;t
US-CO;sptinc992t;p0p99;1937;0.8209;992;t
US-CO;sptinc992t;p0p99;1938;0.8445;992;t
US-CO;sptinc992t;p0p99;1939;0.8407;992;t
US-CO;sptinc992t;p0p99;1940;0.8446;992;t
US-CO;sptinc992t;p0p99;1941;0.8424;992;t
US-CO;sptinc992t;p0p99;1942;0.8658;992;t
US-CO;sptinc992t;p0p99;1943;0.8683;992;t
US-CO;sptinc992t;p0p99;1944;0.8781;992;t
US-CO;sptinc992t;p0p99;1945;0.8702;992;t
US-CO;sptinc992t;p0p99;1946;0.8663;992;t
US-CO;sptinc992t;p0p99;1947;0.8794;992;t
US-CO;sptinc992t;p0p99;1948;0.8745;992;t
US-CO;sptinc992t;p0p99;1949;0.8916;992;t
US-CO;sptinc992t;p0p99;1950;0.8736;992;t
US-CO;sptinc992t;p0p99;1951;0.6466;992;t
