country;variable;percentile;year;value;age;pop
US-CT;sfiinc992t;p95p100;1917;0.3281;992;t
US-CT;sfiinc992t;p95p100;1918;0.311;992;t
US-CT;sfiinc992t;p95p100;1919;0.2906;992;t
US-CT;sfiinc992t;p95p100;1920;0.261;992;t
US-CT;sfiinc992t;p95p100;1921;0.313;992;t
US-CT;sfiinc992t;p95p100;1922;0.3238;992;t
US-CT;sfiinc992t;p95p100;1923;0.2993;992;t
US-CT;sfiinc992t;p95p100;1924;0.3172;992;t
US-CT;sfiinc992t;p95p100;1925;0.3419;992;t
US-CT;sfiinc992t;p95p100;1926;0.3392;992;t
US-CT;sfiinc992t;p95p100;1927;0.3521;992;t
US-CT;sfiinc992t;p95p100;1928;0.3803;992;t
US-CT;sfiinc992t;p95p100;1929;0.3839;992;t
US-CT;sfiinc992t;p95p100;1930;0.3165;992;t
US-CT;sfiinc992t;p95p100;1931;0.3035;992;t
US-CT;sfiinc992t;p95p100;1932;0.3045;992;t
US-CT;sfiinc992t;p95p100;1933;0.3099;992;t
US-CT;sfiinc992t;p95p100;1934;0.3109;992;t
US-CT;sfiinc992t;p95p100;1935;0.3143;992;t
US-CT;sfiinc992t;p95p100;1936;0.3453;992;t
US-CT;sfiinc992t;p95p100;1937;0.3252;992;t
US-CT;sfiinc992t;p95p100;1938;0.3012;992;t
US-CT;sfiinc992t;p95p100;1939;0.3144;992;t
US-CT;sfiinc992t;p95p100;1940;0.3114;992;t
US-CT;sfiinc992t;p95p100;1941;0.2802;992;t
US-CT;sfiinc992t;p95p100;1942;0.2393;992;t
US-CT;sfiinc992t;p95p100;1943;0.2286;992;t
US-CT;sfiinc992t;p95p100;1944;0.2334;992;t
US-CT;sfiinc992t;p95p100;1945;0.247;992;t
US-CT;sfiinc992t;p95p100;1946;0.257;992;t
US-CT;sfiinc992t;p95p100;1947;0.2322;992;t
US-CT;sfiinc992t;p95p100;1948;0.2433;992;t
US-CT;sfiinc992t;p95p100;1949;0.2434;992;t
US-CT;sfiinc992t;p95p100;1950;0.2699;992;t
US-CT;sfiinc992t;p95p100;1951;0.2524;992;t
US-CT;sfiinc992t;p95p100;1952;0.239;992;t
US-CT;sfiinc992t;p95p100;1953;0.2129;992;t
US-CT;sfiinc992t;p95p100;1954;0.2298;992;t
US-CT;sfiinc992t;p95p100;1955;0.2297;992;t
US-CT;sfiinc992t;p95p100;1956;0.2305;992;t
US-CT;sfiinc992t;p95p100;1957;0.2203;992;t
US-CT;sfiinc992t;p95p100;1958;0.2392;992;t
US-CT;sfiinc992t;p95p100;1959;0.2377;992;t
US-CT;sfiinc992t;p95p100;1960;0.2367;992;t
US-CT;sfiinc992t;p95p100;1961;0.2447;992;t
