country;variable;percentile;year;value;age;pop
US-FL;sfiinc992t;p90p95;1917;0.0808;992;t
US-FL;sfiinc992t;p90p95;1918;0.0692;992;t
US-FL;sfiinc992t;p90p95;1919;0.0939;992;t
US-FL;sfiinc992t;p90p95;1920;0.1309;992;t
US-FL;sfiinc992t;p90p95;1921;0.1335;992;t
US-FL;sfiinc992t;p90p95;1922;0.1201;992;t
US-FL;sfiinc992t;p90p95;1923;0.1189;992;t
US-FL;sfiinc992t;p90p95;1924;0.1717;992;t
US-FL;sfiinc992t;p90p95;1925;0.4482;992;t
US-FL;sfiinc992t;p90p95;1926;0.2369;992;t
US-FL;sfiinc992t;p90p95;1927;0.1224;992;t
US-FL;sfiinc992t;p90p95;1928;0.0757;992;t
US-FL;sfiinc992t;p90p95;1929;0.0676;992;t
US-FL;sfiinc992t;p90p95;1930;0.0876;992;t
US-FL;sfiinc992t;p90p95;1931;0.117;992;t
US-FL;sfiinc992t;p90p95;1932;0.1206;992;t
US-FL;sfiinc992t;p90p95;1933;0.1168;992;t
US-FL;sfiinc992t;p90p95;1934;0.1009;992;t
US-FL;sfiinc992t;p90p95;1935;0.1015;992;t
US-FL;sfiinc992t;p90p95;1936;0.0837;992;t
US-FL;sfiinc992t;p90p95;1937;0.0807;992;t
US-FL;sfiinc992t;p90p95;1938;0.0896;992;t
US-FL;sfiinc992t;p90p95;1939;0.0912;992;t
US-FL;sfiinc992t;p90p95;1940;0.1318;992;t
US-FL;sfiinc992t;p90p95;1941;0.1212;992;t
US-FL;sfiinc992t;p90p95;1942;0.0903;992;t
US-FL;sfiinc992t;p90p95;1943;0.0815;992;t
US-FL;sfiinc992t;p90p95;1944;0.087;992;t
US-FL;sfiinc992t;p90p95;1945;0.0867;992;t
US-FL;sfiinc992t;p90p95;1946;0.1048;992;t
US-FL;sfiinc992t;p90p95;1947;0.0999;992;t
US-FL;sfiinc992t;p90p95;1948;0.1061;992;t
US-FL;sfiinc992t;p90p95;1949;0.1049;992;t
US-FL;sfiinc992t;p90p95;1950;0.0988;992;t
US-FL;sfiinc992t;p90p95;1951;0.1076;992;t
US-FL;sfiinc992t;p90p95;1952;0.1235;992;t
US-FL;sfiinc992t;p90p95;1953;0.1231;992;t
US-FL;sfiinc992t;p90p95;1954;0.1261;992;t
US-FL;sfiinc992t;p90p95;1955;0.1069;992;t
US-FL;sfiinc992t;p90p95;1956;0.1035;992;t
US-FL;sfiinc992t;p90p95;1957;0.1101;992;t
US-FL;sfiinc992t;p90p95;1958;0.1067;992;t
US-FL;sfiinc992t;p90p95;1959;0.1065;992;t
US-FL;sfiinc992t;p90p95;1960;0.1108;992;t
US-FL;sfiinc992t;p90p95;1961;0.113;992;t
US-FL;sfiinc992t;p90p95;1962;0.1157;992;t
US-FL;sfiinc992t;p90p95;1963;0.1142;992;t
US-FL;sfiinc992t;p90p95;1964;0.1156;992;t
US-FL;sfiinc992t;p90p95;1965;0.1174;992;t
US-FL;sfiinc992t;p90p95;1966;0.1191;992;t
US-FL;sfiinc992t;p90p95;1967;0.1181;992;t
US-FL;sfiinc992t;p90p95;1968;0.1122;992;t
US-FL;sfiinc992t;p90p95;1969;0.1139;992;t
US-FL;sfiinc992t;p90p95;1970;0.1127;992;t
US-FL;sfiinc992t;p90p95;1971;0.112;992;t
US-FL;sfiinc992t;p90p95;1972;0.1109;992;t
US-FL;sfiinc992t;p90p95;1973;0.1117;992;t
US-FL;sfiinc992t;p90p95;1974;0.1103;992;t
US-FL;sfiinc992t;p90p95;1975;0.1136;992;t
US-FL;sfiinc992t;p90p95;1976;0.115;992;t
US-FL;sfiinc992t;p90p95;1977;0.112;992;t
US-FL;sfiinc992t;p90p95;1978;0.11;992;t
US-FL;sfiinc992t;p90p95;1979;0.1093;992;t
US-FL;sfiinc992t;p90p95;1980;0.111;992;t
US-FL;sfiinc992t;p90p95;1981;0.1132;992;t
US-FL;sfiinc992t;p90p95;1982;0.1128;992;t
US-FL;sfiinc992t;p90p95;1983;0.1097;992;t
US-FL;sfiinc992t;p90p95;1984;0.113;992;t
US-FL;sfiinc992t;p90p95;1985;0.1126;992;t
US-FL;sfiinc992t;p90p95;1986;0.1111;992;t
US-FL;sfiinc992t;p90p95;1987;0.1179;992;t
US-FL;sfiinc992t;p90p95;1988;0.1137;992;t
US-FL;sfiinc992t;p90p95;1989;0.1147;992;t
US-FL;sfiinc992t;p90p95;1990;0.1139;992;t
US-FL;sfiinc992t;p90p95;1991;0.1179;992;t
US-FL;sfiinc992t;p90p95;1992;0.1187;992;t
US-FL;sfiinc992t;p90p95;1993;0.1168;992;t
US-FL;sfiinc992t;p90p95;1994;0.1153;992;t
US-FL;sfiinc992t;p90p95;1995;0.1167;992;t
US-FL;sfiinc992t;p90p95;1996;0.1163;992;t
US-FL;sfiinc992t;p90p95;1997;0.116;992;t
US-FL;sfiinc992t;p90p95;1998;0.1136;992;t
US-FL;sfiinc992t;p90p95;1999;0.1136;992;t
US-FL;sfiinc992t;p90p95;2000;0.114;992;t
US-FL;sfiinc992t;p90p95;2001;0.1158;992;t
US-FL;sfiinc992t;p90p95;2002;0.1172;992;t
US-FL;sfiinc992t;p90p95;2003;0.115;992;t
US-FL;sfiinc992t;p90p95;2004;0.1146;992;t
US-FL;sfiinc992t;p90p95;2005;0.1116;992;t
US-FL;sfiinc992t;p90p95;2006;0.1106;992;t
US-FL;sfiinc992t;p90p95;2007;0.1095;992;t
US-FL;sfiinc992t;p90p95;2008;0.1182;992;t
US-FL;sfiinc992t;p90p95;2009;0.13;992;t
US-FL;sfiinc992t;p90p95;2010;0.1247;992;t
US-FL;sfiinc992t;p90p95;2011;0.1265;992;t
US-FL;sfiinc992t;p90p95;2012;0.1245;992;t
US-FL;sfiinc992t;p90p95;2013;0.1306;992;t
