country;variable;percentile;year;value;age;pop
US-GA;sfiinc992t;p0p90;1917;0.6806;992;t
US-GA;sfiinc992t;p0p90;1918;0.7024;992;t
US-GA;sfiinc992t;p0p90;1919;0.6663;992;t
US-GA;sfiinc992t;p0p90;1920;0.6086;992;t
US-GA;sfiinc992t;p0p90;1921;0.5594;992;t
US-GA;sfiinc992t;p0p90;1922;0.5581;992;t
US-GA;sfiinc992t;p0p90;1923;0.5785;992;t
US-GA;sfiinc992t;p0p90;1924;0.5894;992;t
US-GA;sfiinc992t;p0p90;1925;0.6297;992;t
US-GA;sfiinc992t;p0p90;1926;0.6428;992;t
US-GA;sfiinc992t;p0p90;1927;0.6491;992;t
US-GA;sfiinc992t;p0p90;1928;0.6642;992;t
US-GA;sfiinc992t;p0p90;1929;0.6799;992;t
US-GA;sfiinc992t;p0p90;1930;0.6648;992;t
US-GA;sfiinc992t;p0p90;1931;0.6159;992;t
US-GA;sfiinc992t;p0p90;1932;0.5572;992;t
US-GA;sfiinc992t;p0p90;1933;0.5809;992;t
US-GA;sfiinc992t;p0p90;1934;0.5789;992;t
US-GA;sfiinc992t;p0p90;1935;0.5737;992;t
US-GA;sfiinc992t;p0p90;1936;0.5786;992;t
US-GA;sfiinc992t;p0p90;1937;0.5812;992;t
US-GA;sfiinc992t;p0p90;1938;0.562;992;t
US-GA;sfiinc992t;p0p90;1939;0.5475;992;t
US-GA;sfiinc992t;p0p90;1940;0.4825;992;t
US-GA;sfiinc992t;p0p90;1941;0.5451;992;t
US-GA;sfiinc992t;p0p90;1942;0.639;992;t
US-GA;sfiinc992t;p0p90;1943;0.6561;992;t
US-GA;sfiinc992t;p0p90;1944;0.6948;992;t
US-GA;sfiinc992t;p0p90;1945;0.6564;992;t
US-GA;sfiinc992t;p0p90;1946;0.6024;992;t
US-GA;sfiinc992t;p0p90;1947;0.6258;992;t
US-GA;sfiinc992t;p0p90;1948;0.6394;992;t
US-GA;sfiinc992t;p0p90;1949;0.6415;992;t
US-GA;sfiinc992t;p0p90;1950;0.6568;992;t
US-GA;sfiinc992t;p0p90;1952;0.6483;992;t
US-GA;sfiinc992t;p0p90;1953;0.6655;992;t
US-GA;sfiinc992t;p0p90;1954;0.6389;992;t
US-GA;sfiinc992t;p0p90;1955;0.6593;992;t
US-GA;sfiinc992t;p0p90;1956;0.667;992;t
US-GA;sfiinc992t;p0p90;1957;0.6671;992;t
US-GA;sfiinc992t;p0p90;1958;0.6621;992;t
US-GA;sfiinc992t;p0p90;1959;0.6656;992;t
US-GA;sfiinc992t;p0p90;1960;0.6598;992;t
US-GA;sfiinc992t;p0p90;1961;0.6558;992;t
US-GA;sfiinc992t;p0p90;1962;0.6549;992;t
US-GA;sfiinc992t;p0p90;1963;0.6648;992;t
US-GA;sfiinc992t;p0p90;1964;0.6503;992;t
US-GA;sfiinc992t;p0p90;1965;0.6495;992;t
US-GA;sfiinc992t;p0p90;1966;0.6592;992;t
US-GA;sfiinc992t;p0p90;1967;0.6628;992;t
US-GA;sfiinc992t;p0p90;1968;0.6604;992;t
US-GA;sfiinc992t;p0p90;1969;0.6519;992;t
US-GA;sfiinc992t;p0p90;1970;0.6684;992;t
US-GA;sfiinc992t;p0p90;1971;0.664;992;t
US-GA;sfiinc992t;p0p90;1972;0.658;992;t
US-GA;sfiinc992t;p0p90;1973;0.6562;992;t
US-GA;sfiinc992t;p0p90;1974;0.6709;992;t
US-GA;sfiinc992t;p0p90;1975;0.6672;992;t
US-GA;sfiinc992t;p0p90;1976;0.6794;992;t
US-GA;sfiinc992t;p0p90;1977;0.6762;992;t
US-GA;sfiinc992t;p0p90;1978;0.6783;992;t
US-GA;sfiinc992t;p0p90;1979;0.6604;992;t
US-GA;sfiinc992t;p0p90;1980;0.6679;992;t
US-GA;sfiinc992t;p0p90;1981;0.6593;992;t
US-GA;sfiinc992t;p0p90;1982;0.6406;992;t
US-GA;sfiinc992t;p0p90;1983;0.6449;992;t
US-GA;sfiinc992t;p0p90;1984;0.6353;992;t
US-GA;sfiinc992t;p0p90;1985;0.6238;992;t
US-GA;sfiinc992t;p0p90;1986;0.6011;992;t
US-GA;sfiinc992t;p0p90;1987;0.6256;992;t
US-GA;sfiinc992t;p0p90;1988;0.6014;992;t
US-GA;sfiinc992t;p0p90;1989;0.6079;992;t
US-GA;sfiinc992t;p0p90;1990;0.6054;992;t
US-GA;sfiinc992t;p0p90;1991;0.6065;992;t
US-GA;sfiinc992t;p0p90;1992;0.5987;992;t
US-GA;sfiinc992t;p0p90;1993;0.5957;992;t
US-GA;sfiinc992t;p0p90;1994;0.5963;992;t
US-GA;sfiinc992t;p0p90;1995;0.5864;992;t
US-GA;sfiinc992t;p0p90;1996;0.5814;992;t
US-GA;sfiinc992t;p0p90;1997;0.5679;992;t
US-GA;sfiinc992t;p0p90;1998;0.5648;992;t
US-GA;sfiinc992t;p0p90;1999;0.564;992;t
US-GA;sfiinc992t;p0p90;2000;0.5588;992;t
US-GA;sfiinc992t;p0p90;2001;0.5744;992;t
US-GA;sfiinc992t;p0p90;2002;0.5842;992;t
US-GA;sfiinc992t;p0p90;2003;0.5829;992;t
US-GA;sfiinc992t;p0p90;2004;0.5684;992;t
US-GA;sfiinc992t;p0p90;2005;0.5517;992;t
US-GA;sfiinc992t;p0p90;2006;0.5319;992;t
US-GA;sfiinc992t;p0p90;2007;0.5317;992;t
US-GA;sfiinc992t;p0p90;2008;0.5427;992;t
US-GA;sfiinc992t;p0p90;2009;0.5462;992;t
