country;variable;percentile;year;value;age;pop
US-HI;sfiinc992t;p99p99.5;1917;0.0205;992;t
US-HI;sfiinc992t;p99p99.5;1918;0.0182;992;t
US-HI;sfiinc992t;p99p99.5;1919;0.0196;992;t
US-HI;sfiinc992t;p99p99.5;1920;0.0252;992;t
US-HI;sfiinc992t;p99p99.5;1921;0.0248;992;t
US-HI;sfiinc992t;p99p99.5;1922;0.0229;992;t
US-HI;sfiinc992t;p99p99.5;1923;0.0225;992;t
US-HI;sfiinc992t;p99p99.5;1924;0.0242;992;t
US-HI;sfiinc992t;p99p99.5;1925;0.024;992;t
US-HI;sfiinc992t;p99p99.5;1926;0.0248;992;t
US-HI;sfiinc992t;p99p99.5;1927;0.0257;992;t
US-HI;sfiinc992t;p99p99.5;1928;0.0253;992;t
US-HI;sfiinc992t;p99p99.5;1929;0.0247;992;t
US-HI;sfiinc992t;p99p99.5;1930;0.0249;992;t
US-HI;sfiinc992t;p99p99.5;1931;0.0283;992;t
US-HI;sfiinc992t;p99p99.5;1932;0.0326;992;t
US-HI;sfiinc992t;p99p99.5;1933;0.0349;992;t
US-HI;sfiinc992t;p99p99.5;1934;0.0338;992;t
US-HI;sfiinc992t;p99p99.5;1935;0.0345;992;t
US-HI;sfiinc992t;p99p99.5;1936;0.0373;992;t
US-HI;sfiinc992t;p99p99.5;1937;0.0349;992;t
US-HI;sfiinc992t;p99p99.5;1938;0.0352;992;t
US-HI;sfiinc992t;p99p99.5;1939;0.0336;992;t
US-HI;sfiinc992t;p99p99.5;1940;0.0349;992;t
US-HI;sfiinc992t;p99p99.5;1941;0.0343;992;t
US-HI;sfiinc992t;p99p99.5;1942;0.0357;992;t
US-HI;sfiinc992t;p99p99.5;1943;0.0339;992;t
US-HI;sfiinc992t;p99p99.5;1944;0.0309;992;t
US-HI;sfiinc992t;p99p99.5;1945;0.0343;992;t
US-HI;sfiinc992t;p99p99.5;1946;0.0275;992;t
US-HI;sfiinc992t;p99p99.5;1947;0.0256;992;t
US-HI;sfiinc992t;p99p99.5;1948;0.0256;992;t
US-HI;sfiinc992t;p99p99.5;1949;0.0236;992;t
US-HI;sfiinc992t;p99p99.5;1950;0.0237;992;t
US-HI;sfiinc992t;p99p99.5;1951;0.0254;992;t
US-HI;sfiinc992t;p99p99.5;1952;0.0202;992;t
US-HI;sfiinc992t;p99p99.5;1953;0.0199;992;t
US-HI;sfiinc992t;p99p99.5;1954;0.0196;992;t
US-HI;sfiinc992t;p99p99.5;1955;0.0219;992;t
US-HI;sfiinc992t;p99p99.5;1956;0.0263;992;t
US-HI;sfiinc992t;p99p99.5;1957;0.022;992;t
US-HI;sfiinc992t;p99p99.5;1958;0.0243;992;t
US-HI;sfiinc992t;p99p99.5;1959;0.0223;992;t
US-HI;sfiinc992t;p99p99.5;1960;0.0239;992;t
US-HI;sfiinc992t;p99p99.5;1961;0.0286;992;t
US-HI;sfiinc992t;p99p99.5;1962;0.0236;992;t
US-HI;sfiinc992t;p99p99.5;1963;0.0201;992;t
US-HI;sfiinc992t;p99p99.5;1964;0.0226;992;t
US-HI;sfiinc992t;p99p99.5;1965;0.0203;992;t
US-HI;sfiinc992t;p99p99.5;1966;0.0225;992;t
US-HI;sfiinc992t;p99p99.5;1967;0.0244;992;t
US-HI;sfiinc992t;p99p99.5;1968;0.0221;992;t
US-HI;sfiinc992t;p99p99.5;1969;0.0214;992;t
US-HI;sfiinc992t;p99p99.5;1970;0.0194;992;t
US-HI;sfiinc992t;p99p99.5;1971;0.02;992;t
US-HI;sfiinc992t;p99p99.5;1972;0.0231;992;t
US-HI;sfiinc992t;p99p99.5;1973;0.0226;992;t
US-HI;sfiinc992t;p99p99.5;1974;0.0222;992;t
US-HI;sfiinc992t;p99p99.5;1975;0.0207;992;t
US-HI;sfiinc992t;p99p99.5;1976;0.0201;992;t
US-HI;sfiinc992t;p99p99.5;1977;0.0217;992;t
US-HI;sfiinc992t;p99p99.5;1978;0.0212;992;t
US-HI;sfiinc992t;p99p99.5;1979;0.0217;992;t
US-HI;sfiinc992t;p99p99.5;1980;0.0219;992;t
US-HI;sfiinc992t;p99p99.5;1981;0.0218;992;t
US-HI;sfiinc992t;p99p99.5;1982;0.0204;992;t
US-HI;sfiinc992t;p99p99.5;1983;0.0196;992;t
US-HI;sfiinc992t;p99p99.5;1984;0.0224;992;t
US-HI;sfiinc992t;p99p99.5;1985;0.0226;992;t
US-HI;sfiinc992t;p99p99.5;1986;0.0248;992;t
US-HI;sfiinc992t;p99p99.5;1987;0.0252;992;t
US-HI;sfiinc992t;p99p99.5;1988;0.0279;992;t
US-HI;sfiinc992t;p99p99.5;1989;0.0287;992;t
