country;variable;percentile;year;value;age;pop
US-IA;sptinc992t;p99.5p99.9;1917;0.0406;992;t
US-IA;sptinc992t;p99.5p99.9;1918;0.0457;992;t
US-IA;sptinc992t;p99.5p99.9;1919;0.0481;992;t
US-IA;sptinc992t;p99.5p99.9;1920;0.0696;992;t
US-IA;sptinc992t;p99.5p99.9;1921;0.0533;992;t
US-IA;sptinc992t;p99.5p99.9;1922;0.0478;992;t
US-IA;sptinc992t;p99.5p99.9;1923;0.0429;992;t
US-IA;sptinc992t;p99.5p99.9;1924;0.044;992;t
US-IA;sptinc992t;p99.5p99.9;1925;0.0439;992;t
US-IA;sptinc992t;p99.5p99.9;1926;0.0448;992;t
US-IA;sptinc992t;p99.5p99.9;1927;0.0435;992;t
US-IA;sptinc992t;p99.5p99.9;1928;0.0463;992;t
US-IA;sptinc992t;p99.5p99.9;1929;0.0466;992;t
US-IA;sptinc992t;p99.5p99.9;1930;0.047;992;t
US-IA;sptinc992t;p99.5p99.9;1931;0.0487;992;t
US-IA;sptinc992t;p99.5p99.9;1932;0.0451;992;t
US-IA;sptinc992t;p99.5p99.9;1933;0.0496;992;t
US-IA;sptinc992t;p99.5p99.9;1934;0.0573;992;t
US-IA;sptinc992t;p99.5p99.9;1935;0.0408;992;t
US-IA;sptinc992t;p99.5p99.9;1936;0.0545;992;t
US-IA;sptinc992t;p99.5p99.9;1937;0.0402;992;t
US-IA;sptinc992t;p99.5p99.9;1938;0.0438;992;t
US-IA;sptinc992t;p99.5p99.9;1939;0.0464;992;t
US-IA;sptinc992t;p99.5p99.9;1940;0.0479;992;t
US-IA;sptinc992t;p99.5p99.9;1941;0.0475;992;t
US-IA;sptinc992t;p99.5p99.9;1942;0.0421;992;t
US-IA;sptinc992t;p99.5p99.9;1943;0.0407;992;t
US-IA;sptinc992t;p99.5p99.9;1944;0.0399;992;t
US-IA;sptinc992t;p99.5p99.9;1945;0.0424;992;t
US-IA;sptinc992t;p99.5p99.9;1946;0.041;992;t
US-IA;sptinc992t;p99.5p99.9;1947;0.0443;992;t
US-IA;sptinc992t;p99.5p99.9;1948;0.0338;992;t
US-IA;sptinc992t;p99.5p99.9;1949;0.0403;992;t
US-IA;sptinc992t;p99.5p99.9;1950;0.0393;992;t
US-IA;sptinc992t;p99.5p99.9;1951;0.0397;992;t
US-IA;sptinc992t;p99.5p99.9;1952;0.0315;992;t
US-IA;sptinc992t;p99.5p99.9;1953;0.0343;992;t
US-IA;sptinc992t;p99.5p99.9;1954;0.0325;992;t
US-IA;sptinc992t;p99.5p99.9;1955;0.0372;992;t
US-IA;sptinc992t;p99.5p99.9;1956;0.0341;992;t
US-IA;sptinc992t;p99.5p99.9;1957;0.0331;992;t
US-IA;sptinc992t;p99.5p99.9;1958;0.0337;992;t
US-IA;sptinc992t;p99.5p99.9;1959;0.037;992;t
US-IA;sptinc992t;p99.5p99.9;1960;0.036;992;t
US-IA;sptinc992t;p99.5p99.9;1961;0.0371;992;t
US-IA;sptinc992t;p99.5p99.9;1962;0.0342;992;t
US-IA;sptinc992t;p99.5p99.9;1963;0.033;992;t
US-IA;sptinc992t;p99.5p99.9;1964;0.0364;992;t
US-IA;sptinc992t;p99.5p99.9;1965;0.0377;992;t
US-IA;sptinc992t;p99.5p99.9;1966;0.0341;992;t
US-IA;sptinc992t;p99.5p99.9;1967;0.0348;992;t
US-IA;sptinc992t;p99.5p99.9;1968;0.0355;992;t
US-IA;sptinc992t;p99.5p99.9;1969;0.0319;992;t
US-IA;sptinc992t;p99.5p99.9;1970;0.0306;992;t
US-IA;sptinc992t;p99.5p99.9;1971;0.0329;992;t
US-IA;sptinc992t;p99.5p99.9;1972;0.0326;992;t
US-IA;sptinc992t;p99.5p99.9;1973;0.0324;992;t
US-IA;sptinc992t;p99.5p99.9;1974;0.0353;992;t
US-IA;sptinc992t;p99.5p99.9;1975;0.0324;992;t
US-IA;sptinc992t;p99.5p99.9;1976;0.033;992;t
US-IA;sptinc992t;p99.5p99.9;1977;0.0323;992;t
US-IA;sptinc992t;p99.5p99.9;1978;0.0305;992;t
US-IA;sptinc992t;p99.5p99.9;1979;0.0328;992;t
US-IA;sptinc992t;p99.5p99.9;1980;0.0324;992;t
US-IA;sptinc992t;p99.5p99.9;1981;0.0313;992;t
US-IA;sptinc992t;p99.5p99.9;1982;0.0327;992;t
US-IA;sptinc992t;p99.5p99.9;1983;0.0335;992;t
US-IA;sptinc992t;p99.5p99.9;1984;0.0319;992;t
US-IA;sptinc992t;p99.5p99.9;1985;0.0331;992;t
US-IA;sptinc992t;p99.5p99.9;1986;0.0383;992;t
US-IA;sptinc992t;p99.5p99.9;1987;0.0325;992;t
US-IA;sptinc992t;p99.5p99.9;1988;0.0379;992;t
US-IA;sptinc992t;p99.5p99.9;1989;0.0376;992;t
US-IA;sptinc992t;p99.5p99.9;1990;0.0384;992;t
US-IA;sptinc992t;p99.5p99.9;1991;0.0379;992;t
US-IA;sptinc992t;p99.5p99.9;1992;0.0393;992;t
US-IA;sptinc992t;p99.5p99.9;1993;0.0398;992;t
US-IA;sptinc992t;p99.5p99.9;1994;0.0389;992;t
US-IA;sptinc992t;p99.5p99.9;1995;0.0406;992;t
US-IA;sptinc992t;p99.5p99.9;1996;0.0404;992;t
US-IA;sptinc992t;p99.5p99.9;1997;0.0427;992;t
US-IA;sptinc992t;p99.5p99.9;1998;0.0444;992;t
US-IA;sptinc992t;p99.5p99.9;1999;0.0462;992;t
US-IA;sptinc992t;p99.5p99.9;2000;0.0435;992;t
US-IA;sptinc992t;p99.5p99.9;2001;0.0411;992;t
US-IA;sptinc992t;p99.5p99.9;2002;0.0409;992;t
US-IA;sptinc992t;p99.5p99.9;2003;0.0418;992;t
US-IA;sptinc992t;p99.5p99.9;2004;0.0431;992;t
US-IA;sptinc992t;p99.5p99.9;2005;0.0449;992;t
US-IA;sptinc992t;p99.5p99.9;2006;0.0488;992;t
US-IA;sptinc992t;p99.5p99.9;2007;0.0479;992;t
US-IA;sptinc992t;p99.5p99.9;2008;0.0451;992;t
US-IA;sptinc992t;p99.5p99.9;2009;0.042;992;t
