country;variable;percentile;year;value;age;pop
US-ID;npopul992t;p0p100;1917;160060.0;992;t
US-ID;npopul992t;p0p100;1918;162325.0;992;t
US-ID;npopul992t;p0p100;1919;166792.0;992;t
US-ID;npopul992t;p0p100;1920;172384.0;992;t
US-ID;npopul992t;p0p100;1921;173964.0;992;t
US-ID;npopul992t;p0p100;1922;174581.0;992;t
US-ID;npopul992t;p0p100;1923;175757.0;992;t
US-ID;npopul992t;p0p100;1924;177282.0;992;t
US-ID;npopul992t;p0p100;1925;178060.0;992;t
US-ID;npopul992t;p0p100;1926;178552.0;992;t
US-ID;npopul992t;p0p100;1927;179100.0;992;t
US-ID;npopul992t;p0p100;1928;179353.0;992;t
US-ID;npopul992t;p0p100;1929;179242.0;992;t
US-ID;npopul992t;p0p100;1930;179167.0;992;t
US-ID;npopul992t;p0p100;1931;183919.0;992;t
US-ID;npopul992t;p0p100;1932;188546.0;992;t
US-ID;npopul992t;p0p100;1933;193193.0;992;t
US-ID;npopul992t;p0p100;1934;198042.0;992;t
US-ID;npopul992t;p0p100;1935;203143.0;992;t
US-ID;npopul992t;p0p100;1936;208254.0;992;t
US-ID;npopul992t;p0p100;1937;213441.0;992;t
US-ID;npopul992t;p0p100;1938;219143.0;992;t
US-ID;npopul992t;p0p100;1939;225088.0;992;t
US-ID;npopul992t;p0p100;1940;231518.0;992;t
US-ID;npopul992t;p0p100;1941;232053.0;992;t
US-ID;npopul992t;p0p100;1942;232830.0;992;t
US-ID;npopul992t;p0p100;1943;234263.0;992;t
US-ID;npopul992t;p0p100;1944;235237.0;992;t
US-ID;npopul992t;p0p100;1945;235920.0;992;t
US-ID;npopul992t;p0p100;1946;236411.0;992;t
US-ID;npopul992t;p0p100;1947;238945.0;992;t
US-ID;npopul992t;p0p100;1948;240987.0;992;t
US-ID;npopul992t;p0p100;1949;243006.0;992;t
US-ID;npopul992t;p0p100;1950;245765.0;992;t
US-ID;npopul992t;p0p100;1951;246496.0;992;t
US-ID;npopul992t;p0p100;1952;247217.0;992;t
US-ID;npopul992t;p0p100;1953;247750.0;992;t
US-ID;npopul992t;p0p100;1954;248485.0;992;t
US-ID;npopul992t;p0p100;1955;249189.0;992;t
US-ID;npopul992t;p0p100;1956;249862.0;992;t
US-ID;npopul992t;p0p100;1957;250562.0;992;t
US-ID;npopul992t;p0p100;1958;250863.0;992;t
US-ID;npopul992t;p0p100;1959;251108.0;992;t
US-ID;npopul992t;p0p100;1960;251077.0;992;t
US-ID;npopul992t;p0p100;1961;254486.0;992;t
US-ID;npopul992t;p0p100;1962;257622.0;992;t
US-ID;npopul992t;p0p100;1963;260530.0;992;t
US-ID;npopul992t;p0p100;1964;263329.0;992;t
US-ID;npopul992t;p0p100;1965;265779.0;992;t
US-ID;npopul992t;p0p100;1966;267986.0;992;t
US-ID;npopul992t;p0p100;1967;270022.0;992;t
US-ID;npopul992t;p0p100;1968;271817.0;992;t
US-ID;npopul992t;p0p100;1969;273555.0;992;t
US-ID;npopul992t;p0p100;1970;275811.0;992;t
US-ID;npopul992t;p0p100;1971;284382.0;992;t
US-ID;npopul992t;p0p100;1972;292673.0;992;t
US-ID;npopul992t;p0p100;1973;300875.0;992;t
US-ID;npopul992t;p0p100;1974;309203.0;992;t
US-ID;npopul992t;p0p100;1975;318016.0;992;t
US-ID;npopul992t;p0p100;1976;326987.0;992;t
US-ID;npopul992t;p0p100;1977;336425.0;992;t
US-ID;npopul992t;p0p100;1978;346349.0;992;t
US-ID;npopul992t;p0p100;1979;356839.0;992;t
US-ID;npopul992t;p0p100;1980;366975.0;992;t
US-ID;npopul992t;p0p100;1981;383604.0;992;t
US-ID;npopul992t;p0p100;1982;387604.0;992;t
US-ID;npopul992t;p0p100;1983;387604.0;992;t
US-ID;npopul992t;p0p100;1984;395548.0;992;t
US-ID;npopul992t;p0p100;1985;405478.0;992;t
US-ID;npopul992t;p0p100;1986;412127.0;992;t
US-ID;npopul992t;p0p100;1987;403621.0;992;t
US-ID;npopul992t;p0p100;1988;412512.0;992;t
US-ID;npopul992t;p0p100;1989;422061.0;992;t
US-ID;npopul992t;p0p100;1990;432112.0;992;t
US-ID;npopul992t;p0p100;1991;451445.0;992;t
US-ID;npopul992t;p0p100;1992;462904.0;992;t
US-ID;npopul992t;p0p100;1993;471792.0;992;t
US-ID;npopul992t;p0p100;1994;484795.0;992;t
US-ID;npopul992t;p0p100;1995;507033.0;992;t
US-ID;npopul992t;p0p100;1996;523241.0;992;t
US-ID;npopul992t;p0p100;1997;535100.0;992;t
US-ID;npopul992t;p0p100;1998;541727.0;992;t
US-ID;npopul992t;p0p100;1999;561878.0;992;t
US-ID;npopul992t;p0p100;2000;566827.0;992;t
US-ID;npopul992t;p0p100;2001;583995.0;992;t
US-ID;npopul992t;p0p100;2002;607475.0;992;t
US-ID;npopul992t;p0p100;2003;621540.0;992;t
US-ID;npopul992t;p0p100;2004;644657.0;992;t
US-ID;npopul992t;p0p100;2005;635406.0;992;t
US-ID;npopul992t;p0p100;2006;668893.0;992;t
US-ID;npopul992t;p0p100;2007;668084.0;992;t
US-ID;npopul992t;p0p100;2008;682590.0;992;t
US-ID;npopul992t;p0p100;2009;698285.0;992;t
US-ID;npopul992t;p0p100;2010;712093.0;992;t
US-ID;npopul992t;p0p100;2011;726543.0;992;t
US-ID;npopul992t;p0p100;2012;731665.0;992;t
US-ID;npopul992t;p0p100;2013;716445.0;992;t
US-ID;npopul992t;p0p100;2014;754594.0;992;t
US-ID;npopul992t;p0p100;2015;780757.0;992;t
US-ID;npopul992t;p0p100;2016;797821.0;992;t
US-ID;npopul992t;p0p100;2017;791953.0;992;t
US-ID;npopul992t;p0p100;2018;838245.0;992;t
US-ID;sptinc992t;p90p100;1917;0.347;992;t
US-ID;sptinc992t;p90p100;1918;0.3439;992;t
US-ID;sptinc992t;p90p100;1919;0.3202;992;t
US-ID;sptinc992t;p90p100;1920;0.3141;992;t
US-ID;sptinc992t;p90p100;1921;0.3347;992;t
US-ID;sptinc992t;p90p100;1922;0.3237;992;t
US-ID;sptinc992t;p90p100;1923;0.3186;992;t
US-ID;sptinc992t;p90p100;1924;0.3192;992;t
US-ID;sptinc992t;p90p100;1925;0.3058;992;t
US-ID;sptinc992t;p90p100;1926;0.3127;992;t
US-ID;sptinc992t;p90p100;1927;0.3152;992;t
US-ID;sptinc992t;p90p100;1928;0.3022;992;t
US-ID;sptinc992t;p90p100;1929;0.3103;992;t
US-ID;sptinc992t;p90p100;1930;0.2784;992;t
US-ID;sptinc992t;p90p100;1931;0.3079;992;t
US-ID;sptinc992t;p90p100;1932;0.3321;992;t
US-ID;sptinc992t;p90p100;1933;0.3902;992;t
US-ID;sptinc992t;p90p100;1934;0.3036;992;t
US-ID;sptinc992t;p90p100;1935;0.3365;992;t
US-ID;sptinc992t;p90p100;1936;0.3411;992;t
US-ID;sptinc992t;p90p100;1937;0.3661;992;t
US-ID;sptinc992t;p90p100;1938;0.318;992;t
US-ID;sptinc992t;p90p100;1939;0.3333;992;t
US-ID;sptinc992t;p90p100;1940;0.4029;992;t
US-ID;sptinc992t;p90p100;1941;0.3959;992;t
US-ID;sptinc992t;p90p100;1942;0.309;992;t
US-ID;sptinc992t;p90p100;1943;0.2984;992;t
US-ID;sptinc992t;p90p100;1944;0.254;992;t
US-ID;sptinc992t;p90p100;1945;0.2971;992;t
US-ID;sptinc992t;p90p100;1946;0.3013;992;t
US-ID;sptinc992t;p90p100;1947;0.2974;992;t
US-ID;sptinc992t;p90p100;1948;0.3251;992;t
US-ID;sptinc992t;p90p100;1949;0.3157;992;t
US-ID;sptinc992t;p90p100;1950;0.3311;992;t
