country;variable;percentile;year;value;age;pop
US-IL;sptinc992t;p0p99;1917;0.8422;992;t
US-IL;sptinc992t;p0p99;1918;0.8546;992;t
US-IL;sptinc992t;p0p99;1919;0.8463;992;t
US-IL;sptinc992t;p0p99;1920;0.8531;992;t
US-IL;sptinc992t;p0p99;1921;0.8416;992;t
US-IL;sptinc992t;p0p99;1922;0.8297;992;t
US-IL;sptinc992t;p0p99;1923;0.8406;992;t
US-IL;sptinc992t;p0p99;1924;0.8244;992;t
US-IL;sptinc992t;p0p99;1925;0.8019;992;t
US-IL;sptinc992t;p0p99;1926;0.8089;992;t
US-IL;sptinc992t;p0p99;1927;0.7961;992;t
US-IL;sptinc992t;p0p99;1928;0.7578;992;t
US-IL;sptinc992t;p0p99;1929;0.788;992;t
US-IL;sptinc992t;p0p99;1930;0.8297;992;t
US-IL;sptinc992t;p0p99;1931;0.8477;992;t
US-IL;sptinc992t;p0p99;1932;0.8541;992;t
US-IL;sptinc992t;p0p99;1933;0.8332;992;t
US-IL;sptinc992t;p0p99;1934;0.8378;992;t
US-IL;sptinc992t;p0p99;1935;0.8323;992;t
US-IL;sptinc992t;p0p99;1936;0.7962;992;t
US-IL;sptinc992t;p0p99;1937;0.8234;992;t
US-IL;sptinc992t;p0p99;1938;0.8332;992;t
US-IL;sptinc992t;p0p99;1939;0.8327;992;t
US-IL;sptinc992t;p0p99;1940;0.8273;992;t
US-IL;sptinc992t;p0p99;1941;0.8339;992;t
US-IL;sptinc992t;p0p99;1942;0.8522;992;t
US-IL;sptinc992t;p0p99;1943;0.861;992;t
US-IL;sptinc992t;p0p99;1944;0.8765;992;t
US-IL;sptinc992t;p0p99;1945;0.8665;992;t
US-IL;sptinc992t;p0p99;1946;0.8643;992;t
US-IL;sptinc992t;p0p99;1947;0.8769;992;t
US-IL;sptinc992t;p0p99;1948;0.8803;992;t
US-IL;sptinc992t;p0p99;1949;0.8816;992;t
US-IL;sptinc992t;p0p99;1950;0.872;992;t
US-IL;sptinc992t;p0p99;1951;0.6525;992;t
US-IL;sptinc992t;p0p99;1952;0.8919;992;t
US-IL;sptinc992t;p0p99;1953;0.8993;992;t
US-IL;sptinc992t;p0p99;1954;0.8911;992;t
US-IL;sptinc992t;p0p99;1955;0.8976;992;t
US-IL;sptinc992t;p0p99;1956;0.8941;992;t
US-IL;sptinc992t;p0p99;1957;0.8995;992;t
US-IL;sptinc992t;p0p99;1958;0.8987;992;t
US-IL;sptinc992t;p0p99;1959;0.8965;992;t
US-IL;sptinc992t;p0p99;1960;0.8984;992;t
US-IL;sptinc992t;p0p99;1961;0.8923;992;t
US-IL;sptinc992t;p0p99;1962;0.8981;992;t
US-IL;sptinc992t;p0p99;1963;0.9013;992;t
US-IL;sptinc992t;p0p99;1964;0.8966;992;t
US-IL;sptinc992t;p0p99;1965;0.89;992;t
US-IL;sptinc992t;p0p99;1966;0.8961;992;t
US-IL;sptinc992t;p0p99;1967;0.893;992;t
US-IL;sptinc992t;p0p99;1968;0.8877;992;t
US-IL;sptinc992t;p0p99;1969;0.8962;992;t
