country;variable;percentile;year;value;age;pop
US-IN;sfiinc992t;p95p99;1917;0.1313;992;t
US-IN;sfiinc992t;p95p99;1918;0.143;992;t
US-IN;sfiinc992t;p95p99;1919;0.1422;992;t
US-IN;sfiinc992t;p95p99;1920;0.1384;992;t
US-IN;sfiinc992t;p95p99;1921;0.1659;992;t
US-IN;sfiinc992t;p95p99;1922;0.1582;992;t
US-IN;sfiinc992t;p95p99;1923;0.1494;992;t
US-IN;sfiinc992t;p95p99;1924;0.1462;992;t
US-IN;sfiinc992t;p95p99;1925;0.1306;992;t
US-IN;sfiinc992t;p95p99;1926;0.1255;992;t
US-IN;sfiinc992t;p95p99;1927;0.1229;992;t
US-IN;sfiinc992t;p95p99;1928;0.1206;992;t
US-IN;sfiinc992t;p95p99;1929;0.1167;992;t
US-IN;sfiinc992t;p95p99;1930;0.1236;992;t
US-IN;sfiinc992t;p95p99;1931;0.1238;992;t
US-IN;sfiinc992t;p95p99;1932;0.1534;992;t
US-IN;sfiinc992t;p95p99;1933;0.1475;992;t
US-IN;sfiinc992t;p95p99;1934;0.1434;992;t
US-IN;sfiinc992t;p95p99;1935;0.134;992;t
US-IN;sfiinc992t;p95p99;1936;0.1353;992;t
US-IN;sfiinc992t;p95p99;1937;0.1369;992;t
US-IN;sfiinc992t;p95p99;1938;0.151;992;t
US-IN;sfiinc992t;p95p99;1939;0.1574;992;t
US-IN;sfiinc992t;p95p99;1940;0.1551;992;t
US-IN;sfiinc992t;p95p99;1941;0.1329;992;t
US-IN;sfiinc992t;p95p99;1942;0.1204;992;t
US-IN;sfiinc992t;p95p99;1943;0.1125;992;t
US-IN;sfiinc992t;p95p99;1944;0.109;992;t
US-IN;sfiinc992t;p95p99;1945;0.1153;992;t
US-IN;sfiinc992t;p95p99;1946;0.1291;992;t
US-IN;sfiinc992t;p95p99;1947;0.1193;992;t
US-IN;sfiinc992t;p95p99;1948;0.115;992;t
US-IN;sfiinc992t;p95p99;1949;0.1254;992;t
US-IN;sfiinc992t;p95p99;1950;0.1115;992;t
US-IN;sfiinc992t;p95p99;1951;0.112;992;t
US-IN;sfiinc992t;p95p99;1952;0.1157;992;t
US-IN;sfiinc992t;p95p99;1953;0.1084;992;t
US-IN;sfiinc992t;p95p99;1954;0.1141;992;t
US-IN;sfiinc992t;p95p99;1955;0.1172;992;t
US-IN;sfiinc992t;p95p99;1956;0.114;992;t
US-IN;sfiinc992t;p95p99;1957;0.1183;992;t
US-IN;sfiinc992t;p95p99;1958;0.1208;992;t
US-IN;sfiinc992t;p95p99;1959;0.1216;992;t
US-IN;sfiinc992t;p95p99;1960;0.1206;992;t
US-IN;sfiinc992t;p95p99;1961;0.1204;992;t
US-IN;sfiinc992t;p95p99;1962;0.1226;992;t
US-IN;sfiinc992t;p95p99;1963;0.1223;992;t
US-IN;sfiinc992t;p95p99;1964;0.1201;992;t
US-IN;sfiinc992t;p95p99;1965;0.121;992;t
US-IN;sfiinc992t;p95p99;1966;0.1177;992;t
US-IN;sfiinc992t;p95p99;1967;0.1205;992;t
US-IN;sfiinc992t;p95p99;1968;0.1198;992;t
US-IN;sfiinc992t;p95p99;1969;0.1181;992;t
US-IN;sfiinc992t;p95p99;1970;0.1207;992;t
US-IN;sfiinc992t;p95p99;1971;0.1248;992;t
US-IN;sfiinc992t;p95p99;1972;0.125;992;t
US-IN;sfiinc992t;p95p99;1973;0.1219;992;t
US-IN;sfiinc992t;p95p99;1974;0.1285;992;t
US-IN;sfiinc992t;p95p99;1975;0.1264;992;t
US-IN;sfiinc992t;p95p99;1976;0.1248;992;t
US-IN;sfiinc992t;p95p99;1977;0.1259;992;t
US-IN;sfiinc992t;p95p99;1978;0.1219;992;t
US-IN;sfiinc992t;p95p99;1979;0.1197;992;t
US-IN;sfiinc992t;p95p99;1980;0.1252;992;t
US-IN;sfiinc992t;p95p99;1981;0.1238;992;t
US-IN;sfiinc992t;p95p99;1982;0.1225;992;t
US-IN;sfiinc992t;p95p99;1983;0.1255;992;t
US-IN;sfiinc992t;p95p99;1984;0.1255;992;t
US-IN;sfiinc992t;p95p99;1985;0.1287;992;t
US-IN;sfiinc992t;p95p99;1986;0.1304;992;t
US-IN;sfiinc992t;p95p99;1987;0.1308;992;t
US-IN;sfiinc992t;p95p99;1988;0.131;992;t
US-IN;sfiinc992t;p95p99;1989;0.131;992;t
US-IN;sfiinc992t;p95p99;1990;0.1307;992;t
US-IN;sfiinc992t;p95p99;1991;0.1361;992;t
US-IN;sfiinc992t;p95p99;1992;0.1356;992;t
US-IN;sfiinc992t;p95p99;1993;0.1379;992;t
US-IN;sfiinc992t;p95p99;1994;0.1373;992;t
US-IN;sfiinc992t;p95p99;1995;0.1376;992;t
US-IN;sfiinc992t;p95p99;1996;0.1376;992;t
US-IN;sfiinc992t;p95p99;1997;0.1373;992;t
US-IN;sfiinc992t;p95p99;1998;0.135;992;t
US-IN;sfiinc992t;p95p99;1999;0.1356;992;t
US-IN;sfiinc992t;p95p99;2000;0.1323;992;t
US-IN;sfiinc992t;p95p99;2001;0.1367;992;t
US-IN;sfiinc992t;p95p99;2002;0.1402;992;t
US-IN;sfiinc992t;p95p99;2003;0.1382;992;t
US-IN;sfiinc992t;p95p99;2004;0.1403;992;t
US-IN;sfiinc992t;p95p99;2005;0.1367;992;t
US-IN;sfiinc992t;p95p99;2006;0.1298;992;t
US-IN;sfiinc992t;p95p99;2007;0.1301;992;t
US-IN;sfiinc992t;p95p99;2008;0.1354;992;t
US-IN;sfiinc992t;p95p99;2009;0.1413;992;t
