country;variable;percentile;year;value;age;pop
US-KS;afiinc992t;p99p100;1917;177024.8;992;t
US-KS;afiinc992t;p99p100;1918;145927.3;992;t
US-KS;afiinc992t;p99p100;1919;147066.9;992;t
US-KS;afiinc992t;p99p100;1920;130688.8;992;t
US-KS;afiinc992t;p99p100;1921;105671.7;992;t
US-KS;afiinc992t;p99p100;1922;116803.8;992;t
US-KS;afiinc992t;p99p100;1923;103094.0;992;t
US-KS;afiinc992t;p99p100;1924;115688.3;992;t
US-KS;afiinc992t;p99p100;1925;131286.6;992;t
US-KS;afiinc992t;p99p100;1926;151819.2;992;t
US-KS;afiinc992t;p99p100;1927;148169.1;992;t
US-KS;afiinc992t;p99p100;1928;163630.2;992;t
US-KS;afiinc992t;p99p100;1929;172158.9;992;t
US-KS;afiinc992t;p99p100;1930;132415.9;992;t
US-KS;afiinc992t;p99p100;1931;113653.7;992;t
US-KS;afiinc992t;p99p100;1932;96063.4;992;t
US-KS;afiinc992t;p99p100;1933;93521.8;992;t
US-KS;afiinc992t;p99p100;1934;110190.0;992;t
US-KS;afiinc992t;p99p100;1935;123821.5;992;t
US-KS;afiinc992t;p99p100;1936;151386.1;992;t
US-KS;afiinc992t;p99p100;1937;143431.9;992;t
US-KS;afiinc992t;p99p100;1938;124409.4;992;t
US-KS;afiinc992t;p99p100;1939;130782.7;992;t
US-KS;afiinc992t;p99p100;1940;139478.9;992;t
US-KS;afiinc992t;p99p100;1941;180005.4;992;t
US-KS;afiinc992t;p99p100;1942;215765.3;992;t
US-KS;afiinc992t;p99p100;1943;233353.2;992;t
US-KS;afiinc992t;p99p100;1944;210953.6;992;t
US-KS;afiinc992t;p99p100;1945;224101.5;992;t
US-KS;afiinc992t;p99p100;1946;238181.1;992;t
US-KS;afiinc992t;p99p100;1947;248988.0;992;t
US-KS;afiinc992t;p99p100;1948;267770.6;992;t
US-KS;afiinc992t;p99p100;1949;234600.2;992;t
US-KS;afiinc992t;p99p100;1950;269403.6;992;t
US-KS;afiinc992t;p99p100;1951;284679.3;992;t
US-KS;afiinc992t;p99p100;1952;247961.9;992;t
US-KS;afiinc992t;p99p100;1953;221274.5;992;t
US-KS;afiinc992t;p99p100;1954;247369.5;992;t
US-KS;afiinc992t;p99p100;1955;246858.2;992;t
US-KS;afiinc992t;p99p100;1956;245164.6;992;t
US-KS;afiinc992t;p99p100;1957;246926.7;992;t
US-KS;afiinc992t;p99p100;1958;245160.0;992;t
US-KS;afiinc992t;p99p100;1959;251317.7;992;t
US-KS;afiinc992t;p99p100;1960;256865.9;992;t
US-KS;afiinc992t;p99p100;1961;280093.4;992;t
US-KS;afiinc992t;p99p100;1962;272429.1;992;t
US-KS;afiinc992t;p99p100;1963;277406.0;992;t
US-KS;afiinc992t;p99p100;1964;300941.9;992;t
US-KS;afiinc992t;p99p100;1965;322638.1;992;t
US-KS;afiinc992t;p99p100;1966;322437.9;992;t
US-KS;afiinc992t;p99p100;1967;349038.9;992;t
US-KS;afiinc992t;p99p100;1968;395711.8;992;t
US-KS;afiinc992t;p99p100;1969;364375.9;992;t
US-KS;afiinc992t;p99p100;1970;329629.9;992;t
US-KS;afiinc992t;p99p100;1971;347064.7;992;t
US-KS;afiinc992t;p99p100;1972;371716.7;992;t
US-KS;afiinc992t;p99p100;1973;389632.3;992;t
US-KS;afiinc992t;p99p100;1974;419678.6;992;t
US-KS;afiinc992t;p99p100;1975;382888.3;992;t
US-KS;afiinc992t;p99p100;1976;370410.4;992;t
US-KS;afiinc992t;p99p100;1977;398200.5;992;t
US-KS;afiinc992t;p99p100;1978;390545.9;992;t
US-KS;afiinc992t;p99p100;1979;453239.9;992;t
US-KS;afiinc992t;p99p100;1980;465288.8;992;t
US-KS;afiinc992t;p99p100;1981;445016.2;992;t
US-KS;afiinc992t;p99p100;1982;481058.3;992;t
US-KS;afiinc992t;p99p100;1983;468687.4;992;t
US-KS;afiinc992t;p99p100;1984;508782.1;992;t
US-KS;afiinc992t;p99p100;1985;561834.2;992;t
US-KS;afiinc992t;p99p100;1986;663384.1;992;t
