country;variable;percentile;year;value;age;pop
US-KY;npopul992t;p0p100;1917;927069.0;992;t
US-KY;npopul992t;p0p100;1918;920510.0;992;t
US-KY;npopul992t;p0p100;1919;926047.0;992;t
US-KY;npopul992t;p0p100;1920;937058.0;992;t
US-KY;npopul992t;p0p100;1921;949148.0;992;t
US-KY;npopul992t;p0p100;1922;956033.0;992;t
US-KY;npopul992t;p0p100;1923;966033.0;992;t
US-KY;npopul992t;p0p100;1924;978025.0;992;t
US-KY;npopul992t;p0p100;1925;985948.0;992;t
US-KY;npopul992t;p0p100;1926;992329.0;992;t
US-KY;npopul992t;p0p100;1927;999058.0;992;t
US-KY;npopul992t;p0p100;1928;1004169.0;992;t
US-KY;npopul992t;p0p100;1929;1007259.0;992;t
US-KY;npopul992t;p0p100;1930;1010564.0;992;t
US-KY;npopul992t;p0p100;1931;1023468.0;992;t
US-KY;npopul992t;p0p100;1932;1035165.0;992;t
US-KY;npopul992t;p0p100;1933;1046467.0;992;t
US-KY;npopul992t;p0p100;1934;1058367.0;992;t
US-KY;npopul992t;p0p100;1935;1071085.0;992;t
US-KY;npopul992t;p0p100;1936;1083322.0;992;t
US-KY;npopul992t;p0p100;1937;1095432.0;992;t
US-KY;npopul992t;p0p100;1938;1109633.0;992;t
US-KY;npopul992t;p0p100;1939;1124466.0;992;t
US-KY;npopul992t;p0p100;1940;1141094.0;992;t
US-KY;npopul992t;p0p100;1941;1135988.0;992;t
US-KY;npopul992t;p0p100;1942;1132076.0;992;t
US-KY;npopul992t;p0p100;1943;1131329.0;992;t
US-KY;npopul992t;p0p100;1944;1128341.0;992;t
US-KY;npopul992t;p0p100;1945;1123955.0;992;t
US-KY;npopul992t;p0p100;1946;1118666.0;992;t
US-KY;npopul992t;p0p100;1947;1123004.0;992;t
US-KY;npopul992t;p0p100;1948;1124929.0;992;t
US-KY;npopul992t;p0p100;1949;1126674.0;992;t
US-KY;npopul992t;p0p100;1950;1131750.0;992;t
US-KY;npopul992t;p0p100;1951;1129826.0;992;t
US-KY;npopul992t;p0p100;1952;1127846.0;992;t
US-KY;npopul992t;p0p100;1953;1125007.0;992;t
US-KY;npopul992t;p0p100;1954;1123083.0;992;t
US-KY;npopul992t;p0p100;1955;1121011.0;992;t
US-KY;npopul992t;p0p100;1956;1118795.0;992;t
US-KY;npopul992t;p0p100;1957;1116697.0;992;t
US-KY;npopul992t;p0p100;1958;1112826.0;992;t
US-KY;npopul992t;p0p100;1959;1108717.0;992;t
US-KY;npopul992t;p0p100;1960;1103410.0;992;t
US-KY;npopul992t;p0p100;1961;1120857.0;992;t
US-KY;npopul992t;p0p100;1962;1137167.0;992;t
US-KY;npopul992t;p0p100;1963;1152536.0;992;t
US-KY;npopul992t;p0p100;1964;1167483.0;992;t
US-KY;npopul992t;p0p100;1965;1180938.0;992;t
US-KY;npopul992t;p0p100;1966;1193367.0;992;t
US-KY;npopul992t;p0p100;1967;1205079.0;992;t
US-KY;npopul992t;p0p100;1968;1215761.0;992;t
US-KY;npopul992t;p0p100;1969;1226230.0;992;t
US-KY;npopul992t;p0p100;1970;1239066.0;992;t
US-KY;npopul992t;p0p100;1971;1266435.0;992;t
US-KY;npopul992t;p0p100;1972;1291993.0;992;t
US-KY;npopul992t;p0p100;1973;1316624.0;992;t
US-KY;npopul992t;p0p100;1974;1341274.0;992;t
US-KY;npopul992t;p0p100;1975;1367476.0;992;t
US-KY;npopul992t;p0p100;1976;1393795.0;992;t
US-KY;npopul992t;p0p100;1977;1421526.0;992;t
US-KY;npopul992t;p0p100;1978;1450699.0;992;t
US-KY;npopul992t;p0p100;1979;1486893.0;992;t
US-KY;npopul992t;p0p100;1980;1510414.0;992;t
US-KY;npopul992t;p0p100;1981;1536682.0;992;t
US-KY;npopul992t;p0p100;1982;1550964.0;992;t
US-KY;npopul992t;p0p100;1983;1550964.0;992;t
US-KY;npopul992t;p0p100;1984;1579627.0;992;t
US-KY;npopul992t;p0p100;1985;1610240.0;992;t
US-KY;npopul992t;p0p100;1986;1651828.0;992;t
US-KY;npopul992t;p0p100;1987;1695659.0;992;t
US-KY;npopul992t;p0p100;1988;1697769.0;992;t
US-KY;npopul992t;p0p100;1989;1700995.0;992;t
US-KY;npopul992t;p0p100;1990;1709669.0;992;t
US-KY;npopul992t;p0p100;1991;1710565.0;992;t
US-KY;npopul992t;p0p100;1992;1738325.0;992;t
US-KY;npopul992t;p0p100;1993;1798383.0;992;t
US-KY;npopul992t;p0p100;1994;1794758.0;992;t
US-KY;npopul992t;p0p100;1995;1798320.0;992;t
US-KY;npopul992t;p0p100;1996;1801210.0;992;t
US-KY;npopul992t;p0p100;1997;1855037.0;992;t
US-KY;npopul992t;p0p100;1998;1893948.0;992;t
US-KY;npopul992t;p0p100;1999;1895915.0;992;t
US-KY;npopul992t;p0p100;2000;1888128.0;992;t
US-KY;npopul992t;p0p100;2001;1913230.0;992;t
US-KY;npopul992t;p0p100;2002;1954031.0;992;t
US-KY;npopul992t;p0p100;2003;2012350.0;992;t
US-KY;npopul992t;p0p100;2004;2002598.0;992;t
US-KY;npopul992t;p0p100;2005;2067853.0;992;t
US-KY;npopul992t;p0p100;2006;2111550.0;992;t
US-KY;npopul992t;p0p100;2007;2078721.0;992;t
US-KY;npopul992t;p0p100;2008;2139663.0;992;t
US-KY;npopul992t;p0p100;2009;2145879.0;992;t
US-KY;npopul992t;p0p100;2010;2186619.0;992;t
US-KY;npopul992t;p0p100;2011;2206542.0;992;t
US-KY;npopul992t;p0p100;2012;2194129.0;992;t
US-KY;npopul992t;p0p100;2013;2231355.0;992;t
US-KY;npopul992t;p0p100;2014;2274930.0;992;t
US-KY;npopul992t;p0p100;2015;2281681.0;992;t
US-KY;npopul992t;p0p100;2016;2327665.0;992;t
US-KY;npopul992t;p0p100;2017;2290520.0;992;t
US-KY;npopul992t;p0p100;2018;2287415.0;992;t
US-KY;sptinc992t;p0p99;1917;0.8643;992;t
US-KY;sptinc992t;p0p99;1918;0.8502;992;t
US-KY;sptinc992t;p0p99;1919;0.8584;992;t
US-KY;sptinc992t;p0p99;1920;0.8602;992;t
US-KY;sptinc992t;p0p99;1921;0.8576;992;t
US-KY;sptinc992t;p0p99;1922;0.8519;992;t
US-KY;sptinc992t;p0p99;1923;0.8603;992;t
US-KY;sptinc992t;p0p99;1924;0.8464;992;t
US-KY;sptinc992t;p0p99;1925;0.8396;992;t
US-KY;sptinc992t;p0p99;1926;0.8394;992;t
US-KY;sptinc992t;p0p99;1927;0.8288;992;t
US-KY;sptinc992t;p0p99;1928;0.8125;992;t
US-KY;sptinc992t;p0p99;1929;0.8154;992;t
US-KY;sptinc992t;p0p99;1930;0.8424;992;t
US-KY;sptinc992t;p0p99;1931;0.8535;992;t
US-KY;sptinc992t;p0p99;1932;0.8432;992;t
US-KY;sptinc992t;p0p99;1933;0.8375;992;t
US-KY;sptinc992t;p0p99;1934;0.8326;992;t
US-KY;sptinc992t;p0p99;1935;0.8387;992;t
US-KY;sptinc992t;p0p99;1936;0.8197;992;t
US-KY;sptinc992t;p0p99;1937;0.8523;992;t
US-KY;sptinc992t;p0p99;1938;0.8437;992;t
US-KY;sptinc992t;p0p99;1939;0.8439;992;t
US-KY;sptinc992t;p0p99;1940;0.8379;992;t
US-KY;sptinc992t;p0p99;1941;0.8445;992;t
US-KY;sptinc992t;p0p99;1942;0.8728;992;t
US-KY;sptinc992t;p0p99;1943;0.8816;992;t
US-KY;sptinc992t;p0p99;1944;0.8968;992;t
US-KY;sptinc992t;p0p99;1945;0.878;992;t
