country;variable;percentile;year;value;age;pop
US-LA;sptinc992t;p99p100;1917;0.176;992;t
US-LA;sptinc992t;p99p100;1918;0.1702;992;t
US-LA;sptinc992t;p99p100;1919;0.1889;992;t
US-LA;sptinc992t;p99p100;1920;0.1622;992;t
US-LA;sptinc992t;p99p100;1921;0.1536;992;t
US-LA;sptinc992t;p99p100;1922;0.1555;992;t
US-LA;sptinc992t;p99p100;1923;0.1441;992;t
US-LA;sptinc992t;p99p100;1924;0.1564;992;t
US-LA;sptinc992t;p99p100;1925;0.1775;992;t
US-LA;sptinc992t;p99p100;1926;0.1689;992;t
US-LA;sptinc992t;p99p100;1927;0.1656;992;t
US-LA;sptinc992t;p99p100;1928;0.1736;992;t
US-LA;sptinc992t;p99p100;1929;0.1559;992;t
US-LA;sptinc992t;p99p100;1930;0.1491;992;t
US-LA;sptinc992t;p99p100;1931;0.1422;992;t
US-LA;sptinc992t;p99p100;1932;0.1444;992;t
US-LA;sptinc992t;p99p100;1933;0.1412;992;t
US-LA;sptinc992t;p99p100;1934;0.1486;992;t
US-LA;sptinc992t;p99p100;1935;0.1508;992;t
US-LA;sptinc992t;p99p100;1936;0.1899;992;t
US-LA;sptinc992t;p99p100;1937;0.1759;992;t
US-LA;sptinc992t;p99p100;1938;0.1669;992;t
US-LA;sptinc992t;p99p100;1939;0.1715;992;t
US-LA;sptinc992t;p99p100;1940;0.1737;992;t
US-LA;sptinc992t;p99p100;1941;0.1569;992;t
US-LA;sptinc992t;p99p100;1942;0.1279;992;t
US-LA;sptinc992t;p99p100;1943;0.1178;992;t
US-LA;sptinc992t;p99p100;1944;0.1044;992;t
US-LA;sptinc992t;p99p100;1945;0.1197;992;t
US-LA;sptinc992t;p99p100;1946;0.1388;992;t
US-LA;sptinc992t;p99p100;1947;0.1287;992;t
US-LA;sptinc992t;p99p100;1948;0.1462;992;t
US-LA;sptinc992t;p99p100;1949;0.1315;992;t
US-LA;sptinc992t;p99p100;1950;0.1407;992;t
US-LA;sptinc992t;p99p100;1951;0.1353;992;t
US-LA;sptinc992t;p99p100;1952;0.1206;992;t
US-LA;sptinc992t;p99p100;1953;0.1058;992;t
US-LA;sptinc992t;p99p100;1954;0.1174;992;t
US-LA;sptinc992t;p99p100;1955;0.1214;992;t
US-LA;sptinc992t;p99p100;1956;0.1169;992;t
US-LA;sptinc992t;p99p100;1957;0.1067;992;t
US-LA;sptinc992t;p99p100;1958;0.1026;992;t
US-LA;sptinc992t;p99p100;1959;0.1289;992;t
US-LA;sptinc992t;p99p100;1960;0.1093;992;t
US-LA;sptinc992t;p99p100;1961;0.1076;992;t
US-LA;sptinc992t;p99p100;1962;0.1063;992;t
US-LA;sptinc992t;p99p100;1963;0.1034;992;t
US-LA;sptinc992t;p99p100;1964;0.111;992;t
US-LA;sptinc992t;p99p100;1965;0.1167;992;t
US-LA;sptinc992t;p99p100;1966;0.1118;992;t
US-LA;sptinc992t;p99p100;1967;0.1087;992;t
US-LA;sptinc992t;p99p100;1968;0.1057;992;t
US-LA;sptinc992t;p99p100;1969;0.1066;992;t
US-LA;sptinc992t;p99p100;1970;0.0953;992;t
US-LA;sptinc992t;p99p100;1971;0.102;992;t
US-LA;sptinc992t;p99p100;1972;0.1053;992;t
US-LA;sptinc992t;p99p100;1973;0.1025;992;t
US-LA;sptinc992t;p99p100;1974;0.0996;992;t
US-LA;sptinc992t;p99p100;1975;0.1002;992;t
US-LA;sptinc992t;p99p100;1976;0.0983;992;t
US-LA;sptinc992t;p99p100;1977;0.1027;992;t
US-LA;sptinc992t;p99p100;1978;0.0997;992;t
US-LA;sptinc992t;p99p100;1979;0.1074;992;t
US-LA;sptinc992t;p99p100;1980;0.1109;992;t
US-LA;sptinc992t;p99p100;1981;0.1099;992;t
US-LA;sptinc992t;p99p100;1982;0.1204;992;t
US-LA;sptinc992t;p99p100;1983;0.1185;992;t
US-LA;sptinc992t;p99p100;1984;0.1267;992;t
US-LA;sptinc992t;p99p100;1985;0.1286;992;t
US-LA;sptinc992t;p99p100;1986;0.1498;992;t
US-LA;sptinc992t;p99p100;1987;0.1158;992;t
US-LA;sptinc992t;p99p100;1988;0.1326;992;t
US-LA;sptinc992t;p99p100;1989;0.1309;992;t
US-LA;sptinc992t;p99p100;1990;0.1264;992;t
US-LA;sptinc992t;p99p100;1991;0.1256;992;t
US-LA;sptinc992t;p99p100;1992;0.1313;992;t
US-LA;sptinc992t;p99p100;1993;0.1316;992;t
US-LA;sptinc992t;p99p100;1994;0.1325;992;t
