country;variable;percentile;year;value;age;pop
US-MA;sfiinc992t;p0p90;1917;0.5776;992;t
US-MA;sfiinc992t;p0p90;1918;0.5704;992;t
US-MA;sfiinc992t;p0p90;1919;0.5735;992;t
US-MA;sfiinc992t;p0p90;1920;0.6353;992;t
US-MA;sfiinc992t;p0p90;1921;0.5985;992;t
US-MA;sfiinc992t;p0p90;1922;0.5766;992;t
US-MA;sfiinc992t;p0p90;1923;0.5995;992;t
US-MA;sfiinc992t;p0p90;1924;0.5942;992;t
US-MA;sfiinc992t;p0p90;1925;0.5445;992;t
US-MA;sfiinc992t;p0p90;1926;0.5391;992;t
US-MA;sfiinc992t;p0p90;1927;0.5086;992;t
US-MA;sfiinc992t;p0p90;1928;0.4562;992;t
US-MA;sfiinc992t;p0p90;1929;0.4607;992;t
US-MA;sfiinc992t;p0p90;1930;0.5009;992;t
US-MA;sfiinc992t;p0p90;1931;0.501;992;t
US-MA;sfiinc992t;p0p90;1932;0.5258;992;t
US-MA;sfiinc992t;p0p90;1933;0.5302;992;t
US-MA;sfiinc992t;p0p90;1934;0.5404;992;t
US-MA;sfiinc992t;p0p90;1935;0.5394;992;t
US-MA;sfiinc992t;p0p90;1936;0.5367;992;t
US-MA;sfiinc992t;p0p90;1937;0.5568;992;t
US-MA;sfiinc992t;p0p90;1938;0.5879;992;t
US-MA;sfiinc992t;p0p90;1939;0.5774;992;t
US-MA;sfiinc992t;p0p90;1940;0.5926;992;t
US-MA;sfiinc992t;p0p90;1941;0.6229;992;t
US-MA;sfiinc992t;p0p90;1942;0.6549;992;t
US-MA;sfiinc992t;p0p90;1943;0.6769;992;t
US-MA;sfiinc992t;p0p90;1944;0.6766;992;t
US-MA;sfiinc992t;p0p90;1945;0.6599;992;t
US-MA;sfiinc992t;p0p90;1946;0.6529;992;t
US-MA;sfiinc992t;p0p90;1947;0.6731;992;t
US-MA;sfiinc992t;p0p90;1948;0.669;992;t
US-MA;sfiinc992t;p0p90;1949;0.6699;992;t
US-MA;sfiinc992t;p0p90;1950;0.6675;992;t
US-MA;sfiinc992t;p0p90;1952;0.6745;992;t
US-MA;sfiinc992t;p0p90;1953;0.692;992;t
US-MA;sfiinc992t;p0p90;1954;0.6945;992;t
US-MA;sfiinc992t;p0p90;1955;0.665;992;t
US-MA;sfiinc992t;p0p90;1956;0.6851;992;t
US-MA;sfiinc992t;p0p90;1957;0.6843;992;t
US-MA;sfiinc992t;p0p90;1958;0.6766;992;t
US-MA;sfiinc992t;p0p90;1959;0.6673;992;t
US-MA;sfiinc992t;p0p90;1960;0.6643;992;t
US-MA;sfiinc992t;p0p90;1961;0.6743;992;t
US-MA;sfiinc992t;p0p90;1962;0.6797;992;t
US-MA;sfiinc992t;p0p90;1963;0.6751;992;t
US-MA;sfiinc992t;p0p90;1964;0.6709;992;t
US-MA;sfiinc992t;p0p90;1965;0.6648;992;t
US-MA;sfiinc992t;p0p90;1966;0.6659;992;t
US-MA;sfiinc992t;p0p90;1967;0.6619;992;t
US-MA;sfiinc992t;p0p90;1968;0.653;992;t
US-MA;sfiinc992t;p0p90;1969;0.6632;992;t
US-MA;sfiinc992t;p0p90;1970;0.677;992;t
US-MA;sfiinc992t;p0p90;1971;0.6713;992;t
US-MA;sfiinc992t;p0p90;1972;0.6701;992;t
US-MA;sfiinc992t;p0p90;1973;0.6685;992;t
US-MA;sfiinc992t;p0p90;1974;0.6705;992;t
US-MA;sfiinc992t;p0p90;1975;0.6592;992;t
US-MA;sfiinc992t;p0p90;1976;0.6619;992;t
US-MA;sfiinc992t;p0p90;1977;0.6607;992;t
US-MA;sfiinc992t;p0p90;1978;0.6607;992;t
US-MA;sfiinc992t;p0p90;1979;0.6504;992;t
US-MA;sfiinc992t;p0p90;1980;0.6474;992;t
US-MA;sfiinc992t;p0p90;1981;0.6342;992;t
US-MA;sfiinc992t;p0p90;1982;0.6204;992;t
US-MA;sfiinc992t;p0p90;1983;0.6359;992;t
US-MA;sfiinc992t;p0p90;1984;0.6318;992;t
US-MA;sfiinc992t;p0p90;1985;0.6227;992;t
US-MA;sfiinc992t;p0p90;1986;0.5847;992;t
US-MA;sfiinc992t;p0p90;1987;0.6118;992;t
US-MA;sfiinc992t;p0p90;1988;0.6063;992;t
US-MA;sfiinc992t;p0p90;1989;0.614;992;t
US-MA;sfiinc992t;p0p90;1990;0.609;992;t
US-MA;sfiinc992t;p0p90;1991;0.6012;992;t
US-MA;sfiinc992t;p0p90;1992;0.5875;992;t
US-MA;sfiinc992t;p0p90;1993;0.5863;992;t
US-MA;sfiinc992t;p0p90;1994;0.584;992;t
US-MA;sfiinc992t;p0p90;1995;0.5576;992;t
US-MA;sfiinc992t;p0p90;1996;0.5431;992;t
US-MA;sfiinc992t;p0p90;1997;0.5216;992;t
US-MA;sfiinc992t;p0p90;1998;0.4977;992;t
US-MA;sfiinc992t;p0p90;1999;0.4767;992;t
US-MA;sfiinc992t;p0p90;2000;0.4073;992;t
US-MA;sfiinc992t;p0p90;2001;0.5023;992;t
US-MA;sfiinc992t;p0p90;2002;0.5318;992;t
US-MA;sfiinc992t;p0p90;2003;0.5166;992;t
US-MA;sfiinc992t;p0p90;2004;0.501;992;t
US-MA;sfiinc992t;p0p90;2005;0.4872;992;t
US-MA;sfiinc992t;p0p90;2006;0.4813;992;t
US-MA;sfiinc992t;p0p90;2007;0.4625;992;t
US-MA;sfiinc992t;p0p90;2008;0.5114;992;t
US-MA;sfiinc992t;p0p90;2009;0.5362;992;t
US-MA;sfiinc992t;p0p90;2010;0.5003;992;t
US-MA;sfiinc992t;p0p90;2011;0.4904;992;t
US-MA;sfiinc992t;p0p90;2012;0.4709;992;t
US-MA;sfiinc992t;p0p90;2013;0.4893;992;t
US-MA;sfiinc992t;p0p90;2014;0.4544;992;t
US-MA;sfiinc992t;p0p90;2015;0.4609;992;t
US-MA;sfiinc992t;p0p90;2016;0.4654;992;t
US-MA;sfiinc992t;p0p90;2017;0.4432;992;t
US-MA;sfiinc992t;p0p90;2018;0.4455;992;t
US-MA;mfiinc992t;p0p100;1917;31073079782.0;992;t
US-MA;mfiinc992t;p0p100;1918;29106305132.0;992;t
US-MA;mfiinc992t;p0p100;1919;29199205286.0;992;t
US-MA;mfiinc992t;p0p100;1920;29620744926.0;992;t
US-MA;mfiinc992t;p0p100;1921;27127216822.0;992;t
US-MA;mfiinc992t;p0p100;1922;31245164951.0;992;t
US-MA;mfiinc992t;p0p100;1923;34542211934.0;992;t
US-MA;mfiinc992t;p0p100;1924;34619973048.0;992;t
US-MA;mfiinc992t;p0p100;1925;36261700608.0;992;t
US-MA;mfiinc992t;p0p100;1926;36376241297.0;992;t
US-MA;mfiinc992t;p0p100;1927;36920717928.0;992;t
US-MA;mfiinc992t;p0p100;1928;38584025652.0;992;t
US-MA;mfiinc992t;p0p100;1929;39516542509.0;992;t
US-MA;mfiinc992t;p0p100;1930;36286775911.0;992;t
US-MA;mfiinc992t;p0p100;1931;35389833118.0;992;t
US-MA;mfiinc992t;p0p100;1932;32178409761.0;992;t
US-MA;mfiinc992t;p0p100;1933;30501972461.0;992;t
US-MA;mfiinc992t;p0p100;1934;31877393809.0;992;t
US-MA;mfiinc992t;p0p100;1935;33686855665.0;992;t
US-MA;mfiinc992t;p0p100;1936;37099575582.0;992;t
US-MA;mfiinc992t;p0p100;1937;36381945026.0;992;t
US-MA;mfiinc992t;p0p100;1938;33843512294.0;992;t
US-MA;mfiinc992t;p0p100;1939;36789577581.0;992;t
US-MA;mfiinc992t;p0p100;1940;38772238424.0;992;t
US-MA;mfiinc992t;p0p100;1941;43280546518.0;992;t
US-MA;mfiinc992t;p0p100;1942;47666726661.0;992;t
US-MA;mfiinc992t;p0p100;1943;53378174431.0;992;t
US-MA;mfiinc992t;p0p100;1944;51602819386.0;992;t
US-MA;mfiinc992t;p0p100;1945;51366409114.0;992;t
US-MA;mfiinc992t;p0p100;1946;50640958673.0;992;t
US-MA;mfiinc992t;p0p100;1947;48980215231.0;992;t
US-MA;mfiinc992t;p0p100;1948;50321200435.0;992;t
US-MA;mfiinc992t;p0p100;1949;49432944336.0;992;t
US-MA;mfiinc992t;p0p100;1950;55354789544.0;992;t
US-MA;mfiinc992t;p0p100;1951;56628915184.0;992;t
US-MA;mfiinc992t;p0p100;1952;56837928410.0;992;t
US-MA;mfiinc992t;p0p100;1953;59249540667.0;992;t
US-MA;mfiinc992t;p0p100;1954;59494604724.0;992;t
US-MA;mfiinc992t;p0p100;1955;63316033041.0;992;t
US-MA;mfiinc992t;p0p100;1956;64956582172.0;992;t
US-MA;mfiinc992t;p0p100;1957;65282299955.0;992;t
US-MA;mfiinc992t;p0p100;1958;64075707112.0;992;t
US-MA;mfiinc992t;p0p100;1959;69179731379.0;992;t
US-MA;mfiinc992t;p0p100;1960;70080234832.0;992;t
US-MA;mfiinc992t;p0p100;1961;73680937794.0;992;t
US-MA;mfiinc992t;p0p100;1962;76043587108.0;992;t
US-MA;mfiinc992t;p0p100;1963;78835899404.0;992;t
US-MA;mfiinc992t;p0p100;1964;83963585850.0;992;t
US-MA;mfiinc992t;p0p100;1965;88206111907.0;992;t
US-MA;mfiinc992t;p0p100;1966;92370912288.0;992;t
US-MA;mfiinc992t;p0p100;1967;98357575359.0;992;t
US-MA;mfiinc992t;p0p100;1968;102990212573.0;992;t
US-MA;mfiinc992t;p0p100;1969;103497294549.0;992;t
US-MA;mfiinc992t;p0p100;1970;103721396452.0;992;t
US-MA;mfiinc992t;p0p100;1971;104741986922.0;992;t
US-MA;mfiinc992t;p0p100;1972;109110625671.0;992;t
US-MA;mfiinc992t;p0p100;1973;111022461506.0;992;t
US-MA;mfiinc992t;p0p100;1974;108630861193.0;992;t
US-MA;mfiinc992t;p0p100;1975;101920165853.0;992;t
US-MA;mfiinc992t;p0p100;1976;105882495241.0;992;t
US-MA;mfiinc992t;p0p100;1977;108564774781.0;992;t
US-MA;mfiinc992t;p0p100;1978;111993118823.0;992;t
US-MA;mfiinc992t;p0p100;1979;117097260313.0;992;t
US-MA;mfiinc992t;p0p100;1980;120246278353.0;992;t
US-MA;mfiinc992t;p0p100;1981;120560410375.0;992;t
US-MA;mfiinc992t;p0p100;1982;124179982213.0;992;t
US-MA;mfiinc992t;p0p100;1983;130109394487.0;992;t
US-MA;mfiinc992t;p0p100;1984;140956076302.0;992;t
US-MA;mfiinc992t;p0p100;1985;149604070309.0;992;t
US-MA;mfiinc992t;p0p100;1986;166325924306.0;992;t
US-MA;mfiinc992t;p0p100;1987;166676632301.0;992;t
US-MA;mfiinc992t;p0p100;1988;181732878574.0;992;t
US-MA;mfiinc992t;p0p100;1989;179456328253.0;992;t
US-MA;mfiinc992t;p0p100;1990;174969219268.0;992;t
US-MA;mfiinc992t;p0p100;1991;167150794452.0;992;t
US-MA;mfiinc992t;p0p100;1992;170215544262.0;992;t
US-MA;mfiinc992t;p0p100;1993;170810630427.0;992;t
US-MA;mfiinc992t;p0p100;1994;174818878023.0;992;t
US-MA;mfiinc992t;p0p100;1995;183452691522.0;992;t
US-MA;mfiinc992t;p0p100;1996;195646046151.0;992;t
US-MA;mfiinc992t;p0p100;1997;210603852343.0;992;t
US-MA;mfiinc992t;p0p100;1998;225479444450.0;992;t
US-MA;mfiinc992t;p0p100;1999;244235919065.0;992;t
US-MA;mfiinc992t;p0p100;2000;265961264741.0;992;t
US-MA;mfiinc992t;p0p100;2001;253798284039.0;992;t
US-MA;mfiinc992t;p0p100;2002;240042128996.0;992;t
US-MA;mfiinc992t;p0p100;2003;238946628760.0;992;t
US-MA;mfiinc992t;p0p100;2004;253748564273.0;992;t
US-MA;mfiinc992t;p0p100;2005;265043472703.0;992;t
US-MA;mfiinc992t;p0p100;2006;278747543676.0;992;t
US-MA;mfiinc992t;p0p100;2007;292301385034.0;992;t
US-MA;mfiinc992t;p0p100;2008;273869289002.0;992;t
US-MA;mfiinc992t;p0p100;2009;256683321858.0;992;t
US-MA;mfiinc992t;p0p100;2010;272097103698.0;992;t
US-MA;mfiinc992t;p0p100;2011;273417928187.0;992;t
US-MA;mfiinc992t;p0p100;2012;290787495937.0;992;t
US-MA;mfiinc992t;p0p100;2013;286195643992.0;992;t
US-MA;mfiinc992t;p0p100;2014;302661786351.0;992;t
US-MA;mfiinc992t;p0p100;2015;321010160507.0;992;t
US-MA;mfiinc992t;p0p100;2016;321345269857.0;992;t
US-MA;mfiinc992t;p0p100;2017;338288823098.0;992;t
US-MA;mfiinc992t;p0p100;2018;351093509328.0;992;t
US-MA;sptinc992t;p99p99.5;1917;0.0397;992;t
US-MA;sptinc992t;p99p99.5;1918;0.0409;992;t
