country;variable;percentile;year;value;age;pop
US-MD;sptinc992t;p90p100;1917;0.4771;992;t
US-MD;sptinc992t;p90p100;1918;0.4436;992;t
US-MD;sptinc992t;p90p100;1919;0.4517;992;t
US-MD;sptinc992t;p90p100;1920;0.43;992;t
US-MD;sptinc992t;p90p100;1921;0.4952;992;t
US-MD;sptinc992t;p90p100;1922;0.4856;992;t
US-MD;sptinc992t;p90p100;1923;0.4207;992;t
US-MD;sptinc992t;p90p100;1924;0.4773;992;t
US-MD;sptinc992t;p90p100;1925;0.4952;992;t
US-MD;sptinc992t;p90p100;1926;0.5051;992;t
US-MD;sptinc992t;p90p100;1927;0.5259;992;t
US-MD;sptinc992t;p90p100;1928;0.5227;992;t
US-MD;sptinc992t;p90p100;1929;0.5223;992;t
US-MD;sptinc992t;p90p100;1930;0.5179;992;t
US-MD;sptinc992t;p90p100;1931;0.5089;992;t
US-MD;sptinc992t;p90p100;1932;0.5183;992;t
US-MD;sptinc992t;p90p100;1933;0.5129;992;t
US-MD;sptinc992t;p90p100;1934;0.5264;992;t
US-MD;sptinc992t;p90p100;1935;0.5225;992;t
US-MD;sptinc992t;p90p100;1936;0.53;992;t
US-MD;sptinc992t;p90p100;1937;0.5078;992;t
US-MD;sptinc992t;p90p100;1938;0.4982;992;t
US-MD;sptinc992t;p90p100;1939;0.4934;992;t
US-MD;sptinc992t;p90p100;1940;0.4477;992;t
US-MD;sptinc992t;p90p100;1941;0.4097;992;t
US-MD;sptinc992t;p90p100;1942;0.3289;992;t
US-MD;sptinc992t;p90p100;1943;0.31;992;t
US-MD;sptinc992t;p90p100;1944;0.3071;992;t
US-MD;sptinc992t;p90p100;1945;0.3137;992;t
US-MD;sptinc992t;p90p100;1946;0.3469;992;t
US-MD;sptinc992t;p90p100;1947;0.3449;992;t
US-MD;sptinc992t;p90p100;1948;0.3297;992;t
US-MD;sptinc992t;p90p100;1949;0.336;992;t
US-MD;sptinc992t;p90p100;1950;0.3273;992;t
US-MD;sptinc992t;p90p100;1951;0.3429;992;t
US-MD;sptinc992t;p90p100;1952;0.3238;992;t
US-MD;sptinc992t;p90p100;1953;0.3035;992;t
US-MD;sptinc992t;p90p100;1954;0.3106;992;t
US-MD;sptinc992t;p90p100;1955;0.3033;992;t
US-MD;sptinc992t;p90p100;1956;0.2965;992;t
US-MD;sptinc992t;p90p100;1957;0.2915;992;t
US-MD;sptinc992t;p90p100;1958;0.3009;992;t
US-MD;sptinc992t;p90p100;1959;0.3261;992;t
US-MD;sptinc992t;p90p100;1960;0.3103;992;t
US-MD;sptinc992t;p90p100;1961;0.3317;992;t
US-MD;sptinc992t;p90p100;1962;0.3157;992;t
US-MD;sptinc992t;p90p100;1963;0.314;992;t
US-MD;sptinc992t;p90p100;1964;0.326;992;t
US-MD;sptinc992t;p90p100;1965;0.3348;992;t
US-MD;sptinc992t;p90p100;1966;0.3233;992;t
US-MD;sptinc992t;p90p100;1967;0.3213;992;t
US-MD;sptinc992t;p90p100;1968;0.3309;992;t
US-MD;sptinc992t;p90p100;1969;0.3153;992;t
US-MD;sptinc992t;p90p100;1970;0.2928;992;t
US-MD;sptinc992t;p90p100;1971;0.2972;992;t
US-MD;sptinc992t;p90p100;1972;0.3013;992;t
US-MD;sptinc992t;p90p100;1973;0.3057;992;t
US-MD;sptinc992t;p90p100;1974;0.3133;992;t
US-MD;sptinc992t;p90p100;1975;0.3004;992;t
US-MD;sptinc992t;p90p100;1976;0.2961;992;t
US-MD;sptinc992t;p90p100;1977;0.3109;992;t
US-MD;sptinc992t;p90p100;1978;0.3106;992;t
US-MD;sptinc992t;p90p100;1979;0.321;992;t
US-MD;sptinc992t;p90p100;1980;0.3148;992;t
US-MD;sptinc992t;p90p100;1981;0.3269;992;t
US-MD;sptinc992t;p90p100;1982;0.3609;992;t
US-MD;sptinc992t;p90p100;1983;0.3367;992;t
US-MD;sptinc992t;p90p100;1984;0.3452;992;t
US-MD;sptinc992t;p90p100;1985;0.3529;992;t
US-MD;sptinc992t;p90p100;1986;0.3721;992;t
US-MD;sptinc992t;p90p100;1987;0.3559;992;t
US-MD;sptinc992t;p90p100;1988;0.3733;992;t
US-MD;sptinc992t;p90p100;1989;0.374;992;t
US-MD;sptinc992t;p90p100;1990;0.3667;992;t
US-MD;sptinc992t;p90p100;1991;0.3653;992;t
US-MD;sptinc992t;p90p100;1992;0.3751;992;t
US-MD;sptinc992t;p90p100;1993;0.3737;992;t
US-MD;sptinc992t;p90p100;1994;0.3753;992;t
US-MD;sptinc992t;p90p100;1995;0.3866;992;t
US-MD;sptinc992t;p90p100;1996;0.4034;992;t
US-MD;sptinc992t;p90p100;1997;0.4256;992;t
US-MD;sptinc992t;p90p100;1998;0.4194;992;t
US-MD;sptinc992t;p90p100;1999;0.4208;992;t
US-MD;sptinc992t;p90p100;2000;0.429;992;t
US-MD;sptinc992t;p90p100;2001;0.4033;992;t
US-MD;sptinc992t;p90p100;2002;0.3934;992;t
US-MD;sptinc992t;p90p100;2003;0.4027;992;t
US-MD;sptinc992t;p90p100;2004;0.4151;992;t
US-MD;sptinc992t;p90p100;2005;0.4238;992;t
US-MD;sptinc992t;p90p100;2006;0.4334;992;t
US-MD;sptinc992t;p90p100;2007;0.4356;992;t
US-MD;sptinc992t;p90p100;2008;0.4062;992;t
US-MD;sptinc992t;p90p100;2009;0.3976;992;t
US-MD;sptinc992t;p90p100;2010;0.4034;992;t
US-MD;sptinc992t;p90p100;2011;0.4077;992;t
US-MD;sptinc992t;p90p100;2012;0.4187;992;t
US-MD;sptinc992t;p90p100;2013;0.4184;992;t
US-MD;sptinc992t;p90p100;2014;0.426;992;t
US-MD;sptinc992t;p90p100;2015;0.4219;992;t
US-MD;sptinc992t;p90p100;2016;0.4219;992;t
US-MD;sptinc992t;p90p100;2017;0.4286;992;t
US-MD;sptinc992t;p90p100;2018;0.4315;992;t
US-MD;sptinc992t;p99p100;1917;0.2054;992;t
US-MD;sptinc992t;p99p100;1918;0.1749;992;t
US-MD;sptinc992t;p99p100;1919;0.1865;992;t
US-MD;sptinc992t;p99p100;1920;0.1665;992;t
US-MD;sptinc992t;p99p100;1921;0.1752;992;t
US-MD;sptinc992t;p99p100;1922;0.1831;992;t
US-MD;sptinc992t;p99p100;1923;0.1654;992;t
US-MD;sptinc992t;p99p100;1924;0.1824;992;t
US-MD;sptinc992t;p99p100;1925;0.2056;992;t
US-MD;sptinc992t;p99p100;1926;0.2026;992;t
US-MD;sptinc992t;p99p100;1927;0.2264;992;t
US-MD;sptinc992t;p99p100;1928;0.2295;992;t
US-MD;sptinc992t;p99p100;1929;0.2336;992;t
US-MD;sptinc992t;p99p100;1930;0.1898;992;t
US-MD;sptinc992t;p99p100;1931;0.1661;992;t
US-MD;sptinc992t;p99p100;1932;0.1595;992;t
US-MD;sptinc992t;p99p100;1933;0.1701;992;t
US-MD;sptinc992t;p99p100;1934;0.1713;992;t
US-MD;sptinc992t;p99p100;1935;0.1773;992;t
US-MD;sptinc992t;p99p100;1936;0.1989;992;t
US-MD;sptinc992t;p99p100;1937;0.1809;992;t
US-MD;sptinc992t;p99p100;1938;0.165;992;t
US-MD;sptinc992t;p99p100;1939;0.168;992;t
US-MD;sptinc992t;p99p100;1940;0.1645;992;t
US-MD;sptinc992t;p99p100;1941;0.153;992;t
US-MD;sptinc992t;p99p100;1942;0.1215;992;t
US-MD;sptinc992t;p99p100;1943;0.1134;992;t
US-MD;sptinc992t;p99p100;1944;0.1018;992;t
US-MD;sptinc992t;p99p100;1945;0.1133;992;t
US-MD;sptinc992t;p99p100;1946;0.1212;992;t
US-MD;sptinc992t;p99p100;1947;0.1122;992;t
US-MD;sptinc992t;p99p100;1948;0.1086;992;t
US-MD;sptinc992t;p99p100;1949;0.1021;992;t
US-MD;sptinc992t;p99p100;1950;0.1103;992;t
