country;variable;percentile;year;value;age;pop
US-ME;sfiinc992t;p99p100;1917;0.1507;992;t
US-ME;sfiinc992t;p99p100;1918;0.1373;992;t
US-ME;sfiinc992t;p99p100;1919;0.1331;992;t
US-ME;sfiinc992t;p99p100;1920;0.1262;992;t
US-ME;sfiinc992t;p99p100;1921;0.1424;992;t
US-ME;sfiinc992t;p99p100;1922;0.1468;992;t
US-ME;sfiinc992t;p99p100;1923;0.134;992;t
US-ME;sfiinc992t;p99p100;1924;0.1461;992;t
US-ME;sfiinc992t;p99p100;1925;0.1638;992;t
US-ME;sfiinc992t;p99p100;1926;0.1855;992;t
US-ME;sfiinc992t;p99p100;1927;0.1838;992;t
US-ME;sfiinc992t;p99p100;1928;0.2002;992;t
US-ME;sfiinc992t;p99p100;1929;0.1991;992;t
US-ME;sfiinc992t;p99p100;1930;0.1586;992;t
US-ME;sfiinc992t;p99p100;1931;0.1606;992;t
US-ME;sfiinc992t;p99p100;1932;0.1508;992;t
US-ME;sfiinc992t;p99p100;1933;0.1391;992;t
US-ME;sfiinc992t;p99p100;1934;0.14;992;t
US-ME;sfiinc992t;p99p100;1935;0.1441;992;t
US-ME;sfiinc992t;p99p100;1936;0.1628;992;t
US-ME;sfiinc992t;p99p100;1937;0.1577;992;t
US-ME;sfiinc992t;p99p100;1938;0.2204;992;t
US-ME;sfiinc992t;p99p100;1939;0.1478;992;t
US-ME;sfiinc992t;p99p100;1940;0.1461;992;t
US-ME;sfiinc992t;p99p100;1941;0.1347;992;t
US-ME;sfiinc992t;p99p100;1942;0.1085;992;t
US-ME;sfiinc992t;p99p100;1943;0.0971;992;t
US-ME;sfiinc992t;p99p100;1944;0.0902;992;t
US-ME;sfiinc992t;p99p100;1945;0.106;992;t
US-ME;sfiinc992t;p99p100;1946;0.108;992;t
US-ME;sfiinc992t;p99p100;1947;0.0966;992;t
US-ME;sfiinc992t;p99p100;1948;0.0973;992;t
US-ME;sfiinc992t;p99p100;1949;0.0913;992;t
US-ME;sfiinc992t;p99p100;1950;0.104;992;t
US-ME;sfiinc992t;p99p100;1951;0.1078;992;t
US-ME;sfiinc992t;p99p100;1952;0.0875;992;t
US-ME;sfiinc992t;p99p100;1953;0.0877;992;t
US-ME;sfiinc992t;p99p100;1954;0.0879;992;t
US-ME;sfiinc992t;p99p100;1955;0.092;992;t
US-ME;sfiinc992t;p99p100;1956;0.0868;992;t
US-ME;sfiinc992t;p99p100;1957;0.0848;992;t
US-ME;sfiinc992t;p99p100;1958;0.0877;992;t
US-ME;sfiinc992t;p99p100;1959;0.0773;992;t
US-ME;sfiinc992t;p99p100;1960;0.0788;992;t
US-ME;sfiinc992t;p99p100;1961;0.0886;992;t
US-ME;sfiinc992t;p99p100;1962;0.0795;992;t
US-ME;sfiinc992t;p99p100;1963;0.0812;992;t
US-ME;sfiinc992t;p99p100;1964;0.0927;992;t
US-ME;sfiinc992t;p99p100;1965;0.0945;992;t
US-ME;sfiinc992t;p99p100;1966;0.0851;992;t
US-ME;sfiinc992t;p99p100;1967;0.095;992;t
US-ME;sfiinc992t;p99p100;1968;0.0946;992;t
US-ME;sfiinc992t;p99p100;1969;0.0868;992;t
US-ME;sfiinc992t;p99p100;1970;0.0783;992;t
US-ME;sfiinc992t;p99p100;1971;0.0827;992;t
US-ME;sfiinc992t;p99p100;1972;0.0796;992;t
US-ME;sfiinc992t;p99p100;1973;0.0827;992;t
US-ME;sfiinc992t;p99p100;1974;0.0769;992;t
US-ME;sfiinc992t;p99p100;1975;0.0797;992;t
