country;variable;percentile;year;value;age;pop
US-MI;sptinc992t;p95p100;1917;0.242;992;t
US-MI;sptinc992t;p95p100;1918;0.2181;992;t
US-MI;sptinc992t;p95p100;1919;0.2746;992;t
US-MI;sptinc992t;p95p100;1920;0.2379;992;t
US-MI;sptinc992t;p95p100;1921;0.2864;992;t
US-MI;sptinc992t;p95p100;1922;0.3132;992;t
US-MI;sptinc992t;p95p100;1923;0.2928;992;t
US-MI;sptinc992t;p95p100;1924;0.3102;992;t
US-MI;sptinc992t;p95p100;1925;0.3453;992;t
US-MI;sptinc992t;p95p100;1926;0.338;992;t
US-MI;sptinc992t;p95p100;1927;0.3385;992;t
US-MI;sptinc992t;p95p100;1928;0.3638;992;t
US-MI;sptinc992t;p95p100;1929;0.3282;992;t
US-MI;sptinc992t;p95p100;1930;0.2843;992;t
US-MI;sptinc992t;p95p100;1931;0.2887;992;t
US-MI;sptinc992t;p95p100;1932;0.2802;992;t
US-MI;sptinc992t;p95p100;1933;0.2766;992;t
US-MI;sptinc992t;p95p100;1934;0.2876;992;t
US-MI;sptinc992t;p95p100;1935;0.2947;992;t
US-MI;sptinc992t;p95p100;1936;0.3334;992;t
US-MI;sptinc992t;p95p100;1937;0.2927;992;t
US-MI;sptinc992t;p95p100;1938;0.2979;992;t
US-MI;sptinc992t;p95p100;1939;0.2985;992;t
US-MI;sptinc992t;p95p100;1940;0.3062;992;t
US-MI;sptinc992t;p95p100;1941;0.2892;992;t
US-MI;sptinc992t;p95p100;1942;0.2618;992;t
US-MI;sptinc992t;p95p100;1943;0.2289;992;t
US-MI;sptinc992t;p95p100;1944;0.2243;992;t
US-MI;sptinc992t;p95p100;1945;0.2407;992;t
US-MI;sptinc992t;p95p100;1946;0.2483;992;t
US-MI;sptinc992t;p95p100;1947;0.1958;992;t
US-MI;sptinc992t;p95p100;1948;0.2229;992;t
US-MI;sptinc992t;p95p100;1949;0.2202;992;t
US-MI;sptinc992t;p95p100;1950;0.2335;992;t
US-MI;sptinc992t;p95p100;1951;0.2383;992;t
US-MI;sptinc992t;p95p100;1952;0.215;992;t
US-MI;sptinc992t;p95p100;1953;0.2086;992;t
US-MI;sptinc992t;p95p100;1954;0.2189;992;t
US-MI;sptinc992t;p95p100;1955;0.2088;992;t
US-MI;sptinc992t;p95p100;1956;0.2213;992;t
US-MI;sptinc992t;p95p100;1957;0.2142;992;t
US-MI;sptinc992t;p95p100;1958;0.215;992;t
US-MI;sptinc992t;p95p100;1959;0.208;992;t
US-MI;sptinc992t;p95p100;1960;0.2106;992;t
US-MI;sptinc992t;p95p100;1961;0.2237;992;t
US-MI;sptinc992t;p95p100;1962;0.2165;992;t
US-MI;sptinc992t;p95p100;1963;0.2189;992;t
US-MI;sptinc992t;p95p100;1964;0.2264;992;t
US-MI;sptinc992t;p95p100;1965;0.2259;992;t
