country;variable;percentile;year;value;age;pop
US-MN;sptinc992t;p99.9p100;1917;0.0654;992;t
US-MN;sptinc992t;p99.9p100;1918;0.0514;992;t
US-MN;sptinc992t;p99.9p100;1919;0.0487;992;t
US-MN;sptinc992t;p99.9p100;1920;0.0476;992;t
US-MN;sptinc992t;p99.9p100;1921;0.0478;992;t
US-MN;sptinc992t;p99.9p100;1922;0.0518;992;t
US-MN;sptinc992t;p99.9p100;1923;0.0457;992;t
US-MN;sptinc992t;p99.9p100;1924;0.0512;992;t
US-MN;sptinc992t;p99.9p100;1925;0.0553;992;t
US-MN;sptinc992t;p99.9p100;1926;0.056;992;t
US-MN;sptinc992t;p99.9p100;1927;0.0616;992;t
US-MN;sptinc992t;p99.9p100;1928;0.0864;992;t
US-MN;sptinc992t;p99.9p100;1929;0.0724;992;t
US-MN;sptinc992t;p99.9p100;1930;0.0506;992;t
US-MN;sptinc992t;p99.9p100;1931;0.0459;992;t
US-MN;sptinc992t;p99.9p100;1932;0.0438;992;t
US-MN;sptinc992t;p99.9p100;1933;0.0526;992;t
US-MN;sptinc992t;p99.9p100;1934;0.051;992;t
US-MN;sptinc992t;p99.9p100;1935;0.0458;992;t
US-MN;sptinc992t;p99.9p100;1936;0.0608;992;t
US-MN;sptinc992t;p99.9p100;1937;0.0474;992;t
US-MN;sptinc992t;p99.9p100;1938;0.0451;992;t
US-MN;sptinc992t;p99.9p100;1939;0.0469;992;t
US-MN;sptinc992t;p99.9p100;1940;0.0485;992;t
US-MN;sptinc992t;p99.9p100;1941;0.0476;992;t
US-MN;sptinc992t;p99.9p100;1942;0.044;992;t
US-MN;sptinc992t;p99.9p100;1943;0.0393;992;t
US-MN;sptinc992t;p99.9p100;1944;0.0362;992;t
US-MN;sptinc992t;p99.9p100;1945;0.0422;992;t
US-MN;sptinc992t;p99.9p100;1946;0.0392;992;t
US-MN;sptinc992t;p99.9p100;1947;0.0353;992;t
US-MN;sptinc992t;p99.9p100;1948;0.0345;992;t
US-MN;sptinc992t;p99.9p100;1949;0.0333;992;t
US-MN;sptinc992t;p99.9p100;1950;0.037;992;t
US-MN;sptinc992t;p99.9p100;1951;0.0371;992;t
US-MN;sptinc992t;p99.9p100;1952;0.0312;992;t
US-MN;sptinc992t;p99.9p100;1953;0.0286;992;t
US-MN;sptinc992t;p99.9p100;1954;0.0296;992;t
US-MN;sptinc992t;p99.9p100;1955;0.0314;992;t
US-MN;sptinc992t;p99.9p100;1956;0.0318;992;t
US-MN;sptinc992t;p99.9p100;1957;0.0296;992;t
US-MN;sptinc992t;p99.9p100;1958;0.0292;992;t
US-MN;sptinc992t;p99.9p100;1959;0.0303;992;t
US-MN;sptinc992t;p99.9p100;1960;0.0315;992;t
US-MN;sptinc992t;p99.9p100;1961;0.0321;992;t
US-MN;sptinc992t;p99.9p100;1962;0.0289;992;t
US-MN;sptinc992t;p99.9p100;1963;0.0296;992;t
US-MN;sptinc992t;p99.9p100;1964;0.0315;992;t
US-MN;sptinc992t;p99.9p100;1965;0.0338;992;t
US-MN;sptinc992t;p99.9p100;1966;0.0337;992;t
US-MN;sptinc992t;p99.9p100;1967;0.0309;992;t
US-MN;sptinc992t;p99.9p100;1968;0.0328;992;t
US-MN;sptinc992t;p99.9p100;1969;0.0345;992;t
US-MN;sptinc992t;p99.9p100;1970;0.0254;992;t
US-MN;sptinc992t;p99.9p100;1971;0.0247;992;t
US-MN;sptinc992t;p99.9p100;1972;0.0274;992;t
US-MN;sptinc992t;p99.9p100;1973;0.023;992;t
US-MN;sptinc992t;p99.9p100;1974;0.024;992;t
US-MN;sptinc992t;p99.9p100;1975;0.0224;992;t
US-MN;sptinc992t;p99.9p100;1976;0.0246;992;t
US-MN;sptinc992t;p99.9p100;1977;0.0238;992;t
US-MN;sptinc992t;p99.9p100;1978;0.023;992;t
US-MN;sptinc992t;p99.9p100;1979;0.032;992;t
US-MN;sptinc992t;p99.9p100;1980;0.0296;992;t
US-MN;sptinc992t;p99.9p100;1981;0.0278;992;t
US-MN;sptinc992t;p99.9p100;1982;0.0385;992;t
US-MN;sptinc992t;p99.9p100;1983;0.0358;992;t
US-MN;sptinc992t;p99.9p100;1984;0.0379;992;t
US-MN;sptinc992t;p99.9p100;1985;0.0432;992;t
US-MN;sptinc992t;p99.9p100;1986;0.0631;992;t
