country;variable;percentile;year;value;age;pop
US-MS;sfiinc992t;p95p100;1917;0.2224;992;t
US-MS;sfiinc992t;p95p100;1918;0.229;992;t
US-MS;sfiinc992t;p95p100;1919;0.266;992;t
US-MS;sfiinc992t;p95p100;1920;0.2893;992;t
US-MS;sfiinc992t;p95p100;1921;0.295;992;t
US-MS;sfiinc992t;p95p100;1922;0.3277;992;t
US-MS;sfiinc992t;p95p100;1923;0.3008;992;t
US-MS;sfiinc992t;p95p100;1924;0.294;992;t
US-MS;sfiinc992t;p95p100;1925;0.2657;992;t
US-MS;sfiinc992t;p95p100;1926;0.232;992;t
US-MS;sfiinc992t;p95p100;1927;0.2288;992;t
US-MS;sfiinc992t;p95p100;1928;0.2163;992;t
US-MS;sfiinc992t;p95p100;1929;0.2047;992;t
US-MS;sfiinc992t;p95p100;1930;0.2206;992;t
US-MS;sfiinc992t;p95p100;1931;0.2153;992;t
US-MS;sfiinc992t;p95p100;1932;0.2639;992;t
US-MS;sfiinc992t;p95p100;1933;0.2574;992;t
US-MS;sfiinc992t;p95p100;1934;0.2401;992;t
US-MS;sfiinc992t;p95p100;1935;0.2377;992;t
US-MS;sfiinc992t;p95p100;1936;0.2446;992;t
US-MS;sfiinc992t;p95p100;1937;0.245;992;t
US-MS;sfiinc992t;p95p100;1938;0.2803;992;t
US-MS;sfiinc992t;p95p100;1939;0.3161;992;t
US-MS;sfiinc992t;p95p100;1940;0.3893;992;t
US-MS;sfiinc992t;p95p100;1941;0.3417;992;t
US-MS;sfiinc992t;p95p100;1942;0.2736;992;t
US-MS;sfiinc992t;p95p100;1943;0.2436;992;t
US-MS;sfiinc992t;p95p100;1944;0.2041;992;t
US-MS;sfiinc992t;p95p100;1945;0.2451;992;t
US-MS;sfiinc992t;p95p100;1946;0.2933;992;t
US-MS;sfiinc992t;p95p100;1947;0.2698;992;t
US-MS;sfiinc992t;p95p100;1948;0.255;992;t
US-MS;sfiinc992t;p95p100;1949;0.2786;992;t
US-MS;sfiinc992t;p95p100;1950;0.2701;992;t
US-MS;sfiinc992t;p95p100;1951;0.2632;992;t
US-MS;sfiinc992t;p95p100;1952;0.2451;992;t
US-MS;sfiinc992t;p95p100;1953;0.2376;992;t
US-MS;sfiinc992t;p95p100;1954;0.256;992;t
US-MS;sfiinc992t;p95p100;1955;0.24;992;t
US-MS;sfiinc992t;p95p100;1956;0.2498;992;t
US-MS;sfiinc992t;p95p100;1957;0.2505;992;t
US-MS;sfiinc992t;p95p100;1958;0.2415;992;t
US-MS;sfiinc992t;p95p100;1959;0.2414;992;t
US-MS;sfiinc992t;p95p100;1960;0.2388;992;t
US-MS;sfiinc992t;p95p100;1961;0.2352;992;t
US-MS;sfiinc992t;p95p100;1962;0.2444;992;t
US-MS;sfiinc992t;p95p100;1963;0.2332;992;t
US-MS;sfiinc992t;p95p100;1964;0.2458;992;t
US-MS;sfiinc992t;p95p100;1965;0.2558;992;t
US-MS;sfiinc992t;p95p100;1966;0.2524;992;t
US-MS;sfiinc992t;p95p100;1967;0.2415;992;t
US-MS;sfiinc992t;p95p100;1968;0.2457;992;t
US-MS;sfiinc992t;p95p100;1969;0.2346;992;t
US-MS;sfiinc992t;p95p100;1970;0.2262;992;t
US-MS;sfiinc992t;p95p100;1971;0.2309;992;t
US-MS;sfiinc992t;p95p100;1972;0.2317;992;t
US-MS;sfiinc992t;p95p100;1973;0.2286;992;t
US-MS;sfiinc992t;p95p100;1974;0.2289;992;t
US-MS;sfiinc992t;p95p100;1975;0.2296;992;t
US-MS;sfiinc992t;p95p100;1976;0.227;992;t
US-MS;sfiinc992t;p95p100;1977;0.2237;992;t
US-MS;sfiinc992t;p95p100;1978;0.229;992;t
US-MS;sfiinc992t;p95p100;1979;0.2397;992;t
US-MS;sfiinc992t;p95p100;1980;0.2479;992;t
US-MS;sfiinc992t;p95p100;1981;0.234;992;t
US-MS;sfiinc992t;p95p100;1982;0.2435;992;t
US-MS;sfiinc992t;p95p100;1983;0.2486;992;t
US-MS;sfiinc992t;p95p100;1984;0.2661;992;t
US-MS;sfiinc992t;p95p100;1985;0.2685;992;t
US-MS;sfiinc992t;p95p100;1986;0.288;992;t
US-MS;sfiinc992t;p95p100;1987;0.2571;992;t
US-MS;sfiinc992t;p95p100;1988;0.2673;992;t
US-MS;sfiinc992t;p95p100;1989;0.2626;992;t
US-MS;sfiinc992t;p95p100;1990;0.2599;992;t
US-MS;sfiinc992t;p95p100;1991;0.2529;992;t
US-MS;sfiinc992t;p95p100;1992;0.2675;992;t
US-MS;sfiinc992t;p95p100;1993;0.2705;992;t
US-MS;sfiinc992t;p95p100;1994;0.2729;992;t
US-MS;sfiinc992t;p95p100;1995;0.2835;992;t
US-MS;sfiinc992t;p95p100;1996;0.2852;992;t
US-MS;sfiinc992t;p95p100;1997;0.289;992;t
US-MS;sfiinc992t;p95p100;1998;0.2939;992;t
US-MS;sfiinc992t;p95p100;1999;0.2936;992;t
US-MS;sfiinc992t;p95p100;2000;0.2883;992;t
US-MS;sfiinc992t;p95p100;2001;0.2843;992;t
US-MS;sfiinc992t;p95p100;2002;0.2862;992;t
US-MS;sfiinc992t;p95p100;2003;0.2916;992;t
US-MS;sfiinc992t;p95p100;2004;0.283;992;t
US-MS;sfiinc992t;p95p100;2005;0.3074;992;t
US-MS;sfiinc992t;p95p100;2006;0.3342;992;t
US-MS;sfiinc992t;p95p100;2007;0.3065;992;t
US-MS;sfiinc992t;p95p100;2008;0.3167;992;t
US-MS;sfiinc992t;p95p100;2009;0.3015;992;t
US-MS;sfiinc992t;p95p100;2010;0.3303;992;t
US-MS;sfiinc992t;p95p100;2011;0.2955;992;t
US-MS;sfiinc992t;p95p100;2012;0.3201;992;t
US-MS;sfiinc992t;p95p100;2013;0.3134;992;t
US-MS;sfiinc992t;p95p100;2014;0.3133;992;t
US-MS;sfiinc992t;p95p100;2015;0.3106;992;t
US-MS;sfiinc992t;p95p100;2016;0.3225;992;t
US-MS;sfiinc992t;p95p100;2017;0.3082;992;t
US-MS;sfiinc992t;p95p100;2018;0.314;992;t
US-MS;sptinc992t;p90p95;1917;0.0593;992;t
US-MS;sptinc992t;p90p95;1918;0.0548;992;t
US-MS;sptinc992t;p90p95;1919;0.0486;992;t
US-MS;sptinc992t;p90p95;1920;0.0761;992;t
US-MS;sptinc992t;p90p95;1921;0.0866;992;t
US-MS;sptinc992t;p90p95;1922;0.0838;992;t
US-MS;sptinc992t;p90p95;1923;0.0739;992;t
US-MS;sptinc992t;p90p95;1924;0.0738;992;t
US-MS;sptinc992t;p90p95;1925;0.068;992;t
US-MS;sptinc992t;p90p95;1926;0.0696;992;t
US-MS;sptinc992t;p90p95;1927;0.07;992;t
US-MS;sptinc992t;p90p95;1928;0.0643;992;t
US-MS;sptinc992t;p90p95;1929;0.0613;992;t
US-MS;sptinc992t;p90p95;1930;0.0908;992;t
US-MS;sptinc992t;p90p95;1931;0.1237;992;t
US-MS;sptinc992t;p90p95;1932;0.1495;992;t
US-MS;sptinc992t;p90p95;1933;0.124;992;t
US-MS;sptinc992t;p90p95;1934;0.0923;992;t
US-MS;sptinc992t;p90p95;1935;0.091;992;t
US-MS;sptinc992t;p90p95;1936;0.0694;992;t
US-MS;sptinc992t;p90p95;1937;0.0665;992;t
US-MS;sptinc992t;p90p95;1938;0.086;992;t
US-MS;sptinc992t;p90p95;1939;0.0799;992;t
US-MS;sptinc992t;p90p95;1940;0.1021;992;t
US-MS;sptinc992t;p90p95;1941;0.0716;992;t
US-MS;sptinc992t;p90p95;1942;0.0751;992;t
US-MS;sptinc992t;p90p95;1943;0.1023;992;t
US-MS;sptinc992t;p90p95;1944;0.09;992;t
US-MS;sptinc992t;p90p95;1945;0.106;992;t
US-MS;sptinc992t;p90p95;1946;0.1205;992;t
US-MS;sptinc992t;p90p95;1947;0.1178;992;t
US-MS;sptinc992t;p90p95;1948;0.1039;992;t
US-MS;sptinc992t;p90p95;1949;0.1203;992;t
US-MS;sptinc992t;p90p95;1950;0.1089;992;t
US-MS;sptinc992t;p90p95;1951;0.1103;992;t
US-MS;sptinc992t;p90p95;1952;0.132;992;t
US-MS;sptinc992t;p90p95;1953;0.1318;992;t
US-MS;sptinc992t;p90p95;1954;0.1412;992;t
US-MS;sptinc992t;p90p95;1955;0.1233;992;t
US-MS;sptinc992t;p90p95;1956;0.1301;992;t
US-MS;sptinc992t;p90p95;1957;0.127;992;t
US-MS;sptinc992t;p90p95;1958;0.1245;992;t
US-MS;sptinc992t;p90p95;1959;0.1176;992;t
US-MS;sptinc992t;p90p95;1960;0.1242;992;t
US-MS;sptinc992t;p90p95;1961;0.1142;992;t
US-MS;sptinc992t;p90p95;1962;0.1205;992;t
US-MS;sptinc992t;p90p95;1963;0.1152;992;t
US-MS;sptinc992t;p90p95;1964;0.1207;992;t
US-MS;sptinc992t;p90p95;1965;0.1209;992;t
US-MS;sptinc992t;p90p95;1966;0.1237;992;t
US-MS;sptinc992t;p90p95;1967;0.1225;992;t
US-MS;sptinc992t;p90p95;1968;0.1191;992;t
US-MS;sptinc992t;p90p95;1969;0.1171;992;t
US-MS;sptinc992t;p90p95;1970;0.1192;992;t
US-MS;sptinc992t;p90p95;1971;0.1156;992;t
US-MS;sptinc992t;p90p95;1972;0.1162;992;t
US-MS;sptinc992t;p90p95;1973;0.1144;992;t
US-MS;sptinc992t;p90p95;1974;0.1175;992;t
US-MS;sptinc992t;p90p95;1975;0.1201;992;t
US-MS;sptinc992t;p90p95;1976;0.1203;992;t
US-MS;sptinc992t;p90p95;1977;0.1175;992;t
US-MS;sptinc992t;p90p95;1978;0.115;992;t
US-MS;sptinc992t;p90p95;1979;0.1197;992;t
US-MS;sptinc992t;p90p95;1980;0.1249;992;t
US-MS;sptinc992t;p90p95;1981;0.1356;992;t
US-MS;sptinc992t;p90p95;1982;0.1122;992;t
US-MS;sptinc992t;p90p95;1983;0.1214;992;t
US-MS;sptinc992t;p90p95;1984;0.1374;992;t
US-MS;sptinc992t;p90p95;1985;0.1334;992;t
US-MS;sptinc992t;p90p95;1986;0.1262;992;t
US-MS;sptinc992t;p90p95;1987;0.1256;992;t
US-MS;sptinc992t;p90p95;1988;0.1187;992;t
US-MS;sptinc992t;p90p95;1989;0.1231;992;t
