country;variable;percentile;year;value;age;pop
US-MT;sfiinc992t;p99.5p100;1917;0.0838;992;t
US-MT;sfiinc992t;p99.5p100;1918;0.0739;992;t
US-MT;sfiinc992t;p99.5p100;1919;0.0631;992;t
US-MT;sfiinc992t;p99.5p100;1920;0.0557;992;t
US-MT;sfiinc992t;p99.5p100;1921;0.0577;992;t
US-MT;sfiinc992t;p99.5p100;1922;0.0576;992;t
US-MT;sfiinc992t;p99.5p100;1923;0.0522;992;t
US-MT;sfiinc992t;p99.5p100;1924;0.0626;992;t
US-MT;sfiinc992t;p99.5p100;1925;0.0704;992;t
US-MT;sfiinc992t;p99.5p100;1926;0.0736;992;t
US-MT;sfiinc992t;p99.5p100;1927;0.0879;992;t
US-MT;sfiinc992t;p99.5p100;1928;0.1006;992;t
US-MT;sfiinc992t;p99.5p100;1929;0.0985;992;t
US-MT;sfiinc992t;p99.5p100;1930;0.0795;992;t
US-MT;sfiinc992t;p99.5p100;1931;0.0862;992;t
US-MT;sfiinc992t;p99.5p100;1932;0.0778;992;t
US-MT;sfiinc992t;p99.5p100;1933;0.0814;992;t
US-MT;sfiinc992t;p99.5p100;1934;0.0865;992;t
US-MT;sfiinc992t;p99.5p100;1935;0.0759;992;t
US-MT;sfiinc992t;p99.5p100;1936;0.0884;992;t
US-MT;sfiinc992t;p99.5p100;1937;0.0761;992;t
US-MT;sfiinc992t;p99.5p100;1938;0.0719;992;t
US-MT;sfiinc992t;p99.5p100;1939;0.0795;992;t
US-MT;sfiinc992t;p99.5p100;1940;0.0823;992;t
US-MT;sfiinc992t;p99.5p100;1941;0.0789;992;t
US-MT;sfiinc992t;p99.5p100;1942;0.0894;992;t
US-MT;sfiinc992t;p99.5p100;1943;0.0695;992;t
US-MT;sfiinc992t;p99.5p100;1944;0.0596;992;t
US-MT;sfiinc992t;p99.5p100;1945;0.0648;992;t
US-MT;sfiinc992t;p99.5p100;1946;0.0645;992;t
US-MT;sfiinc992t;p99.5p100;1947;0.0596;992;t
US-MT;sfiinc992t;p99.5p100;1948;0.0608;992;t
US-MT;sfiinc992t;p99.5p100;1949;0.0621;992;t
US-MT;sfiinc992t;p99.5p100;1950;0.0572;992;t
US-MT;sfiinc992t;p99.5p100;1951;0.0602;992;t
US-MT;sfiinc992t;p99.5p100;1952;0.0576;992;t
US-MT;sfiinc992t;p99.5p100;1953;0.0444;992;t
US-MT;sfiinc992t;p99.5p100;1954;0.0487;992;t
US-MT;sfiinc992t;p99.5p100;1955;0.0467;992;t
US-MT;sfiinc992t;p99.5p100;1956;0.0475;992;t
US-MT;sfiinc992t;p99.5p100;1957;0.0495;992;t
US-MT;sfiinc992t;p99.5p100;1958;0.0498;992;t
US-MT;sfiinc992t;p99.5p100;1959;0.055;992;t
US-MT;sfiinc992t;p99.5p100;1960;0.0495;992;t
US-MT;sfiinc992t;p99.5p100;1961;0.0563;992;t
US-MT;sfiinc992t;p99.5p100;1962;0.0442;992;t
US-MT;sfiinc992t;p99.5p100;1963;0.045;992;t
US-MT;sfiinc992t;p99.5p100;1964;0.0507;992;t
US-MT;sfiinc992t;p99.5p100;1965;0.0522;992;t
US-MT;sfiinc992t;p99.5p100;1966;0.0466;992;t
US-MT;sfiinc992t;p99.5p100;1967;0.0544;992;t
US-MT;sfiinc992t;p99.5p100;1968;0.0556;992;t
US-MT;sfiinc992t;p99.5p100;1969;0.0528;992;t
US-MT;sfiinc992t;p99.5p100;1970;0.046;992;t
US-MT;sfiinc992t;p99.5p100;1971;0.047;992;t
US-MT;sfiinc992t;p99.5p100;1972;0.0455;992;t
US-MT;sfiinc992t;p99.5p100;1973;0.0514;992;t
US-MT;sfiinc992t;p99.5p100;1974;0.0577;992;t
US-MT;sfiinc992t;p99.5p100;1975;0.0478;992;t
US-MT;sfiinc992t;p99.5p100;1976;0.049;992;t
US-MT;sfiinc992t;p99.5p100;1977;0.0543;992;t
US-MT;sfiinc992t;p99.5p100;1978;0.0475;992;t
US-MT;sfiinc992t;p99.5p100;1979;0.0568;992;t
US-MT;sfiinc992t;p99.5p100;1980;0.0543;992;t
US-MT;sfiinc992t;p99.5p100;1981;0.052;992;t
US-MT;sfiinc992t;p99.5p100;1982;0.0646;992;t
US-MT;sfiinc992t;p99.5p100;1983;0.0602;992;t
US-MT;sfiinc992t;p99.5p100;1984;0.0714;992;t
US-MT;sfiinc992t;p99.5p100;1985;0.0745;992;t
US-MT;sfiinc992t;p99.5p100;1986;0.0854;992;t
US-MT;sfiinc992t;p99.5p100;1987;0.0679;992;t
US-MT;sfiinc992t;p99.5p100;1988;0.0916;992;t
US-MT;sfiinc992t;p99.5p100;1989;0.0882;992;t
US-MT;sfiinc992t;p99.5p100;1990;0.0797;992;t
US-MT;sfiinc992t;p99.5p100;1991;0.0743;992;t
US-MT;sfiinc992t;p99.5p100;1992;0.0807;992;t
US-MT;sfiinc992t;p99.5p100;1993;0.081;992;t
US-MT;sfiinc992t;p99.5p100;1994;0.0902;992;t
US-MT;sfiinc992t;p99.5p100;1995;0.0893;992;t
US-MT;sfiinc992t;p99.5p100;1996;0.0879;992;t
US-MT;sfiinc992t;p99.5p100;1997;0.0942;992;t
US-MT;sfiinc992t;p99.5p100;1998;0.1015;992;t
US-MT;sfiinc992t;p99.5p100;1999;0.1035;992;t
US-MT;sfiinc992t;p99.5p100;2000;0.1136;992;t
US-MT;sfiinc992t;p99.5p100;2001;0.102;992;t
US-MT;sfiinc992t;p99.5p100;2002;0.1093;992;t
US-MT;sfiinc992t;p99.5p100;2003;0.1081;992;t
US-MT;sfiinc992t;p99.5p100;2004;0.1162;992;t
US-MT;sfiinc992t;p99.5p100;2005;0.1247;992;t
US-MT;sfiinc992t;p99.5p100;2006;0.137;992;t
US-MT;sfiinc992t;p99.5p100;2007;0.1418;992;t
US-MT;sfiinc992t;p99.5p100;2008;0.1262;992;t
US-MT;sfiinc992t;p99.5p100;2009;0.1304;992;t
US-MT;sfiinc992t;p99.5p100;2010;0.1194;992;t
US-MT;sfiinc992t;p99.5p100;2011;0.1116;992;t
US-MT;sfiinc992t;p99.5p100;2012;0.1469;992;t
US-MT;sfiinc992t;p99.5p100;2013;0.1083;992;t
US-MT;sfiinc992t;p99.5p100;2014;0.1309;992;t
US-MT;sfiinc992t;p99.5p100;2015;0.1214;992;t
US-MT;sfiinc992t;p99.5p100;2016;0.1177;992;t
US-MT;sfiinc992t;p99.5p100;2017;0.1252;992;t
US-MT;sfiinc992t;p99.5p100;2018;0.1271;992;t
US-MT;sfiinc992t;p99p99.5;1917;0.0328;992;t
US-MT;sfiinc992t;p99p99.5;1918;0.0304;992;t
US-MT;sfiinc992t;p99p99.5;1919;0.0272;992;t
