country;variable;percentile;year;value;age;pop
US-ND;sfiinc992t;p90p100;1917;0.3593;992;t
US-ND;sfiinc992t;p90p100;1918;0.4055;992;t
US-ND;sfiinc992t;p90p100;1919;0.3193;992;t
US-ND;sfiinc992t;p90p100;1920;0.3272;992;t
US-ND;sfiinc992t;p90p100;1921;0.3562;992;t
US-ND;sfiinc992t;p90p100;1922;0.337;992;t
US-ND;sfiinc992t;p90p100;1923;0.2943;992;t
US-ND;sfiinc992t;p90p100;1924;0.3287;992;t
US-ND;sfiinc992t;p90p100;1925;0.2868;992;t
US-ND;sfiinc992t;p90p100;1926;0.2746;992;t
US-ND;sfiinc992t;p90p100;1927;0.278;992;t
US-ND;sfiinc992t;p90p100;1928;0.2775;992;t
US-ND;sfiinc992t;p90p100;1929;0.2508;992;t
US-ND;sfiinc992t;p90p100;1930;0.2876;992;t
US-ND;sfiinc992t;p90p100;1931;0.4331;992;t
US-ND;sfiinc992t;p90p100;1932;0.4401;992;t
US-ND;sfiinc992t;p90p100;1933;0.4799;992;t
US-ND;sfiinc992t;p90p100;1934;0.488;992;t
US-ND;sfiinc992t;p90p100;1935;0.32;992;t
US-ND;sfiinc992t;p90p100;1936;0.4014;992;t
US-ND;sfiinc992t;p90p100;1937;0.2984;992;t
US-ND;sfiinc992t;p90p100;1938;0.3487;992;t
US-ND;sfiinc992t;p90p100;1939;0.3274;992;t
US-ND;sfiinc992t;p90p100;1940;0.4309;992;t
US-ND;sfiinc992t;p90p100;1941;0.3508;992;t
US-ND;sfiinc992t;p90p100;1942;0.3532;992;t
US-ND;sfiinc992t;p90p100;1943;0.3156;992;t
US-ND;sfiinc992t;p90p100;1944;0.3132;992;t
US-ND;sfiinc992t;p90p100;1945;0.3228;992;t
US-ND;sfiinc992t;p90p100;1946;0.3571;992;t
US-ND;sfiinc992t;p90p100;1947;0.307;992;t
US-ND;sfiinc992t;p90p100;1948;0.3263;992;t
US-ND;sfiinc992t;p90p100;1949;0.3247;992;t
US-ND;sfiinc992t;p90p100;1950;0.2862;992;t
US-ND;sfiinc992t;p90p100;1951;0.3053;992;t
US-ND;sfiinc992t;p90p100;1952;0.3193;992;t
US-ND;sfiinc992t;p90p100;1953;0.312;992;t
US-ND;sfiinc992t;p90p100;1954;0.2953;992;t
US-ND;sfiinc992t;p90p100;1955;0.2878;992;t
US-ND;sfiinc992t;p90p100;1956;0.2896;992;t
US-ND;sfiinc992t;p90p100;1957;0.2901;992;t
US-ND;sfiinc992t;p90p100;1958;0.2667;992;t
US-ND;sfiinc992t;p90p100;1959;0.2972;992;t
US-ND;sfiinc992t;p90p100;1960;0.2675;992;t
US-ND;sfiinc992t;p90p100;1961;0.3021;992;t
US-ND;sfiinc992t;p90p100;1962;0.2437;992;t
US-ND;sfiinc992t;p90p100;1963;0.2716;992;t
US-ND;sfiinc992t;p90p100;1964;0.2942;992;t
US-ND;sfiinc992t;p90p100;1965;0.2697;992;t
US-ND;sfiinc992t;p90p100;1966;0.2779;992;t
US-ND;sfiinc992t;p90p100;1967;0.2951;992;t
US-ND;sfiinc992t;p90p100;1968;0.2978;992;t
US-ND;sfiinc992t;p90p100;1969;0.283;992;t
US-ND;sfiinc992t;p90p100;1970;0.2872;992;t
US-ND;sfiinc992t;p90p100;1971;0.2769;992;t
US-ND;sfiinc992t;p90p100;1972;0.2455;992;t
US-ND;sfiinc992t;p90p100;1973;0.2402;992;t
US-ND;sfiinc992t;p90p100;1974;0.3019;992;t
US-ND;sfiinc992t;p90p100;1975;0.314;992;t
US-ND;sfiinc992t;p90p100;1976;0.3141;992;t
US-ND;sfiinc992t;p90p100;1977;0.3191;992;t
US-ND;sfiinc992t;p90p100;1978;0.2868;992;t
US-ND;sfiinc992t;p90p100;1979;0.3071;992;t
US-ND;sfiinc992t;p90p100;1980;0.37;992;t
US-ND;sfiinc992t;p90p100;1981;0.3314;992;t
US-ND;sfiinc992t;p90p100;1982;0.3158;992;t
US-ND;sfiinc992t;p90p100;1983;0.304;992;t
US-ND;sfiinc992t;p90p100;1984;0.3051;992;t
US-ND;sfiinc992t;p90p100;1985;0.31;992;t
US-ND;sfiinc992t;p90p100;1986;0.3287;992;t
US-ND;sfiinc992t;p90p100;1987;0.3028;992;t
US-ND;sfiinc992t;p90p100;1988;0.3605;992;t
US-ND;sfiinc992t;p90p100;1989;0.3379;992;t
US-ND;sfiinc992t;p90p100;1990;0.3327;992;t
US-ND;sfiinc992t;p90p100;1991;0.3483;992;t
US-ND;sfiinc992t;p90p100;1992;0.3397;992;t
US-ND;sfiinc992t;p90p100;1993;0.3576;992;t
US-ND;sfiinc992t;p90p100;1994;0.3355;992;t
US-ND;sfiinc992t;p90p100;1995;0.3548;992;t
US-ND;sfiinc992t;p90p100;1996;0.3362;992;t
US-ND;sfiinc992t;p90p100;1997;0.3617;992;t
US-ND;sfiinc992t;p90p100;1998;0.3509;992;t
US-ND;sfiinc992t;p90p100;1999;0.351;992;t
US-ND;sfiinc992t;p90p100;2000;0.3489;992;t
US-ND;sfiinc992t;p90p100;2001;0.3524;992;t
US-ND;sfiinc992t;p90p100;2002;0.363;992;t
US-ND;sfiinc992t;p90p100;2003;0.3445;992;t
US-ND;sfiinc992t;p90p100;2004;0.3654;992;t
US-ND;sfiinc992t;p90p100;2005;0.3623;992;t
US-ND;sfiinc992t;p90p100;2006;0.3966;992;t
US-ND;sfiinc992t;p90p100;2007;0.386;992;t
US-ND;sfiinc992t;p90p100;2008;0.409;992;t
US-ND;sfiinc992t;p90p100;2009;0.3834;992;t
US-ND;sfiinc992t;p90p100;2010;0.3939;992;t
US-ND;sfiinc992t;p90p100;2011;0.4109;992;t
US-ND;sfiinc992t;p90p100;2012;0.4431;992;t
US-ND;sfiinc992t;p90p100;2013;0.4119;992;t
US-ND;sfiinc992t;p90p100;2014;0.4269;992;t
US-ND;sfiinc992t;p90p100;2015;0.3865;992;t
US-ND;sfiinc992t;p90p100;2016;0.4014;992;t
US-ND;sfiinc992t;p90p100;2017;0.3827;992;t
US-ND;sfiinc992t;p90p100;2018;0.3908;992;t
US-ND;mfiinc992t;p0p100;1917;3318272989.0;992;t
US-ND;mfiinc992t;p0p100;1918;3165351158.0;992;t
US-ND;mfiinc992t;p0p100;1919;3233797773.0;992;t
US-ND;mfiinc992t;p0p100;1920;2349860826.0;992;t
US-ND;mfiinc992t;p0p100;1921;1841226426.0;992;t
US-ND;mfiinc992t;p0p100;1922;2112268459.0;992;t
US-ND;mfiinc992t;p0p100;1923;2325844997.0;992;t
US-ND;mfiinc992t;p0p100;1924;2321783288.0;992;t
US-ND;mfiinc992t;p0p100;1925;2422185806.0;992;t
US-ND;mfiinc992t;p0p100;1926;2420145298.0;992;t
US-ND;mfiinc992t;p0p100;1927;2446572485.0;992;t
US-ND;mfiinc992t;p0p100;1928;2546594631.0;992;t
US-ND;mfiinc992t;p0p100;1929;2597739224.0;992;t
US-ND;mfiinc992t;p0p100;1930;2120306190.0;992;t
US-ND;mfiinc992t;p0p100;1931;1384229836.0;992;t
US-ND;mfiinc992t;p0p100;1932;1432044997.0;992;t
US-ND;mfiinc992t;p0p100;1933;1250575069.0;992;t
US-ND;mfiinc992t;p0p100;1934;1410776079.0;992;t
US-ND;mfiinc992t;p0p100;1935;2104802603.0;992;t
US-ND;mfiinc992t;p0p100;1936;1764560805.0;992;t
US-ND;mfiinc992t;p0p100;1937;2308221510.0;992;t
US-ND;mfiinc992t;p0p100;1938;2024309734.0;992;t
US-ND;mfiinc992t;p0p100;1939;2312443492.0;992;t
US-ND;mfiinc992t;p0p100;1940;2545051116.0;992;t
US-ND;mfiinc992t;p0p100;1941;3443887486.0;992;t
US-ND;mfiinc992t;p0p100;1942;3807079665.0;992;t
US-ND;mfiinc992t;p0p100;1943;5070303297.0;992;t
US-ND;mfiinc992t;p0p100;1944;4870486515.0;992;t
US-ND;mfiinc992t;p0p100;1945;4908561194.0;992;t
US-ND;mfiinc992t;p0p100;1946;4973825455.0;992;t
US-ND;mfiinc992t;p0p100;1947;6394596693.0;992;t
US-ND;mfiinc992t;p0p100;1948;6060927440.0;992;t
US-ND;mfiinc992t;p0p100;1949;5110484454.0;992;t
