country;variable;percentile;year;value;age;pop
US-NE;sfiinc992t;p90p100;1917;0.4843;992;t
US-NE;sfiinc992t;p90p100;1918;0.4776;992;t
US-NE;sfiinc992t;p90p100;1919;0.4199;992;t
US-NE;sfiinc992t;p90p100;1920;0.4818;992;t
US-NE;sfiinc992t;p90p100;1921;0.464;992;t
US-NE;sfiinc992t;p90p100;1922;0.4289;992;t
US-NE;sfiinc992t;p90p100;1923;0.3983;992;t
US-NE;sfiinc992t;p90p100;1924;0.3921;992;t
US-NE;sfiinc992t;p90p100;1925;0.3524;992;t
US-NE;sfiinc992t;p90p100;1926;0.3303;992;t
US-NE;sfiinc992t;p90p100;1927;0.3198;992;t
US-NE;sfiinc992t;p90p100;1928;0.3208;992;t
US-NE;sfiinc992t;p90p100;1929;0.3099;992;t
US-NE;sfiinc992t;p90p100;1930;0.3365;992;t
US-NE;sfiinc992t;p90p100;1931;0.3753;992;t
US-NE;sfiinc992t;p90p100;1932;0.3893;992;t
US-NE;sfiinc992t;p90p100;1933;0.4088;992;t
US-NE;sfiinc992t;p90p100;1934;0.4898;992;t
US-NE;sfiinc992t;p90p100;1935;0.3505;992;t
US-NE;sfiinc992t;p90p100;1936;0.418;992;t
US-NE;sfiinc992t;p90p100;1937;0.3992;992;t
US-NE;sfiinc992t;p90p100;1938;0.3994;992;t
US-NE;sfiinc992t;p90p100;1939;0.4371;992;t
US-NE;sfiinc992t;p90p100;1940;0.4786;992;t
US-NE;sfiinc992t;p90p100;1941;0.4395;992;t
US-NE;sfiinc992t;p90p100;1942;0.3752;992;t
US-NE;sfiinc992t;p90p100;1943;0.3512;992;t
US-NE;sfiinc992t;p90p100;1944;0.3307;992;t
US-NE;sfiinc992t;p90p100;1945;0.3394;992;t
US-NE;sfiinc992t;p90p100;1946;0.3895;992;t
US-NE;sfiinc992t;p90p100;1947;0.3749;992;t
US-NE;sfiinc992t;p90p100;1948;0.3376;992;t
US-NE;sfiinc992t;p90p100;1949;0.3527;992;t
US-NE;sfiinc992t;p90p100;1950;0.3212;992;t
US-NE;sfiinc992t;p90p100;1951;0.3417;992;t
US-NE;sfiinc992t;p90p100;1952;0.3074;992;t
US-NE;sfiinc992t;p90p100;1953;0.3324;992;t
US-NE;sfiinc992t;p90p100;1954;0.315;992;t
US-NE;sfiinc992t;p90p100;1955;0.338;992;t
US-NE;sfiinc992t;p90p100;1956;0.3228;992;t
US-NE;sfiinc992t;p90p100;1957;0.2869;992;t
US-NE;sfiinc992t;p90p100;1958;0.3055;992;t
US-NE;sfiinc992t;p90p100;1959;0.3103;992;t
US-NE;sfiinc992t;p90p100;1960;0.3135;992;t
US-NE;sfiinc992t;p90p100;1961;0.3329;992;t
US-NE;sfiinc992t;p90p100;1962;0.3106;992;t
US-NE;sfiinc992t;p90p100;1963;0.3144;992;t
US-NE;sfiinc992t;p90p100;1964;0.3291;992;t
US-NE;sfiinc992t;p90p100;1965;0.3211;992;t
US-NE;sfiinc992t;p90p100;1966;0.3192;992;t
US-NE;sfiinc992t;p90p100;1967;0.3333;992;t
US-NE;sfiinc992t;p90p100;1968;0.327;992;t
US-NE;sfiinc992t;p90p100;1969;0.3175;992;t
US-NE;sfiinc992t;p90p100;1970;0.3129;992;t
US-NE;sfiinc992t;p90p100;1971;0.3101;992;t
US-NE;sfiinc992t;p90p100;1972;0.316;992;t
US-NE;sfiinc992t;p90p100;1973;0.3245;992;t
US-NE;sfiinc992t;p90p100;1974;0.3426;992;t
US-NE;sfiinc992t;p90p100;1975;0.3214;992;t
US-NE;sfiinc992t;p90p100;1976;0.319;992;t
US-NE;sfiinc992t;p90p100;1977;0.3217;992;t
US-NE;sfiinc992t;p90p100;1978;0.313;992;t
US-NE;sfiinc992t;p90p100;1979;0.3258;992;t
US-NE;sfiinc992t;p90p100;1980;0.3376;992;t
US-NE;sfiinc992t;p90p100;1981;0.3161;992;t
US-NE;sfiinc992t;p90p100;1982;0.2971;992;t
US-NE;sfiinc992t;p90p100;1983;0.3116;992;t
US-NE;sfiinc992t;p90p100;1984;0.3085;992;t
US-NE;sfiinc992t;p90p100;1985;0.3131;992;t
US-NE;sfiinc992t;p90p100;1986;0.3366;992;t
US-NE;sfiinc992t;p90p100;1987;0.3091;992;t
US-NE;sfiinc992t;p90p100;1988;0.3354;992;t
US-NE;sfiinc992t;p90p100;1989;0.3408;992;t
US-NE;sfiinc992t;p90p100;1990;0.3371;992;t
US-NE;sfiinc992t;p90p100;1991;0.3301;992;t
US-NE;sfiinc992t;p90p100;1992;0.3371;992;t
US-NE;sfiinc992t;p90p100;1993;0.3349;992;t
US-NE;sfiinc992t;p90p100;1994;0.3336;992;t
US-NE;sfiinc992t;p90p100;1995;0.3485;992;t
US-NE;sfiinc992t;p90p100;1996;0.3505;992;t
US-NE;sfiinc992t;p90p100;1997;0.3723;992;t
US-NE;sfiinc992t;p90p100;1998;0.3907;992;t
US-NE;sfiinc992t;p90p100;1999;0.3815;992;t
US-NE;sfiinc992t;p90p100;2000;0.3899;992;t
US-NE;sfiinc992t;p90p100;2001;0.3637;992;t
US-NE;sfiinc992t;p90p100;2002;0.3657;992;t
US-NE;sfiinc992t;p90p100;2003;0.3579;992;t
US-NE;sfiinc992t;p90p100;2004;0.3682;992;t
US-NE;sfiinc992t;p90p100;2005;0.3703;992;t
US-NE;sfiinc992t;p90p100;2006;0.4035;992;t
US-NE;sfiinc992t;p90p100;2007;0.4006;992;t
US-NE;sfiinc992t;p90p100;2008;0.3855;992;t
US-NE;sfiinc992t;p90p100;2009;0.3661;992;t
US-NE;sfiinc992t;p90p100;2010;0.3857;992;t
US-NE;sfiinc992t;p90p100;2011;0.3543;992;t
US-NE;sfiinc992t;p90p100;2012;0.4054;992;t
US-NE;sfiinc992t;p90p100;2013;0.3679;992;t
US-NE;sfiinc992t;p90p100;2014;0.3926;992;t
US-NE;sfiinc992t;p90p100;2015;0.366;992;t
US-NE;sfiinc992t;p90p100;2016;0.3786;992;t
US-NE;sfiinc992t;p90p100;2017;0.39;992;t
US-NE;sfiinc992t;p90p100;2018;0.382;992;t
US-NE;sfiinc992t;p0p99;1917;0.8735;992;t
US-NE;sfiinc992t;p0p99;1918;0.8807;992;t
US-NE;sfiinc992t;p0p99;1919;0.8759;992;t
US-NE;sfiinc992t;p0p99;1920;0.8541;992;t
US-NE;sfiinc992t;p0p99;1921;0.8664;992;t
US-NE;sfiinc992t;p0p99;1922;0.874;992;t
US-NE;sfiinc992t;p0p99;1923;0.8901;992;t
US-NE;sfiinc992t;p0p99;1924;0.8839;992;t
US-NE;sfiinc992t;p0p99;1925;0.876;992;t
US-NE;sfiinc992t;p0p99;1926;0.8861;992;t
US-NE;sfiinc992t;p0p99;1927;0.8847;992;t
US-NE;sfiinc992t;p0p99;1928;0.8769;992;t
US-NE;sfiinc992t;p0p99;1929;0.8794;992;t
US-NE;sfiinc992t;p0p99;1930;0.8791;992;t
US-NE;sfiinc992t;p0p99;1931;0.8748;992;t
US-NE;sfiinc992t;p0p99;1932;0.8783;992;t
US-NE;sfiinc992t;p0p99;1933;0.8645;992;t
US-NE;sfiinc992t;p0p99;1934;0.8309;992;t
US-NE;sfiinc992t;p0p99;1935;0.8787;992;t
US-NE;sfiinc992t;p0p99;1936;0.8468;992;t
US-NE;sfiinc992t;p0p99;1937;0.8594;992;t
US-NE;sfiinc992t;p0p99;1938;0.8655;992;t
US-NE;sfiinc992t;p0p99;1939;0.8531;992;t
US-NE;sfiinc992t;p0p99;1940;0.8547;992;t
US-NE;sfiinc992t;p0p99;1941;0.8602;992;t
US-NE;sfiinc992t;p0p99;1942;0.8791;992;t
US-NE;sfiinc992t;p0p99;1943;0.89;992;t
US-NE;sfiinc992t;p0p99;1944;0.9138;992;t
US-NE;sfiinc992t;p0p99;1945;0.8948;992;t
US-NE;sfiinc992t;p0p99;1946;0.8815;992;t
US-NE;sfiinc992t;p0p99;1947;0.8929;992;t
US-NE;sfiinc992t;p0p99;1948;0.8976;992;t
US-NE;sfiinc992t;p0p99;1949;0.8972;992;t
US-NE;sfiinc992t;p0p99;1950;0.8967;992;t
US-NE;sfiinc992t;p0p99;1951;0.6605;992;t
