country;variable;percentile;year;value;age;pop
US-NH;afiinc992t;p0p90;1917;10602.0;992;t
US-NH;afiinc992t;p0p90;1918;9462.9;992;t
US-NH;afiinc992t;p0p90;1919;9131.0;992;t
US-NH;afiinc992t;p0p90;1920;9384.7;992;t
US-NH;afiinc992t;p0p90;1921;8072.9;992;t
US-NH;afiinc992t;p0p90;1922;9240.1;992;t
US-NH;afiinc992t;p0p90;1923;10258.9;992;t
US-NH;afiinc992t;p0p90;1924;10038.9;992;t
US-NH;afiinc992t;p0p90;1925;10695.3;992;t
US-NH;afiinc992t;p0p90;1926;10929.6;992;t
US-NH;afiinc992t;p0p90;1927;10608.2;992;t
US-NH;afiinc992t;p0p90;1928;11080.9;992;t
US-NH;afiinc992t;p0p90;1929;11327.7;992;t
US-NH;afiinc992t;p0p90;1930;10602.8;992;t
US-NH;afiinc992t;p0p90;1931;9405.4;992;t
US-NH;afiinc992t;p0p90;1932;7701.9;992;t
US-NH;afiinc992t;p0p90;1933;8218.3;992;t
US-NH;afiinc992t;p0p90;1934;8914.6;992;t
US-NH;afiinc992t;p0p90;1935;9357.8;992;t
US-NH;afiinc992t;p0p90;1936;9516.7;992;t
US-NH;afiinc992t;p0p90;1937;9744.3;992;t
US-NH;afiinc992t;p0p90;1938;9501.6;992;t
US-NH;afiinc992t;p0p90;1939;9968.4;992;t
US-NH;afiinc992t;p0p90;1940;9638.5;992;t
US-NH;afiinc992t;p0p90;1941;11974.2;992;t
US-NH;afiinc992t;p0p90;1942;13948.5;992;t
US-NH;afiinc992t;p0p90;1943;14910.9;992;t
US-NH;afiinc992t;p0p90;1944;15590.5;992;t
US-NH;afiinc992t;p0p90;1945;15571.4;992;t
US-NH;afiinc992t;p0p90;1946;15025.8;992;t
US-NH;afiinc992t;p0p90;1947;15608.0;992;t
US-NH;afiinc992t;p0p90;1948;16583.9;992;t
US-NH;afiinc992t;p0p90;1949;16610.4;992;t
US-NH;afiinc992t;p0p90;1950;17057.6;992;t
US-NH;afiinc992t;p0p90;1952;18271.4;992;t
US-NH;afiinc992t;p0p90;1953;18967.4;992;t
US-NH;afiinc992t;p0p90;1954;20555.4;992;t
US-NH;afiinc992t;p0p90;1955;21548.9;992;t
US-NH;afiinc992t;p0p90;1956;22333.2;992;t
US-NH;afiinc992t;p0p90;1957;22537.1;992;t
US-NH;afiinc992t;p0p90;1958;21934.9;992;t
US-NH;afiinc992t;p0p90;1959;24129.1;992;t
US-NH;afiinc992t;p0p90;1960;24953.5;992;t
US-NH;afiinc992t;p0p90;1961;25448.3;992;t
US-NH;afiinc992t;p0p90;1962;26438.0;992;t
US-NH;afiinc992t;p0p90;1963;26043.4;992;t
US-NH;afiinc992t;p0p90;1964;27681.2;992;t
US-NH;afiinc992t;p0p90;1965;28318.6;992;t
US-NH;afiinc992t;p0p90;1966;29576.9;992;t
US-NH;afiinc992t;p0p90;1967;31643.9;992;t
US-NH;afiinc992t;p0p90;1968;33143.1;992;t
US-NH;afiinc992t;p0p90;1969;34522.9;992;t
US-NH;afiinc992t;p0p90;1970;32673.5;992;t
US-NH;afiinc992t;p0p90;1971;32229.2;992;t
US-NH;afiinc992t;p0p90;1972;32844.6;992;t
US-NH;afiinc992t;p0p90;1973;33648.1;992;t
US-NH;afiinc992t;p0p90;1974;32852.3;992;t
US-NH;afiinc992t;p0p90;1975;29966.8;992;t
US-NH;afiinc992t;p0p90;1976;32160.1;992;t
US-NH;afiinc992t;p0p90;1977;32563.4;992;t
US-NH;afiinc992t;p0p90;1978;33749.3;992;t
US-NH;afiinc992t;p0p90;1979;35182.3;992;t
US-NH;afiinc992t;p0p90;1980;35207.6;992;t
US-NH;afiinc992t;p0p90;1981;34391.0;992;t
US-NH;afiinc992t;p0p90;1982;34894.9;992;t
US-NH;afiinc992t;p0p90;1983;37059.1;992;t
US-NH;afiinc992t;p0p90;1984;38160.5;992;t
US-NH;afiinc992t;p0p90;1985;39382.8;992;t
US-NH;afiinc992t;p0p90;1986;40256.4;992;t
US-NH;afiinc992t;p0p90;1987;41244.6;992;t
US-NH;afiinc992t;p0p90;1988;41950.4;992;t
US-NH;afiinc992t;p0p90;1989;40994.3;992;t
US-NH;afiinc992t;p0p90;1990;39108.5;992;t
US-NH;afiinc992t;p0p90;1991;37513.6;992;t
US-NH;afiinc992t;p0p90;1992;36780.3;992;t
US-NH;afiinc992t;p0p90;1993;36866.7;992;t
US-NH;afiinc992t;p0p90;1994;37951.3;992;t
US-NH;afiinc992t;p0p90;1995;38331.2;992;t
US-NH;afiinc992t;p0p90;1996;39122.6;992;t
US-NH;afiinc992t;p0p90;1997;40207.9;992;t
US-NH;afiinc992t;p0p90;1998;44439.6;992;t
US-NH;afiinc992t;p0p90;1999;47732.1;992;t
US-NH;afiinc992t;p0p90;2000;48385.8;992;t
