country;variable;percentile;year;value;age;pop
US-NJ;sfiinc992t;p0p99;1917;0.8236;992;t
US-NJ;sfiinc992t;p0p99;1918;0.8365;992;t
US-NJ;sfiinc992t;p0p99;1919;0.8379;992;t
US-NJ;sfiinc992t;p0p99;1920;0.8562;992;t
US-NJ;sfiinc992t;p0p99;1921;0.8399;992;t
US-NJ;sfiinc992t;p0p99;1922;0.8212;992;t
US-NJ;sfiinc992t;p0p99;1923;0.8426;992;t
US-NJ;sfiinc992t;p0p99;1924;0.825;992;t
US-NJ;sfiinc992t;p0p99;1925;0.8021;992;t
US-NJ;sfiinc992t;p0p99;1926;0.8037;992;t
US-NJ;sfiinc992t;p0p99;1927;0.7904;992;t
US-NJ;sfiinc992t;p0p99;1928;0.7657;992;t
US-NJ;sfiinc992t;p0p99;1929;0.7874;992;t
US-NJ;sfiinc992t;p0p99;1930;0.8395;992;t
US-NJ;sfiinc992t;p0p99;1931;0.8541;992;t
US-NJ;sfiinc992t;p0p99;1932;0.8539;992;t
US-NJ;sfiinc992t;p0p99;1933;0.842;992;t
US-NJ;sfiinc992t;p0p99;1934;0.8406;992;t
US-NJ;sfiinc992t;p0p99;1935;0.8359;992;t
US-NJ;sfiinc992t;p0p99;1936;0.8202;992;t
US-NJ;sfiinc992t;p0p99;1937;0.8366;992;t
US-NJ;sfiinc992t;p0p99;1938;0.8519;992;t
US-NJ;sfiinc992t;p0p99;1939;0.8478;992;t
US-NJ;sfiinc992t;p0p99;1940;0.85;992;t
US-NJ;sfiinc992t;p0p99;1941;0.855;992;t
US-NJ;sfiinc992t;p0p99;1942;0.8793;992;t
US-NJ;sfiinc992t;p0p99;1943;0.8932;992;t
US-NJ;sfiinc992t;p0p99;1944;0.9041;992;t
US-NJ;sfiinc992t;p0p99;1945;0.8912;992;t
US-NJ;sfiinc992t;p0p99;1946;0.8865;992;t
US-NJ;sfiinc992t;p0p99;1947;0.8989;992;t
US-NJ;sfiinc992t;p0p99;1948;0.8956;992;t
US-NJ;sfiinc992t;p0p99;1949;0.8982;992;t
US-NJ;sfiinc992t;p0p99;1950;0.8915;992;t
US-NJ;sfiinc992t;p0p99;1951;0.69;992;t
US-NJ;sfiinc992t;p0p99;1952;0.9144;992;t
US-NJ;sfiinc992t;p0p99;1953;0.9193;992;t
US-NJ;sfiinc992t;p0p99;1954;0.9071;992;t
US-NJ;sfiinc992t;p0p99;1955;0.9085;992;t
US-NJ;sfiinc992t;p0p99;1956;0.9076;992;t
US-NJ;sfiinc992t;p0p99;1957;0.9137;992;t
US-NJ;sfiinc992t;p0p99;1958;0.9045;992;t
US-NJ;sfiinc992t;p0p99;1959;0.9076;992;t
US-NJ;sfiinc992t;p0p99;1960;0.9133;992;t
US-NJ;sfiinc992t;p0p99;1961;0.9019;992;t
US-NJ;sfiinc992t;p0p99;1962;0.911;992;t
US-NJ;sfiinc992t;p0p99;1963;0.9121;992;t
US-NJ;sfiinc992t;p0p99;1964;0.905;992;t
US-NJ;sfiinc992t;p0p99;1965;0.9004;992;t
US-NJ;sfiinc992t;p0p99;1966;0.9065;992;t
US-NJ;sfiinc992t;p0p99;1967;0.8991;992;t
US-NJ;sfiinc992t;p0p99;1968;0.8963;992;t
US-NJ;sfiinc992t;p0p99;1969;0.8989;992;t
US-NJ;sfiinc992t;p0p99;1970;0.9149;992;t
US-NJ;sfiinc992t;p0p99;1971;0.909;992;t
US-NJ;sfiinc992t;p0p99;1972;0.9045;992;t
US-NJ;sfiinc992t;p0p99;1973;0.9102;992;t
US-NJ;sfiinc992t;p0p99;1974;0.9056;992;t
US-NJ;sfiinc992t;p0p99;1975;0.9162;992;t
US-NJ;sfiinc992t;p0p99;1976;0.917;992;t
US-NJ;sfiinc992t;p0p99;1977;0.9146;992;t
US-NJ;sfiinc992t;p0p99;1978;0.9153;992;t
US-NJ;sfiinc992t;p0p99;1979;0.9044;992;t
US-NJ;sfiinc992t;p0p99;1980;0.9035;992;t
US-NJ;sfiinc992t;p0p99;1981;0.9042;992;t
US-NJ;sfiinc992t;p0p99;1982;0.8848;992;t
US-NJ;sfiinc992t;p0p99;1983;0.8909;992;t
US-NJ;sfiinc992t;p0p99;1984;0.8792;992;t
US-NJ;sfiinc992t;p0p99;1985;0.8662;992;t
US-NJ;sfiinc992t;p0p99;1986;0.8235;992;t
US-NJ;sfiinc992t;p0p99;1987;0.8558;992;t
US-NJ;sfiinc992t;p0p99;1988;0.8185;992;t
US-NJ;sfiinc992t;p0p99;1989;0.8404;992;t
US-NJ;sfiinc992t;p0p99;1990;0.849;992;t
US-NJ;sfiinc992t;p0p99;1991;0.8649;992;t
US-NJ;sfiinc992t;p0p99;1992;0.8445;992;t
US-NJ;sfiinc992t;p0p99;1993;0.8488;992;t
US-NJ;sfiinc992t;p0p99;1994;0.8545;992;t
US-NJ;sfiinc992t;p0p99;1995;0.8438;992;t
US-NJ;sfiinc992t;p0p99;1996;0.8312;992;t
US-NJ;sfiinc992t;p0p99;1997;0.8164;992;t
US-NJ;sfiinc992t;p0p99;1998;0.8021;992;t
US-NJ;sfiinc992t;p0p99;1999;0.7877;992;t
US-NJ;sfiinc992t;p0p99;2000;0.7665;992;t
US-NJ;sfiinc992t;p0p99;2001;0.7993;992;t
US-NJ;sfiinc992t;p0p99;2002;0.8197;992;t
US-NJ;sfiinc992t;p0p99;2003;0.8164;992;t
US-NJ;sfiinc992t;p0p99;2004;0.804;992;t
US-NJ;sfiinc992t;p0p99;2005;0.7927;992;t
US-NJ;sfiinc992t;p0p99;2006;0.7874;992;t
US-NJ;sfiinc992t;p0p99;2007;0.7694;992;t
US-NJ;sfiinc992t;p0p99;2008;0.7918;992;t
US-NJ;sfiinc992t;p0p99;2009;0.8189;992;t
US-NJ;sfiinc992t;p0p99;2010;0.8055;992;t
US-NJ;sfiinc992t;p0p99;2011;0.8052;992;t
US-NJ;sfiinc992t;p0p99;2012;0.7857;992;t
US-NJ;sfiinc992t;p0p99;2013;0.8012;992;t
US-NJ;sfiinc992t;p0p99;2014;0.7938;992;t
US-NJ;sfiinc992t;p0p99;2015;0.7962;992;t
US-NJ;sfiinc992t;p0p99;2016;0.7996;992;t
US-NJ;sfiinc992t;p0p99;2017;0.7908;992;t
US-NJ;sfiinc992t;p0p99;2018;0.8034;992;t
US-NJ;sptinc992t;p99.5p100;1917;0.1411;992;t
US-NJ;sptinc992t;p99.5p100;1918;0.1263;992;t
US-NJ;sptinc992t;p99.5p100;1919;0.1238;992;t
US-NJ;sptinc992t;p99.5p100;1920;0.1066;992;t
US-NJ;sptinc992t;p99.5p100;1921;0.1173;992;t
US-NJ;sptinc992t;p99.5p100;1922;0.1359;992;t
US-NJ;sptinc992t;p99.5p100;1923;0.1176;992;t
US-NJ;sptinc992t;p99.5p100;1924;0.1311;992;t
US-NJ;sptinc992t;p99.5p100;1925;0.1502;992;t
US-NJ;sptinc992t;p99.5p100;1926;0.1493;992;t
US-NJ;sptinc992t;p99.5p100;1927;0.1629;992;t
US-NJ;sptinc992t;p99.5p100;1928;0.1861;992;t
