country;variable;percentile;year;value;age;pop
US-NM;sptinc992t;p90p100;1917;0.3955;992;t
US-NM;sptinc992t;p90p100;1918;0.3829;992;t
US-NM;sptinc992t;p90p100;1919;0.2967;992;t
US-NM;sptinc992t;p90p100;1920;0.3214;992;t
US-NM;sptinc992t;p90p100;1921;0.3237;992;t
US-NM;sptinc992t;p90p100;1922;0.3194;992;t
US-NM;sptinc992t;p90p100;1923;0.3109;992;t
US-NM;sptinc992t;p90p100;1924;0.317;992;t
US-NM;sptinc992t;p90p100;1925;0.2802;992;t
US-NM;sptinc992t;p90p100;1926;0.2905;992;t
US-NM;sptinc992t;p90p100;1927;0.3121;992;t
US-NM;sptinc992t;p90p100;1928;0.3366;992;t
US-NM;sptinc992t;p90p100;1929;0.3404;992;t
US-NM;sptinc992t;p90p100;1930;0.3905;992;t
US-NM;sptinc992t;p90p100;1931;0.3993;992;t
US-NM;sptinc992t;p90p100;1932;0.4521;992;t
US-NM;sptinc992t;p90p100;1933;0.4134;992;t
US-NM;sptinc992t;p90p100;1934;0.4373;992;t
US-NM;sptinc992t;p90p100;1935;0.4042;992;t
US-NM;sptinc992t;p90p100;1936;0.4112;992;t
US-NM;sptinc992t;p90p100;1937;0.4228;992;t
US-NM;sptinc992t;p90p100;1938;0.429;992;t
US-NM;sptinc992t;p90p100;1939;0.4499;992;t
US-NM;sptinc992t;p90p100;1940;0.4881;992;t
US-NM;sptinc992t;p90p100;1941;0.4665;992;t
US-NM;sptinc992t;p90p100;1942;0.3758;992;t
US-NM;sptinc992t;p90p100;1943;0.3245;992;t
US-NM;sptinc992t;p90p100;1944;0.2852;992;t
US-NM;sptinc992t;p90p100;1945;0.3142;992;t
US-NM;sptinc992t;p90p100;1946;0.3603;992;t
US-NM;sptinc992t;p90p100;1947;0.3347;992;t
US-NM;sptinc992t;p90p100;1948;0.366;992;t
US-NM;sptinc992t;p90p100;1949;0.3522;992;t
US-NM;sptinc992t;p90p100;1950;0.3574;992;t
US-NM;sptinc992t;p90p100;1951;0.3632;992;t
US-NM;sptinc992t;p90p100;1952;0.333;992;t
US-NM;sptinc992t;p90p100;1953;0.296;992;t
US-NM;sptinc992t;p90p100;1954;0.3172;992;t
US-NM;sptinc992t;p90p100;1955;0.3202;992;t
US-NM;sptinc992t;p90p100;1956;0.3153;992;t
US-NM;sptinc992t;p90p100;1957;0.3216;992;t
US-NM;sptinc992t;p90p100;1958;0.2969;992;t
US-NM;sptinc992t;p90p100;1959;0.3066;992;t
US-NM;sptinc992t;p90p100;1960;0.3006;992;t
US-NM;sptinc992t;p90p100;1961;0.3082;992;t
US-NM;sptinc992t;p90p100;1962;0.3122;992;t
US-NM;sptinc992t;p90p100;1963;0.3086;992;t
US-NM;sptinc992t;p90p100;1964;0.3138;992;t
US-NM;sptinc992t;p90p100;1965;0.3233;992;t
US-NM;sptinc992t;p90p100;1966;0.3199;992;t
US-NM;sptinc992t;p90p100;1967;0.331;992;t
US-NM;sptinc992t;p90p100;1968;0.3213;992;t
US-NM;sptinc992t;p90p100;1969;0.3197;992;t
US-NM;sptinc992t;p90p100;1970;0.3147;992;t
US-NM;sptinc992t;p90p100;1971;0.3123;992;t
US-NM;sptinc992t;p90p100;1972;0.3109;992;t
US-NM;sptinc992t;p90p100;1973;0.3234;992;t
US-NM;sptinc992t;p90p100;1974;0.3112;992;t
US-NM;sptinc992t;p90p100;1975;0.3127;992;t
US-NM;sptinc992t;p90p100;1976;0.3095;992;t
US-NM;sptinc992t;p90p100;1977;0.3136;992;t
US-NM;sptinc992t;p90p100;1978;0.3156;992;t
US-NM;sptinc992t;p90p100;1979;0.3134;992;t
US-NM;sptinc992t;p90p100;1980;0.3284;992;t
US-NM;sptinc992t;p90p100;1981;0.3253;992;t
US-NM;sptinc992t;p90p100;1982;0.314;992;t
US-NM;sptinc992t;p90p100;1983;0.3141;992;t
US-NM;sptinc992t;p90p100;1984;0.339;992;t
US-NM;sptinc992t;p90p100;1985;0.3476;992;t
US-NM;sptinc992t;p90p100;1986;0.3614;992;t
US-NM;sptinc992t;p90p100;1987;0.3415;992;t
US-NM;sptinc992t;p90p100;1988;0.3596;992;t
US-NM;sptinc992t;p90p100;1989;0.3604;992;t
US-NM;sptinc992t;p90p100;1990;0.3645;992;t
US-NM;sptinc992t;p90p100;1991;0.3635;992;t
US-NM;sptinc992t;p90p100;1992;0.3698;992;t
US-NM;sptinc992t;p90p100;1993;0.3732;992;t
US-NM;sptinc992t;p90p100;1994;0.3739;992;t
US-NM;sptinc992t;p90p100;1995;0.3792;992;t
US-NM;sptinc992t;p90p100;1996;0.3873;992;t
US-NM;sptinc992t;p90p100;1997;0.3954;992;t
US-NM;sptinc992t;p90p100;1998;0.3964;992;t
US-NM;sptinc992t;p90p100;1999;0.4077;992;t
US-NM;sptinc992t;p90p100;2000;0.3316;992;t
US-NM;sptinc992t;p90p100;2001;0.4764;992;t
US-NM;sptinc992t;p90p100;2002;0.3997;992;t
US-NM;sptinc992t;p90p100;2003;0.4029;992;t
US-NM;sptinc992t;p90p100;2004;0.4108;992;t
US-NM;sptinc992t;p90p100;2005;0.4311;992;t
US-NM;sptinc992t;p90p100;2006;0.447;992;t
US-NM;sptinc992t;p90p100;2007;0.4526;992;t
US-NM;sptinc992t;p90p100;2008;0.4401;992;t
US-NM;sptinc992t;p90p100;2009;0.4351;992;t
US-NM;sptinc992t;p90p100;2010;0.4399;992;t
US-NM;sptinc992t;p90p100;2011;0.4291;992;t
US-NM;sptinc992t;p90p100;2012;0.4486;992;t
US-NM;sptinc992t;p90p100;2013;0.4387;992;t
US-NM;sptinc992t;p90p100;2014;0.4489;992;t
US-NM;sptinc992t;p90p100;2015;0.4425;992;t
US-NM;sptinc992t;p90p100;2016;0.4442;992;t
US-NM;sptinc992t;p90p100;2017;0.4621;992;t
US-NM;sptinc992t;p90p100;2018;0.4658;992;t
US-NM;sptinc992t;p99.5p100;1917;0.1032;992;t
US-NM;sptinc992t;p99.5p100;1918;0.0706;992;t
US-NM;sptinc992t;p99.5p100;1919;0.064;992;t
US-NM;sptinc992t;p99.5p100;1920;0.0557;992;t
US-NM;sptinc992t;p99.5p100;1921;0.0566;992;t
US-NM;sptinc992t;p99.5p100;1922;0.0587;992;t
US-NM;sptinc992t;p99.5p100;1923;0.0545;992;t
US-NM;sptinc992t;p99.5p100;1924;0.0615;992;t
US-NM;sptinc992t;p99.5p100;1925;0.0647;992;t
US-NM;sptinc992t;p99.5p100;1926;0.0733;992;t
US-NM;sptinc992t;p99.5p100;1927;0.0823;992;t
US-NM;sptinc992t;p99.5p100;1928;0.0953;992;t
US-NM;sptinc992t;p99.5p100;1929;0.0905;992;t
US-NM;sptinc992t;p99.5p100;1930;0.0941;992;t
US-NM;sptinc992t;p99.5p100;1931;0.0894;992;t
US-NM;sptinc992t;p99.5p100;1932;0.0892;992;t
US-NM;sptinc992t;p99.5p100;1933;0.0838;992;t
US-NM;sptinc992t;p99.5p100;1934;0.0908;992;t
US-NM;sptinc992t;p99.5p100;1935;0.0832;992;t
US-NM;sptinc992t;p99.5p100;1936;0.0939;992;t
US-NM;sptinc992t;p99.5p100;1937;0.0987;992;t
US-NM;sptinc992t;p99.5p100;1938;0.0895;992;t
US-NM;sptinc992t;p99.5p100;1939;0.0974;992;t
US-NM;sptinc992t;p99.5p100;1940;0.1007;992;t
US-NM;sptinc992t;p99.5p100;1941;0.1022;992;t
US-NM;sptinc992t;p99.5p100;1942;0.0966;992;t
US-NM;sptinc992t;p99.5p100;1943;0.0792;992;t
US-NM;sptinc992t;p99.5p100;1944;0.0591;992;t
US-NM;sptinc992t;p99.5p100;1945;0.0669;992;t
US-NM;sptinc992t;p99.5p100;1946;0.0825;992;t
US-NM;sptinc992t;p99.5p100;1947;0.0742;992;t
US-NM;sptinc992t;p99.5p100;1948;0.0858;992;t
US-NM;sptinc992t;p99.5p100;1949;0.0789;992;t
US-NM;sptinc992t;p99.5p100;1950;0.0839;992;t
US-NM;sptinc992t;p99.5p100;1951;0.0833;992;t
US-NM;sptinc992t;p99.5p100;1952;0.0711;992;t
US-NM;sptinc992t;p99.5p100;1953;0.0558;992;t
US-NM;sptinc992t;p99.5p100;1954;0.06;992;t
US-NM;sptinc992t;p99.5p100;1955;0.0634;992;t
US-NM;sptinc992t;p99.5p100;1956;0.0605;992;t
US-NM;sptinc992t;p99.5p100;1957;0.0673;992;t
US-NM;sptinc992t;p99.5p100;1958;0.0498;992;t
US-NM;sptinc992t;p99.5p100;1959;0.056;992;t
US-NM;sptinc992t;p99.5p100;1960;0.0522;992;t
US-NM;sptinc992t;p99.5p100;1961;0.0543;992;t
US-NM;sptinc992t;p99.5p100;1962;0.052;992;t
US-NM;sptinc992t;p99.5p100;1963;0.0515;992;t
US-NM;sptinc992t;p99.5p100;1964;0.0521;992;t
US-NM;sptinc992t;p99.5p100;1965;0.0596;992;t
US-NM;sptinc992t;p99.5p100;1966;0.0584;992;t
US-NM;sptinc992t;p99.5p100;1967;0.0565;992;t
US-NM;sptinc992t;p99.5p100;1968;0.0562;992;t
US-NM;sptinc992t;p99.5p100;1969;0.0574;992;t
US-NM;sptinc992t;p99.5p100;1970;0.0507;992;t
